context,candidate_index,inner_fold_count,inner_split_seed,max_features,min_samples_leaf,inner_macro_group_mae,inner_r2,inner_mae,selected,delta3d_weight
outer_3:baseline,0.0,3.0,134750.0,0.35,2.0,0.14257675231685663,-0.029514693304590667,0.131896319288401,True,
outer_3:baseline,1.0,3.0,134750.0,0.7,2.0,0.14956337349932555,-0.07605371102169656,0.13170503344043452,False,
outer_3:baseline,2.0,3.0,134750.0,1.0,4.0,0.15223690713584906,-0.1297303447714695,0.13423988463220216,False,
outer_3:2d_second_unshrunk,0.0,3.0,134750.0,0.35,2.0,0.14338566562773733,-0.012506788180014494,0.13023219633210895,True,
outer_3:2d_second_unshrunk,1.0,3.0,134750.0,0.7,2.0,0.1496566280428266,-0.07706044252517308,0.13207408426475578,False,
outer_3:2d_second_unshrunk,2.0,3.0,134750.0,1.0,4.0,0.1528930872621388,-0.14798741879291555,0.1353815807935493,False,
outer_3:delta3d_unshrunk,0.0,3.0,134750.0,0.35,2.0,0.1410887439934763,0.03957934730458246,0.12686884970342707,True,
outer_3:delta3d_unshrunk,1.0,3.0,134750.0,0.7,2.0,0.14562086403233201,-0.025808261195745974,0.13277824901308435,False,
outer_3:delta3d_unshrunk,2.0,3.0,134750.0,1.0,4.0,0.1492366147513904,-0.13261285662870947,0.14282763597101925,False,
outer_3:delta3d_extended_unshrunk,0.0,3.0,134750.0,0.35,2.0,0.14267121225304982,0.021939186219845697,0.12830048333188535,True,
outer_3:delta3d_extended_unshrunk,1.0,3.0,134750.0,0.7,2.0,0.1462634066485174,-0.0402750658967721,0.13398934784910307,False,
outer_3:delta3d_extended_unshrunk,2.0,3.0,134750.0,1.0,4.0,0.14883463849842668,-0.1142724281983789,0.14021710616928307,False,
outer_3:2d_ensemble_weight,,,,,,0.14257675231685663,-0.029514693304590667,0.131896319288401,True,0.0
outer_3:2d_ensemble_weight,,,,,,0.14271535677277103,-0.024639048806234687,0.13141622775432696,False,0.25
outer_3:2d_ensemble_weight,,,,,,0.1428908615095907,-0.020179183119353183,0.13097386831543334,False,0.5
outer_3:2d_ensemble_weight,,,,,,0.1431342670418927,-0.0161350962439466,0.13058179020347746,False,0.75
outer_3:2d_ensemble_weight,,,,,,0.14338566562773733,-0.012506788180014494,0.13023219633210895,False,1.0
outer_3:delta3d_weight,,,,,,0.14257675231685663,-0.029514693304590667,0.131896319288401,False,0.0
outer_3:delta3d_weight,,,,,,0.1406076638632606,0.0008037707593441246,0.12922686631637004,False,0.25
outer_3:delta3d_weight,,,,,,0.13933043746282783,0.022425598882184428,0.12745547257738438,True,0.5
outer_3:delta3d_weight,,,,,,0.13981508097333606,0.035350791063930576,0.12668177498470995,False,0.75
outer_3:delta3d_weight,,,,,,0.1410887439934763,0.03957934730458246,0.12686884970342707,False,1.0
outer_3:delta3d_extended_weight,,,,,,0.14257675231685663,-0.029514693304590667,0.131896319288401,False,0.0
outer_3:delta3d_extended_weight,,,,,,0.1406951059270891,-0.001441261342097544,0.12936617801049363,False,0.25
outer_3:delta3d_extended_weight,,,,,,0.1397486365194109,0.016492195899472928,0.12787146099684016,True,0.5
outer_3:delta3d_extended_weight,,,,,,0.14080303352102855,0.024285678420120638,0.1274942824570963,False,0.75
outer_3:delta3d_extended_weight,,,,,,0.14267121225304982,0.021939186219845697,0.12830048333188535,False,1.0
outer_4:baseline,0.0,3.0,144757.0,0.35,2.0,0.12341535148288758,-0.022518998477544683,0.1260752152235931,True,
outer_4:baseline,1.0,3.0,144757.0,0.7,2.0,0.1321784023728335,-0.13459398351013818,0.1369766817746091,False,
outer_4:baseline,2.0,3.0,144757.0,1.0,4.0,0.1451368964153771,-0.08949833534761531,0.13695780261430449,False,
outer_4:2d_second_unshrunk,0.0,3.0,144757.0,0.35,2.0,0.12189291141176183,-0.03868210688162699,0.12727473841467005,True,
outer_4:2d_second_unshrunk,1.0,3.0,144757.0,0.7,2.0,0.13332419350958993,-0.14246820757312362,0.1377044972899075,False,
outer_4:2d_second_unshrunk,2.0,3.0,144757.0,1.0,4.0,0.1445248899056554,-0.08367214667732337,0.136172278653151,False,
outer_4:delta3d_unshrunk,0.0,3.0,144757.0,0.35,2.0,0.1165953237299101,0.1028979985857984,0.11821349265341868,True,
outer_4:delta3d_unshrunk,1.0,3.0,144757.0,0.7,2.0,0.12498508071811859,0.07289200994289269,0.12066821352934862,False,
outer_4:delta3d_unshrunk,2.0,3.0,144757.0,1.0,4.0,0.13117208048215365,0.10594847325009382,0.1191666486925462,False,
outer_4:delta3d_extended_unshrunk,0.0,3.0,144757.0,0.35,2.0,0.11547336720941725,0.12634047961129402,0.11576486686640192,True,
outer_4:delta3d_extended_unshrunk,1.0,3.0,144757.0,0.7,2.0,0.12406388262299123,0.07686153123677386,0.11984125627512447,False,
outer_4:delta3d_extended_unshrunk,2.0,3.0,144757.0,1.0,4.0,0.12997488796576095,0.12219994889076324,0.116596368145928,False,
outer_4:2d_ensemble_weight,,,,,,0.12341535148288758,-0.022518998477544683,0.1260752152235931,False,0.0
outer_4:2d_ensemble_weight,,,,,,0.12302811491557536,-0.025962601638211957,0.12635465299690887,False,0.25
outer_4:2d_ensemble_weight,,,,,,0.12264238031522598,-0.02980432075911499,0.12664470509660905,False,0.5
outer_4:2d_ensemble_weight,,,,,,0.12226053750763655,-0.03404415584025311,0.12694804834149026,False,0.75
outer_4:2d_ensemble_weight,,,,,,0.12189291141176183,-0.03868210688162699,0.12727473841467005,True,1.0
outer_4:delta3d_weight,,,,,,0.12341535148288758,-0.022518998477544683,0.1260752152235931,False,0.0
outer_4:delta3d_weight,,,,,,0.11942998993495678,0.023992493682134408,0.1226846890026449,False,0.25
outer_4:delta3d_weight,,,,,,0.11687459027656821,0.060399157245917934,0.12023831416922068,False,0.5
outer_4:delta3d_weight,,,,,,0.11620646790614304,0.0867009922138059,0.11884021764538033,True,0.75
outer_4:delta3d_weight,,,,,,0.1165953237299101,0.1028979985857984,0.11821349265341868,False,1.0
outer_4:delta3d_extended_weight,,,,,,0.12341535148288758,-0.022518998477544683,0.1260752152235931,False,0.0
outer_4:delta3d_extended_weight,,,,,,0.11912427486018423,0.03205478593631739,0.12201435959557243,False,0.25
outer_4:delta3d_extended_weight,,,,,,0.11627055759262665,0.07505596042241125,0.11896210616420759,False,0.5
