adapter,policy,k,mae,n_ligands,offset,shape_mae,spearman,within_0_5,within_1_0
OFFSET_K1,MAX_EXPECTED_VARIANCE_REDUCTION,5,0.6140675367975504,99,0.25461736719632766,0.5459605218927001,0.42306408692127634,0.5639883211186738,0.7818529835779721
OFFSET_K2,MID_ACID,2,0.6148126127171597,143,0.4253717413413729,0.4629353051748735,0.49338311520186506,0.5905005453882093,0.8000945317630673
OFFSET_K1,RANDOM,5,0.6160007005107635,99,0.2840370878135222,0.5459605218927001,0.42306408692127634,0.571694200088543,0.7962348465451122
OFFSET_K1,D_OPTIMAL,3,0.6174132962100026,140,0.3642256666056442,0.48569125485714254,0.46793865060683165,0.5705980411612372,0.7897929627417091
OFFSET_K1,MAX_MODEL_DISAGREEMENT,3,0.6181633353352912,140,0.4041746459597517,0.48569125485714254,0.46793865060683165,0.5784672985908685,0.7931918116957993
NEAREST_OBSERVED,MEDOID,5,0.6186787365387851,99,0.39116680372331236,0.5329887053148191,0.5040394427564544,0.633950890325986,0.8002033518238765
OFFSET_K1,FARTHEST_FROM_EXISTING,2,0.6196511777599227,143,0.38069105931749236,0.4784794024357155,0.46793865060683165,0.5673816149093174,0.7932226090140881
OFFSET_K2,MAX_ENSEMBLE_SD,2,0.6202934721401657,143,0.41764583378389974,0.46775752400545173,0.4836585434638726,0.5851901824018766,0.7942856356489466
NEAREST_OBSERVED,CENTRAL,3,0.6215462652355946,140,0.407797785195068,0.5154253107200036,0.48835830402693997,0.6089491692670902,0.7888489117133456
OFFSET_K1,CENTRAL,5,0.621924564873725,99,0.3284980546627295,0.5459605218927001,0.42306408692127634,0.5671438893866911,0.7969917627057965
OFFSET_K1,MAX_CONDITION_COVERAGE,5,0.6227309915978935,99,0.3004203564120913,0.5459605218927001,0.42306408692127634,0.5679806100070375,0.7825977458247442
OFFSET_K2,MEDOID,1,0.622989299139364,143,0.4248246602135564,0.4784794024357155,0.46793865060683165,0.582030997181466,0.7913005997856748
OFFSET_K3,CENTRAL_THEN_SPREAD,1,0.622989299139364,143,0.4248246602135564,0.4784794024357155,0.46793865060683165,0.582030997181466,0.7913005997856748
OFFSET_K1,MEDOID,1,0.622989299139364,143,0.4248246602135564,0.4784794024357155,0.46793865060683165,0.582030997181466,0.7913005997856748
OFFSET_K2,CENTRAL_THEN_SPREAD,1,0.622989299139364,143,0.4248246602135564,0.4784794024357155,0.46793865060683165,0.582030997181466,0.7913005997856748
OFFSET_K1,CENTRAL_THEN_SPREAD,1,0.622989299139364,143,0.4248246602135564,0.4784794024357155,0.46793865060683165,0.582030997181466,0.7913005997856748
OFFSET_K3,MEDOID,1,0.622989299139364,143,0.4248246602135564,0.4784794024357155,0.46793865060683165,0.582030997181466,0.7913005997856748
OFFSET_K1,MAX_ENSEMBLE_SD,5,0.6247685477281187,99,0.3049627522395018,0.5459605218927001,0.42306408692127634,0.5531213851586378,0.7851951124149283
OFFSET_K1,FARTHEST_FROM_EXISTING,5,0.625391522863878,99,0.2977804887533925,0.5459605218927001,0.42306408692127634,0.5681422507091081,0.7851365901031369
OFFSET_K1,D_OPTIMAL,5,0.6254200212823621,99,0.2889386756101769,0.5459605218927001,0.42306408692127634,0.5622217450038687,0.7833897863714093
OFFSET_K1,CENTRAL_THEN_SPREAD,5,0.625846560729816,99,0.30275908905291804,0.5459605218927001,0.42306408692127634,0.5716165858233565,0.7824290683775471
OFFSET_K1,RANDOM,2,0.6264364547189472,143,0.40260331053821524,0.4784794024357155,0.46793865060683165,0.560352263582403,0.7936727392918191
NEAREST_OBSERVED,MEDIAN_PREDICTION,5,0.6288936695452723,99,0.40028593594209294,0.5535898750339157,0.519973967611894,0.6295876147631881,0.7822467630278792
OFFSET_K1,MAX_PREDICTIVE_VARIANCE,5,0.6294362181188993,99,0.29434708647200414,0.5459605218927001,0.42306408692127634,0.5584473348659045,0.778920090498943
OFFSET_K3,CENTRAL,1,0.6297694386539404,143,0.424213072925492,0.4784794024357155,0.46793865060683165,0.5728668249310228,0.79278939654495
OFFSET_K1,CENTRAL,1,0.6297694386539404,143,0.424213072925492,0.4784794024357155,0.46793865060683165,0.5728668249310228,0.79278939654495
OFFSET_K2,CENTRAL,1,0.6297694386539404,143,0.424213072925492,0.4784794024357155,0.46793865060683165,0.5728668249310228,0.79278939654495
OFFSET_K3,MAX_MODEL_DISAGREEMENT,2,0.6300178589716843,143,0.4536773452035871,0.4604554098980477,0.4964827097318987,0.5918067525687797,0.7793693873201103
OFFSET_K1,MEDIAN_PREDICTION,5,0.6310419426874206,99,0.36668237590147423,0.5459605218927001,0.42306408692127634,0.5813732142018735,0.7857831572078012
