adapter,policy,k,mae,n_ligands,offset,shape_mae,spearman,within_0_5,within_1_0
NEAREST_OBSERVED,CENTRAL,3,0.6147843772570644,140,0.4034419146487775,0.5106079837341416,0.4462518734694928,0.6203846312643996,0.7925193670740971
OFFSET_K2,CENTRAL,2,0.6157095234584662,143,0.41443594185275107,0.4692010541376585,0.4435924128242932,0.5955151078977653,0.7944991729541875
OFFSET_K1,RANDOM,3,0.6162227315031253,140,0.38203583542796976,0.4800889751402574,0.43026582846849104,0.5850959350213187,0.7995289623615573
OFFSET_K3,MEDOID,2,0.6174107974547157,143,0.4284870875859745,0.466808920873647,0.4473485109489663,0.5978075794745238,0.7936616289024997
OFFSET_K2,MAX_ENSEMBLE_SD,2,0.6175805009071503,143,0.42627825332179514,0.45913756207071565,0.4672227246599642,0.5937669197702493,0.7950722622939767
NEAREST_OBSERVED,CENTRAL_THEN_SPREAD,2,0.6178749916954337,143,0.39844748333981506,0.5085616950644498,0.44251646491522373,0.6144423328492417,0.8029261752256056
NEAREST_OBSERVED,MAX_EXPECTED_VARIANCE_REDUCTION,2,0.6181655487726039,143,0.396839313860899,0.5149924465668794,0.44009096315784685,0.6198506967023786,0.7979207148994688
OFFSET_K1,CENTRAL,2,0.6187871697614935,143,0.41588589611174226,0.47207874317198284,0.43026582846849104,0.5935416145906017,0.7930038803830215
OFFSET_K1,MAX_EXPECTED_VARIANCE_REDUCTION,5,0.6192876834260227,99,0.2847511087048602,0.5434224256528417,0.39366239799936853,0.5676536067086997,0.789389560160405
OFFSET_K2,D_OPTIMAL,2,0.6197517140830312,143,0.4307430815276357,0.44068827113020864,0.5229203845350291,0.5986179997889002,0.7948656541735294
OFFSET_K1,MAX_ENSEMBLE_SD,5,0.6208003825128777,99,0.30614992979294736,0.5434224256528417,0.39366239799936853,0.572920414688637,0.793170210023909
OFFSET_K1,CENTRAL,5,0.6213969632933661,99,0.3334248313580495,0.5434224256528417,0.39366239799936853,0.5778963782233381,0.79378395764305
NEAREST_OBSERVED,MEDOID,5,0.6217730265965451,99,0.35767506658584447,0.566192883218579,0.4478158246552923,0.6306433044332699,0.7933800815572585
OFFSET_K2,MEDOID,2,0.6218482447344944,143,0.4306156007774942,0.4702703362998654,0.437042567402759,0.5944928305590808,0.792560546812086
OFFSET_K1,MID_ACID,3,0.6227761171942438,140,0.41880690835084766,0.4800889751402574,0.43026582846849104,0.5844034245426207,0.7970228076102762
OFFSET_K1,MAX_CONDITION_COVERAGE,2,0.6231130677966353,143,0.41122145486686346,0.47207874317198284,0.43026582846849104,0.5799176762756244,0.7897692420466506
OFFSET_K1,CENTRAL_THEN_SPREAD,2,0.6234941062004374,143,0.40645830280231865,0.47207874317198284,0.43026582846849104,0.5819339207298508,0.789161394194615
NEAREST_OBSERVED,MAX_PREDICTIVE_VARIANCE,2,0.6235147715120164,143,0.42076281996296017,0.5099379225157123,0.4914180445585475,0.6169700090282791,0.7919792530782367
NEAREST_OBSERVED,MEDOID,3,0.6238363810167294,140,0.4139148039147982,0.5175822567044399,0.4436573054420069,0.6170312943766008,0.7880903964356717
OFFSET_K1,MEDOID,2,0.62384938344272,143,0.4316354376925446,0.47207874317198284,0.43026582846849104,0.5930367217985001,0.791651345691107
OFFSET_K1,MEDIAN_PREDICTION,3,0.6242217311625439,140,0.411798612850186,0.4800889751402574,0.43026582846849104,0.590306560174145,0.794618050914189
OFFSET_K2,RANDOM,2,0.6252193995990294,143,0.4339742976559103,0.4594219549618619,0.46505797548969663,0.5911719934975903,0.7961542996838986
OFFSET_K1,MEDOID,5,0.6253502061741872,99,0.3487404275644943,0.5434224256528417,0.39366239799936853,0.5771596868708209,0.7919991852044773
OFFSET_K1,MIN_ENSEMBLE_SD,5,0.6256634657743618,99,0.31692066079048664,0.5434224256528417,0.39366239799936853,0.5698367685526876,0.7888973709641337
OFFSET_K2,MAX_MODEL_DISAGREEMENT,3,0.6260582657929067,140,0.43408940954873976,0.46753596827678096,0.4812837174705213,0.5933606595859178,0.7892206056690259
