model,axis_label,n_curves,n_curves_guarded,n_ligands,slope_true_median,slope_pred_median,slope_mae,slope_mae_median,slope_ratio_median,slope_pearson,slope_spearman,slope_sign_agree,span_true_median,span_pred_median,span_recovery_median,span_recovery_median_unguarded,span_recovery_q25,span_recovery_q75,compression_median,shape_mae,shape_mae_median,within_curve_spearman,within_curve_sign_accuracy,row_mae,n_distinct_pred_median,n_distinct_true_median,step_share_pred_median,linear_r2_pred_median,linear_r2_true_median
GEN9_A1_ADJ_d05,extractant,775,775,25,2.573675226299942,0.1052541365504362,2.4584764942750836,2.366008949901849,0.03944784807109573,-0.07683925086182991,-0.14668926946820796,0.7703225806451612,2.073913043478258,0.13953305600000002,0.06833425096099477,0.06833425096099477,0.03530408503803198,0.11470989065027817,0.06894010015007718,0.6760445244407953,0.5878734784411749,0.44448105295225765,0.700161369096853,1.2154207661644536,5.0,5.0,1.0,0.6885953532934765,0.9940258395786431
GEN9_A1_ADJ_d05,metal_concentration,45,30,4,-1.1226193871745382,-0.00209977664915062,0.8473890277919304,1.1183112023333643,0.0023096885294457774,0.2653103508144268,0.24188634329829464,0.5777777777777777,0.72923076923077,0.008363088999999997,0.013663329810971386,0.016614614391834037,0.003985018410661224,0.031104913770262595,0.013531633835997224,0.26472060812528736,0.2265129693653845,0.21111179931789523,0.5851580463835366,0.5603010020599049,6.0,8.0,0.8333333333333334,0.4835518643100649,0.7515429813530872
GEN9_A1_ADJ_d05,metal_series,1605,1210,84,0.08443469855079262,0.045938881511764715,0.09784289780079716,0.08385667059000004,0.3197407530217107,0.2945189531708505,0.3625840607302849,0.7657320872274144,1.0261096605744122,0.58620659,0.43023897683633205,0.5259522641251967,0.2984571630821755,0.6645624607808848,0.4167885543054102,0.3195142961465473,0.2554803970763355,0.44284527169488513,0.6968276060698515,1.104183335727802,8.0,8.0,1.0,0.7477244196708186,0.8742223263723046
GEN9_A1_ADJ_d05,temperature,160,160,5,-0.04032650561688559,-0.00046966121453824916,0.03691803368317742,0.0388107330374302,0.014132179213340392,0.018179636005046046,0.005503315769674661,0.59375,1.1765941508309075,0.0815704765,0.06751232003044852,0.06751232003044852,0.023423561822597132,0.16726248571579935,0.07338785554761112,0.3827540029575336,0.3555112674682798,0.2666857596845208,0.6142708333333333,1.2524340842524802,3.0,4.0,0.6,0.598994609853066,0.9893613987029377
GEN9_A2_END_d05,acid,2105,1950,68,1.6557758087863772,0.518530561820996,1.5127125919324824,1.1269188349825736,0.27221735797946794,0.03546107121094785,0.10183239236962648,0.7923990498812351,1.9269282814614344,0.8312778139999999,0.42024828611810894,0.45232604260370235,0.21322443212043737,0.7806879615197369,0.4237926513214119,0.6175336389537688,0.5341551734016419,0.5272974391769417,0.7486727797463523,1.2881268079066326,5.0,5.0,1.0,0.8193188786210762,0.917337219586492
GEN9_A2_END_d05,contact_time,40,0,8,0.00014296899524398737,4.468950441773841e-17,0.005189193730070134,0.0019254088999672788,2.1809829737921944e-14,-0.22207269813016586,0.004726476433851741,0.65,0.06287846248431395,0.01942855350000003,,0.05888587409955863,,,,0.08456674093568904,0.03004357958425965,0.16715678368415404,0.5402083333333334,2.2806651678160654,3.0,5.0,0.6,0.45248480106514843,0.1646628381999693
GEN9_A2_END_d05,extractant,775,775,25,2.573675226299942,0.09511504590266937,2.4579797776699444,2.4073599854138026,0.03215381312752461,-0.030301271212282332,-0.04817792963342517,0.64,2.073913043478258,0.19809167100000002,0.09742664590295325,0.09742664590295325,0.054131771122258684,0.17528577671726409,0.09826573229916113,0.6918911291999642,0.6035273409431138,0.24705138552637737,0.6147759265823782,1.2507491144712746,5.0,5.0,1.0,0.6468516433519788,0.9940258395786431
GEN9_A2_END_d05,metal_concentration,45,30,4,-1.1226193871745382,0.0029911090526329757,0.8542003951160257,1.1215464587324064,-0.004759311673946931,-0.0005531887129102893,-0.022531878553813747,0.4,0.72923076923077,0.018380095999999985,0.022304746418304794,0.026131836394684225,0.010924347340956316,0.03013498252586273,0.023891049093515797,0.26647196113630545,0.2292041018653845,-0.06423333965451541,0.46786100972375483,0.5704797627776139,6.0,8.0,0.8333333333333334,0.5146284346730169,0.7515429813530872
GEN9_A2_END_d05,metal_series,1605,1210,84,0.08443469855079262,0.045549683893789356,0.11697224250932,0.09111219210310233,0.3387977041119728,0.20789973551286658,0.28431063036655885,0.712772585669782,1.0261096605744122,0.81809359,0.6163565188373976,0.7591903748791681,0.3831808105409346,1.0000675378773216,0.5734313950127513,0.3872726539661077,0.305905032010953,0.3343190875750026,0.6445638657697097,1.1663162802121398,8.0,8.0,1.0,0.6802635890821956,0.8742223263723046
GEN9_A2_END_d05,temperature,160,160,5,-0.04032650561688559,0.0007184806200000031,0.042682475855432354,0.04337071669289835,-0.020886623672089266,-0.00802943167775654,-0.06354841441311838,0.35625,1.1765941508309075,0.12478415900000003,0.11945105621909179,0.11945105621909179,0.03701227293981903,0.20158957025384316,0.13204472272516926,0.44902996347093255,0.3924298709887413,-0.18676995005238542,0.44854166666666667,1.3680929063224119,3.0,4.0,0.6,0.5353982300884956,0.9893613987029377
GEN9_A3_RAND_d05,acid,2105,1950,68,1.6557758087863772,0.46632923292037415,1.5012961016706308,1.177886749233436,0.23202862162412088,0.16358155662829885,0.17648194922795374,0.8318289786223277,1.9269282814614344,0.634893987,0.3056391138549869,0.3269903076478138,0.17326018683332822,0.5567945269978972,0.29877195154833236,0.5895207400193426,0.5184207419196388,0.5874435683110936,0.7748316069706156,1.2716765956379605,5.0,5.0,1.0,0.8802685214375772,0.917337219586492
GEN9_A3_RAND_d05,contact_time,40,0,8,0.00014296899524398737,2.979280549908637e-17,0.005766274125287932,0.0007463791152969457,2.8274890067852412e-14,0.18433147843959075,0.1701611345951206,0.65,0.06287846248431395,0.017030342999999996,,0.0891428134054862,,,,0.08596315217493258,0.026611490430986207,0.18502513959887232,0.5519618741765481,1.9894512140473144,3.0,5.0,0.6,0.49267021484023943,0.1646628381999693
GEN9_A3_RAND_d05,extractant,775,775,25,2.573675226299942,0.08388534476095368,2.5018282508666325,2.3763349590420937,0.027317753608404872,-0.10371895601780119,-0.13772633991012107,0.6916129032258065,2.073913043478258,0.149770664,0.0744925838554097,0.0744925838554097,0.04120701989455948,0.13111284492984002,0.07540915471936332,0.6898619634116799,0.5854628771910693,0.3362662500058096,0.6534295167198394,1.2634839461108978,5.0,5.0,1.0,0.6657033132544015,0.9940258395786431
GEN9_A3_RAND_d05,metal_concentration,45,30,4,-1.1226193871745382,0.0005326436007885988,0.8521313898704072,1.1187338403540878,0.003172884850294808,0.13542364751984073,0.13452856901247623,0.5777777777777777,0.72923076923077,0.011853642999999997,0.016030508130048346,0.024978110420781387,0.007563425816712631,0.04091294969181159,0.01633169762632542,0.26572864640559946,0.22893696836538452,0.10780112462842315,0.5374284158107688,0.5715086087960779,5.0,8.0,0.8125,0.6435689162484852,0.7515429813530872
