feature,importance
base__ecfp_624,0.00037950908262007554
base__ecfp_289,0.00037720850913377477
base__ecfp_1642,0.00037088329718671493
base__ecfp_1018,0.00036171916596254
base__ecfp_1100,0.00036082385809181887
base__cond__diluent__kerosene_0_7_1_octanol_0_3,0.0003528544214451716
base__cond__diluent__chloroform,0.00035193370977746875
base__cond__diluent__nitrobenzene,0.00034997732235950895
base__ecfp_1162,0.00034692913538654746
base__ecfp_806,0.00034486243220635125
base__ecfp_1851,0.0003445380685971585
base__ecfp_1914,0.0003407056631567496
base__ecfp_1706,0.00034023756895559706
base__ecfp_1935,0.00033917891801568456
base__ecfp_1873,0.0003369479125568125
base__ecfp_1275,0.00033382395977685133
base__ecfp_192,0.00033243458416804114
base__ecfp_471,0.00033208013016501587
base__ecfp_1325,0.0003300888983868301
base__ecfp_1055,0.00032631954728880937
base__ecfp_381,0.0003250703539787543
base__ecfp_1824,0.0003230484705065959
base__ecfp_460,0.0003166153379558266
base__ecfp_715,0.00031597468313162327
base__ecfp_273,0.00030941531467536287
base__ecfp_1190,0.0003085122678620572
base__ecfp_881,0.0003066039619655766
base__ecfp_747,0.00029441708494265143
base__ecfp_736,0.00029373504350029396
base__ecfp_504,0.00027847440777666683
missingindicator_base__cond__temperature_C,0.0002717972571912362
base__ecfp_555,0.0002697630509429626
base__cond__diluent__1_octanol_0_5_kerosene_0_5,0.00026789175223761755
base__ecfp_875,0.0002641826879535619
base__ecfp_1750,0.00026020081721798397
base__ecfp_148,0.0002540153078611959
base__ecfp_1203,0.0002492515194340907
missingindicator_delta3d__feat3d__polyhedron__donor_angle_01_09_deg,0.00024225964375694766
base__ecfp_1413,0.00023934804335007043
base__ecfp_244,0.0002338275178875486
base__ecfp_1874,0.00023332919974010908
base__cond__diluent__1_octanol,0.0002332804652400096
base__ecfp_1045,0.00023259042697899445
delta3d__feat3d__polyhedron__donor_atomic_number_03,0.00023114275448180452
base__ecfp_1726,0.00023018768992699352
base__ecfp_288,0.00022710457817816214
base__ecfp_1248,0.0002263859247566355
base__ecfp_823,0.00022504779945761006
base__ecfp_449,0.00022336863656047617
base__ecfp_1160,0.00022066335536346788
base__ecfp_310,0.00020789009479013705
base__ecfp_314,0.00020164306513124737
base__ecfp_1761,0.00019937352036640015
base__ecfp_203,0.00019749091499820492
base__cond__diluent__meta_nitrobenzotrifluoride,0.00019598571467591177
base__ecfp_1249,0.000186280589952834
base__ecfp_207,0.00018599645167890314
base__ecfp_1992,0.00018494757083577367
base__ecfp_1603,0.00018431494988340412
base__ecfp_473,0.00017854859254896546
base__ecfp_553,0.00016909235268711177
base__cond__diluent__1_2_dichloroethane,0.00016616167804570106
