n_shared,pearson,spearman,mae_shared_centred,mae_raw_centred,sf_mae,extractant,cell_a,cell_b,same_pub,dlog10_hno3
5,0.965190634645151,0.8999999999999998,0.12430096807130346,0.14992721381638074,0.19990610915818902,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,71dc32e0ed7e16a2,9a5a0eda0a6fd590,1,
5,0.7794646507628974,0.4999999999999999,0.23433157507832458,0.2880410058154986,0.4158938449273145,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,71dc32e0ed7e16a2,e7c3a51331914d65,1,
5,0.7689896377972182,0.3999999999999999,0.2611622284798082,0.33079108952090686,0.39340457678716645,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,71dc32e0ed7e16a2,a155938e4ae9d704,1,
4,0.023626243001604912,0.3999999999999999,0.6181244527022907,0.6181244527022908,1.0896594080749933,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,519ef744e75b8881,815c365f83ac70cf,1,
4,0.9636816220651286,0.9999999999999998,0.12557481346721136,0.2178896534605463,0.22042546941432192,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,519ef744e75b8881,9a5a0eda0a6fd590,1,
4,0.909453838593181,0.7999999999999998,0.18182167520476467,0.23848303787807038,0.2998989066380146,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,519ef744e75b8881,e7c3a51331914d65,1,
4,0.8096905468506105,0.3999999999999999,0.26397774713437994,0.35411215557618847,0.4500081235129314,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,519ef744e75b8881,a155938e4ae9d704,1,
6,0.3853542880695282,0.5428571428571428,0.5011165829834086,0.5011165829834084,0.7787620226056436,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,815c365f83ac70cf,9a5a0eda0a6fd590,1,
6,0.5533206477933357,0.8285714285714286,0.37793744432068704,0.3779374443206871,0.6673488518221854,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,815c365f83ac70cf,e7c3a51331914d65,1,
6,0.2966639912744189,0.6,0.5378063311892253,0.5378063311892253,0.892777008364244,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,815c365f83ac70cf,a155938e4ae9d704,1,
6,0.8576468370290933,0.8285714285714286,0.22120254003711956,0.2212025400371197,0.3412807822469264,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,9a5a0eda0a6fd590,e7c3a51331914d65,1,
6,0.7717481267187362,0.6,0.2674055990772842,0.2674055990772842,0.43616924131935625,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,9a5a0eda0a6fd590,a155938e4ae9d704,1,
6,0.9226166396811679,0.8285714285714286,0.20126206392122223,0.20126206392122223,0.2585056320725036,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,e7c3a51331914d65,a155938e4ae9d704,1,
7,0.9991755506242693,0.9999999999999999,0.06299837295821077,0.06299837295821079,0.0951607539212046,CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,5fe61fb5cb043ac8,75373a48cee6831b,1,0.0
7,0.9878807635184121,0.9999999999999999,0.17899848608192445,0.17899848608192448,0.27531407744284675,CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,5fe61fb5cb043ac8,6b5aa379bd39e0ef,1,0.0
7,0.9927459605691789,0.9999999999999999,0.12410391500589182,0.12410391500589178,0.18278235150453148,CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,75373a48cee6831b,6b5aa379bd39e0ef,1,0.0
5,0.989680542309865,0.9999999999999998,0.04533673719301362,0.04586160085769943,0.07627388287302098,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,a1da294020dc650f,26cbed1ed70886fe,1,0.17545331494141397
4,0.9493165005112093,0.9999999999999998,0.0969321148825059,0.11109660574412551,0.15274151436031289,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,a1da294020dc650f,ac59b211ab998989,1,0.30007272773963395
5,0.9287344595319541,0.9999999999999998,0.12762402088772812,0.12762402088772823,0.16657963446475182,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,a1da294020dc650f,34036c3b224f37de,1,0.6982043588710535
4,0.9901614282965837,0.9999999999999998,0.04378134792798232,0.0700727168620294,0.06759823954278092,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,26cbed1ed70886fe,ac59b211ab998989,1,0.12461941279821998
5,0.9692596686752846,0.9999999999999998,0.08228728369471452,0.10267743157988007,0.125402301339142,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,26cbed1ed70886fe,34036c3b224f37de,1,0.5227510439296394
4,0.9681933898539651,0.9999999999999998,0.1493390724466211,0.3270208596477684,0.21478385293300514,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,26cbed1ed70886fe,4fcbabe856178b53,0,0.47712125471966244
4,0.7783082913804147,0.7999999999999998,0.48770383218738106,0.5352354382494725,0.7044335382605672,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,26cbed1ed70886fe,492b7bdb48f08e41,0,0.47712125471966244
4,0.9905706128614963,0.9999999999999998,0.06861548968838854,0.3062980525062323,0.10109585085273587,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,26cbed1ed70886fe,40257a80e298d1e7,0,0.17609125905568124
4,0.7458633115336177,0.7999999999999998,0.6597703704449058,0.6597703704449059,0.9425828831542531,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,26cbed1ed70886fe,d107e225e8d2b292,0,0.17609125905568124
4,-0.5008971144274138,-0.7999999999999998,0.3006102174613392,0.42339762262717673,0.5651289338270976,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,26cbed1ed70886fe,b4fd2a49bcbf3d25,0,0.3010299956639812
4,0.7672066169389044,0.7999999999999998,0.49884377454080886,0.5953506702965061,0.7907011760244229,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,26cbed1ed70886fe,754e9dee83f16dd1,0,0.3010299956639812
4,0.24613913920956637,0.3999999999999999,0.2349213499010242,0.36980673950964693,0.3604831792247913,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,26cbed1ed70886fe,a1364f38e19a30c6,0,0.42596873227228116
4,0.8227249721477954,0.7999999999999998,0.2095127912729277,0.30970256572616534,0.3484439828545,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,26cbed1ed70886fe,ad16fef01adc5432,0,0.42596873227228116
4,0.9861500118270589,0.9999999999999998,0.05678851174934782,0.09804177545691936,0.09442993907745961,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,ac59b211ab998989,34036c3b224f37de,1,0.3981316311314195
8,0.9947178756615899,1.0,0.05713525747961182,0.057135257479611706,0.07939837825663569,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,4fcbabe856178b53,40257a80e298d1e7,1,0.3010299956639812
