comparison,dropped_chemotype,delta,n_units
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc075,-0.0568232753373644,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc076,-0.056239743055322616,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc077,-0.056129879030011876,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc078,-0.054497491858598195,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc083,-0.05612653345653835,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc084,-0.05300660937677372,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc085,-0.05347946626929543,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc086,-0.055280814420513864,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc092,-0.049796567815403855,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc096,-0.057602010006643625,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc097,-0.054684178335259154,89
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,(none),-0.004835400013705317,90
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc000,-0.004932578058453036,89
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc001,-0.005053627405135946,89
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc007,-0.00542159585395254,89
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc008,-0.005126275833274835,88
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc009,-0.002039904101274781,67
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc010,-0.005024206821076122,89
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc012,-0.004965312623975783,89
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc015,-0.005053949224523739,89
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc016,-0.004715151225953595,89
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc017,-0.00493443442261117,89
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc018,-0.004738936433728461,89
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc019,-0.00474965574546888,89
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc020,-0.004862255754052793,89
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc021,-0.004989732911210613,89
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc027,-0.006795549310522223,84
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc028,-0.004836335039948083,88
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc029,-0.004282958906730492,87
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc030,-0.004330308174944375,87
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc031,-0.004554489546121564,87
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc032,-0.0049286140126349725,89
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc033,-0.0044326985931455705,89
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc036,-0.004000041567765731,86
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc055,-0.004900308798533407,89
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc057,-0.004569819351510322,89
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc058,-0.0050963400282141,89
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc059,-0.00475763045204281,89
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc060,-0.0044132402279798985,89
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc061,-0.004915861364173908,88
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc062,-0.004978014145647286,89
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc063,-0.005078377555946411,89
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc068,-0.0048185262887469795,84
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc069,-0.004882659073520751,88
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc070,-0.004506569864082271,89
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc071,-0.00485954364815298,89
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc075,-0.005069515603651842,89
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc076,-0.004968880504938709,89
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc077,-0.004878283858590239,89
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc078,-0.004570729990350771,89
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc083,-0.005171237375513317,89
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc084,-0.004801244284913868,89
X_X_RESP3D_SHUFFLED_vs_M_PHYSICS_radius+radius_sq,sc085,-0.004968263602490834,89
