design,pair,arm,n_units,obs_spread,spearman,top1,regret
BQ,Er/Yb,HEAVIER_ALWAYS,58.0,2.9722245269820182,0.0,0.017241379310344827,1.4861122634910091
BQ,Er/Yb,G14_TIED,58.0,2.9722245269820182,0.3380267136259729,0.0386594277602252,1.3666206468213336
BQ,Er/Yb,_RANDOM,58.0,2.9722245269820182,0.0,0.017241379310344827,1.4861122634910091
A,Nd/Dy,FLAT,71.0,4.090574848000005,0.0,0.014084507042253521,2.0452874240000023
A,Nd/Dy,MEAN_CURVE,71.0,4.090574848000005,-0.04053270216517235,0.006666666666666666,2.1406732136332716
A,Nd/Dy,G14,71.0,4.090574848000005,0.4947499664870846,0.00909090909090909,1.6119327170842879
A,Nd/Dy,G13_FULL,71.0,4.090574848000005,0.6938587067621336,0.0,1.308510882365847
A,Nd/Dy,O_BOTH,71.0,4.090574848000005,0.9708920187793426,0.5,0.03731680850000085
A,Nd/Dy,HEAVIER_ALWAYS,71.0,4.090574848000005,0.0,0.014084507042253521,2.0452874240000023
A,Nd/Dy,G14_TIED,71.0,4.090574848000005,0.6602616426371768,0.03289761242988491,1.4797503042753817
A,Nd/Dy,_RANDOM,71.0,4.090574848000005,0.0,0.014084507042253521,2.0452874240000023
A,Pr/Nd,FLAT,71.0,1.3249782835000128,0.0,0.014084507042253521,0.6624891417500064
A,Pr/Nd,MEAN_CURVE,71.0,1.3249782835000128,-0.04806416389324782,0.0,0.6819030562081625
A,Pr/Nd,G14,71.0,1.3249782835000128,0.2145809444213703,0.008333333333333333,0.6244329668241054
A,Pr/Nd,G13_FULL,71.0,1.3249782835000128,0.45942678596081804,0.0,0.5592662982765467
A,Pr/Nd,O_BOTH,71.0,1.3249782835000128,0.6977095144605479,1.0,0.0
A,Pr/Nd,HEAVIER_ALWAYS,71.0,1.3249782835000128,0.0,0.014084507042253521,0.6624891417500064
A,Pr/Nd,G14_TIED,71.0,1.3249782835000128,0.33284776067139027,0.030849908517502043,0.5860151721773057
A,Pr/Nd,_RANDOM,71.0,1.3249782835000128,0.0,0.014084507042253521,0.6624891417500064
A,Sm/Eu,FLAT,77.0,2.110615111616385,0.0,0.012987012987012988,1.0553075558081926
A,Sm/Eu,MEAN_CURVE,77.0,2.110615111616385,-0.06133629564460025,0.01213235294117647,1.075322266196199
A,Sm/Eu,G14,77.0,2.110615111616385,0.3597079777813569,0.0,0.9814589735868411
A,Sm/Eu,G13_FULL,77.0,2.110615111616385,0.5357414038020828,0.0,1.4563687715052818
A,Sm/Eu,O_BOTH,77.0,2.110615111616385,0.7735124826919811,0.0,0.7593964563081927
A,Sm/Eu,HEAVIER_ALWAYS,77.0,2.110615111616385,0.0,0.012987012987012988,1.0553075558081926
A,Sm/Eu,G14_TIED,77.0,2.110615111616385,0.5221930666665713,0.02111418838092266,0.9320379500113296
A,Sm/Eu,_RANDOM,77.0,2.110615111616385,0.0,0.012987012987012988,1.0553075558081926
A,Eu/Gd,FLAT,70.0,1.6474275469810429,0.0,0.014285714285714285,0.8237137734905214
A,Eu/Gd,MEAN_CURVE,70.0,1.6474275469810429,-0.028983530169211614,0.016233766233766232,0.8495869407511641
A,Eu/Gd,G14,70.0,1.6474275469810429,0.25692497899912575,0.008333333333333333,0.7671371863197889
A,Eu/Gd,G13_FULL,70.0,1.6474275469810429,0.5027626984525627,0.0,0.8280176531629303
A,Eu/Gd,O_BOTH,70.0,1.6474275469810429,0.5591083660882155,0.0,0.7187835896612851
A,Eu/Gd,HEAVIER_ALWAYS,70.0,1.6474275469810429,0.0,0.014285714285714285,0.8237137734905214
A,Eu/Gd,G14_TIED,70.0,1.6474275469810429,0.35146580810633854,0.014562801932367147,0.7692190612713848
A,Eu/Gd,_RANDOM,70.0,1.6474275469810429,0.0,0.014285714285714285,0.8237137734905214
A,La/Ce,FLAT,68.0,2.0712666813266707,0.0,0.014705882352941176,1.0356333406633353
A,La/Ce,MEAN_CURVE,68.0,2.0712666813266707,-0.09545844484331058,0.013942307692307693,1.0642815314676286
A,La/Ce,G14,68.0,2.0712666813266707,0.2521270875593912,0.0,0.9705197380059787
A,La/Ce,G13_FULL,68.0,2.0712666813266707,0.5225782007465991,0.0,1.5285777761428676
A,La/Ce,O_BOTH,68.0,2.0712666813266707,0.8128489221361292,0.0,0.8057347022257162
A,La/Ce,HEAVIER_ALWAYS,68.0,2.0712666813266707,0.0,0.014705882352941176,1.0356333406633353
A,La/Ce,G14_TIED,68.0,2.0712666813266707,0.374429227701956,0.023873759091150394,0.9320986997678222
A,La/Ce,_RANDOM,68.0,2.0712666813266707,0.0,0.014705882352941176,1.0356333406633353
A,Dy/Ho,FLAT,57.0,1.2886539464998008,0.0,0.017543859649122806,0.6443269732499004
A,Dy/Ho,MEAN_CURVE,57.0,1.2886539464998008,-0.04383143435683155,0.016233766233766232,0.6406597416162599
A,Dy/Ho,G14,57.0,1.2886539464998008,0.2872313512433874,0.02,0.5740509176767625
A,Dy/Ho,G13_FULL,57.0,1.2886539464998008,0.28812527634900187,0.0,0.6883039123276529
A,Dy/Ho,O_BOTH,57.0,1.2886539464998008,0.6828280210259511,0.5,0.017376686185217538
