split_seed,extractant,chemotype,n_pairs,n_cells,n_adjacent,n_far,n_strong,y_abs_mean,arm,mae_all,mae_adjacent,mae_far,sign_acc_strong,pair_spearman,n_cells_spearman
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,sc068,91,1,13,49,2,0.12401183137362634,S3_EXT_LEVEL,0.13405425111275399,0.043344119260049115,0.1832724997533367,0.0,0.11390565456280237,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,sc068,91,1,13,49,2,0.12401183137362634,S3_EXTW_LOWRANK_K2,0.12880893184230352,0.04473980984007139,0.17086315064406,0.0,0.014035088345430616,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,sc068,91,1,13,49,2,0.12401183137362634,S3_EXTW_PHYSICS,0.15265180428926753,0.04444834417934044,0.21230992066142562,0.0,-0.202560894792452,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,sc068,91,1,13,49,2,0.12401183137362634,S3_HIER,0.06680390318271837,0.041387623064565164,0.0750096209158872,1.0,0.7991318037771431,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,sc068,91,1,13,49,2,0.12401183137362634,S3_HIER_shrink8,0.07137458929442031,0.041579459629508736,0.08270244856850885,1.0,0.7920266398701489,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,sc069,91,1,13,49,29,0.23845110013186813,B1_MEAN_CURVE,0.2915933467061539,0.09168048606078236,0.3769119649935616,0.9310344827586207,0.1908914267870954,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,sc069,91,1,13,49,29,0.23845110013186813,C_DIRECT_ROW,0.31260098282674686,0.09599461410564698,0.4223392973550507,0.13793103448275862,-0.20320289255042817,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,sc069,91,1,13,49,29,0.23845110013186813,M_PHYSICS_radius+radius_sq,0.3587749424707123,0.11079713106893523,0.49023276285018386,0.0,-0.43636421602042796,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,sc069,91,1,13,49,29,0.23845110013186813,S2_CENTRED_ROW,0.3334682067947232,0.08998610034027556,0.47010552265665484,0.13793103448275862,-0.03247487540936027,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,sc069,91,1,13,49,29,0.23845110013186813,S2_CENTRED_ROW_basic,0.3423000089745385,0.095385219227641,0.4776025203645017,0.13793103448275862,-0.13396881535352323,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,sc069,91,1,13,49,29,0.23845110013186813,S2_CENTRED_ROW_rel,0.33058804262852587,0.08942335622664853,0.46392232501262504,0.13793103448275862,0.014039530492079979,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,sc069,91,1,13,49,29,0.23845110013186813,S2_REL_PHYSICS,0.35812468185005725,0.11121271124192794,0.4906375123417292,0.0,-0.39103636147651466,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,sc069,91,1,13,49,29,0.23845110013186813,S2_STACK_CENTRED+PHYSICS,0.34004912454963104,0.09534690094752975,0.47586414799323073,0.10344827586206896,-0.1453804133087987,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,sc069,91,1,13,49,29,0.23845110013186813,S3_EXT_LEVEL,0.41187490373640356,0.12428412783511299,0.5907368808506938,0.3103448275862069,-0.016245401136609848,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,sc069,91,1,13,49,29,0.23845110013186813,S3_EXTW_LOWRANK_K2,0.3256040557054002,0.10682839113617752,0.43868072191357843,0.0,-0.3672655171663282,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,sc069,91,1,13,49,29,0.23845110013186813,S3_EXTW_PHYSICS,0.35891375951309074,0.11163119903007282,0.4926985687216828,0.0,-0.3563954325822731,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,sc069,91,1,13,49,29,0.23845110013186813,S3_HIER,0.474799047119177,0.1334040873269797,0.6866848022782174,0.1724137931034483,-0.0974883336835185,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,sc069,91,1,13,49,29,0.23845110013186813,S3_HIER_shrink8,0.537765228776424,0.14537793596325038,0.7848355739509667,0.1724137931034483,-0.08926210850012732,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,sc069,91,1,13,49,11,0.1487637754725275,B1_MEAN_CURVE,0.319957782968078,0.11166911430886271,0.4433001957432664,1.0,0.3002591208711106,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,sc069,91,1,13,49,11,0.1487637754725275,C_DIRECT_ROW,0.16847682769347144,0.0892140572185263,0.20899490249663205,0.2727272727272727,0.17699946424489704,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,sc069,91,1,13,49,11,0.1487637754725275,M_PHYSICS_radius+radius_sq,0.2513929016600097,0.10622233798015629,0.33651165745563066,0.0,-0.2782626995412031,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,sc069,91,1,13,49,11,0.1487637754725275,S2_CENTRED_ROW,0.20961110675261962,0.07744679196089405,0.29154480826326346,0.45454545454545453,0.34103219751017105,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,sc069,91,1,13,49,11,0.1487637754725275,S2_CENTRED_ROW_basic,0.21741905236982498,0.0814587605566446,0.2986958673991123,0.36363636363636365,0.27009373872121933,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,sc069,91,1,13,49,11,0.1487637754725275,S2_CENTRED_ROW_rel,0.20889650954448358,0.07836422270085842,0.2907352593257801,0.45454545454545453,0.3599602774589139,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,sc069,91,1,13,49,11,0.1487637754725275,S2_REL_PHYSICS,0.2561372761637611,0.10832474045821418,0.34500578945665406,0.0,-0.30592559027892374,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,sc069,91,1,13,49,11,0.1487637754725275,S2_STACK_CENTRED+PHYSICS,0.22107807491121226,0.08364909167732136,0.304337104305296,0.2727272727272727,0.17921504581363407,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,sc069,91,1,13,49,11,0.1487637754725275,S3_EXT_LEVEL,0.31783049245969486,0.13156755089576497,0.4436499070224616,0.0,-0.2718391069354402,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,sc069,91,1,13,49,11,0.1487637754725275,S3_EXTW_LOWRANK_K2,0.22443578542863304,0.10361321561817045,0.29504939138166114,0.0,-0.16259818404810614,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,sc069,91,1,13,49,11,0.1487637754725275,S3_EXTW_PHYSICS,0.264286425036726,0.11040797048531693,0.35890907899653296,0.0,-0.3199443240178032,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,sc069,91,1,13,49,11,0.1487637754725275,S3_HIER,0.36861224634420897,0.13617074137104007,0.5279761563091917,0.0,-0.2783981847450467,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,sc069,91,1,13,49,11,0.1487637754725275,S3_HIER_shrink8,0.4257062386082991,0.14669650078565996,0.6197382237760303,0.0,-0.27952191496516154,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,sc068,91,1,13,49,41,0.2774160303846153,B1_MEAN_CURVE,0.513283200147932,0.1333749497267558,0.7659892578489329,0.04878048780487805,-0.48641697092665737,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,sc068,91,1,13,49,41,0.2774160303846153,C_DIRECT_ROW,0.33729713244524945,0.08381964148929934,0.48788993656501345,0.1951219512195122,-0.19568480524444504,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,sc068,91,1,13,49,41,0.2774160303846153,M_PHYSICS_radius+radius_sq,0.2636515059206551,0.06580979435804499,0.38753536234705693,0.7560975609756098,0.35849004017659597,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,sc068,91,1,13,49,41,0.2774160303846153,S2_CENTRED_ROW,0.2705085608611624,0.06317261790731647,0.3926998416423117,0.6341463414634146,0.3400077241933472,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,sc068,91,1,13,49,41,0.2774160303846153,S2_CENTRED_ROW_basic,0.2793760223256651,0.06918445576669627,0.4044219581380564,0.6097560975609756,0.2625747036758497,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,sc068,91,1,13,49,41,0.2774160303846153,S2_CENTRED_ROW_rel,0.2745456984400818,0.06700101950276814,0.3971510617320688,0.6097560975609756,0.28837509307082004,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,sc068,91,1,13,49,41,0.2774160303846153,S2_REL_PHYSICS,0.2510188476630526,0.06486033411180808,0.36768930069574113,0.9024390243902439,0.5747594153549911,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,sc068,91,1,13,49,41,0.2774160303846153,S2_STACK_CENTRED+PHYSICS,0.26522258768242224,0.06330566397498036,0.38908470613563345,0.7317073170731707,0.42800775604637725,1
