data_cohort,model,axis_label,split_seed,n_curves,n_curves_guarded,n_ligands,slope_true_median,slope_pred_median,slope_mae,slope_mae_median,slope_ratio_median,slope_pearson,slope_spearman,slope_sign_agree,span_true_median,span_pred_median,span_recovery_median,span_recovery_median_unguarded,span_recovery_q25,span_recovery_q75,compression_median,shape_mae,shape_mae_median,within_curve_spearman,within_curve_sign_accuracy,row_mae,n_distinct_pred_median,n_distinct_true_median,step_share_pred_median,linear_r2_pred_median,linear_r2_true_median
FROZEN,GEN10_REC_GEN9_PLUS,contact_time,169954.6,8.0,0.0,8.0,0.00014296899524398737,-1.1896380346123226e-05,0.003860813142349609,0.0010331251841310476,7.58211577759941e-15,0.18055060673954787,0.34285714285714286,0.525,0.06287846248431395,0.062092083704035905,,0.40565754748110194,,,,0.07172604322751967,0.035979891668567396,0.16768034541063256,0.545625,1.8887366874851517,3.2,5.0,0.6266666666666667,0.5590712027760241,0.1646628381999693
FROZEN,GEN10_REC_GEN9_PLUS,extractant,169954.6,155.0,155.0,25.0,2.573675226299942,1.2030184583519745,1.458801293898775,1.4423368918432151,0.4083889598430871,0.3469033921815214,0.3744887165164411,0.9638709677419355,2.073913043478258,1.083063142715123,0.44894478093579576,0.44894478093579576,0.3237271982699731,0.7071640484900488,0.43951328709917714,0.45595327589715495,0.4257698730908504,0.8911187799926881,0.9288499350112254,1.0711083929311411,5.0,5.0,1.0,0.9662552195337633,0.9940258395786431
FROZEN,GEN10_REC_GEN9_PLUS,metal_concentration,169954.6,9.0,6.0,4.0,-1.1226193871745382,0.0020289545279892182,0.8474901668795483,1.1188561703361877,0.0008235277721173991,0.1227794074055009,0.03666666666666668,0.5777777777777777,0.72923076923077,0.008383308053153186,0.010213915561527257,0.012391981097855222,0.006310887856769134,0.020941014317375863,0.01147708839487895,0.27063002916051965,0.2297440426126666,0.03199207684196762,0.523708796649973,0.5371055388816559,4.2,8.0,0.5833333333333333,0.40619998152625864,0.7515429813530872
FROZEN,GEN10_REC_GEN9_PLUS,metal_series,169954.6,321.0,242.0,84.0,0.08443469855079262,0.08462990747528451,0.09110299013750356,0.06933752135649293,0.6006644125192594,0.231952003931361,0.25442202251385704,0.8261682242990653,1.0261096605744122,0.9423523925259334,0.6179745142227597,0.7212853995329597,0.3848195313561139,0.9516589214901761,0.6056557865145199,0.28696263297687175,0.24350026456339963,0.572736809531371,0.7649216638214442,1.081288063831893,8.0,8.0,1.0,0.9090624659758477,0.8742223263723046
FROZEN,GEN10_REC_GEN9_PLUS,temperature,169954.6,32.0,32.0,5.0,-0.04032650561688559,0.0002860867097655551,0.0398503231414286,0.04390500537483268,-0.013498060947418622,-0.008797275546060728,-0.024266862170087965,0.41875,1.1765941508309075,0.15523834358159605,0.14240147403706044,0.14240147403706044,0.08275124622905303,0.33655157244412326,0.15340371595835472,0.41023719846966167,0.3947645732920309,-0.006953988039262482,0.5257291666666666,1.2255857122224376,4.0,4.0,0.865,0.4114146250563471,0.9893613987029377
FROZEN,GEN10_REC_HYBRID,acid,169954.6,421.0,390.0,68.0,1.6557758087863772,0.7527598432116399,1.2769072357699458,0.9983848305854192,0.4411250873577881,0.26660934502980216,0.35171494212097115,0.8337292161520191,1.9269282814614344,0.9261233241510107,0.4489436495548033,0.4680245393238763,0.24488200273285873,0.7426936254382708,0.45502233543045767,0.5108662103284207,0.4512285446680943,0.6017172207622445,0.7862646824978425,1.208829881338675,5.0,5.0,1.0,0.957335186956584,0.917337219586492
FROZEN,GEN10_REC_HYBRID,contact_time,169954.6,8.0,0.0,8.0,0.00014296899524398737,-1.3319609912464055e-05,0.004430967677100765,0.0010337184509188694,1.0160869283570284e-14,0.1726741422787807,0.3714285714285715,0.55,0.06287846248431395,0.062092083704035794,,0.43548578910353586,,,,0.07839851749749271,0.03570832201334505,0.16768034541063256,0.545625,1.8919653362356559,3.2,5.0,0.6266666666666667,0.5552523182533464,0.1646628381999693
FROZEN,GEN10_REC_HYBRID,extractant,169954.6,155.0,155.0,25.0,2.573675226299942,1.6948049518962223,1.2296770241737045,1.2110422704917898,0.5807920825112153,0.38333514743078795,0.4085968939101693,0.9690322580645162,2.073913043478258,1.490055637827917,0.6064070513772848,0.6064070513772848,0.4146912630787577,0.9287932235822016,0.6182082262855372,0.39385012246269124,0.37393367280055834,0.8855226973923843,0.9265855291661744,1.0313871291723378,5.0,5.0,1.0,0.9664690372388165,0.9940258395786431
FROZEN,GEN10_REC_HYBRID,metal_concentration,169954.6,9.0,6.0,4.0,-1.1226193871745382,0.0020289545279891493,0.8470503267836558,1.1188561703361877,0.0008235277721175075,0.15216315810831085,0.06666666666666668,0.5777777777777777,0.72923076923077,0.008383308053153196,0.010213915561527254,0.012391981097855203,0.006310887856769134,0.02094101431737585,0.01147708839487895,0.27481961387854204,0.23702989989339418,0.03199207684196762,0.523708796649973,0.533753871107238,4.2,8.0,0.5833333333333333,0.40619998152626086,0.7515429813530872
FROZEN,GEN10_REC_HYBRID,metal_series,169954.6,321.0,242.0,84.0,0.08443469855079262,0.0975568260676138,0.09957871443747279,0.0712799021119344,0.6923383382842532,0.17280325139777114,0.21351924325581667,0.8255451713395638,1.0261096605744122,1.0422408735345567,0.6849566770517316,0.795481991970351,0.4037956170456427,1.0710453911741573,0.69767791749233,0.3061645013368571,0.25815618760354175,0.5813404478586023,0.7688588839615269,1.080232090541331,8.0,8.0,1.0,0.9207538567140261,0.8742223263723046
FROZEN,GEN10_REC_HYBRID,temperature,169954.6,32.0,32.0,5.0,-0.04032650561688559,0.0008046239245731706,0.04030006617666133,0.04421294416803612,-0.028401261800190127,0.051021589134347976,0.08841642228739002,0.41875,1.1765941508309075,0.22134165811212786,0.20317317340105895,0.20317317340105895,0.10323019173251183,0.41439129923475704,0.21855746692876474,0.419993437076392,0.3988079275914319,-0.014521520711445168,0.5140625,1.2223553317412426,4.0,4.0,0.865,0.4139470100935658,0.9893613987029377
FROZEN,GEN10_REC_RANK,acid,169954.6,421.0,390.0,68.0,1.6557758087863772,0.7318669092972365,1.2857553666484764,1.0124625171271049,0.43461318918298025,0.26472418577630474,0.3491460478653657,0.8308788598574821,1.9269282814614344,0.9281324648481343,0.45069514600147836,0.4670495785059914,0.24100169897535811,0.7329833470248892,0.45042994755874294,0.5150637145459769,0.45175416216173214,0.6000392348011693,0.7854031290866852,1.2116609272888548,5.0,5.0,1.0,0.9468595173066717,0.917337219586492
FROZEN,GEN10_REC_RANK,contact_time,169954.6,8.0,0.0,8.0,0.00014296899524398737,-1.08847553477499e-05,0.004725311980715396,0.0010331251841310472,9.096816039659994e-15,0.17031662651545743,0.38095238095238104,0.55,0.06287846248431395,0.062092083704035864,,0.41092462124479895,,,,0.08028608857972475,0.035616643987786245,0.16768034541063256,0.545625,1.8944333760087908,3.2,5.0,0.6266666666666667,0.5516073727043841,0.1646628381999693
FROZEN,GEN10_REC_RANK,extractant,169954.6,155.0,155.0,25.0,2.573675226299942,1.6402598435794473,1.2644221194863625,1.2382483150996437,0.5582148577114195,0.37509636243770605,0.4046008866947969,0.9690322580645162,2.073913043478258,1.4824867669323656,0.5963270952183272,0.5963270952183272,0.40243788319726015,0.9319136910275441,0.6023069271002146,0.4062814417639625,0.37582410845421793,0.8827035165732035,0.9246065618968846,1.0376548763318287,5.0,5.0,1.0,0.9563562265588835,0.9940258395786431
FROZEN,GEN10_REC_RANK,metal_concentration,169954.6,9.0,6.0,4.0,-1.1226193871745382,0.002028954527989203,0.8470121151284857,1.1188561703361877,0.0008235277721174569,0.1553855419480121,0.06666666666666668,0.5777777777777777,0.72923076923077,0.008383308053153187,0.01021391556152726,0.012391981097855241,0.006310887856769125,0.020941014317375856,0.011477088394878956,0.2751835892596989,0.24193109747075492,0.03199207684196762,0.523708796649973,0.5334626908023126,4.2,8.0,0.5833333333333333,0.40619998152625075,0.7515429813530872
