comparison,status,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1
X_V2_BAG_MIX3_vs_V2_DIRECT@cond,exploratory,mae_far,V2_DIRECT@cond,V2_BAG_MIX3,0.01636892873182281,-0.03721048242773867,0.0961315015279454,-0.05050340067492666,0.07974440011844942,0.5652,0.03504839722103717,0.09813551221890407,0.030615916027348426,88,47,5,5,0.0018919561234156473,0.05401698341341935,True,0.02,False,
X_V2_BAG_MIX5_vs_V2_DIRECT@cond,exploratory,mae_far,V2_DIRECT@cond,V2_BAG_MIX5,0.015151808222603562,-0.04668226526786688,0.10456709725647183,-0.06283913234823231,0.08550613651750734,0.6296,0.04003156855201276,0.11208839194563572,0.03184573089737899,88,48,5,5,-0.0012931795042133297,0.05901082033479399,False,0.02,False,
X_V2_BAG4@lean_vs_V2_DIRECT@cond,exploratory,mae_far,V2_DIRECT@cond,V2_BAG4@lean,0.0015871718734519582,-0.07563795725398832,0.11054022805955901,-0.09556504146877282,0.08783705719657314,0.9062,0.049179473046107126,0.13770252452909995,0.019149689065210272,88,48,3,5,-0.01786385082427866,0.05584097522080355,False,0.02,False,
X_V2_LOWRANK_K2@lean_vs_V2_DIRECT@cond,exploratory,mae_far,V2_DIRECT@cond,V2_LOWRANK_K2@lean,-0.009018679278187508,-0.08639055759081536,0.10272200878565312,-0.10517927077189962,0.07994173559678389,0.922,0.049883617715685814,0.13967412960392028,-0.0017291686717163393,88,39,1,5,-0.028858019929185522,0.04394791456579911,False,0.02,False,
X_V2_BAG_MIX5_vs_V2_BAG_MIX3,exploratory,mae_far,V2_BAG_MIX3,V2_BAG_MIX5,-0.0012171205092192578,-0.011923265893691607,0.014707854161393098,-0.013148829159374417,0.012665247831479159,0.8902,0.006936388457982626,0.01942188768235135,0.001229814870030566,88,41,1,5,-0.004962622373253687,0.00499383692137464,False,0.02,False,
X_V2_DIRECT@cond_vs_C_DIRECT_ROW,exploratory,mae_adjacent,C_DIRECT_ROW,V2_DIRECT@cond,0.008341842164708495,-0.006355901462192862,0.019474037595043705,-0.004977176631165067,0.02080146141273442,0.269,0.006657492564328265,0.01864097918011914,0.009938266804585988,83,46,5,5,0.0032987950145552257,0.01096763698028029,True,0.02,False,
X_V2_BAG_MIX3_vs_C_DIRECT_ROW,exploratory,mae_adjacent,C_DIRECT_ROW,V2_BAG_MIX3,0.009119012007728146,0.0008848895620752098,0.016405616869217203,0.0011041065044512931,0.016719556108565715,0.0308,0.0038865342443617544,0.010882295884212911,0.00919310327507626,83,47,5,5,0.007638129029395496,0.010273271446807898,True,0.02,True,
X_V2_BAG_MIX5_vs_C_DIRECT_ROW,exploratory,mae_adjacent,C_DIRECT_ROW,V2_BAG_MIX5,0.007293135731239301,0.001436668201660375,0.01384496254373767,0.0018289052140220605,0.014377086947960882,0.0162,0.003026554680316259,0.008474353104885524,0.007977848388396712,83,45,5,5,0.005900599555136051,0.008068074269990358,True,0.02,True,
X_V2_BAG4@lean_vs_C_DIRECT_ROW,exploratory,mae_adjacent,C_DIRECT_ROW,V2_BAG4@lean,0.0024046652072643843,-0.0031721936686146183,0.009387502409879081,-0.0026582712133584705,0.010135453370448123,0.3976,0.0030985159836460696,0.008675844754208994,0.002468801946894487,83,40,4,5,0.0006928868058756761,0.0033616943815617754,True,0.02,False,
X_V2_BAG4@cond_vs_C_DIRECT_ROW,exploratory,mae_adjacent,C_DIRECT_ROW,V2_BAG4@cond,0.0032513054074644384,-0.006747119807612109,0.010278160046811589,-0.005322355941987512,0.011445907452926271,0.512,0.0043892413346626824,0.01228987573705551,0.0018435545898422623,83,37,4,5,-0.0006330268412261455,0.004911416314612939,False,0.02,False,
X_V2_CAL_BAG4@lean_vs_C_DIRECT_ROW,exploratory,mae_adjacent,C_DIRECT_ROW,V2_CAL_BAG4@lean,6.09358134130781e-05,-0.005830899661247742,0.009366327021967222,-0.006341611743310744,0.008674137663746358,0.9844,0.0038623045723362587,0.010814452802541523,0.0023347096845593154,83,43,3,5,-0.0017721485590027819,0.002830106065460272,False,0.02,False,
X_V2_LOWRANK_K2@lean_vs_C_DIRECT_ROW,exploratory,mae_adjacent,C_DIRECT_ROW,V2_LOWRANK_K2@lean,-0.0019928948842311976,-0.00906367780794728,0.006799240328425578,-0.008607608846472905,0.007591069135734058,0.5718,0.003929302182888374,0.011002046112087445,-0.0018091734238050608,83,40,2,5,-0.003908019588744661,-0.0009235815950972028,True,0.02,False,
X_V2_PHYSICS@lean_vs_C_DIRECT_ROW,exploratory,mae_adjacent,C_DIRECT_ROW,V2_PHYSICS@lean,-0.0006542876112692374,-0.01046035346385368,0.0060725160675117506,-0.00958089610770308,0.00685609872428692,0.8516,0.004221805344928105,0.011821054965798692,-0.004852835551248869,83,38,2,5,-0.0034336300288529595,0.0008670962828269867,False,0.02,False,
X_V2_BAG_MIX3_vs_V2_DIRECT@cond,exploratory,mae_adjacent,V2_DIRECT@cond,V2_BAG_MIX3,0.0007771698430196523,-0.007505767735293007,0.011987115805093386,-0.008026353933122891,0.011341807020970839,0.8558,0.004976849602854532,0.01393517888799269,-0.0007451635295097295,83,42,4,5,-0.0012315741157997533,0.00433933401484027,False,0.02,False,
X_V2_BAG_MIX5_vs_V2_DIRECT@cond,exploratory,mae_adjacent,V2_DIRECT@cond,V2_BAG_MIX5,-0.0010487064334691921,-0.01070968211076186,0.012363964414404441,-0.012118521658784551,0.010726684125968994,0.8822,0.005962518386546371,0.016695051482329838,-0.0019604184161892764,83,47,1,5,-0.003210929743635499,0.0039532467832744675,False,0.02,False,
X_V2_BAG4@lean_vs_V2_DIRECT@cond,exploratory,mae_adjacent,V2_DIRECT@cond,V2_BAG4@lean,-0.005937176957444111,-0.017648099820994034,0.009837298852815828,-0.01923711338504501,0.008156485089408447,0.4454,0.007066236803426378,0.01978546304959386,-0.0074694648576915,83,43,0,5,-0.008598396470118796,-0.00028744311402887957,True,0.02,False,
X_V2_LOWRANK_K2@lean_vs_V2_DIRECT@cond,exploratory,mae_adjacent,V2_DIRECT@cond,V2_LOWRANK_K2@lean,-0.010334737048939691,-0.022189632304762872,0.005946322952630265,-0.023878219353346154,0.004340662264924909,0.2142,0.0072693699180643445,0.020354235770580164,-0.011747440228391049,83,37,0,5,-0.012443047308513882,-0.0044684323115829925,True,0.02,False,
X_V2_BAG_MIX5_vs_V2_BAG_MIX3,exploratory,mae_adjacent,V2_BAG_MIX3,V2_BAG_MIX5,-0.001825876276488845,-0.004121432739133291,0.0015495629868899077,-0.004519060550647468,0.0010032203337086512,0.3024,0.0014820695631292584,0.004149794776761923,-0.001215254886679547,83,42,0,5,-0.002516564210163106,-0.00038608723156580344,True,0.02,False,
X_V2_DIRECT@cond_vs_C_DIRECT_ROW,exploratory,sign_acc_strong,C_DIRECT_ROW,V2_DIRECT@cond,0.03359192219381575,-0.036566963663589795,0.13479353211042655,-0.036973418812386194,0.13366467020156145,0.367,0.04361290114481582,0.12211612320548429,0.05577023798472455,86,33,5,5,0.011340798325892862,0.05395705048533607,True,0.02,False,
