extractant,mae_best,mae_incumbent,mae_meancurve,mean_abs_y,frac_beats_meancurve,mae_best_sd_over_seeds,chemotype,n_cells,extractant_name,mean_n_metals,max_n_metals,replicate_sd_median,n_publications,n_pairs_per_seed,ratio_mae_over_absy,gain_vs_incumbent,gain_vs_meancurve,noise_floor_pairwise,at_or_below_floor
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,0.17442322186873263,0.2201340990247656,0.20686976239053947,0.39511508107142856,0.6131868131868132,0.04381925670033634,sc027,1,2-[1-(dioctylamino)-1-oxopropan-2-yl]oxy-N-N-dioctylpropanamide,14.0,14,1.3370367682141902,1,91,0.4414491631039529,0.045710877156032975,0.032446540521806844,1.8908555310000001,True
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,0.17166427713246546,0.15144111148980882,0.20940982945892,0.37727662638130094,0.6571428571428571,0.06894949949752162,sc010,1,TIBDGA,8.0,8,,1,28,0.45500904410380855,-0.020223165642656638,0.037745552326454546,,False
CCCCCCc1ccc(N(CC)C(=O)c2cccc(-c3cccc(C(=O)N(CC)c4ccc(CCCCCC)cc4)n3)n2)cc1,0.17095406282481382,0.13718027819655118,0.5221134277038205,0.28518372098901096,0.876923076923077,0.026466835218212373,sc059,1,N-ethyl-6-[6-[ethyl-(4-hexylphenyl)carbamoyl]-2-pyridinyl]-N-(4-hexylphenyl)pyridine-2-carboxamide,14.0,14,,1,91,0.5994523889089771,-0.03377378462826264,0.3511593648790067,,False
CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,0.15675402245415399,0.1814350893815017,0.46854502654192964,0.23226484772222217,0.8222222222222223,0.03462428703651839,sc030,1,2-hexyl-N-N-dimethyl-N-N-dioctylpropanediamide,9.0,9,,1,36,0.6748934416525415,0.024681066927347728,0.31179100408777566,,False
CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,0.15506953424861986,0.053339949772182524,0.1348457371925284,0.16695513519002816,0.48,0.05196541547559104,sc017,1,2-EH-C9-B8D(iB)CMPO,6.0,6,,1,15,0.9288096114690924,-0.10172958447643733,-0.020223797056091453,,False
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,0.1532488322357252,0.15705494351908883,0.33437143432853816,0.12401183137362634,0.8131868131868132,0.016186584111304886,sc068,1,N-(3-5-dimethylphenyl)-6-[6-[(3-5-dimethylphenyl)-ethylcarbamoyl]-2-pyridinyl]-N-ethylpyridine-2-carboxamide,14.0,14,,1,91,1.2357597701626775,0.003806111283363639,0.18112260209281297,,False
CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,0.15141509553888638,0.20410309341010202,0.25549298282194843,0.17757490829629627,0.7654320987654322,0.022978272507960314,sc008,2,N-N-bis(2-methylpropyl)-2-[octyl(phenyl)phosphoryl]acetamide,8.0,13,,2,81,0.8526829437312146,0.05268799787121564,0.10407788728306205,,False
CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,0.1455010343426611,0.1327795799685624,0.7954092741730505,0.9642210884792991,0.9648351648351647,0.07049455048233752,sc033,1,DODHtDGA,14.0,14,,1,91,0.15090007476618766,-0.01272145437409869,0.6499082398303895,,False
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.14520933736956523,0.2232453703629082,0.13708532783374955,0.1716825887680148,0.4593406593406594,0.011006959702215938,sc027,1,tMe2-TODGA,14.0,14,,1,91,0.8458011870136616,0.07803603299334297,-0.008124009535815685,,False
CCCCN(C)C(=O)CC(=O)N(C)CCCC,0.1413531957368572,0.258065725334845,0.4121456984976139,0.1361584974285715,1.0,0.028148187127942204,sc031,3,N-N-dibutyl-N-N-dimethylpropanediamide,2.6666666666666665,3,,1,7,1.0381518480769871,0.11671252959798781,0.2707925027607567,,False
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0.13980047739863927,0.17085561232658406,0.17317052821759243,0.3431918738880579,0.5991735537190083,0.05327239146379913,sc009,6,T2EHDGA,8.166666666666666,14,,5,242,0.4073536934742205,0.03105513492794479,0.03337005081895317,,False
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,0.12858801459647734,0.11257185162009012,0.10822906397537597,0.22430237443528864,0.4666666666666667,0.01845022569493742,sc008,1,6-MH-C9-B8D(iB)CMPO,6.0,6,,1,15,0.5732797743234549,-0.01601616297638722,-0.020358950621101365,,False
O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,0.1063139325713836,0.13962100006772038,0.37896557563987493,0.15059394988461564,0.8054945054945055,0.008562975723035505,sc086,2,[4-7-dichloro-9-(pyrrolidine-1-carbonyl)-1-10-phenanthrolin-2-yl]-pyrrolidin-1-ylmethanone,14.0,14,,1,182,0.7059641682341211,0.03330706749633679,0.2726516430684913,,False
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,0.10315819015409773,0.15749251887566548,0.15813775692629067,0.3197713204273231,0.728813559322034,0.014786424224898365,sc009,3,THDGA,6.333333333333333,8,,2,59,0.3225998817412498,0.05433432872156775,0.05497956677219294,,False
CCCCN(CCCC)C(=O)C(Cc1ccccc1CC(C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC,0.09462927585876402,0.12880616584269142,0.3719061299179716,0.04712738866666658,1.0,0.027728915064366866,sc062,1,N-N-N-N-tetrabutyl-2-[[2-[3-(dibutylamino)-2-(dibutylcarbamoyl)-3-oxopropyl]phenyl]methyl]propanediamide,4.0,4,,1,6,2.0079465155194507,0.0341768899839274,0.2772768540592076,,False
CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,0.08716230784318782,0.11915110410342471,0.18421426325884327,0.07043650359999995,0.8,0.022594982096585472,sc036,1,N-N-N-N-tetrabutylbutanediamide,5.0,5,,1,10,1.2374593199312052,0.03198879626023689,0.09705195541565545,,False
