metal_state,class,Z,pc1,pc2
Dy(III),replicate,66,0.199949,-2.58836
Er(III),replicate,68,0.425088,-2.75976
Eu(III),replicate,63,-0.570649,-1.83644
Gd(III),replicate,64,0.0418489,-2.29758
Hf(IV),replicate,,2.19741,-2.94976
Ho(III),replicate,67,0.484692,-2.74075
In(III),replicate,,-2.98128,2.26361
La(III),replicate,57,-0.575203,-0.88954
Lu(III),replicate,71,0.377659,-2.97945
Nd(III),replicate,60,-0.302432,-1.58443
Np(IV),replicate,93,0.822302,-1.15205
Np(V),replicate,93,1.17249,0.665139
Np(VI),replicate,93,1.70706,0.0691817
Pa(V),replicate,91,-0.350575,0.376053
Pb(II),replicate,,-2.31955,2.55441
Pd(II),replicate,,5.0505,1.13024
Pd(IV),replicate,,3.71745,1.46506
Pm(III),replicate,61,-0.271038,-1.89116
Pr(III),replicate,59,-0.672145,-1.2445
Pu(III),replicate,94,0.883809,-1.04246
Pu(IV),replicate,94,0.24678,-2.04104
Pu(VI),replicate,94,1.10921,-0.794518
Sm(III),replicate,62,-0.501138,-1.89978
Sr(II),replicate,,-1.66886,1.06675
Sr(III),replicate,,-0.927339,1.28619
Tb(III),replicate,65,-0.012152,-2.37228
Tc(VII),replicate,,3.43834,-1.3567
Th(IV),replicate,90,-0.0844936,-0.764698
Tm(III),replicate,69,0.574596,-2.86666
U(IV),replicate,92,-0.110759,-0.0611975
U(VI),replicate,92,0.124463,-0.245063
Y(III),replicate,,-0.570476,0.624811
Yb(III),replicate,70,0.264597,-2.9142
Zr(IV),replicate,,2.50465,-2.79129
Am(III),replicate,95,-0.470763,-0.3569
Am(VI),replicate,95,1.20513,-0.515098
Ba(II),replicate,,-2.0097,2.56961
Bi(III),replicate,,-3.889,-0.921841
Ca(II),replicate,,0.0774248,0.676151
Cd(II),replicate,,0.197725,0.19267
Ce(III),replicate,58,-1.01394,-1.31867
Cf(III),replicate,98,0.430385,-1.42596
Cm(III),replicate,96,-0.193899,-1.20813
Dy(III),replicate,66,0.0256669,-1.93847
Er(III),replicate,68,0.422087,-2.09131
Eu(III),replicate,63,-0.414034,-1.58781
Gd(III),replicate,64,-0.553772,-1.98355
Hf(IV),replicate,,2.96065,-1.55113
Ho(III),replicate,67,0.242296,-2.11134
In(III),replicate,,-0.43022,1.64566
La(III),replicate,57,-1.11575,-1.29743
Lu(III),replicate,71,0.735606,-2.11512
Nd(III),replicate,60,-0.92025,-1.80777
Np(IV),replicate,93,-0.206773,-0.926129
Np(V),replicate,93,-0.447916,-0.360174
Np(VI),replicate,93,0.850683,-1.77537
Pa(V),replicate,91,1.03188,1.37624
Pb(II),replicate,,-6.11157,0.270568
Pd(II),replicate,,5.38829,0.646009
Pd(IV),replicate,,5.32718,3.08825
Pm(III),replicate,61,-0.555441,-1.99095
Pr(III),replicate,59,-1.02031,-1.57007
Pu(III),replicate,94,0.309737,-0.733296
Pu(IV),replicate,94,0.258415,-1.43526
Pu(VI),replicate,94,1.27754,-2.28171
Sm(III),replicate,62,-0.631459,-1.92622
Sr(II),replicate,,-0.712542,1.5104
Sr(III),replicate,,2.30399,2.40143
Tb(III),replicate,65,-0.129252,-2.01269
Tc(VII),replicate,,3.50781,-2.50048
Th(IV),replicate,90,-0.355279,-0.0441262
Tm(III),replicate,69,0.575529,-2.17319
U(IV),replicate,92,-0.347034,0.960441
U(VI),replicate,92,0.467217,-0.698675
Y(III),replicate,,-0.897489,-1.1311
Yb(III),replicate,70,0.527047,-2.31529
Zr(IV),replicate,,2.98007,-1.50797
Am(III),replicate,95,-0.0440744,-1.68545
Am(VI),replicate,95,-0.168526,1.10146
Ba(II),replicate,,-0.621529,3.77065
Bi(III),replicate,,-4.96341,0.379053
Ca(II),replicate,,0.302585,0.0400193
Cd(II),replicate,,-0.0169514,1.84896
Ce(III),replicate,58,-0.400516,-0.79495
Cf(III),replicate,98,-0.238206,-1.09253
Cm(III),replicate,96,-0.0673309,-1.36488
Dy(III),replicate,66,0.580085,-2.52779
Er(III),replicate,68,0.304411,-2.73498
Eu(III),replicate,63,0.0841825,-2.02987
Gd(III),replicate,64,0.343635,-2.26282
Hf(IV),replicate,,1.09345,-1.39853
Ho(III),replicate,67,0.263226,-2.70578
In(III),replicate,,-1.05943,-0.161027
La(III),replicate,57,-0.187974,-0.554697
Lu(III),replicate,71,0.34956,-2.84645
Nd(III),replicate,60,0.179431,-1.50891
Np(IV),replicate,93,0.705531,-2.32572
Np(V),replicate,93,1.57947,0.93842
Np(VI),replicate,93,1.7082,0.537539
Pa(V),replicate,91,1.35139,-0.891706
Pb(II),replicate,,-6.16711,3.27814
Pd(II),replicate,,2.94261,1.05281
Pd(IV),replicate,,2.10888,0.446337
Pm(III),replicate,61,-0.0318385,-1.97749
Pr(III),replicate,59,-0.115435,-1.20386
Pu(III),replicate,94,0.424412,-1.12505
Pu(IV),replicate,94,0.813372,-2.92347
Pu(VI),replicate,94,1.812,-0.0101635
Sm(III),replicate,62,0.438643,-1.95335
Sr(II),replicate,,-0.390587,1.56833
Sr(III),replicate,,0.302221,2.4349
Tb(III),replicate,65,0.285548,-2.45606
Tc(VII),replicate,,2.41227,-0.139029
Th(IV),replicate,90,-1.11846,-1.65675
Tm(III),replicate,69,0.324628,-2.76449
U(IV),replicate,92,0.460791,-0.445677
U(VI),replicate,92,1.75232,0.144749
Y(III),replicate,,-0.335491,-1.50341
Yb(III),replicate,70,0.362405,-2.82919
Zr(IV),replicate,,1.31757,-1.94309
Am(III),replicate,95,0.402918,-0.90978
Am(VI),replicate,95,1.14085,-0.391479
Ba(II),replicate,,-1.90932,2.38025
Bi(III),replicate,,-2.85561,-0.305065
Ca(II),replicate,,-1.61119,0.445516
Cd(II),replicate,,-0.645424,4.13195
Ce(III),replicate,58,-0.330186,-1.15531
Cf(III),replicate,98,0.533023,-2.10514
Cm(III),replicate,96,0.104604,-1.58234
Dy(III),replicate,66,-0.010053,-2.15665
Er(III),replicate,68,0.0620329,-2.5031
Eu(III),replicate,63,0.0273172,-1.97969
Gd(III),replicate,64,0.146932,-2.28611
Hf(IV),replicate,,2.71162,-1.57491
Ho(III),replicate,67,0.0311058,-2.57366
In(III),replicate,,-4.16557,2.39079
La(III),replicate,57,-0.260297,-0.955446
Lu(III),replicate,71,0.211723,-2.71239
Nd(III),replicate,60,-0.0550268,-1.65654
Np(IV),replicate,93,1.18609,-0.989455
Np(V),replicate,93,1.08657,1.28361
Np(VI),replicate,93,1.51856,-0.192187
Pa(V),replicate,91,1.77622,0.911997
Pb(II),replicate,,-3.71975,1.80049
Pd(II),replicate,,4.73141,-1.16917
Pd(IV),replicate,,1.17383,-0.0863591
Pm(III),replicate,61,-0.0649929,-2.38469
Pr(III),replicate,59,-0.072988,-1.46867
Pu(III),replicate,94,0.596099,-0.953226
Pu(IV),replicate,94,1.24813,-1.11103
Pu(VI),replicate,94,1.52177,-0.289688
Sm(III),replicate,62,-0.107089,-1.98425
Sr(II),replicate,,-1.68715,1.17875
Sr(III),replicate,,-1.75966,1.96015
Tb(III),replicate,65,0.247383,-2.11708
Tc(VII),replicate,,3.2911,-2.63065
Th(IV),replicate,90,0.641165,-1.28295
Tm(III),replicate,69,0.171657,-2.66272
U(IV),replicate,92,0.877045,0.406643
U(VI),replicate,92,2.22154,0.518395
Y(III),replicate,,-2.35187,-0.862505
Yb(III),replicate,70,0.298197,-2.6815
Zr(IV),replicate,,2.32324,-1.97058
Am(III),replicate,95,-0.25364,-1.07483
Am(VI),replicate,95,0.678344,-0.663533
Ba(II),replicate,,-1.54525,0.984026
Bi(III),replicate,,-4.40815,0.994926
Ca(II),replicate,,-0.736558,-0.579827
Cd(II),replicate,,-3.64278,4.16487
Ce(III),replicate,58,-0.624338,-0.914269
Cf(III),replicate,98,0.634605,-1.09836
Cm(III),replicate,96,0.080148,-1.86209
Dy(III),replicate,66,0.536983,-1.74542
Er(III),replicate,68,0.769752,-1.95835
Eu(III),replicate,63,-0.41735,-1.5531
Gd(III),replicate,64,0.184336,-1.74499
Hf(IV),replicate,,1.49476,-2.44562
Ho(III),replicate,67,0.690052,-1.94729
In(III),replicate,,-2.66776,-0.0776712
La(III),replicate,57,-0.504161,-1.03925
Lu(III),replicate,71,1.10152,-2.32589
Nd(III),replicate,60,-0.1706,-1.65811
Np(IV),replicate,93,0.386598,-0.965096
Np(V),replicate,93,1.65257,0.405753
Np(VI),replicate,93,1.43248,-0.24523
Pa(V),replicate,91,1.72485,0.852516
Pb(II),replicate,,-5.6593,2.591
Pd(II),replicate,,3.28019,0.554408
Pd(IV),replicate,,4.33968,-1.42473
Pm(III),replicate,61,-0.309981,-1.67557
Pr(III),replicate,59,-0.422452,-1.28733
Pu(III),replicate,94,0.189599,-0.304169
Pu(IV),replicate,94,0.395334,-0.510848
Pu(VI),replicate,94,1.42218,0.229731
Sm(III),replicate,62,0.0426761,-1.63355
Sr(II),replicate,,-1.22334,0.502661
Sr(III),replicate,,2.22765,1.42035
Tb(III),replicate,65,0.437204,-1.82165
Tc(VII),replicate,,2.11539,-1.05652
Th(IV),replicate,90,-0.638939,-1.44968
Tm(III),replicate,69,1.08645,-2.28733
U(IV),replicate,92,0.782748,-0.651041
U(VI),replicate,92,1.56441,-0.277441
Y(III),replicate,,0.329725,-1.40373
Yb(III),replicate,70,1.0804,-2.30433
Zr(IV),replicate,,1.23992,-2.98919
