feature_set,endpoint,comparison,reference,candidate,statistic,pooled_point_delta,pooled_ci95_low,pooled_ci95_high,pooled_p_worse_one_sided,pooled_units_improved,pooled_units_total,pooled_blocks,bootstrap_replicates,block_macro_delta,n_blocks_positive,largest_block_unit_share,cluster_robust_se,cluster_robust_low,cluster_robust_high,cluster_robust_p_two_sided,bca_low,bca_high,bca_z0,bca_acceleration,preregistered,question,mean_point_delta,min_point_delta,max_point_delta,seeds_positive,n_seeds
MC_lig2d_ext_massaction,nn<0.4,EXPANDED_ROWMATCHED_vs_BASE,BASE,EXPANDED_ROWMATCHED,shape_mae,0.06443023897602308,0.032075677401892454,0.1045462428625176,0.0001999600079984003,32,42,37,5000,0.0707636336927318,28,0.09523809523809523,0.018381997157284394,0.027149820815294913,0.10171065713675126,0.0012412679401919578,0.03461851972191778,0.10886870603004806,0.03359513724181849,0.02710305043750755,True,row-budget-matched depth control: help at BASE's row count?,0.07489227088323172,0.05511647681803249,0.10896238417596912,5,5
MC_lig2d_ext_massaction,nn<0.4,EXPANDED_vs_EXPANDED_SHUFFLED,EXPANDED_SHUFFLED,EXPANDED,mae,0.43608614185463535,0.21543170755731988,0.6902145321433465,0.0001999600079984003,29,42,37,5000,0.49531614361345944,27,0.09523809523809523,0.12158485215508105,0.1895006325888205,0.6826716511204503,0.0009873198567446708,0.2053082454374149,0.6846716852585866,-0.018048703440788155,-0.004251087987881164,True,A4 information null: is the gain information or just rows/regularisation?,0.5015851655070179,0.4148661716684952,0.6403810199128289,5,5
MC_lig2d_ext_massaction,nn<0.4,EXPANDED_vs_EXPANDED_SHUFFLED,EXPANDED_SHUFFLED,EXPANDED,offset_mae,0.4740630504485478,0.2383661493588705,0.7346849693957683,0.0001999600079984003,29,42,37,5000,0.5404627703448972,27,0.09523809523809523,0.12660516836348268,0.2172958679974487,0.7308302328996469,0.0006309959956829661,0.23199359184012722,0.7276868565087945,-0.018048703440788155,-0.007744243898424971,True,A4 information null: is the gain information or just rows/regularisation?,0.5338873668036977,0.41882165725087656,0.6666435130000457,5,5
MC_lig2d_ext_massaction,nn<0.4,EXPANDED_vs_EXPANDED_SHUFFLED,EXPANDED_SHUFFLED,EXPANDED,shape_mae,0.029263745943771378,-0.0005574927706568732,0.06048256446986338,0.028194361127774445,27,42,37,5000,0.030553166488645193,24,0.09523809523809523,0.015620060378265785,-0.0024152048043418854,0.06094269669188464,0.06913944619209311,-0.0014322504644888093,0.05899904010135227,-0.04714206696487159,0.004573021613432222,True,A4 information null: is the gain information or just rows/regularisation?,0.04123415382816415,0.005889666937582569,0.08731817354979049,5,5
MC_lig2d_ext_massaction,nn<0.4,EXPANDED_SHUFFLED_vs_BASE,BASE,EXPANDED_SHUFFLED,mae,-0.06487894173951655,-0.15939021128810832,0.01804916468241323,0.9306138772245551,18,42,37,5000,-0.07424760298935494,15,0.09523809523809523,0.045815538582151,-0.15779716068966537,0.02803927721063225,0.1653436818295492,-0.16119440972381743,0.016346284496910665,-0.010026681100274765,-0.009382020244008455,True,how much of the apparent gain survives destroying the new labels?,-0.08991785840028754,-0.1918512175326724,-0.014370101700539284,0,5
MC_lig2d_ext_massaction,nn<0.4,EXPANDED_SHUFFLED_vs_BASE,BASE,EXPANDED_SHUFFLED,offset_mae,-0.09572461478089636,-0.19667867969273511,-0.004956953766626337,0.9806038792241552,15,42,37,5000,-0.11259557725093365,12,0.09523809523809523,0.04875812790187368,-0.19461068147772387,0.003161451915931146,0.05737778540063295,-0.19247123725884968,-0.0005263391422947189,0.02908098644911963,0.007319417734512838,True,how much of the apparent gain survives destroying the new labels?,-0.12031930582362746,-0.18974485338266353,-0.06164447896119621,0,5
MC_lig2d_ext_massaction,nn<0.4,EXPANDED_SHUFFLED_vs_BASE,BASE,EXPANDED_SHUFFLED,shape_mae,0.03506563307878907,0.0032802375614213353,0.07312392144475091,0.014797040591881624,25,42,37,5000,0.04028632695228178,22,0.09523809523809523,0.01775110666277125,-0.0009352798547413999,0.07106654601231954,0.055927284468679866,0.007357005054159435,0.08134218958386628,0.08381942934025638,0.039197448689912005,True,how much of the apparent gain survives destroying the new labels?,0.033358325742092604,-0.038761941668686885,0.07616313136157558,4,5
MC_lig2d_ext_massaction,nn<0.4,EXPANDED_vs_EXPANDED_ROWMATCHED,EXPANDED_ROWMATCHED,EXPANDED,mae,-0.009898062799831067,-0.022754705761833294,0.003466480243319843,0.9294141171765646,19,42,37,5000,-0.008353394903021278,16,0.09523809523809523,0.006757831761040902,-0.023603580854033274,0.0038074552543711383,0.15168727245614472,-0.024136977583222877,0.0019978675966246706,-0.05366759628332598,-0.02426766643101695,False,derived (not pre-registered): needed to score A4's first clause,-0.006371233093550255,-0.02096312903193968,0.008251755380669286,2,5
MC_lig2d_ext_massaction,nn<0.4,EXPANDED_vs_EXPANDED_ROWMATCHED,EXPANDED_ROWMATCHED,EXPANDED,offset_mae,-0.007713639638858501,-0.021892570119460216,0.0069830297328549815,0.8478304339132173,21,42,37,5000,-0.0062692962836063655,18,0.09523809523809523,0.007428113269412118,-0.022778551599156496,0.007351272321439493,0.30599066392387725,-0.02318996070863579,0.0054407361864496125,-0.05617800870763592,-0.020388349966277346,False,derived (not pre-registered): needed to score A4's first clause,-0.005002320549878645,-0.03309447422694006,0.015670264590895676,3,5
MC_lig2d_ext_massaction,nn<0.4,EXPANDED_vs_EXPANDED_ROWMATCHED,EXPANDED_ROWMATCHED,EXPANDED,shape_mae,-0.00010085995346264294,-0.003720165174988351,0.003860921805453934,0.5250949810037993,16,42,37,5000,7.585974819519855e-05,15,0.09523809523809523,0.001967390951784806,-0.004090913740360627,0.0038891938334353407,0.9593970928925992,-0.0035595664355397797,0.004147717758363372,0.005013277548926657,0.024422179052577868,False,derived (not pre-registered): needed to score A4's first clause,-0.00029979131297496066,-0.006681633070286643,0.005371887383316898,3,5
MC_lig2d_ext_massaction,nn<0.6,EXPANDED_vs_BASE,BASE,EXPANDED,mae,0.20142300982171427,0.09481191172099596,0.3613814955037061,0.0001999600079984003,69,105,65,5000,0.30287058552317264,46,0.21904761904761905,0.06865364575514162,0.06427158581964587,0.33857443382378266,0.004641942388730649,0.07303914892994255,0.32770673899719516,-0.07929246436054652,-0.08040284986192142,True,"A1 primary: does adding 61 sparse, chemically distant extractants help?",0.24645513092221813,0.18929639096660897,0.3023816570256237,5,5
MC_lig2d_ext_massaction,nn<0.6,EXPANDED_vs_BASE,BASE,EXPANDED,offset_mae,0.20689805513292966,0.09958539405307633,0.3674205523702469,0.0001999600079984003,67,105,65,5000,0.3074771843822831,44,0.21904761904761905,0.06905969401699764,0.06893545647706734,0.344860653788792,0.003889175888393091,0.08202726802711964,0.34149286395842504,-0.05718227193180179,-0.06521989528868259,True,"A1 primary: does adding 61 sparse, chemically distant extractants help?",0.25150153616087645,0.18402760533032225,0.3105077371646109,5,5
MC_lig2d_ext_massaction,nn<0.6,EXPANDED_vs_BASE,BASE,EXPANDED,shape_mae,0.02622837457500163,0.001180866607792065,0.06162052581352187,0.020195960807838434,63,105,65,5000,0.04813968342610933,44,0.21904761904761905,0.016132235008579097,-0.005999469692058876,0.05845621884206213,0.10889907415462562,-0.005165193190837509,0.05575061128871275,-0.0687357011322444,-0.09224109962576739,True,"A1 primary: does adding 61 sparse, chemically distant extractants help?",0.042517269047283104,0.03437323685313416,0.058118514097001084,5,5
