grouping,extractant,n_rows,baseline_mae,baseline_rmse,baseline_sign_accuracy,baseline_r2,delta3d_mae,delta3d_rmse,delta3d_sign_accuracy,delta3d_r2,mae_reduction
extractant,CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,12,0.12765431228084603,0.15716223568632787,0.6666666666666666,-0.9461990519018029,0.13579895203049724,0.16491709876294008,0.5833333333333334,-1.1430003027974456,-0.008144639749651211
extractant,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,12,0.0647854347101752,0.07313666937056898,0.4166666666666667,-0.6046261165882887,0.05063454372471828,0.05729152212017259,0.4166666666666667,0.015344705736715647,0.014150890985456917
extractant,CCCCCCc1ccc(N(CC)C(=O)c2cccc(-c3cccc(C(=O)N(CC)c4ccc(CCCCCC)cc4)n3)n2)cc1,12,0.10538948789634454,0.11238640707830594,0.5,-0.6990518726002399,0.15855789943512413,0.1906138097968996,0.25,-3.887511440060752,-0.05316841153877959
extractant,CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,11,0.22864297929028546,0.2725085344910364,0.36363636363636365,-5.305112335818263,0.23605711267876553,0.27681995296479356,0.18181818181818182,-5.506199760484437,-0.007414133388480071
extractant,COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,11,0.0763652243089607,0.10588442626432999,0.18181818181818182,-7.2820080510652705,0.0763652243089607,0.10588442626432999,0.18181818181818182,-7.2820080510652705,0.0
extractant,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,11,0.24046482729857968,0.2829877390923457,0.8181818181818182,0.4045169256958546,0.27323127130690744,0.32180903479589684,0.7272727272727273,0.22992921299869418,-0.03276644400832776
extractant,CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,11,0.12252103630156058,0.2006760747472907,0.9090909090909091,0.019335780344686526,0.12589813567048388,0.1935144414278297,0.8181818181818182,0.08808177299529951,-0.003377099368923303
extractant,CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,10,0.3908170818117075,0.47994853251535863,0.7,0.009233908944640823,0.3996662908668994,0.48398482892101424,0.7,-0.0075005571409691996,-0.008849209055191931
extractant,CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,10,0.07028371241574574,0.09929218445957462,0.7,-0.9211541045741136,0.058423633874027825,0.06583456353626783,0.6,0.15542155466930274,0.011860078541717917
extractant,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,10,0.18304262759075865,0.2624937360753139,1.0,0.3603582580885295,0.18631448120330196,0.2895029576515439,0.9,0.22195463694270623,-0.003271853612543313
extractant,CCN(C(=O)c1cccc(C(=O)N(CC)c2ccc(C)cc2)n1)c1ccc(C)cc1,9,0.16840798164319407,0.18000023709482152,0.3333333333333333,-0.5092192173382324,0.16840798164319407,0.18000023709482152,0.3333333333333333,-0.5092192173382324,0.0
extractant,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC,8,0.08416598029756714,0.10277301209884854,0.875,0.3892679537278928,0.08021480592205671,0.09510172687393535,0.75,0.4770389492037713,0.00395117437551043
extractant,CCCCCCOP(=O)(O)OCCCCCC,8,0.3476071339804539,0.40459914364858507,0.5,-1.1113322881642564,0.3314978196001729,0.40095406121514954,0.5,-1.0734611589322434,0.016109314380281015
extractant,CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,8,0.19086806012852006,0.2504001874762778,0.75,-0.544314699745031,0.17558031226082008,0.23620909606226329,0.75,-0.37423100020947286,0.015287747867699986
extractant,CCCCN(CCCC)C(=O)CC(=O)N(CCCC)CCCC,5,0.1879810097201357,0.26126413242078755,0.6,0.47162079306246063,0.20352738890458166,0.27881935127135943,0.8,0.39822802304678095,-0.015546379184445958
extractant,CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,5,0.193787782655406,0.23260720530589565,1.0,0.5495548559594117,0.17183214799492225,0.21034300143017834,1.0,0.6316575979488748,0.021955634660483753
extractant,CCCCCCN(C)C(=O)CC(=O)N(C)CCCCCC,5,0.0923339039497035,0.11174591064620262,0.8,0.7562354681232291,0.09223672409790068,0.1113183467577184,0.8,0.7580972904853873,9.717985180282551e-05
extractant,CCN(C(=O)c1cccc(C(=O)N(CC)c2ccccc2C)n1)c1ccccc1C,5,0.12923919321167424,0.17019603214853668,0.6,-0.2680262127740458,0.1314168906432479,0.1683973862485033,0.8,-0.24136661740469778,-0.002177697431573672
extractant,CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,5,0.2131791921875244,0.2345035814966492,0.8,0.2677169022535174,0.21684227082548424,0.2314383276177867,0.8,0.286735490482556,-0.003663078637959838
extractant,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,5,0.23000330998355184,0.2585920855182737,0.8,0.027207292904806835,0.1973536802371659,0.24303303160004022,0.8,0.14074818668417033,0.03264962974638594
extractant,CCN(C(=O)c1cccc(C(=O)N(CC)c2cccc(C)c2)n1)c1cccc(C)c1,5,0.14370359510112884,0.1860127973896672,0.4,-3.103337797237555,0.14370359510112884,0.1860127973896672,0.4,-3.103337797237555,0.0
extractant,CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,4,0.13931352184854995,0.14198154057558043,0.5,-4.706047275571677,0.12674533458797205,0.1306882227821321,0.5,-3.8344213733980173,0.012568187260577901
extractant,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,4,0.27991596518147405,0.4432935449893792,0.75,-0.038021178945947476,0.2880217459163758,0.43087102357030366,0.75,0.019341094291360328,-0.008105780734901757
extractant,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,4,0.18927131109517703,0.22006825477012648,1.0,-0.8002430679607122,0.17946916964604404,0.20534324693764672,1.0,-0.5673904577057958,0.009802141449132995
extractant,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,4,0.128783693294451,0.1379380114978031,1.0,0.007533378017198666,0.128783693294451,0.1379380114978031,1.0,0.007533378017198666,0.0
extractant,c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,2,0.21423283730719264,0.22546320435857914,0.5,-20.12238956203253,0.26225768927162174,0.26422358680902097,0.5,-28.009140772157522,-0.0480248519644291
extractant,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,2,0.8722891718059351,1.1691481354161457,1.0,-0.6815617365483762,0.8722891718059351,1.1691481354161457,1.0,-0.6815617365483762,0.0
extractant,CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,2,0.06735936291298034,0.06794665340475324,0.5,-1.3230431176997062,0.10865460557911354,0.11288455274179454,0.5,-5.411950510060168,-0.0412952426661332
extractant,CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,2,0.25104239456892746,0.25717508522123617,0.0,-1.137206692519448,0.22249816848133458,0.2241391143252354,0.5,-0.6233944005335135,0.028544226087592883
extractant,CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,2,0.17859918789977608,0.17880395447465783,0.5,-0.22414638609178383,0.19623893555725008,0.19692026404279805,0.5,-0.4847725661788438,-0.017639747657474003
extractant,CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,2,0.012888464570861461,0.013382168714176393,1.0,0.8979484703417433,0.04539498036014491,0.0460423602101245,1.0,-0.20804099786311903,-0.032506515789283444
extractant,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,2,0.2794498600137428,0.3505508446960254,0.5,-0.4804549322446314,0.3051272040994666,0.3540033893653377,0.5,-0.5097602807674084,-0.025677344085723808
extractant,CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,2,0.08841610983055387,0.09898512759324311,0.5,-0.31761951953063994,0.014205118064457012,0.01564026913179898,1.0,0.9671043426392781,0.07421099176609686
extractant,CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,1,0.06108433988782554,0.06108433988782554,1.0,,0.05878970103480862,0.05878970103480862,1.0,,0.0022946388530169157
extractant,CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,1,0.04900858203483608,0.04900858203483608,0.0,,0.04900858203483608,0.04900858203483608,0.0,,0.0
extractant,CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,1,0.01648024542263156,0.01648024542263156,1.0,,0.01648024542263156,0.01648024542263156,1.0,,0.0
extractant,c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,1,0.17310536331380133,0.17310536331380133,0.0,,0.1529859998161861,0.1529859998161861,1.0,,0.020119363497615228
extractant,C1COCCOCCOCCOCCOCCO1,1,0.29154627991061316,0.29154627991061316,0.0,,0.25018875315032063,0.25018875315032063,1.0,,0.04135752676029253
