species,kind,canonical_smiles,charge,uhf,mode,energy_Eh,energy_eV,converged,xtb_version
lig_051,free_ligand,CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,0,0,opt,,,,
lig_052,free_ligand,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0,0,opt,,,,
lig_053,free_ligand,CCCCCCCCN(C)C(=O)COCC(=O)N(C)Cc1cccc(CN(C)C(=O)COCC(=O)N(C)CCCCCCCC)c1,0,0,opt,,,,
lig_054,free_ligand,CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0,0,opt,,,,
lig_055,free_ligand,CCCCCCCCN(C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(C)CCCCCCCC)c1,0,0,opt,,,,
lig_056,free_ligand,CCCCCCCCN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,0,0,opt,,,,
lig_057,free_ligand,CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,0,0,opt,,,,
lig_058,free_ligand,CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,0,0,opt,,,,
lig_059,free_ligand,CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,0,0,opt,,,,
lig_060,free_ligand,CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,0,0,opt,,,,
lig_061,free_ligand,CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,0,0,opt,,,,
lig_062,free_ligand,CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,0,0,opt,,,,
lig_063,free_ligand,CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,0,0,opt,,,,
lig_064,free_ligand,CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,0,0,opt,,,,
lig_065,free_ligand,CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,0,0,opt,,,,
lig_066,free_ligand,CCCCCCCCN(CCCCCCCC)C(=O)C1CCC(C(=O)N(CCCCCCCC)CCCCCCCC)O1,0,0,opt,,,,
lig_067,free_ligand,CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,0,0,opt,,,,
lig_068,free_ligand,CCCCCCCCN(CCCCCCCC)C(=O)CCOCCC(=O)N(CCCCCCCC)CCCCCCCC,0,0,opt,,,,
lig_069,free_ligand,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,0,0,opt,,,,
lig_070,free_ligand,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,0,0,opt,,,,
lig_071,free_ligand,CCCCCCCCN(CCCCCCCC)C(=O)CNCC(=O)N(CCCCCCCC)CCCCCCCC,0,0,opt,,,,
lig_072,free_ligand,CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(CCCC)CCCC,0,0,opt,,,,
lig_073,free_ligand,CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(OCCCC)OCCCC,0,0,opt,,,,
lig_074,free_ligand,CCCCCCCCN(CCCCCCCC)C(=O)CO,0,0,opt,,,,
lig_075,free_ligand,CCCCCCCCN(CCCCCCCC)C(=O)COC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,0,0,opt,,,,
lig_076,free_ligand,CCCCCCCCN(CCCCCCCC)C(=O)COC(C)C(=O)N(CCCCCCCC)CCCCCCCC,0,0,opt,,,,
