species,canonical_smiles,status,how
lig_079,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCC1,ok,ETKDGv3 + MMFF94s
lig_080,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCCC1,ok,ETKDGv3 + MMFF94s
lig_081,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCOCC1,ok,ETKDGv3 + MMFF94s
lig_082,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,ok,ETKDGv3 + MMFF94s
lig_083,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,ok,ETKDGv3 + MMFF94s
lig_084,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,ok,ETKDGv3 + MMFF94s
lig_085,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,ok,ETKDGv3 + MMFF94s
lig_086,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCOCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,ok,ETKDGv3 + MMFF94s
lig_087,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1ccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc1,ok,ETKDGv3 + MMFF94s
lig_088,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,ok,ETKDGv3 + MMFF94s
lig_089,CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,ok,ETKDGv3 + MMFF94s
lig_090,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(CCCC)CCCC,ok,ETKDGv3 + MMFF94s
lig_091,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(OCCCC)OCCCC,ok,ETKDGv3 + MMFF94s
lig_092,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,ok,ETKDGv3 + MMFF94s
lig_093,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC,ok,ETKDGv3 + MMFF94s
lig_094,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,ok,ETKDGv3 + MMFF94s
lig_095,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,ok,ETKDGv3+randomCoords + MMFF94s
lig_096,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc(C(=O)N(CCCCCCCC)CCCCCCCC)o1,ok,ETKDGv3 + MMFF94s
lig_097,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,ok,ETKDGv3 + MMFF94s
lig_098,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccccc2n1,ok,ETKDGv3 + MMFF94s
