extractant,n_reference,nn_tanimoto,nn_partner,mean_top5_tanimoto,n_above_0_5,n_above_0_7,n_above_0_8,supercluster_support,extractant_name,family,n_cells
Cc1cc(C)n(-c2cccc(-n3nc(C)cc3C)n2)n1,91,0.2127659574468085,CCN(C(=O)c1cccc(C(=O)N(CC)c2cccc(C)c2)n1)c1cccc(C)c1,0.19942302972565956,0,0,0,0,3-5-diMe-N-DPP,n_heterocyclic_polydentate,6
CCCCP(=S)(CCCC)CP(=S)(CCCC)CCCC,91,0.23333333333333334,CCCCCCOP(=O)(O)OCCCCCC,0.19905594405594407,0,0,0,0,TWE-23,sulfur_donor,6
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,91,0.23529411764705882,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,0.19388464476699774,0,0,0,0,2-[2-[bis(carboxymethyl)amino]ethyl-(2-hydroxyethyl)amino]acetic acid,hydroxyl_acid,8
S=P(COCP(=S)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,91,0.25,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.19418887555022007,0,0,0,0,TWE-30,sulfur_donor,6
CCCCP(=S)(CCCC)COCP(=S)(CCCC)CCCC,91,0.25,CCCCCCOP(=O)(O)OCCCCCC,0.23562770562770563,0,0,0,0,TWE-27,sulfur_donor,6
CCCCCCCCCCCCOCc1cc(-n2cccn2)nc(-n2cccn2)c1,91,0.25396825396825395,CCCCCCc1ccc(N(CC)C(=O)c2cccc(-c3cccc(C(=O)N(CC)c4ccc(CCCCCC)cc4)n3)n2)cc1,0.23317098477153464,0,0,0,0,N-DP(DOM)P,n_heterocyclic_polydentate,6
O=P(c1ccccc1)(c1ccccc1)c1ccc2ccc3ccc(P(=O)(c4ccccc4)c4ccccc4)nc3c2n1,91,0.2558139534883721,CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,0.23424089011881666,0,0,0,0,2-9-bis(diphenylphosphoryl)-1-10-phenanthroline,phosphoryl,3
CCCCCCCCn1cc(-c2cc(CC(=O)O)cc(-c3cn(CCCCCCCC)nn3)n2)nn1,91,0.2727272727272727,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,0.25840443234710153,0,0,0,0,EsPyTri,n_heterocyclic_polydentate,5
CC(C)(C)Cc1cc(-c2cccc(-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,91,0.28,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,0.2702124295685813,0,0,0,0,C5-BPP,n_heterocyclic_polydentate,7
O=C(c1ccccc1)c1ccc2ccccc2n1,91,0.3,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.2663509077510552,0,0,0,0,2PQM,other,6
