extractant_system_key,records,model_ready,metals,solvents,names,n_components,log_D_min,log_D_max
CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C,14,14,14,1,N-(3-7-dimethyloctyl)-2-[2-[3-7-dimethyloctyl(hexyl)amino]-2-oxoethoxy]-N-hexylacetamide,1,-1.28827,1.85607
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,13,13,13,1,DODDdDGA,1,-1.0969100130080565,3.5181373881309015
O=C(O)CSCC(=O)O,13,13,2,1,TDGA,1,-1.6003262785189618,2.4481842346284166
CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(CCCC)CCCC,12,12,2,1,TWE-34,1,-1.74472749489669,0.910997716310642
CCCCN(CCCC)C(=O)C(C)(C)C,12,12,4,1,DBPVA,1,-4.0,0.146128035678238
CCCCOP(=S)(CP(=S)(OCCCC)OCCCC)OCCCC,12,12,2,1,TWE-24,1,0.6334684555795859,2.70586371228391
CCCCOP(=S)(COCP(=S)(OCCCC)OCCCC)OCCCC,12,12,2,1,TWE-29,1,-3.85387196432176,-0.698970004336018
CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,12,12,2,1,CyMe4-BTPhen,1,-0.602059991327962,3.11859536522376
CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(OCCCC)OCCCC,12,12,2,1,TWE-33,1,-2.53760200210104,0.664641975556125
CCCCP(=S)(CCCC)COCP(=S)(CCCC)CCCC,12,12,2,1,TWE-27,1,-1.99999999999999,-1.99999999999999
CCCCP(=S)(CCCC)CP(=S)(CCCC)CCCC,12,12,2,1,TWE-23,1,-3.9999999999999902,-0.649751981665837
CCCCCCCCCCCCCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,12,12,2,1,DMDBTDMA,1,-0.7762445463427589,3.1641791032388493
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCCC1,12,12,1,1,DOpipDGA,1,-0.8613496932515357,3.460905349794238
Cc1cc(C)n(-c2cccc(-n3nc(C)cc3C)n2)n1,12,12,2,1,3-5-diMe-N-DPP,1,-2.9999999999999902,-2.9999999999999902
CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(OCCCC)OCCCC,12,12,2,1,TWE-35,1,-1.60205999132796,0.30963016742589794
O=C(c1ccccc1)c1ccc2ccccc2n1,12,12,2,3,2PQM,1,-2.9999999999999902,-2.9999999999999902
CCCCCCCCCCCCOCc1cc(-n2cccn2)nc(-n2cccn2)c1,12,12,2,2,N-DP(DOM)P,1,-2.52287874528033,-1.99999999999999
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCOCC1,12,12,1,2,DOmorDGA,1,-0.9815950920245453,3.51042944785276
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21|CCCCC(Br)C(=O)O,12,0,2,1,2-bromohexanoic acid + CyMe4-BTTP,2,-2.69897000433601,1.31929348410527
CCCCCCCCN(CCCCCCCC)C(=O)C(C)C,12,12,2,1,DOiBA,1,-2.9010125529211233,0.1883035851650658
CCCCCCCCCCCCOCc1cc(-n2cccn2)nc(-n2cccn2)c1|c1cc(-n2cccn2)nc(-n2cccn2)c1,12,0,2,1,2-bromodecanoic acid + N-DP(DOM)P,2,-3.9999999999999902,1.0211892990699303
S=P(COCP(=S)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,12,12,2,1,TWE-30,1,-3.52287874528033,-2.48148606012211
Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,12,12,2,1,3-5-diMe-N-DPPz,1,-2.9999999999999902,-2.69897000433601
CCOP(=S)(COCP(=S)(OCC)OCC)OCC,12,12,2,1,TWE-28,1,-1.99999999999999,-1.99999999999999
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21|CCCCCCCCC(Br)C(=O)O,12,0,2,1,2-bromohexanoic acid + CyMe4-hemi-BTBP,2,-3.69897000433601,0.12807601266871507
CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(CCCC)CCCC,12,12,2,1,TWE-36,1,-2.2839966563652,1.08350261983026
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,11,11,2,1,Et-Me-TDDGA-Anti,1,-2.999544230031383,2.1254857940509093
CCCCCCCCCCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,11,11,1,1,DEHDoDA,1,-1.6156975916729808,0.8067164667100035
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,11,11,2,1,p-TODGA-Anti,1,-2.8486730602897685,1.3208821405996027
CCCCCCCCCCCC(=O)N(CCCCCCCC)CCCCCCCC,11,0,1,1,DODoDA,1,-0.4563268683230601,0.7194451609763224
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|O=C(COCC(=O)N(CCOCCOCCO)CCOCCOCCO)N(CCOCCOCCO)CCOCCOCCO,10,0,2,1,TODGA + TWE-20 + TWE-21 + TWE-22 + TWE-23 + TWE-24 + TWE-25 + TWE-26 + TWE-27 + TWE-28 + TWE-29,2,1.12057393120584,3.23779499327392
CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,10,10,2,1,Cy5-O-Me4-BTBP,1,-2.52287874528033,-0.9208187539523748
CCCCCCCCCCCC(=O)N(CCCC)CCCC,10,0,1,1,DBDoDA,1,-0.5385287031854444,0.6548599518166115
CCCCCCCCN(CCCCCCCC)C(=O)C1CCC(C(=O)N(CCCCCCCC)CCCCCCCC)O1,10,10,2,1,LLL14,1,-3.116525194148459,1.1798085605923747
CCCCCCCCn1cc(-c2cc(CC(=O)O)cc(-c3cn(CCCCCCCC)nn3)n2)nn1,10,10,2,1,EsPyTri,1,-3.30102999566398,-2.29242982390206
CCCCCCCCN(CCCCCCCC)C(=O)CCC,10,10,2,1,DOBA,1,-1.3990775960216102,0.967647218941353
CCCCCCCCCCCCNC(=O)c1cc(=O)cc(C(=O)NCCCCCCCCCCCC)o1,10,6,2,3,DO-PyranDGA,1,-4.0,-2.9208187539523753
CCCCCCOP(=O)(O)OCCCCCC,10,10,10,1,dihexyl hydrogen phosphate,1,-0.744727495,1.954242509
CCCCN(CCCC)C(=O)CC(=O)N(CCCC)CCCC,9,9,9,1,N-N-N-N-tetrabutylpropanediamide,1,-0.04575749099999999,0.740362689
CCCCCCN(CCCCCC)C(=O)COCC(=O)N1CCCCC1,9,8,1,1,DHpipDGA,1,0.00860017176191757,3.5596707818930042
CCCCCCN(CCCCCC)C(=O)COCC(=O)N1CCOCC1,9,8,1,2,DHmorDGA,1,-1.3979400086720375,3.3010299956639813
CCCCN(CCCC)C(=O)C(C)C,9,9,4,1,DBiBA,1,-2.3979400086720375,0.5185139398778874
CCCCN(C)C(=O)CC(=O)N(C)CCCC,9,9,3,1,N-N-dibutyl-N-N-dimethylpropanediamide,1,-1.522878745,-0.698970004
CCCCCCN(C)C(=O)CC(=O)N(C)CCCCCC,9,9,9,1,N-N-dihexyl-N-N-dimethylpropanediamide,1,0.17609125900000008,0.653212514
CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,9,9,9,1,N-N-N-N-tetraoctylpropanediamide,1,-0.22184875,0.5910646070000001
CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,9,9,9,1,2-hexyl-N-N-dimethyl-N-N-dioctylpropanediamide,1,0.11394335200000003,0.770852012
CCCC(=O)N(CC(C)C)CC(C)C,9,9,4,1,DiBBA,1,-1.5528419686577808,0.8512583487190752
CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,9,9,9,1,N-N-N-N-tetrahexylpropanediamide,1,-0.06550154899999999,0.77815125
CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,9,9,9,1,N-N-dimethyl-N-N-dioctylpropanediamide,1,-0.744727495,0.568201724
CCCCCCCCCCCCOCc1cc(-n2ccc(C)n2)nc(-n2ccc(C)n2)c1|c1cc(-n2cccn2)nc(-n2cccn2)c1,8,0,2,1,2-bromodecanoic acid + 3-Me-N-DP(DOM)P,2,-3.9999999999999902,-1.27572413039921
CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,8,8,8,1,DIBDODGA,1,-0.05551732784983137,0.6766936096248666
CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,8,8,8,1,D2EHDODGA,1,-0.28399665636520083,0.5314789170422551
O=C(COCC(=O)N(c1ccccc1)c1ccccc1)N(c1ccccc1)c1ccccc1,8,8,3,3,TPhDGA,1,-3.0,1.5739700374531844
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|O=C(COCC(=O)N(CCOCCO)CCOCCO)N(CCOCCO)CCOCCO,8,0,2,1,TODGA + TWE-19 + TWE-20 + TWE-21 + TWE-22 + TWE-23 + TWE-24 + TWE-25 + TWE-26,2,-0.267606240177031,2.14643813528577
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,8,8,8,1,2-[2-[bis(carboxymethyl)amino]ethyl-(2-hydroxyethyl)amino]acetic acid,1,0.330413773,1.645520515
O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,8,8,8,1,2-[[2-[bis(carboxymethyl)amino]cyclohexyl]-(carboxymethyl)amino]acetic acid,1,0.523746467,1.72932681
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc(C(=O)N(CCCCCCCC)CCCCCCCC)s1,8,8,2,2,T8-THP-CAM,1,-2.9999999999999902,-2.69897000433601
CCCCCCCCN(CCCCCCCC)C(=S)c1ccc(C(=S)N(CCCCCCCC)CCCCCCCC)s1,8,8,2,2,T8-THP-TAM,1,-2.9999999999999902,-2.69897000433601
CC(C)CN(CC(C)C)C(=O)C(C)C,7,7,4,1,DiBiBA,1,-3.0,0.4913616938342727
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,7,7,7,1,DMDOaDGA,1,0.5670263661590603,3.5925298252093434
CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,6,6,2,3,DPhen-PyranDGA,1,-3.3979400086720375,-2.769551078621726
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,6,6,1,1,TOE-BisDGA,1,-1.8058321852407855,0.36311210334451877
CCCCCCOCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,6,6,3,1,N-N-dibutyl-2-(2-hexoxyethyl)-N-N-dimethylpropanediamide,1,-0.795880017,0.903089987
CCN(CC)C(=O)COc1c2cc(OC)cc1Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)C2,6,1,1,1,CA12,1,-3.0,-3.0
S=P(S)(c1ccccc1Cl)c1ccccc1Cl,6,1,1,1,(ClPh)2PSSH,1,-2.6989700043360187,-2.6989700043360187
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)C(C)C)C(C)C,6,6,1,1,TOi-PE-BisDGA,1,0.2040141695340563,0.9281256537340521
CCCCCCCCC(Br)C(=O)O|c1cc(-n2cccn2)nc(-n2cccn2)c1,6,0,2,1,2-bromodecanoic acid + N-DPP,2,-2.9999999999999902,-2.9999999999999902
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,6,6,1,1,TOEE-BisDGA,1,0.16577952623032388,0.9847198860448613
CCCCCCCCC(Br)C(=O)O|Cc1ccn(-c2cccc(-n3ccc(C)n3)n2)n1,6,0,2,1,2-bromodecanoic acid + 3-Me-N-DPP,2,-2.9999999999999902,-2.9999999999999902
CCCCCCCCC(Br)C(=O)O|Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,6,0,2,1,2-bromodecanoic acid + 3-5-diMe-N-DPPz,2,-2.9999999999999902,-2.9999999999999902
CCCCCCCCOc1cc(C(=O)N(C)c2ccc(C(C)(C)C)cc2)nc(C(=O)N(C)c2ccc(C(C)(C)C)cc2)c1,6,6,2,2,CHELI2,1,-2.85387196432176,-1.19449914184159
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,6,6,1,1,THEE-BisDGA,1,0.1347186462049903,1.0845117318813389
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCCCC)CCCCCC)C(C)C)C(C)C,6,6,1,1,THi-PE-BisDGA,1,0.10126397897868235,1.0722932476504992
CCCCCCN(CCCCCC)C(=O)COCC(=O)NCCNC(=O)COCC(=O)N(CCCCCC)CCCCCC,6,6,1,1,THE-BisDGA,1,-1.306809089072954,0.3877721375435409
CCCCN(CCCC)C(=O)COCC(=O)NCCNC(=O)COCC(=O)N(CCCC)CCCC,6,6,1,1,TBE-BisDGA,1,-0.6618488180288322,0.5466164854650487
c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,5,5,5,1,3-10-13-16-23-pentaoxa-29-azatetracyclo[23.3.1.04-9.017-22]nonacosa-1(29)-4-6-8-17-19-21-25-27-nonaene,1,-1.823908741,-1.022276395
CCCN(CCC)C(=O)CC(=O)N(CCC)CCC,5,0,1,1,TPDGA,1,-1.9355420107730816,0.7331892374079416
CCCCN(CCCC)C(C)=O,5,5,3,1,DBAA,1,-0.13076828026902382,1.5797835966168101
c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,5,5,5,1,2-5-8-15-18-21-hexaoxatricyclo[20.4.0.09-14]hexacosa-1(26)-9-11-13-22-24-hexaene,1,-1.15490196,-0.49485002199999994
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,5,5,5,1,2-5-8-15-18-21-hexaoxatricyclo[20.4.0.09-14]hexacosane,1,-1.397940009,-0.744727495
CCCCCCCCCC(=O)N(CC)CC,5,5,3,1,DEDA,1,-0.46852108295774486,1.2041199826559248
CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,5,5,5,1,N-N-N-N-tetrabutylbutanediamide,1,-1.397940009,-1.22184875
CCCCN(CCCC)C(=O)CC,5,5,3,1,DBPA,1,-0.958607314841775,0.8573324964312685
CCCCCC(=O)N(C(C)CC)C(C)CC,5,5,3,1,DsBHA,1,-1.0362121726544447,0.7403626894942439
CCCCCCCCCC(=O)N(C)C,5,5,3,1,DMDA,1,-0.2006594505464183,1.591064607026499
CCCCCCN(C=O)CCCCCC,5,5,3,1,DHFA,1,-1.0,0.6127838567197355
C1COCCOCCOCCOCCOCCO1,5,5,5,1,1-4-7-10-13-16-hexaoxacyclooctadecane,1,-1.096910013,-0.36653154400000004
CCCCCCCCN(CCCCCCCC)C(=O)CCOCCC(=O)N(CCCCCCCC)CCCCCCCC,4,4,2,1,TWE-1,1,-2.69897000433601,-2.52287874528033
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)C(C)=O,4,4,2,1,TWE-10,1,-2.39794000867203,-1.99999999999999
CCCCCCCCN(CCCCCCCC)C(=O)CNCC(=O)N(CCCCCCCC)CCCCCCCC,4,4,2,1,TWE-6,1,-1.39794000867203,-1.22184874961635
CCCCC(CC)CN(CC(CC)CCCC)C(C)=O|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,4,4,1,1,D2EHAA + TODGA,2,-0.36615384615384683,0.32769230769230706
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCOCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,4,4,2,1,TWE-2,1,-2.9999999999999902,-2.9999999999999902
CCCCCCCCCCCCNC(=O)c1cc(OC)ccn1,4,4,2,2,NDMPIC,1,-3.9999999999999902,-2.52287874528033
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc(C(=O)N(CCCCCCCC)CCCCCCCC)o1,4,4,2,1,TWE-16,1,-2.9999999999999902,-2.9999999999999902
CCCCCCCCNC(=O)c1cc(OC)ccn1,4,4,2,2,NOMPIC,1,-2.9999999999999902,-2.49485002168009
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21,4,4,2,1,CyMe4-hemi-BTBP,1,-2.69897000433601,-2.69897000433601
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)Cc1ccccc1,4,4,2,1,TWE-7,1,-1.92081875395237,-1.09691001300805
CCCCCCCCN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,4,4,2,1,TWE-8,1,-1.22184874961635,-1.09691001300805
c1cc(-n2cccn2)nc(-n2cccn2)c1,4,4,2,2,N-DPP,1,-2.9999999999999902,-2.9999999999999902
CCCCN(CCCC)C(=O)C(Cc1ccccc1CC(C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC,4,4,4,1,N-N-N-N-tetrabutyl-2-[[2-[3-(dibutylamino)-2-(dibutylcarbamoyl)-3-oxopropyl]phenyl]methyl]propanediamide,1,1.672097858,1.763427994
CCCCCCCCCCCCOCc1cc(-n2ccc(C)n2)nc(-n2ccc(C)n2)c1,4,4,2,1,3-Me-N-DP(DOM)P,1,-1.99999999999999,-1.99999999999999
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,4,4,2,1,TWE-9,1,-1.99999999999999,-1.99999999999999
CCCCCC(=O)N(CCCC)CCCC,3,2,2,1,DBHA,1,-0.8239087409443188,0.38560627359831223
O=P(c1ccccc1)(c1ccccc1)c1ccc2ccc3ccc(P(=O)(c4ccccc4)c4ccccc4)nc3c2n1,3,3,1,1,2-9-bis(diphenylphosphoryl)-1-10-phenanthroline,1,1.698970004,2.602059991
CCOP(=O)(OCC)c1ccc2ccc3ccc(P(=O)(OCC)OCC)nc3c2n1,3,3,1,1,2-9-bis(diethoxyphosphoryl)-1-10-phenanthroline,1,0.301029996,0.77815125
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,3,3,3,1,2-(3-4-dihydroxyphenyl)-3-5-7-trihydroxychromen-4-one,1,0.3222192949999999,0.785329835
CCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1,3,3,3,1,2-N-9-N-diethyl-2-N-9-N-bis(4-methylphenyl)-1-10-phenanthroline-2-9-dicarboxamide,1,-1.15490196,-0.09691001299999998
CCCCN(CCCC)C(=O)c1ccccc1C(=O)O,3,3,3,1,2-(dibutylcarbamoyl)benzoic acid,1,-1.0,3.0
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCC(C)C)CCC(C)C)c1,2,2,2,1,L1f,1,1.9138138523837167,2.399673721481038
CCCCCC(C)Oc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,2,2,2,1,L2c,1,1.9444826721501687,2.525044807036845
CC(C)(C)c1ccc(NCC(=O)c2cccc(C(=O)CNc3ccc(C(C)(C)C)cc3)n2)cc1,2,2,2,1,TBADIPIC,1,-2.82390874094431,-2.72124639904717
CC(C)(C)c1ccc(NC(=O)c2cnccn2)cc1,2,2,2,1,TBAPYR,1,-2.79588001734407,-2.69897000433601
Cc1ccn(-c2cncc(-n3ccc(C)n3)n2)n1,2,2,2,1,3-Me-N-DPPz,1,-2.9999999999999902,-2.9999999999999902
CCCCN(CCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,2,2,2,1,L1c,1,1.99563519459755,2.2624510897304293
CCCCCCCCCCCCNCC(=O)c1cccc(C(=O)CNCCCCCCCCCCCC)n1,2,2,2,1,NDDIPIC,1,-2.9999999999999902,-2.9999999999999902
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,2,2,2,1,L5b,1,0.9395192526186185,1.6334684555795864
CCCCN(CCCC)C(=O)COCC(=O)NCCCCCCNC(=O)COCC(=O)N(CCCC)CCCC,2,2,2,1,L6a,1,2.0644579892269186,2.3096301674258988
CCCCCCOc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,2,2,2,1,L2a,1,2.0170333392987803,2.5185139398778875
CCCCCCCCOc1cc(C(=O)Nc2ccc(C(C)(C)C)cc2)nc(C(=O)Nc2ccc(C(C)(C)C)cc2)c1,2,2,2,1,CHELI1,1,-2.76955107862172,-2.67778070526608
CCCCCCCCNC(=O)c1cnccn1,2,2,2,1,OPYR,1,-2.9999999999999902,-2.9999999999999902
CCCCCCCCNC(=O)c1cc(Cl)ccn1,2,2,2,1,NOCPIC,1,-2.9999999999999902,-2.9999999999999902
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccccc2n1,2,2,2,1,2DOQA,1,-2.09691001300805,-2.04575749056067
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCOCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,2,2,2,1,L8,1,1.1139433523068367,1.7993405494535817
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|O=P(O)(O)c1ccccn1,2,0,2,1,PPA + TODGA,2,1.27875360095282,2.04139268515822
CCCCCCCCCCCCOc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,2,2,2,1,L2b,1,1.6127838567197355,2.4409090820652177
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,2,2,2,1,L6b,1,1.7403626894942439,2.462397997898956
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|O=P(O)(O)c1cccc(P(=O)(O)O)n1,2,0,2,1,PPPA + TODGA,2,-2.69897000433601,-1.52287874528033
CCCCN(CCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCC)CCCC,2,2,2,1,L5a,1,0.38021124171160603,1.0413926851582251
CCCCCCCCN(C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(C)CCCCCCCC)c1,2,2,2,1,L1d,1,1.919078092376074,2.4913616938342726
CCCCCCCCN(C)C(=O)COCC(=O)N(C)Cc1cccc(CN(C)C(=O)COCC(=O)N(C)CCCCCCCC)c1,2,2,2,1,L4,1,2.7481880270062002,2.9242792860618816
O=C(c1ccc2ccc3ccc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,1,1,1,1,[9-(pyrrolidine-1-carbonyl)-1-10-phenanthrolin-2-yl]-pyrrolidin-1-ylmethanone,1,-1.522878745,-1.522878745
O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCc5ccccc54)nc3c2n1)N1CCc2ccccc21,1,1,1,1,[4-7-dichloro-9-(2-3-dihydroindole-1-carbonyl)-1-10-phenanthrolin-2-yl]-(2-3-dihydroindol-1-yl)methanone,1,-1.522878745,-1.522878745
O=C(c1cccc(C(=O)N2CCCC2)n1)N1CCCC1,1,1,1,1,[6-(pyrrolidine-1-carbonyl)-2-pyridinyl]-pyrrolidin-1-ylmethanone,1,-2.045757491,-2.045757491
