comparison,reference,candidate,outer_fold,delta_mae,delta_rmse,delta_r2,delta_spearman
E3_SHUFFLED_s2017_vs_E3,E3_SHUFFLED_s2017,E3,0,0.006547432632025341,0.013284428455386799,0.055895153207522474,0.014102055885814258
E3_SHUFFLED_s2017_vs_E3,E3_SHUFFLED_s2017,E3,1,0.004925519078386453,0.010504640490843986,0.024982824847743168,0.0003554530811650247
E3_SHUFFLED_s2017_vs_E3,E3_SHUFFLED_s2017,E3,2,0.0037976725552881785,0.007992738821860912,0.011435656081033918,0.00871846778712193
E3_SHUFFLED_s2017_vs_E3,E3_SHUFFLED_s2017,E3,3,0.02919735546484603,0.0460032760166067,0.12385456380816962,0.006220243122365909
E3_SHUFFLED_s2017_vs_E3,E3_SHUFFLED_s2017,E3,4,0.0030636402127889872,0.004718845507936331,0.0069363403779680866,0.0021527281479812865
A2_vs_E3_SHUFFLED_s3019,A2,E3_SHUFFLED_s3019,0,0.002722066565349457,0.015528052415381133,0.06581083906813179,-0.0033669717916575137
A2_vs_E3_SHUFFLED_s3019,A2,E3_SHUFFLED_s3019,1,-0.006203707473879938,-0.002310961069942441,-0.005550927105852255,-0.01990568091216316
A2_vs_E3_SHUFFLED_s3019,A2,E3_SHUFFLED_s3019,2,-0.009359323223086746,0.005691240005896603,0.008029146227644501,0.007159133157478403
A2_vs_E3_SHUFFLED_s3019,A2,E3_SHUFFLED_s3019,3,0.005461333494710008,0.005823414011922545,0.016152912206069958,0.010003690295674716
A2_vs_E3_SHUFFLED_s3019,A2,E3_SHUFFLED_s3019,4,0.0025209832821305733,0.008930968982407916,0.013284931025780433,0.01448372432991396
E3_SHUFFLED_s3019_vs_E3,E3_SHUFFLED_s3019,E3,0,0.002093277317680442,0.0030678747267927076,0.012793757873380107,0.013479470225678802
E3_SHUFFLED_s3019_vs_E3,E3_SHUFFLED_s3019,E3,1,0.0065000878574515975,0.010000311048593724,0.023766735781424853,0.0058789278222796115
E3_SHUFFLED_s3019_vs_E3,E3_SHUFFLED_s3019,E3,2,-0.003164110153886679,-0.007528588204934739,-0.010637169059277252,-0.00026038308645970343
E3_SHUFFLED_s3019_vs_E3,E3_SHUFFLED_s3019,E3,3,0.02894487796342693,0.04136190813880858,0.11099090470018358,0.007956919223572001
E3_SHUFFLED_s3019_vs_E3,E3_SHUFFLED_s3019,E3,4,0.0013789196701379791,0.003101980610840549,0.004551203535733239,-0.001896528489938043
A2_vs_E2_SHUFFLED_s1009,A2,E2_SHUFFLED_s1009,0,0.0029777619434909752,0.007188150716586517,0.030683820336952605,-0.0013177483653447064
A2_vs_E2_SHUFFLED_s1009,A2,E2_SHUFFLED_s1009,1,-0.005458179894725024,-0.002441578515896492,-0.00586572357725168,-0.02007051861787701
A2_vs_E2_SHUFFLED_s1009,A2,E2_SHUFFLED_s1009,2,-0.019786604447795564,-0.01467671130645154,-0.02104958582218952,-0.00792441111447495
A2_vs_E2_SHUFFLED_s1009,A2,E2_SHUFFLED_s1009,3,0.006686782084078469,0.00942817102209137,0.026086644443386264,0.007205619775386696
A2_vs_E2_SHUFFLED_s1009,A2,E2_SHUFFLED_s1009,4,0.0014240064346314196,0.009616911308911902,0.014294139273391071,0.00609879905923949
E2_SHUFFLED_s1009_vs_E2,E2_SHUFFLED_s1009,E2,0,-0.0006465976494228753,-0.00023198139347846425,-0.000984354296893919,0.0027914688699120505
E2_SHUFFLED_s1009_vs_E2,E2_SHUFFLED_s1009,E2,1,-0.0016380323907387306,-0.007403717717890668,-0.01802769881923072,-0.0016940304429278186
E2_SHUFFLED_s1009_vs_E2,E2_SHUFFLED_s1009,E2,2,0.011204414848458799,0.00159446453086165,0.002310799285263787,0.0065128027455482185
E2_SHUFFLED_s1009_vs_E2,E2_SHUFFLED_s1009,E2,3,0.0001086003462570373,0.0022546112082011405,0.006187793197751867,-0.008161781538309154
E2_SHUFFLED_s1009_vs_E2,E2_SHUFFLED_s1009,E2,4,-0.0006851713263156256,-0.004039715629372331,-0.005966402515679037,-0.010345603347227006
A2_vs_E2_SHUFFLED_s2017,A2,E2_SHUFFLED_s2017,0,-0.001304929033585811,0.003316295099585864,0.014203081004157792,-0.0010224098918060753
A2_vs_E2_SHUFFLED_s2017,A2,E2_SHUFFLED_s2017,1,-0.003592379597074591,-0.0012059279613125806,-0.002892236378884916,-0.018767151880046407
A2_vs_E2_SHUFFLED_s2017,A2,E2_SHUFFLED_s2017,2,-0.015670796270341125,-0.016135862038131887,-0.02316940452304772,-0.0031413891518773385
A2_vs_E2_SHUFFLED_s2017,A2,E2_SHUFFLED_s2017,3,0.00045468942939108636,0.0008746971534907555,0.0024345149569577895,0.0027134743209886736
A2_vs_E2_SHUFFLED_s2017,A2,E2_SHUFFLED_s2017,4,-0.00037480979322185304,0.005427478896529725,0.008105555409589016,0.00443117419839234
E2_SHUFFLED_s2017_vs_E2,E2_SHUFFLED_s2017,E2,0,0.003636093327653911,0.003639874223522188,0.015496385035900895,0.0024961303963734194
E2_SHUFFLED_s2017_vs_E2,E2_SHUFFLED_s2017,E2,1,-0.0035038326883891635,-0.008639368272474579,-0.021001186017597484,-0.002997397180758421
E2_SHUFFLED_s2017_vs_E2,E2_SHUFFLED_s2017,E2,2,0.0070886066710043605,0.0030536152625419977,0.004430617986121987,0.0017297807829506073
E2_SHUFFLED_s2017_vs_E2,E2_SHUFFLED_s2017,E2,3,0.0063406930009444196,0.010808085076801754,0.029839922684180342,-0.003669636083911132
E2_SHUFFLED_s2017_vs_E2,E2_SHUFFLED_s2017,E2,4,0.001113644901537647,0.0001497167830098456,0.00022218134812301837,-0.008677978486379856
A2_vs_E2_SHUFFLED_s3019,A2,E2_SHUFFLED_s3019,0,0.0030200952620729193,0.006203267300008086,0.026502007216949508,0.004455398672482402
A2_vs_E2_SHUFFLED_s3019,A2,E2_SHUFFLED_s3019,1,-0.006223823509567572,-0.005522577085470826,-0.013323814377535381,-0.020094352360356615
A2_vs_E2_SHUFFLED_s3019,A2,E2_SHUFFLED_s3019,2,-0.0061392013123088285,0.0018334403078275052,0.0025947349756396676,0.0030411669399963426
A2_vs_E2_SHUFFLED_s3019,A2,E2_SHUFFLED_s3019,3,0.0075734441505969086,0.008649607943769677,0.023945350431740287,0.009444913461802207
A2_vs_E2_SHUFFLED_s3019,A2,E2_SHUFFLED_s3019,4,0.00515095758616696,0.013725385849810978,0.020305562265465094,0.013541446837347926
E2_SHUFFLED_s3019_vs_E2,E2_SHUFFLED_s3019,E2,0,-0.0006889309680048195,0.0007529020230999661,0.0031974588231091783,-0.0029816781679150584
E2_SHUFFLED_s3019_vs_E2,E2_SHUFFLED_s3019,E2,1,-0.0008723887758961824,-0.004322719148316334,-0.010569608018947019,-0.0016701967004482121
E2_SHUFFLED_s3019_vs_E2,E2_SHUFFLED_s3019,E2,2,-0.0024429882870279362,-0.014915687083417395,-0.0213335215125654,-0.004452775308923074
E2_SHUFFLED_s3019_vs_E2,E2_SHUFFLED_s3019,E2,3,-0.0007780617202614026,0.003033174286522833,0.008329087209397845,-0.010401075224724665
E2_SHUFFLED_s3019_vs_E2,E2_SHUFFLED_s3019,E2,4,-0.004412122477851166,-0.008148190170271408,-0.01197782550775306,-0.01778825112533544
A2_vs_E4_SHUFFLED_s1009,A2,E4_SHUFFLED_s1009,0,0.0018813787154133843,0.0009616013506920096,0.004126635827015335,-0.0025667155125304597
A2_vs_E4_SHUFFLED_s1009,A2,E4_SHUFFLED_s1009,1,-0.01319836510772432,-0.010211676061654407,-0.0247949434467577,-0.01624736303082608
A2_vs_E4_SHUFFLED_s1009,A2,E4_SHUFFLED_s1009,2,-0.0038543825377452268,0.004185400413771467,0.0059119712866008145,0.0040597767177879
A2_vs_E4_SHUFFLED_s1009,A2,E4_SHUFFLED_s1009,3,0.004429748627024277,0.007613441420054934,0.021091964060355517,-0.002393540579904152
A2_vs_E4_SHUFFLED_s1009,A2,E4_SHUFFLED_s1009,4,0.0012450494847790483,0.0029231603977127874,0.004377895247887009,0.005640818832970296
E4_SHUFFLED_s1009_vs_E4,E4_SHUFFLED_s1009,E4,0,-0.0021875792367860303,0.0002452940589692254,0.0010515781337516739,0.0022603287256204307
E4_SHUFFLED_s1009_vs_E4,E4_SHUFFLED_s1009,E4,1,0.0020797327749523253,-0.00047709901051201653,-0.0011752880382313036,-0.00016949565359103413
E4_SHUFFLED_s1009_vs_E4,E4_SHUFFLED_s1009,E4,2,0.003769250532450752,0.0025157604805652323,0.003534177640356906,0.0008100123609955379
E4_SHUFFLED_s1009_vs_E4,E4_SHUFFLED_s1009,E4,3,-0.0021940126465394005,-0.003940690390027646,-0.010889404221843257,0.0041771513456189124
E4_SHUFFLED_s1009_vs_E4,E4_SHUFFLED_s1009,E4,4,-0.0008712126033086909,-0.002322951931556849,-0.0034766336127505237,0.0025002769374431466
A2_vs_E4_SHUFFLED_s2017,A2,E4_SHUFFLED_s2017,0,0.0037065936853241666,0.0049090593077250055,0.020996023697769095,0.0022044309739042145
A2_vs_E4_SHUFFLED_s2017,A2,E4_SHUFFLED_s2017,1,-0.00501001554385383,-0.003697046796339143,-0.00889723137764209,-0.004299571888106368
A2_vs_E4_SHUFFLED_s2017,A2,E4_SHUFFLED_s2017,2,-0.007415374675431574,-0.002976495531643031,-0.0042288846733736785,0.0004922124902091429
A2_vs_E4_SHUFFLED_s2017,A2,E4_SHUFFLED_s2017,3,-0.0017930942738075828,-0.0004306139844871826,-0.0011995899326648907,-0.00893298995913483
A2_vs_E4_SHUFFLED_s2017,A2,E4_SHUFFLED_s2017,4,0.0016450338906376927,0.0021504962097095848,0.003223514328670962,0.005398088544900426
E4_SHUFFLED_s2017_vs_E4,E4_SHUFFLED_s2017,E4,0,-0.0040127942066968125,-0.0037021638980637706,-0.015817809737002086,-0.0025108177608142435
E4_SHUFFLED_s2017_vs_E4,E4_SHUFFLED_s2017,E4,1,-0.006108616788918164,-0.00699172827582728,-0.017073000107346914,-0.012117286796310744
E4_SHUFFLED_s2017_vs_E4,E4_SHUFFLED_s2017,E4,2,0.007330242670137099,0.00967765642597973,0.013675033600331399,0.0043775765885742945
E4_SHUFFLED_s2017_vs_E4,E4_SHUFFLED_s2017,E4,3,0.004028830254292459,0.004103365014514471,0.01140214977117715,0.01071660072484959
E4_SHUFFLED_s2017_vs_E4,E4_SHUFFLED_s2017,E4,4,-0.0012711970091673352,-0.0015502877435536466,-0.0023222526935344767,0.0027430072255130167
A2_vs_E4_SHUFFLED_s3019,A2,E4_SHUFFLED_s3019,0,-0.0017667020260180855,-0.00244489748480492,-0.010522518502103395,-0.0009499738390855716
A2_vs_E4_SHUFFLED_s3019,A2,E4_SHUFFLED_s3019,1,-0.011399991530120168,-0.005770804117335548,-0.01392742071957509,-0.012509326298932644
A2_vs_E4_SHUFFLED_s3019,A2,E4_SHUFFLED_s3019,2,-0.004904132509276293,0.00357223727592626,0.005048383978627169,0.002459273736580725
A2_vs_E4_SHUFFLED_s3019,A2,E4_SHUFFLED_s3019,3,-0.0052342805480758425,-0.011747660330201137,-0.032980886265540965,-0.007568360473358626
A2_vs_E4_SHUFFLED_s3019,A2,E4_SHUFFLED_s3019,4,-0.000841376137678318,-0.002308167504772196,-0.0034772367824187356,0.001908789783940934
E4_SHUFFLED_s3019_vs_E4,E4_SHUFFLED_s3019,E4,0,0.0014605015046454395,0.003651792894466155,0.015700732462870404,0.0006435870521755427
E4_SHUFFLED_s3019_vs_E4,E4_SHUFFLED_s3019,E4,1,0.0002813591973481744,-0.004917970954830875,-0.012042810765413914,-0.003907532385484469
E4_SHUFFLED_s3019_vs_E4,E4_SHUFFLED_s3019,E4,2,0.0048190005039818185,0.0031289236184104396,0.004397764948330551,0.0024105153422027126
E4_SHUFFLED_s3019_vs_E4,E4_SHUFFLED_s3019,E4,3,0.007470016528560719,0.015420411360228425,0.043183446104053225,0.009351971239073387
E4_SHUFFLED_s3019_vs_E4,E4_SHUFFLED_s3019,E4,4,0.0012152130191486754,0.0029083759709281343,0.004378498417555221,0.006232305986472508
A2_vs_G4_SHUFFLED_s1009,A2,G4_SHUFFLED_s1009,0,0.0011863277486793833,0.006654738036614094,0.02841983114197877,-0.0027261046042246218
A2_vs_G4_SHUFFLED_s1009,A2,G4_SHUFFLED_s1009,1,-0.01616465864017308,-0.012366052429041596,-0.030113980940968954,-0.04995515361046776
A2_vs_G4_SHUFFLED_s1009,A2,G4_SHUFFLED_s1009,2,-0.02316777892812122,-0.014635773528709373,-0.020990183046082134,0.0037046929506882043
A2_vs_G4_SHUFFLED_s1009,A2,G4_SHUFFLED_s1009,3,0.009742909498681729,0.01162789950775811,0.032124042939468134,0.014794442335197666
A2_vs_G4_SHUFFLED_s1009,A2,G4_SHUFFLED_s1009,4,0.0013730293928743142,0.010701436541528775,0.01588652918132527,0.013182150954330618
G4_SHUFFLED_s1009_vs_G4,G4_SHUFFLED_s1009,G4,0,-0.004218303109926935,-0.0021100962132037937,-0.008976367236060101,-0.00825950813578813
G4_SHUFFLED_s1009_vs_G4,G4_SHUFFLED_s1009,G4,1,-0.008537062998735911,-0.012443573184791445,-0.03132253722725409,0.018024155645165463
