extractant,chemotype,mae_all,n_pairs,n_cells,mae_adjacent,mae_far,entry
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,sc069,0.20877580129024573,91,1,0.09402765517286914,0.26094666700435143,L1_CORPUS_MEAN_permetal_w
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,sc068,0.4956584093117166,91,1,0.12258330100180623,0.7413321047802034,L1_CORPUS_MEAN_permetal_w
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccc(C)cc2)n1)c1ccc(C)cc1,sc068,0.36096571655770354,91,1,0.13821765332440053,0.4422616450107689,L1_CORPUS_MEAN_permetal_w
CCN(C(=O)c1cccc(C(=O)N(CC)c2cccc(C)c2)n1)c1cccc(C)c1,sc068,0.40888903372781854,91,1,0.1485350507070349,0.5257435210985713,L1_CORPUS_MEAN_permetal_w
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccccc2C)n1)c1ccccc1C,sc070,0.25123613341153334,91,1,0.10914615086593672,0.29408544331203823,L1_CORPUS_MEAN_permetal_w
CCN(CC)C(=O)COCC(=O)N(CC)CC,sc071,0.14534673545757684,258,12,0.09970820382158498,0.19736496049527746,L1_CORPUS_MEAN_permetal_w
CCc1ccc(N(CC)C(=O)c2ccc3ccc4ccc(C(=O)N(CC)c5ccc(CC)cc5)nc4c3n2)cc1,sc068,1.2563345603662484,91,1,0.2776904085529911,1.8730396404647325,L1_CORPUS_MEAN_permetal_w
CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,sc075,0.5477916365191935,91,1,0.27250489507869147,0.7156402402660069,L1_CORPUS_MEAN_permetal_w
CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,sc076,0.2705062545870553,243,11,0.11773171793285085,0.43117636395380143,L1_CORPUS_MEAN_permetal_w
CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,sc077,0.3636251299958918,910,10,0.12059939803318608,0.4828290309104329,L1_CORPUS_MEAN_permetal_w
COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,sc078,0.2599127851618314,91,1,0.09622949492490007,0.3604865901346472,L1_CORPUS_MEAN_permetal_w
O=C(COCC(=O)N1CCCCC1)N1CCCCC1,sc083,0.26432888158270823,91,1,0.09462816677471973,0.36997208322913977,L1_CORPUS_MEAN_permetal_w
O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,sc084,0.3805349184668102,28,1,0.24624665645368063,0.41891972976425984,L1_CORPUS_MEAN_permetal_w
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,sc085,0.3937662734984472,28,1,0.26789445184772676,0.44626080755610625,L1_CORPUS_MEAN_permetal_w
O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,sc086,0.36282642725181347,182,2,0.11487077786415464,0.5277279694452125,L1_CORPUS_MEAN_permetal_w
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,sc092,0.5208291233603248,3,1,,0.5208291233603248,L1_CORPUS_MEAN_permetal_w
c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,sc096,0.7430518328575857,10,1,0.30135616731264836,0.936955067700449,L1_CORPUS_MEAN_permetal_w
c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,sc097,0.5746752683819353,10,1,0.3917179164012712,0.6640799703496375,L1_CORPUS_MEAN_permetal_w
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,sc000,0.8360536297635951,10,1,0.25783935611762626,1.112652835873694,L1_CORPUS_MEAN_permetal
C1COCCOCCOCCOCCOCCO1,sc001,0.89320835490334,10,1,0.29657335983265065,1.1688438078872017,L1_CORPUS_MEAN_permetal
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,sc007,0.2399194661335682,91,1,0.08085458947690075,0.33598295229682723,L1_CORPUS_MEAN_permetal
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,sc008,0.1703042248434735,15,1,0.11407702663195333,0.1858810177001422,L1_CORPUS_MEAN_permetal
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,sc010,0.07105390923893726,28,1,0.061590466254720665,0.057421787211006665,L1_CORPUS_MEAN_permetal
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,sc012,0.38905612272926887,91,1,0.14840361924364598,0.45579578784467106,L1_CORPUS_MEAN_permetal
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,sc015,1.2442245613847571,91,1,0.28097690617773013,1.8535250330849597,L1_CORPUS_MEAN_permetal
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,sc009,0.36600846152986233,91,1,0.17443862089360918,0.49656101591396146,L1_CORPUS_MEAN_permetal
CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,sc016,2.1763668601777746,1,1,,,L1_CORPUS_MEAN_permetal
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,sc009,0.10815206079856714,242,6,0.07887994161759297,0.11785043092619299,L1_CORPUS_MEAN_permetal
