model,axis_label,extractant,tanimoto_cluster,split_seed,slope_abs_error,shape_mae,row_mae,spearman,sign_accuracy,span_recovery,span_recovery_distance,slope_recovery_distance,n_curves
GEN10_MF_025,acid,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,tan017,130363,0.5609912246643937,0.32856441106564144,0.3430593184183984,0.14285714285714288,0.5357142857142857,0.2337174284519186,0.7662825715480814,0.8080634735831401,1
GEN10_MF_025,acid,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,tan017,155921,0.4095067854903867,0.25927294718973093,0.3175168954023556,0.5476190476190477,0.7142857142857143,0.34584844681095833,0.6541515531890416,0.5898621243802685,1
GEN10_MF_025,acid,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,tan017,196613,0.4302300017914853,0.2725871245436505,0.5072657749388176,0.5476190476190477,0.7142857142857143,0.29980193727398013,0.7001980627260198,0.6197122778440742,1
GEN10_MF_025,acid,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,tan017,262147,0.441145105133223,0.2755959475285627,0.3994814978553502,0.5476190476190477,0.7142857142857143,0.30914066575820576,0.6908593342417942,0.6354346206064232,1
GEN10_MF_025,acid,CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,tan052,104729,0.3142082192816755,0.3367008720200241,0.9166689553235271,0.43333333333333335,0.6666666666666666,0.2951667129873246,0.7048332870126754,0.5447863220473086,1
GEN10_MF_025,acid,CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,tan052,130363,0.09348268364711121,0.3776661130721679,0.8688880919912958,0.43333333333333335,0.6666666666666666,0.7577528570532807,0.24224714294671934,0.162083880286934,1
GEN10_MF_025,acid,CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,tan052,155921,0.17802149660274624,0.3425223472575668,0.6841791723736834,0.43333333333333335,0.6666666666666666,0.46297509734770803,0.537024902652292,0.3086605328189249,1
GEN10_MF_025,acid,CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,tan052,196613,0.05874356572974748,0.3460890349558194,1.0803581044147406,0.43333333333333335,0.6666666666666666,0.7053321242558169,0.29466787574418307,0.10185185858923784,1
GEN10_MF_025,acid,CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,tan052,262147,0.1519764797539695,0.3629946009935821,0.8106529564347413,0.43333333333333335,0.6666666666666666,0.5121894047400779,0.4878105952599221,0.2635026786763972,1
GEN10_MF_025,acid,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,tan052,104729,0.15554487161939215,0.17496258574420565,0.2083041914666426,0.5072996561958923,0.6785714285714286,1.3309814685526287,0.33098146855262855,0.5495677429145771,2
GEN10_MF_025,acid,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,tan052,130363,0.8209569534677917,0.7006518401780205,0.7469722441584308,-0.8696565534786727,0.14285714285714285,2.0650484800645867,1.0650484800645867,2.9041048724543184,2
GEN10_MF_025,acid,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,tan052,155921,0.2945711264892327,0.29237400207241204,0.27678413845201155,0.7392080704568718,0.8214285714285714,1.7396811151570937,0.7396811151570936,1.0415444880171842,2
GEN10_MF_025,acid,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,tan052,196613,0.6649614985448546,0.5422685969140506,0.5617212454604879,-0.8696565534786727,0.14285714285714285,1.4582852347611852,0.4582852347611853,2.3520416110624347,2
GEN10_MF_025,acid,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,tan052,262147,0.14223002684504518,0.17031920196021869,0.20609716759686866,0.5217939320872036,0.7142857142857143,1.2786776635999662,0.27867766359996615,0.502972413753015,2
GEN10_MF_025,acid,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,tan055,104729,1.6643454168459362,0.6981561043967753,1.5544665249636396,0.9583794564028943,0.9575613275613276,1.0164232583337371,0.8521912934299197,1.2555775291852784,15
GEN10_MF_025,acid,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,tan055,130363,1.4742791488245175,0.6419097601216301,1.1851861243631128,0.9585144912831431,0.9562770562770563,1.9657525457371159,0.6890571817634249,2.0715870079332404,15
GEN10_MF_025,acid,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,tan055,155921,1.487125491550296,0.6368588623932113,1.2300848644388735,0.9601017928704447,0.9586580086580087,1.731351681872286,0.7056507869331174,1.822372112853086,15
GEN10_MF_025,acid,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,tan055,196613,1.4906646228952831,0.6401881919955437,1.2492736916606793,0.9612622482293494,0.9603174603174603,1.8414363395199504,0.6991381729037752,1.9592224000204785,15
GEN10_MF_025,acid,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,tan055,262147,1.508984492531072,0.6525163903686958,1.4508734757414203,0.9562922690609208,0.9542135642135642,2.0050446811586955,0.7032212667239851,2.1742056743851235,15
GEN10_MF_025,acid,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,tan071,104729,1.8937190218196487,0.533512613582283,0.8106790692090879,0.7428571428571428,0.8428571428571429,0.29892137796585466,0.7010786220341453,0.7757802307842109,7
GEN10_MF_025,acid,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,tan071,130363,1.830957329231056,0.5215934232026641,0.7508537505285414,0.7714285714285712,0.8571428571428571,0.30503617502604996,0.69496382497395,0.7471807668716993,7
GEN10_MF_025,acid,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,tan071,155921,1.858675591332546,0.5285348565371517,0.9138106503055484,0.6142857142857142,0.7857142857142857,0.2603847192050809,0.7396152807949191,0.7704205391560611,7
GEN10_MF_025,acid,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,tan071,196613,1.8730182547600684,0.536669524331317,0.8954746724353848,0.5999999999999999,0.7857142857142857,0.24506337151405186,0.7549366284859482,0.7767765838299324,7
GEN10_MF_025,acid,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,tan071,262147,1.8739650460418649,0.5401357309405614,0.9447949607528132,0.7142857142857142,0.8285714285714285,0.2196434365191645,0.7803565634808355,0.7780582409455539,7
GEN10_MF_025,acid,CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,tan045,104729,1.4377803117989105,0.5167326815941897,1.9757851074419621,-0.01428571428571429,0.49642857142857144,0.8022996732234686,0.19770032677653132,1.379962850681901,2
GEN10_MF_025,acid,CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,tan045,130363,0.9621752693901096,0.49495595149047755,2.316019238312758,0.11666666666666668,0.5321428571428571,0.5319196012847462,0.4680803987152538,0.8915242525468088,2
GEN10_MF_025,acid,CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,tan045,155921,0.921042593537561,0.5074463997868957,2.4876615709896517,0.23095238095238096,0.5654761904761905,0.37700889967862755,0.6229911003213724,0.8910506520090364,2
GEN10_MF_025,acid,CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,tan045,196613,0.9492654773123584,0.49340034564143065,2.3047317180411304,0.24761904761904763,0.5678571428571428,0.5744288655901124,0.4255711344098876,0.8745451814927412,2
GEN10_MF_025,acid,CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,tan045,262147,0.8750780315915971,0.48881266730198036,2.204976386181761,0.11666666666666668,0.5321428571428571,0.4504659137650193,0.5495340862349807,0.8162916447421228,2
GEN10_MF_025,acid,CCCCCCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCCCCCC,tan055,104729,2.243023052869285,0.4442943977522187,0.9260746252268073,0.5928053803045812,0.8,1.1028586362171122,0.8058544158759455,54.14627280699934,2
GEN10_MF_025,acid,CCCCCCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCCCCCC,tan055,130363,2.084888019554792,0.42683003091949523,1.062792386150876,0.5928053803045812,0.8,1.4253577879069816,0.6983831647488934,66.3119705388712,2
GEN10_MF_025,acid,CCCCCCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCCCCCC,tan055,155921,2.0866386624030024,0.43358845414147384,1.084267004022534,0.5928053803045812,0.8,1.3471766692903522,0.7091491705708002,64.99210480303688,2
GEN10_MF_025,acid,CCCCCCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCCCCCC,tan055,196613,2.1418874197590343,0.43833681099178073,0.9642130621398134,0.5852941176470589,0.7821428571428571,0.877684361282918,0.8150268518601078,42.20169057088235,2
