inject_mult,model,set,n,rho,p
1.0,CYCLE_EXT,const19,19,0.8263157894736841,1.3015197363823486e-05
1.0,CYCLE_EXT,varying43,43,0.7225913621262458,4.475962747102114e-08
2.0,NAIVE,S8,62,0.4099367933318224,0.0009367183125812858
2.0,ELEM,S8,62,0.6713253254765682,2.348401844291503e-09
2.0,SPECIES,S8,62,0.7098033290524035,1.0529848123043146e-10
2.0,SPECIES_CONST,S8,19,0.856140350877193,2.9205384427799527e-06
2.0,CYCLEHAT,S8,62,0.6193498023217748,8.025918839993105e-08
2.0,CYCLE_EXT,S8,62,0.620457807660346,7.493910074561134e-08
2.0,NAIVE,const19,19,0.2543859649122807,0.2932678555994545
2.0,NAIVE,varying43,43,0.1945031712473573,0.2113593781010269
2.0,ELEM,const19,19,0.8929824561403509,2.6912833510476704e-07
2.0,ELEM,varying43,43,0.7401087284808215,1.4146908688206553e-08
2.0,SPECIES,const19,19,0.7508771929824561,0.00021166486305839477
2.0,SPECIES,varying43,43,0.773180308064029,1.2272978917632112e-09
2.0,CYCLEHAT,const19,19,0.8807017543859648,6.489497486735615e-07
2.0,CYCLEHAT,varying43,43,0.7864693446088795,4.08349943126152e-10
2.0,CYCLE_EXT,const19,19,0.882456140350877,5.757165325975205e-07
2.0,CYCLE_EXT,varying43,43,0.7864693446088795,4.08349943126152e-10
4.0,NAIVE,S8,62,0.41200171237188693,0.0008772651347820289
4.0,ELEM,S8,62,0.7816725844224522,6.482777025448632e-14
4.0,SPECIES,S8,62,0.7918460879856967,1.815089492725408e-14
4.0,SPECIES_CONST,S8,19,0.8842105263157896,5.097789186801276e-07
4.0,CYCLEHAT,S8,62,0.7384603762181764,7.381325149672398e-12
4.0,CYCLE_EXT,S8,62,0.748382060386291,2.7097331806723695e-12
4.0,NAIVE,const19,19,0.26842105263157895,0.2665098631799816
4.0,NAIVE,varying43,43,0.19676834793113862,0.20598540902766546
4.0,ELEM,const19,19,0.9403508771929823,2.206541442775766e-09
4.0,ELEM,varying43,43,0.83131984294775,5.130998628390684e-12
4.0,SPECIES,const19,19,0.7596491228070175,0.00016125927895513454
4.0,SPECIES,varying43,43,0.8891573542736333,1.6644562275011242e-15
4.0,CYCLEHAT,const19,19,0.9421052631578948,1.722383646418894e-09
4.0,CYCLEHAT,varying43,43,0.8438538205980066,1.195150666408318e-12
4.0,CYCLE_EXT,const19,19,0.956140350877193,1.7066431620092997e-10
4.0,CYCLE_EXT,varying43,43,0.8474781032920569,7.657327342328618e-13
8.0,NAIVE,S8,62,0.41547682002467834,0.0007848634823079848
8.0,ELEM,S8,62,0.8599884163078241,3.5023128498686455e-19
