design,publication_id,mode,n_dropped_extractants,n_units_left,abc
A,pub_c649e663f3,modal,1,89,0.03836159914535125
A,pub_c8195b4ca7,any_cell,1,89,0.036819281833595605
A,pub_c8195b4ca7,modal,1,89,0.036819281833595605
A,pub_ca616a18dd,any_cell,1,89,0.03720989374534118
A,pub_ca616a18dd,modal,1,89,0.03720989374534118
A,pub_cd72e4a7bb,any_cell,1,89,0.03864288902065143
A,pub_cd72e4a7bb,modal,1,89,0.03864288902065143
A,pub_d68ed8c8cf,any_cell,4,86,0.037564326787508324
A,pub_d68ed8c8cf,modal,2,88,0.03733670073431534
A,pub_dc1c90a4de,any_cell,1,89,0.03723019003567089
A,pub_dc1c90a4de,modal,1,89,0.03723019003567089
A,pub_dfa96a5118,any_cell,3,87,0.03560474793335904
A,pub_dfa96a5118,modal,3,87,0.03560474793335904
A,pub_e9799b75f3,any_cell,4,86,0.03642513552087949
A,pub_e9799b75f3,modal,4,86,0.03642513552087949
A,pub_f6d85bdb79,any_cell,1,89,0.037121179303331524
A,pub_f6d85bdb79,modal,1,89,0.037121179303331524
A,pub_f8a621ede4,any_cell,1,89,0.037045156841152664
A,pub_f8a621ede4,modal,0,90,0.03674649425775374
A,pub_f926473989,any_cell,1,89,0.03741190105622396
A,pub_f926473989,modal,0,90,0.03674649425775374
A,(none),any_cell,0,90,0.03674649425775374
BP,pub_0a8da089ad,any_cell,1,89,0.049635069567445574
BP,pub_0a8da089ad,modal,1,89,0.049635069567445574
BP,pub_0af6736cb1,any_cell,3,87,0.05003978060949681
BP,pub_0af6736cb1,modal,3,87,0.05003978060949681
BP,pub_0e366d9257,any_cell,1,89,0.04993166683976235
BP,pub_0e366d9257,modal,1,89,0.04993166683976235
BP,pub_0fd6ab4e40,any_cell,1,89,0.05018341384845944
BP,pub_0fd6ab4e40,modal,1,89,0.05018341384845944
BP,pub_126bbe7976,any_cell,15,75,0.03872348241723149
BP,pub_126bbe7976,modal,12,78,0.04098280340148993
BP,pub_1605e436d7,any_cell,1,89,0.049566595729249485
BP,pub_1605e436d7,modal,0,90,0.05006531841752166
BP,pub_1845fd6492,any_cell,1,89,0.049572799341833285
BP,pub_1845fd6492,modal,1,89,0.049572799341833285
BP,pub_1927dff570,any_cell,4,86,0.047005723369800745
BP,pub_1927dff570,modal,4,86,0.047005723369800745
BP,pub_19783c039b,any_cell,1,89,0.049310394916683584
BP,pub_19783c039b,modal,1,89,0.049310394916683584
BP,pub_1bd76c48d9,any_cell,6,84,0.05035500954595024
BP,pub_1bd76c48d9,modal,6,84,0.05035500954595024
BP,pub_1c1b558856,any_cell,1,89,0.04999923758380323
BP,pub_1c1b558856,modal,1,89,0.04999923758380323
BP,pub_2c76a46f18,any_cell,1,89,0.049566595729249485
BP,pub_2c76a46f18,modal,0,90,0.05006531841752166
BP,pub_2e9f2dbea9,any_cell,1,89,0.049566595729249485
BP,pub_2e9f2dbea9,modal,0,90,0.05006531841752166
BP,pub_37086f6378,any_cell,1,89,0.049566595729249485
BP,pub_37086f6378,modal,1,89,0.049566595729249485
BP,pub_392f966ef2,any_cell,2,88,0.049753064386434384
BP,pub_392f966ef2,modal,2,88,0.049753064386434384
BP,pub_3e0f6bb1b5,any_cell,2,88,0.05041964838806574
BP,pub_3e0f6bb1b5,modal,2,88,0.05041964838806574
BP,pub_3f3b6220e0,any_cell,4,86,0.05173790031926705
BP,pub_3f3b6220e0,modal,4,86,0.05173790031926705
BP,pub_401a06b4b7,any_cell,1,89,0.049233488025551525
BP,pub_401a06b4b7,modal,1,89,0.049233488025551525
BP,pub_40c355ae86,any_cell,2,88,0.05038762649948814
BP,pub_40c355ae86,modal,2,88,0.05038762649948814
BP,pub_457a2adba4,any_cell,1,89,0.049566595729249485
BP,pub_457a2adba4,modal,0,90,0.05006531841752166
BP,pub_4829d176ba,any_cell,1,89,0.049566595729249485
BP,pub_4829d176ba,modal,0,90,0.05006531841752166
BP,pub_4cba27f5f3,any_cell,5,85,0.050396328802514545
BP,pub_4cba27f5f3,modal,2,88,0.05200097082088169
BP,pub_4fb6e0c041,any_cell,1,89,0.05056643414888567
BP,pub_4fb6e0c041,modal,1,89,0.05056643414888567
BP,pub_51c0693f9c,any_cell,4,86,0.048401742437179825
BP,pub_51c0693f9c,modal,0,90,0.05006531841752166
BP,pub_56338b6e47,any_cell,4,86,0.051802424069038726
BP,pub_56338b6e47,modal,4,86,0.051802424069038726
BP,pub_57ce0f7961,any_cell,1,89,0.051988761797219916
BP,pub_57ce0f7961,modal,1,89,0.051988761797219916
BP,pub_5a68dc5665,any_cell,4,86,0.05018337432003485
BP,pub_5a68dc5665,modal,3,87,0.05069220493329589
BP,pub_6a0ef8528c,any_cell,1,89,0.05018955879470252
BP,pub_6a0ef8528c,modal,1,89,0.05018955879470252
BP,pub_6c8ed9481c,any_cell,1,89,0.049635069567445574
BP,pub_6c8ed9481c,modal,0,90,0.05006531841752166
BP,pub_723ceb6c2c,any_cell,1,89,0.05018955879470252
BP,pub_723ceb6c2c,modal,0,90,0.05006531841752166
BP,pub_74428aeab2,any_cell,2,88,0.05005975797428532
BP,pub_74428aeab2,modal,1,89,0.05000985538792414
BP,pub_84113c17ad,any_cell,2,88,0.049906587646627164
BP,pub_84113c17ad,modal,2,88,0.049906587646627164
BP,pub_8415538291,any_cell,1,89,0.05020084157447046
BP,pub_8415538291,modal,1,89,0.05020084157447046
BP,pub_8dafaf94bc,any_cell,1,89,0.05044526376775783
BP,pub_8dafaf94bc,modal,1,89,0.05044526376775783
BP,pub_9428119866,any_cell,2,88,0.05186362796419894
BP,pub_9428119866,modal,2,88,0.05186362796419894
BP,pub_9a3afbee00,any_cell,1,89,0.04972119462043765
BP,pub_9a3afbee00,modal,0,90,0.05006531841752166
BP,pub_a49146c8fd,any_cell,2,88,0.050054124602630395
BP,pub_a49146c8fd,modal,2,88,0.050054124602630395
BP,pub_ab5ae597b9,any_cell,1,89,0.049566595729249485
BP,pub_ab5ae597b9,modal,0,90,0.05006531841752166
BP,pub_aed382b25f,any_cell,1,89,0.049566595729249485
BP,pub_aed382b25f,modal,0,90,0.05006531841752166
BP,pub_af0c74798c,any_cell,1,89,0.049566595729249485
BP,pub_af0c74798c,modal,0,90,0.05006531841752166
BP,pub_af7a1cd919,any_cell,1,89,0.04950129079770458
BP,pub_af7a1cd919,modal,1,89,0.04950129079770458
BP,pub_b0b3296ec5,any_cell,1,89,0.049566595729249485
BP,pub_b0b3296ec5,modal,0,90,0.05006531841752166
BP,pub_b4273fb42a,any_cell,1,89,0.049566595729249485
BP,pub_b4273fb42a,modal,0,90,0.05006531841752166
BP,pub_b8175dc3a1,any_cell,1,89,0.05050299959339489
BP,pub_b8175dc3a1,modal,1,89,0.05050299959339489
BP,pub_b9dfc468cd,any_cell,11,79,0.04603291557037366
BP,pub_b9dfc468cd,modal,7,83,0.04797929363358803
BP,pub_bdb1564c49,any_cell,1,89,0.05043204371076095
BP,pub_bdb1564c49,modal,1,89,0.05043204371076095
BP,pub_bef16e560c,any_cell,2,88,0.0501523370002192
BP,pub_bef16e560c,modal,1,89,0.05065008195160713
BP,pub_c649e663f3,any_cell,1,89,0.05123933037993106
BP,pub_c649e663f3,modal,1,89,0.05123933037993106
BP,pub_c8195b4ca7,any_cell,1,89,0.050572829896875345
BP,pub_c8195b4ca7,modal,1,89,0.050572829896875345
BP,pub_ca616a18dd,any_cell,1,89,0.050121610885853915
BP,pub_ca616a18dd,modal,1,89,0.050121610885853915
BP,pub_cd72e4a7bb,any_cell,1,89,0.051598359262734275
BP,pub_cd72e4a7bb,modal,1,89,0.051598359262734275
BP,pub_d68ed8c8cf,any_cell,4,86,0.05154074718826204
BP,pub_d68ed8c8cf,modal,2,88,0.05205639822173127
BP,pub_dc1c90a4de,any_cell,1,89,0.05049410620509234
BP,pub_dc1c90a4de,modal,1,89,0.05049410620509234
BP,pub_dfa96a5118,any_cell,3,87,0.0481879466715785
BP,pub_dfa96a5118,modal,3,87,0.0481879466715785
BP,pub_e9799b75f3,any_cell,4,86,0.04968149428585743
BP,pub_e9799b75f3,modal,4,86,0.04968149428585743
BP,pub_f6d85bdb79,any_cell,1,89,0.05068049557448526
BP,pub_f6d85bdb79,modal,1,89,0.05068049557448526
BP,pub_f8a621ede4,any_cell,1,89,0.049310394916683584
BP,pub_f8a621ede4,modal,0,90,0.05006531841752166
BP,pub_f926473989,any_cell,1,89,0.05056643414888567
BP,pub_f926473989,modal,0,90,0.05006531841752166
BP,(none),any_cell,0,90,0.05006531841752166
