extractant,design,delta,n_cells,n_metals_max,n_metals_mean,n_pubs,a,b,abs_a,chemotype,chemotype_cells,chemotype_extractants
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,BR,0.05846365719926494,1,14,14.0,1,-0.22427103249718483,-0.20273156355578997,0.22427103249718483,sc027,10,6
CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,BR,0.028933132400524753,1,9,9.0,1,0.07767791537411164,0.07923142927827162,0.07767791537411164,sc036,4,4
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,BR,-0.007857577561564355,5,4,2.4,1,,,,sc032,5,1
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,BR,-0.01933255630167796,1,7,7.0,1,0.008022171823822402,-0.785336214012229,0.008022171823822402,sc009,375,23
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,BR,0.018941367473507942,171,14,5.2748538011695905,18,-0.3255745912705604,-0.07822069944820567,0.3255745912705604,sc009,375,23
CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,BR,-0.008246674761278272,2,8,7.0,1,-0.0007708247149778961,0.08773932512607294,0.0007708247149778961,sc009,375,23
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,BR,0.03598091851035684,1,14,14.0,1,-0.3587201508417729,-0.31008639404587396,0.3587201508417729,sc027,10,6
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC,BR,0.09117374980606935,1,13,13.0,1,-0.1344018887022944,-0.08222453155566446,0.1344018887022944,sc027,10,6
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,BR,0.041089281407087785,1,14,14.0,1,-0.06436545424974306,-0.08489687761980698,0.06436545424974306,sc027,10,6
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,BR,-0.0307225590686957,1,14,14.0,1,0.30492576817424943,-0.1443408376652124,0.30492576817424943,sc028,2,2
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,BR,0.020787971582163944,2,14,11.5,1,0.05523910660636944,0.023956566968087185,0.05523910660636944,sc029,4,3
CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,BR,-0.014155891744679683,2,13,8.0,2,0.0804098188497249,-0.15704413138577816,0.0804098188497249,sc008,3,2
CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],BR,0.006562810216358628,2,14,14.0,1,0.2811611168792546,-0.2219101300475188,0.2811611168792546,sc055,2,1
CCCCCCN(C)C(=O)CC(=O)N(C)CCCCCC,BR,0.007768845010034386,1,9,9.0,1,0.0847260190546904,0.007507944947351539,0.0847260190546904,sc031,5,3
CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C,BR,0.06983446816261152,1,14,14.0,1,-0.8569266354753365,-0.20916645452008065,0.8569266354753365,sc057,1,1
CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C,BR,0.019220483835626467,1,14,14.0,1,-0.9088900787833218,-0.18632234614240195,0.9088900787833218,sc009,375,23
CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,BR,0.028722654451007412,1,9,9.0,1,0.09450184366406067,0.07059332345030415,0.09450184366406067,sc036,4,4
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,BR,0.044045136127995044,3,8,6.333333333333333,2,-0.22956325896989577,-0.06888889022977193,0.22956325896989577,sc009,375,23
CCCCCCOCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,BR,0.05042420528097752,2,3,2.5,1,,,,sc030,4,3
CCCCCCOP(=O)(O)OCCCCCC,BR,0.019333215235568524,1,10,10.0,1,-0.6727596782605673,-0.13556048833794881,0.6727596782605673,sc058,1,1
CCCCCCc1ccc(N(CC)C(=O)c2cccc(-c3cccc(C(=O)N(CC)c4ccc(CCCCCC)cc4)n3)n2)cc1,BR,0.025036431143966448,1,14,14.0,1,0.23276708074116695,-0.06903078882046128,0.23276708074116695,sc059,1,1
CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,BR,0.0643499881603653,2,14,14.0,1,0.9141468586952404,0.2796385176780678,0.9141468586952404,sc060,2,1
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,BR,0.18459444200697084,16,13,12.9375,2,-0.6836791670144733,-0.0055817475540192105,0.6836791670144733,sc061,17,2
CCCCN(C)C(=O)CC(=O)N(C)CCCC,BR,-0.010871057525387279,3,3,2.6666666666666665,1,,,,sc031,5,3
CCCCN(CCCC)C(=O)C(Cc1ccccc1CC(C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC,BR,-0.05098730420378439,1,4,4.0,1,,,,sc062,1,1
CCCCN(CCCC)C(=O)CC(=O)N(CCCC)CCCC,BR,0.03501097228870048,1,9,9.0,1,0.10803147995248544,0.09085568699785203,0.10803147995248544,sc036,4,4
CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,BR,0.006749432412603673,1,5,5.0,1,0.04815178807087685,0.020942722618112,0.04815178807087685,sc036,4,4
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,BR,0.015132970198685869,33,8,3.212121212121212,4,-0.4749290822009562,-0.12004942670096741,0.4749290822009562,sc009,375,23
CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,BR,0.014552875052381065,1,14,14.0,1,0.09671049187916156,-0.007156034837850184,0.09671049187916156,sc029,4,3
CCCCN(CCCC)C(=O)c1ccccc1C(=O)O,BR,-0.07271687303871177,1,3,3.0,1,,,,sc063,1,1
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,BR,0.004316940854424217,9,8,6.666666666666667,1,0.01737381896998138,-0.12316736083100942,0.01737381896998138,sc009,375,23
CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,BR,0.10994181470450837,1,14,14.0,1,-1.1402076412697881,-0.4569091689987956,1.1402076412697881,sc061,17,2
CCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1,BR,0.012886789508641083,1,3,3.0,1,,,,sc068,6,6
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,BR,0.016716187732981613,1,14,14.0,1,0.09121649837900109,-0.05574079364471141,0.09121649837900109,sc068,6,6
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,BR,0.03735661456648032,1,14,14.0,1,-0.1649673920867853,0.04711814360556551,0.1649673920867853,sc069,2,2
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,BR,0.004265283643192619,1,14,14.0,1,-0.050458278756047345,-0.037260424753369915,0.050458278756047345,sc069,2,2
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,BR,0.02453141985334112,1,14,14.0,1,0.22356360041157794,-0.039472726890211106,0.22356360041157794,sc068,6,6
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccc(C)cc2)n1)c1ccc(C)cc1,BR,0.032576670227173254,1,14,14.0,1,-0.33120046212908366,0.2068169051811004,0.33120046212908366,sc068,6,6
CCN(C(=O)c1cccc(C(=O)N(CC)c2cccc(C)c2)n1)c1cccc(C)c1,BR,0.025170485943825704,1,14,14.0,1,-0.13312663901329763,0.2504519856963187,0.13312663901329763,sc068,6,6
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccccc2C)n1)c1ccccc1C,BR,0.06575658054391167,1,14,14.0,1,-0.29319801230815806,0.03944119440434355,0.29319801230815806,sc070,1,1
CCN(CC)C(=O)COCC(=O)N(CC)CC,BR,0.008458486116702135,12,8,7.0,1,0.01940773275716319,-0.060086286364075724,0.01940773275716319,sc071,12,1
CCc1ccc(N(CC)C(=O)c2ccc3ccc4ccc(C(=O)N(CC)c5ccc(CC)cc5)nc4c3n2)cc1,BR,-0.013668145366392714,1,14,14.0,1,0.7983757096683257,0.03807480069795167,0.7983757096683257,sc068,6,6
CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,BR,0.0372131019340699,1,14,14.0,1,0.1533720048308666,-0.04141192116807001,0.1533720048308666,sc075,1,1
CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,BR,0.030085129570373126,11,8,7.090909090909091,3,-0.062445406491785004,0.06716189105022351,0.062445406491785004,sc076,11,1
CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,BR,0.04381047582780384,10,14,14.0,1,-0.197326731817497,0.09426062174168622,0.197326731817497,sc077,10,1
COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,BR,-0.03862635966935468,1,14,14.0,1,-0.0008875966165786524,0.012944830603059758,0.0008875966165786524,sc078,1,1
O=C(COCC(=O)N1CCCCC1)N1CCCCC1,BR,-0.005485081717876372,1,14,14.0,1,0.004449311540707109,0.013481088261819521,0.004449311540707109,sc083,1,1
O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,BR,0.0011075801823938192,1,8,8.0,1,0.054562441955313026,-0.3165374136678865,0.054562441955313026,sc084,1,1
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,BR,0.032639519026402664,1,8,8.0,1,0.025094939337285523,-0.3347753189843246,0.025094939337285523,sc085,1,1
O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,BR,0.0220639748445266,2,14,14.0,1,0.08628104423457818,0.026469369331320915,0.08628104423457818,sc086,2,1
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,BR,-0.044752663688255645,1,3,3.0,1,,,,sc092,1,1
c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,BR,0.061379132047274076,1,5,5.0,1,0.06254564584497657,0.13651673151397167,0.06254564584497657,sc096,1,1
c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,BR,0.012154343831048686,1,5,5.0,1,0.09925470936310045,-0.015369319454164736,0.09925470936310045,sc097,1,1
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,BQ,0.06056279003798282,1,5,5.0,1,0.07601097493086181,0.08206296817636363,0.07601097493086181,sc000,1,1
C1COCCOCCOCCOCCOCCO1,BQ,0.06268641542314585,1,5,5.0,1,0.05620718295732292,0.12910069076729588,0.05620718295732292,sc001,1,1
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,BQ,0.011475461245130936,1,14,14.0,1,-0.39938883955557464,-0.1699606779354635,0.39938883955557464,sc007,1,1
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,BQ,-0.07223879273206185,1,6,6.0,1,0.049124075720208875,-0.15507499511061024,0.049124075720208875,sc008,3,2
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,BQ,0.055846589295342336,1,8,8.0,1,-0.2693053833143338,-0.05096963941908241,0.2693053833143338,sc010,1,1
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,BQ,0.14286302057074662,1,14,14.0,1,-0.16376265295219228,-0.30430381692878367,0.16376265295219228,sc012,1,1
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,BQ,0.1789356387982608,1,14,14.0,1,-1.1208407620802023,-0.3852941095623312,1.1208407620802023,sc015,1,1
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,BQ,-0.127047297315649,1,14,14.0,1,-0.4482833055526018,-0.2596426328844968,0.4482833055526018,sc009,375,23
CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,BQ,0.01963109764802562,1,2,2.0,1,,,,sc016,1,1
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,BQ,-0.08384328493006435,6,14,8.166666666666666,5,-0.2600410324986765,-0.03929510873838907,0.2600410324986765,sc009,375,23
CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,BQ,-0.014375779852410397,1,6,6.0,1,0.03929164417066978,-0.11854091718079607,0.03929164417066978,sc017,1,1
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,BQ,-0.012878605210903005,17,6,4.764705882352941,1,-0.46063267360784843,0.1401303860221489,0.46063267360784843,sc018,17,1
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,BQ,-0.13103577392856125,1,14,14.0,1,-0.7847921858795874,-0.10437334281597316,0.7847921858795874,sc009,375,23
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,BQ,0.16072515475349114,1,14,14.0,1,-0.569600970402105,-0.09861878784918293,0.569600970402105,sc019,1,1
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,BQ,-0.12532348025773865,3,7,7.0,1,0.029087123427637352,-0.4690365346128549,0.029087123427637352,sc020,3,1
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,BQ,-0.13096435041403032,1,13,13.0,1,-1.2616648349370063,-0.10111352330586142,1.2616648349370063,sc009,375,23
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,BQ,0.05966181182744146,1,14,14.0,1,-1.0989182138161144,-0.09950622864584704,1.0989182138161144,sc021,1,1
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,BQ,-0.054889619553993185,21,8,4.857142857142857,2,-0.05578616328538173,-0.11153818975655101,0.05578616328538173,sc009,375,23
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,BQ,0.07795836032349773,10,9,7.2,1,0.07325366982190169,0.025548324705261766,0.07325366982190169,sc009,375,23
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,BQ,0.04228684380920644,5,8,8.0,1,-0.20480419002779032,-0.18495142442585483,0.20480419002779032,sc027,10,6
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,BQ,-0.04288426352377117,20,14,6.4,1,-0.08144215954670339,0.007402979123800198,0.08144215954670339,sc009,375,23
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,BQ,-0.033715330061048876,14,8,2.4285714285714284,1,-0.3037287353869552,0.045045909590600695,0.3037287353869552,sc009,375,23
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,BQ,0.014655845142883539,1,14,14.0,1,-0.06633072708891824,-0.20675673490621135,0.06633072708891824,sc027,10,6
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,BQ,-0.01543357128639955,1,13,13.0,1,0.35530751853699627,-0.24873810458277856,0.35530751853699627,sc028,2,2
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,BQ,0.0012555508204699084,1,14,14.0,1,0.05677265550773193,0.07445454333299406,0.05677265550773193,sc029,4,3
CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,BQ,0.03255049650220093,1,9,9.0,1,0.15999421231466016,-0.006910759980945884,0.15999421231466016,sc030,4,3
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,BQ,0.043595732598055825,1,14,14.0,1,0.3467328148760595,-0.18375897577768446,0.3467328148760595,sc030,4,3
CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,BQ,0.0908762780115483,1,9,9.0,1,0.36221010057175657,0.03768674494564828,0.36221010057175657,sc031,5,3
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,BQ,-0.11504478691117459,74,14,4.986486486486487,5,-0.6453826421271318,-0.00476060643880139,0.6453826421271318,sc009,375,23
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,BQ,-0.1304866305914082,1,14,14.0,1,-0.8244015014148325,-0.2372365649028476,0.8244015014148325,sc009,375,23
CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,BQ,-0.07869882679873133,1,8,8.0,1,-0.22633407470931466,-0.022587341031049077,0.22633407470931466,sc009,375,23
CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,BQ,-0.08492482094779874,1,8,8.0,1,-0.2521014826249013,-0.03219809901232894,0.2521014826249013,sc009,375,23
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,BQ,-0.1278017479546386,1,14,14.0,1,-0.7292481827765358,-0.29238195007435935,0.7292481827765358,sc009,375,23
CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,BQ,-0.09121539985633587,1,14,14.0,1,-0.7170884578157906,-0.15690949852024416,0.7170884578157906,sc033,1,1
CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,BQ,-0.1284762316968575,1,14,14.0,1,-0.7940811776094859,-0.2985258743493042,0.7940811776094859,sc009,375,23
CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,BQ,-0.1127283779999999,1,13,13.0,1,-0.8867915164656944,-0.12649247502408864,0.8867915164656944,sc009,375,23
CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,BQ,-0.13031399593226456,1,14,14.0,1,-0.9992745864042203,-0.17784724730344387,0.9992745864042203,sc009,375,23
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,BQ,0.044104232448111985,1,14,14.0,1,-0.22427103249718483,-0.20273156355578997,0.22427103249718483,sc027,10,6
CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,BQ,0.02599324031803013,1,9,9.0,1,0.07767791537411164,0.07923142927827162,0.07767791537411164,sc036,4,4
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,BQ,-0.00040676567710873357,5,4,2.4,1,,,,sc032,5,1
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,BQ,-0.11212748030988773,1,7,7.0,1,0.008022171823822402,-0.785336214012229,0.008022171823822402,sc009,375,23
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,BQ,-0.09178138681376091,171,14,5.2748538011695905,18,-0.3255745912705604,-0.07822069944820567,0.3255745912705604,sc009,375,23
CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,BQ,0.07138861812871439,2,8,7.0,1,-0.0007708247149778961,0.08773932512607294,0.0007708247149778961,sc009,375,23
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,BQ,0.02490874684708977,1,14,14.0,1,-0.3587201508417729,-0.31008639404587396,0.3587201508417729,sc027,10,6
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC,BQ,0.08067753886780499,1,13,13.0,1,-0.1344018887022944,-0.08222453155566446,0.1344018887022944,sc027,10,6
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,BQ,0.019218287276790147,1,14,14.0,1,-0.06436545424974306,-0.08489687761980698,0.06436545424974306,sc027,10,6
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,BQ,-0.022031428980715972,1,14,14.0,1,0.30492576817424943,-0.1443408376652124,0.30492576817424943,sc028,2,2
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,BQ,0.018145687393240018,2,14,11.5,1,0.05523910660636944,0.023956566968087185,0.05523910660636944,sc029,4,3
CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,BQ,-0.024601497777182846,2,13,8.0,2,0.0804098188497249,-0.15704413138577816,0.0804098188497249,sc008,3,2
CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],BQ,-0.013349393536628174,2,14,14.0,1,0.2811611168792546,-0.2219101300475188,0.2811611168792546,sc055,2,1
CCCCCCN(C)C(=O)CC(=O)N(C)CCCCCC,BQ,0.00915810319052418,1,9,9.0,1,0.0847260190546904,0.007507944947351539,0.0847260190546904,sc031,5,3
CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C,BQ,0.04138184693004998,1,14,14.0,1,-0.8569266354753365,-0.20916645452008065,0.8569266354753365,sc057,1,1
CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C,BQ,-0.1309529082709029,1,14,14.0,1,-0.9088900787833218,-0.18632234614240195,0.9088900787833218,sc009,375,23
CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,BQ,0.026184875574029487,1,9,9.0,1,0.09450184366406067,0.07059332345030415,0.09450184366406067,sc036,4,4
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,BQ,-0.07905732408241267,3,8,6.333333333333333,2,-0.22956325896989577,-0.06888889022977193,0.22956325896989577,sc009,375,23
CCCCCCOCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,BQ,0.05715313065282879,2,3,2.5,1,,,,sc030,4,3
CCCCCCOP(=O)(O)OCCCCCC,BQ,0.02175376851608468,1,10,10.0,1,-0.6727596782605673,-0.13556048833794881,0.6727596782605673,sc058,1,1
CCCCCCc1ccc(N(CC)C(=O)c2cccc(-c3cccc(C(=O)N(CC)c4ccc(CCCCCC)cc4)n3)n2)cc1,BQ,0.058075562052735064,1,14,14.0,1,0.23276708074116695,-0.06903078882046128,0.23276708074116695,sc059,1,1
CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,BQ,0.07725616037637328,2,14,14.0,1,0.9141468586952404,0.2796385176780678,0.9141468586952404,sc060,2,1
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,BQ,0.1290362376995533,16,13,12.9375,2,-0.6836791670144733,-0.0055817475540192105,0.6836791670144733,sc061,17,2
CCCCN(C)C(=O)CC(=O)N(C)CCCC,BQ,-0.002676731366240359,3,3,2.6666666666666665,1,,,,sc031,5,3
CCCCN(CCCC)C(=O)C(Cc1ccccc1CC(C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC,BQ,-0.025952788312873898,1,4,4.0,1,,,,sc062,1,1
CCCCN(CCCC)C(=O)CC(=O)N(CCCC)CCCC,BQ,0.029970599989569247,1,9,9.0,1,0.10803147995248544,0.09085568699785203,0.10803147995248544,sc036,4,4
CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,BQ,0.006976650759042663,1,5,5.0,1,0.04815178807087685,0.020942722618112,0.04815178807087685,sc036,4,4
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,BQ,-0.09230153087635107,33,8,3.212121212121212,4,-0.4749290822009562,-0.12004942670096741,0.4749290822009562,sc009,375,23
CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,BQ,0.023138785640326676,1,14,14.0,1,0.09671049187916156,-0.007156034837850184,0.09671049187916156,sc029,4,3
CCCCN(CCCC)C(=O)c1ccccc1C(=O)O,BQ,-0.1421221685417291,1,3,3.0,1,,,,sc063,1,1
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,BQ,-0.05026639497598262,9,8,6.666666666666667,1,0.01737381896998138,-0.12316736083100942,0.01737381896998138,sc009,375,23
CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,BQ,0.1885427156736812,1,14,14.0,1,-1.1402076412697881,-0.4569091689987956,1.1402076412697881,sc061,17,2
CCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1,BQ,0.07539571811286894,1,3,3.0,1,,,,sc068,6,6
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,BQ,0.008367577110668545,1,14,14.0,1,0.09121649837900109,-0.05574079364471141,0.09121649837900109,sc068,6,6
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,BQ,-0.01660386212193743,1,14,14.0,1,-0.1649673920867853,0.04711814360556551,0.1649673920867853,sc069,2,2
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,BQ,-0.02570259054643198,1,14,14.0,1,-0.050458278756047345,-0.037260424753369915,0.050458278756047345,sc069,2,2
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,BQ,0.034716718116596657,1,14,14.0,1,0.22356360041157794,-0.039472726890211106,0.22356360041157794,sc068,6,6
