,,,err__zero_shot,err__zero_shot,err__conditional,err__conditional,err__rescale,err__rescale,err__no_model_linear,err__no_model_linear
,,,mean,size,mean,size,mean,size,mean,size
arm,support_design,support_dz,,,,,,,,
V2_BAG_MIX3,random,10,0.49856909005272004,7033,0.2653077513037132,7033,0.3685958860222113,7033,0.25909002347515486,7033
V2_BAG_MIX3,random,11,0.4917597316347375,6178,0.2780807970978258,6178,0.37967306104613846,6178,0.2503725638363015,6178
V2_BAG_MIX3,random,12,0.5117842332305025,3133,0.296655495861779,3133,0.3801346966972456,3133,0.2760179415578419,3133
V2_BAG_MIX3,random,13,0.4958272389954156,2500,0.23983000252417405,2500,0.3742658313268564,2500,0.23894868737217959,2500
V2_BAG_MIX3,widest,2,0.12202500052754474,60,0.08862816082563604,60,0.11974328689787708,60,0.10675558685738455,60
V2_BAG_MIX3,widest,3,0.2911424843062165,300,0.22203945568044134,300,0.25294384637349265,300,0.17616098660946453,300
V2_BAG_MIX3,widest,4,0.2573437485395993,430,0.19013385923007298,430,0.2522909185816153,430,0.18187708816194018,430
V2_BAG_MIX3,widest,5,0.2707114526068523,3130,0.15593031102197105,3130,0.21615289749850214,3130,0.1304210271382118,3130
V2_BAG_MIX3,widest,6,0.35578382817797555,835,0.20268318969565557,835,0.25796789768168105,835,0.1880723993621521,835
V2_BAG_MIX3,widest,7,0.2219802059994327,6750,0.11291621270755739,6750,0.18366154317004868,6750,0.11490416603708868,6750
V2_BAG_MIX3,widest,8,0.29636493170683814,395,0.23349978372771762,395,0.2779666136720797,395,0.3253430196666903,395
V2_BAG_MIX3,widest,9,0.6730771903581851,1205,0.36825270609828453,1205,0.5590406336538686,1205,0.3410376232789681,1205
V2_BAG_MIX3,widest,10,0.38351893912391044,1820,0.23030048512717238,1820,0.2933498279013326,1820,0.21383852511455015,1820
V2_BAG_MIX3,widest,11,0.6931189689360957,175,0.23907452206068303,175,0.4113248960923703,175,0.18946841376371543,175
V2_BAG_MIX3,widest,12,0.5454135243194184,1975,0.27300961622726866,1975,0.37806380585619165,1975,0.2980924388447788,1975
V2_BAG_MIX3,widest,13,0.5034252218138644,51070,0.26020283565963714,51070,0.3761266539287565,51070,0.25033513804344265,51070
V2_BAG_MIX5,random,1,0.44868526091331046,36450,0.43180509141883033,36450,0.444918703720669,36450,0.6273029778706137,36450
V2_BAG_MIX5,random,2,0.46959398149204873,32139,0.41623704358995767,32139,0.4492437099737836,32139,0.47093665032514637,32139
V2_BAG_MIX5,random,3,0.43286126029059996,25533,0.36025161802819117,25533,0.4038142515160233,25533,0.43360756792810085,25533
V2_BAG_MIX5,random,4,0.4542114931207832,23991,0.34403381497994423,23991,0.39571928023357955,23991,0.3631792173606718,23991
V2_BAG_MIX5,random,5,0.4350809536593361,19523,0.31564829146191875,19523,0.38145883784193907,19523,0.33050395272259236,19523
