arm,seed,policy,form,lam,k,n_ext,n_rows,n_rows_free,n_draws,macro_mae,macro_mae_draw_sd,macro_mae_free,pooled_mae,pooled_r2,macro_r2_median,dispersion_ratio,sign_acc,reject_frac
A2_refit_TP,262147,adjacent,offset,3.0,5,32,6362.0,5977.2,20,0.3154892512015834,0.005481139907015739,0.36472303230013425,0.41834932487945464,0.35557957222795655,0.44792961379073654,0.7292976026516266,0.8589122917321597,0.0
A2_refit_TP,262147,adjacent,offset,3.0,10,32,6362.0,5977.2,20,0.3082854173701172,0.004571490020936839,0.35821777367154317,0.4125759766879521,0.3689657191864547,0.4601417988144606,0.7264076643983106,0.862928324426281,0.0
A2_refit_TP,262147,adjacent,offset,10.0,1,32,6362.0,5977.2,20,0.3351533246573828,0.0028621524259573724,0.38820945404990537,0.43519728018106596,0.3137245602810229,0.40643483969676086,0.7284877297641503,0.855304935554857,0.0
A2_refit_TP,262147,adjacent,offset,10.0,2,32,6362.0,5977.2,20,0.3328694353041154,0.004078031729910604,0.3852368052550845,0.43362787441784095,0.3175597266603295,0.40555060221380046,0.7289296332901423,0.8543932725558001,0.0
A2_refit_TP,262147,adjacent,offset,10.0,3,32,6362.0,5977.2,20,0.3296300443057689,0.0038589344626134355,0.38122049938354485,0.42984537665803835,0.32636795478104963,0.41339764678301066,0.728260488026293,0.859077334171644,0.0
A2_refit_TP,262147,adjacent,offset,10.0,5,32,6362.0,5977.2,20,0.32502425121682094,0.003780761705217495,0.3761402247263747,0.4265365162696383,0.33392390521369497,0.42953505905361666,0.7282523723769921,0.8602090537566802,0.0
A2_refit_TP,262147,adjacent,offset,10.0,10,32,6362.0,5977.2,20,0.31759987652730964,0.003816305550196262,0.3688467190270336,0.42040989577100235,0.34859385252423447,0.44893095946564987,0.7262910565049303,0.8631248035209055,0.0
A2_refit_TP,262147,adjacent,scale,0.03,1,32,6362.0,5977.2,20,0.37950744659702135,0.04660329970287455,0.42322499485382503,0.44241872229124973,0.19964838243848942,0.2758860447987729,0.8578861703572411,0.8500785916378497,0.0
A2_refit_TP,262147,adjacent,scale,0.03,2,32,6362.0,5977.2,20,0.3732057699278871,0.04754966455340948,0.40641325847677534,0.4395901295203073,0.19435016818277984,0.31099905651893356,0.8973893078032068,0.830603583778686,0.0
A2_refit_TP,262147,adjacent,scale,0.03,3,32,6362.0,5977.2,20,0.3382952400244658,0.026991183823553443,0.3664444263978169,0.4196246131164815,0.2532421541219121,0.3173822402468069,0.9133811773730299,0.8345488839987425,0.0
A2_refit_TP,262147,adjacent,scale,0.03,5,32,6362.0,5977.2,20,0.2953450013385757,0.019531240500208963,0.33100486000477974,0.40757863931668553,0.2805838540600849,0.4161773842881563,0.9060428722425838,0.8531122288588493,0.0
A2_refit_TP,262147,adjacent,scale,0.03,10,32,6362.0,5977.2,20,0.23728834853547073,0.008731870129453425,0.266544340577552,0.3786513824829564,0.3680777664306166,0.5453337640157514,0.8495878409621878,0.856483810122603,0.0
A2_refit_TP,262147,adjacent,scale,0.1,1,32,6362.0,5977.2,20,0.3424080846993711,0.027431355936620896,0.38288586170830163,0.42855210804142735,0.31468051591663804,0.3580028618158631,0.7690243705148044,0.8542203709525307,0.0
A2_refit_TP,262147,adjacent,scale,0.1,2,32,6362.0,5977.2,20,0.34145146075645905,0.02994617622808555,0.37066023901008704,0.4245316136732451,0.31716845004818206,0.3637410315078258,0.7882937908507669,0.8531358063502044,0.0
A2_refit_TP,262147,adjacent,scale,0.1,3,32,6362.0,5977.2,20,0.3244218596956478,0.019257192507533046,0.35182165754309636,0.4114658030726634,0.34906722049622224,0.38731383126150776,0.806206072735203,0.8534580320653882,0.0
A2_refit_TP,262147,adjacent,scale,0.1,5,32,6362.0,5977.2,20,0.2928162908970199,0.014939589075559393,0.32650172872370226,0.399926494649831,0.37243853957237605,0.44695010421848036,0.8102119347254286,0.8548176674001887,0.0
A2_refit_TP,262147,adjacent,scale,0.1,10,32,6362.0,5977.2,20,0.24625439059840826,0.007883471166927624,0.2777894612943946,0.3794753616585266,0.406856418997381,0.5297016651151429,0.7995220188329815,0.8571596982081106,0.0
A2_refit_TP,262147,adjacent,scale,0.3,1,32,6362.0,5977.2,20,0.3316174350482244,0.016681564842810716,0.3763689685804374,0.4292068052761155,0.3281927719622341,0.37812106245786775,0.7377743764015455,0.853850990254637,0.0
A2_refit_TP,262147,adjacent,scale,0.3,2,32,6362.0,5977.2,20,0.33011129216800533,0.016667052978290988,0.3654381901698279,0.42451009902242226,0.3394126729729046,0.38277120056564323,0.741546755615666,0.853850990254637,0.0
A2_refit_TP,262147,adjacent,scale,0.3,3,32,6362.0,5977.2,20,0.31981218389200533,0.012326474558339327,0.3523441532980581,0.41577843612939996,0.3618729741070205,0.4197400504102082,0.7497425832063629,0.853850990254637,0.0
A2_refit_TP,262147,adjacent,scale,0.3,5,32,6362.0,5977.2,20,0.29803489610815254,0.011418891458187202,0.33349602366646136,0.40589286634350463,0.38335454695831206,0.4450412029389567,0.7528636144477572,0.8540317510216913,0.0
A2_refit_TP,262147,adjacent,scale,0.3,10,32,6362.0,5977.2,20,0.26369310506458643,0.00781776152369063,0.29862823087968604,0.3887952034856882,0.4145503618485816,0.5059982113969973,0.7520039640648395,0.8547390757623388,0.0
A2_refit_TP,262147,adjacent,scale,1.0,1,32,6362.0,5977.2,20,0.33351584129305684,0.006820121904374496,0.3835223917994947,0.4341695029820447,0.3176661319545838,0.3923926922336848,0.7295424515568243,0.853850990254637,0.0
A2_refit_TP,262147,adjacent,scale,1.0,2,32,6362.0,5977.2,20,0.3315332032262662,0.006727058149167655,0.3769969281622658,0.43106925047841405,0.326490753505403,0.39412442966120387,0.7283644298552527,0.853850990254637,0.0
A2_refit_TP,262147,adjacent,scale,1.0,3,32,6362.0,5977.2,20,0.3253881259276139,0.007017239037313419,0.36831921763642633,0.4263449497068114,0.3390594540671816,0.402672377069851,0.7297909361935967,0.853850990254637,0.0
A2_refit_TP,262147,adjacent,scale,1.0,5,32,6362.0,5977.2,20,0.31273808221827165,0.008344498839194615,0.3560331418406807,0.4199536028932226,0.3542865486641207,0.42399122015744195,0.7293156137409122,0.853850990254637,0.0
A2_refit_TP,262147,adjacent,scale,1.0,10,32,6362.0,5977.2,20,0.29155442416392136,0.007036505862219583,0.33221735676310554,0.4073507661364137,0.3834559129190393,0.4722934733633495,0.7247692812468207,0.853850990254637,0.0
