arm,policy,k,form,lam,is_control,macro_k0_confirm,macro_confirm,delta_mean_confirm,delta_mean_incl_selection,positive_confirm_seeds,seed_delta_spread,per_seed_delta,pooled_mae_k0_confirm,pooled_mae_confirm,boot_delta_confirm,ci95_low,ci95_high,p_worse_one_sided,extractants_improved,n_extractants,holm_family_size,holm_p_one_sided,passes_rule
A2_refit_TP,widest,1,scale,0.3,False,0.31132560837384515,0.22969576298607855,0.08162984538776658,0.08149574689844681,4,0.01584022219237846,104729:+0.0810;130363:+0.0729;155921:+0.0832;196613:+0.0887;262147:+0.0818,0.410864722530431,0.374402570265301,0.0816298453877666,0.04331261490937119,0.1263893239823984,0.0001999600079984003,20,27,80,0.015996800639872025,True
A2_refit_TP,widest,2,trend,0.3,False,0.31132560837384515,0.20942433175793362,0.10190127661591153,0.10069445892134114,4,0.011044858353152415,104729:+0.0959;130363:+0.0941;155921:+0.1051;196613:+0.1038;262147:+0.1046,0.410864722530431,0.35657780158477964,0.10190127661591154,0.06194313881263199,0.14937870270529768,0.0001999600079984003,23,27,80,0.015996800639872025,True
A2_refit_TP,widest,3,trend,0.1,False,0.31132560837384515,0.2021787535038964,0.10914685486994874,0.10852488614469236,4,0.012084160467331545,104729:+0.1060;130363:+0.1014;155921:+0.1102;196613:+0.1135;262147:+0.1114,0.410864722530431,0.3543201159740157,0.10914685486994875,0.06595625446214581,0.1574297011190773,0.0001999600079984003,22,27,80,0.015996800639872025,True
A2_refit_TP,widest,5,trend,0.1,False,0.31132560837384515,0.19832958618669033,0.11299602218715478,0.1130421265423454,4,0.01319630475701547,104729:+0.1132;130363:+0.1053;155921:+0.1126;196613:+0.1185;262147:+0.1155,0.410864722530431,0.3527792111712842,0.11299602218715482,0.06982066602259061,0.15876004002179658,0.0001999600079984003,22,27,80,0.015996800639872025,True
A2_refit_TP,widest,10,trend,0.1,False,0.31132560837384515,0.18812098820969153,0.12320462016415361,0.12382096567447332,4,0.01164068326772097,104729:+0.1263;130363:+0.1168;155921:+0.1223;196613:+0.1284;262147:+0.1254,0.410864722530431,0.34392054008133854,0.12320462016415365,0.07910580908293599,0.17140712207360864,0.0001999600079984003,27,27,80,0.015996800639872025,True
PAIRMEAN_baseline,adjacent,1,scale,0.03,False,0.5084152417826082,0.4510790723866958,0.05733616939591231,0.05832265876488887,4,0.03793089271639977,104729:+0.0623;130363:+0.0775;155921:+0.0454;196613:+0.0669;262147:+0.0396,0.3915406866918112,0.39775843130923677,0.05733616939591236,0.003088046667263237,0.11309885174803207,0.016196760647870425,16,27,80,0.13317336532693463,False
PAIRMEAN_baseline,adjacent,2,scale,0.03,False,0.5084152417826082,0.4065765228369391,0.10183871894566907,0.10485429457271707,4,0.04352942441884228,104729:+0.1169;130363:+0.1223;155921:+0.0874;196613:+0.1189;262147:+0.0787,0.3915406866918112,0.37940644569169574,0.1018387189456691,0.027944642135852654,0.18103496248789974,0.003999200159968006,16,27,80,0.0639872025594881,False
PAIRMEAN_baseline,adjacent,3,scale,0.03,False,0.5084152417826082,0.3757208438273212,0.13269439795528698,0.13612316882124642,4,0.03270674654126626,104729:+0.1498;130363:+0.1464;155921:+0.1264;196613:+0.1408;262147:+0.1171,0.3915406866918112,0.37113341424546475,0.132694397955287,0.044114421702167374,0.22853639820381075,0.0015996800639872025,18,27,80,0.03519296140771846,True
PAIRMEAN_baseline,adjacent,5,scale,0.03,False,0.5084152417826082,0.3214547006292808,0.1869605411533274,0.18820327545387266,4,0.03912175276363444,104729:+0.1932;130363:+0.2059;155921:+0.1753;196613:+0.1999;262147:+0.1668,0.3915406866918112,0.34624512799081053,0.18696054115332744,0.08674149966805599,0.29487737919134355,0.0001999600079984003,18,27,80,0.015996800639872025,True
PAIRMEAN_baseline,adjacent,10,trend,0.03,False,0.5084152417826082,0.25223803032907566,0.2561772114535325,0.25773580397610235,4,0.012293091022810787,104729:+0.2640;130363:+0.2606;155921:+0.2517;196613:+0.2605;262147:+0.2520,0.3915406866918112,0.3084655877187587,0.25617721145353256,0.14363408057771807,0.3794677013830243,0.0001999600079984003,21,27,80,0.015996800639872025,True
PAIRMEAN_baseline,cross_condition,1,scale,0.1,False,0.39337946438596244,0.324415141754125,0.0689643226318374,0.07024020690392005,4,0.04621935729338761,104729:+0.0753;130363:+0.0590;155921:+0.0496;196613:+0.0959;262147:+0.0714,0.41236289835816153,0.31466706824769736,0.06896432263183738,-0.0009205050304959488,0.14353656227007017,0.026994601079784044,7,12,80,0.13717256548690263,False
PAIRMEAN_baseline,cross_condition,2,trend,0.3,False,0.39337946438596244,0.29282595744710305,0.1005535069388594,0.10438554125642571,4,0.03078238131571792,104729:+0.1197;130363:+0.1054;155921:+0.0889;196613:+0.1124;262147:+0.0955,0.41236289835816153,0.27683026037629976,0.10055350693885938,0.013944665531467493,0.19789363689700434,0.008398320335932814,8,12,80,0.10917816436712657,False
PAIRMEAN_baseline,cross_condition,3,trend,0.1,False,0.39337946438596244,0.274984971810174,0.11839449257578845,0.12234078215859372,4,0.032004179615269635,104729:+0.1381;130363:+0.1237;155921:+0.1061;196613:+0.1369;262147:+0.1068,0.41236289835816153,0.2487479044999173,0.11839449257578842,0.01579927441362534,0.23609972876664778,0.009798040391921616,6,12,80,0.1175764847030594,False
PAIRMEAN_baseline,cross_condition,5,trend,0.3,False,0.39337946438596244,0.2526429859139543,0.14073647847200813,0.14092603195820078,4,0.04610712320494412,104729:+0.1417;130363:+0.1425;155921:+0.1260;196613:+0.1703;262147:+0.1242,0.41236289835816153,0.22760737194354522,0.1407364784720081,0.04616131939231044,0.25439124397056684,0.0005998800239952009,7,12,80,0.015996800639872025,True
PAIRMEAN_baseline,cross_condition,10,trend,0.3,False,0.39337946438596244,0.2322269937785948,0.16115247060736765,0.16008570477125775,4,0.04004448624897816,104729:+0.1558;130363:+0.1590;155921:+0.1590;196613:+0.1833;262147:+0.1433,0.41236289835816153,0.20987233289820925,0.16115247060736762,0.05913299961103416,0.27239149199434826,0.0001999600079984003,9,12,80,0.015996800639872025,True
PAIRMEAN_baseline,foreign,1,scale,10.0,True,0.4413826582192063,0.44285005846534753,-0.001467400246141226,-0.0015396840171978178,1,0.0037821855000816362,104729:-0.0018;130363:-0.0037;155921:-0.0007;196613:+0.0001;262147:-0.0016,0.37878244803963257,0.38005966332261004,-0.0014674002461412294,-0.003115780173564339,9.169563925254057e-05,0.9652069586082783,14,32,80,,False
PAIRMEAN_baseline,foreign,2,scale,10.0,True,0.4413826582192063,0.44381302152276314,-0.002430363303556893,-0.002591343307058613,1,0.0077723428999896815,104729:-0.0032;130363:-0.0063;155921:-0.0026;196613:+0.0014;262147:-0.0022,0.37878244803963257,0.38144992540862865,-0.0024303633035568655,-0.0051130634277156035,0.000307811893097862,0.9578084383123375,13,32,80,,False
PAIRMEAN_baseline,foreign,3,scale,10.0,True,0.4413826582192063,0.44559234380661716,-0.004209685587410916,-0.004307878391210973,1,0.009090588139113898,104729:-0.0047;130363:-0.0086;155921:-0.0057;196613:+0.0005;262147:-0.0031,0.37878244803963257,0.3834967995137055,-0.004209685587410919,-0.007976288305640376,-0.0002584259295794557,0.9816036792641472,12,32,80,,False
PAIRMEAN_baseline,foreign,5,scale,10.0,True,0.4413826582192063,0.4497586651997959,-0.008376006980589601,-0.008579598011883705,0,0.01172171165905761,104729:-0.0094;130363:-0.0152;155921:-0.0102;196613:-0.0035;262147:-0.0047,0.37878244803963257,0.3883224793406041,-0.00837600698058962,-0.01412910456272985,-0.002400876919702801,0.9974005198960207,13,32,80,,False
