full_arm,k,failure_class,mae,n_ligands
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@RANDOM,2,ALREADY_GOOD,0.62163888225899,51
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@RANDOM,2,PARTIAL_LEVEL,0.8975450982775947,5
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@RANDOM,2,PURE_LEVEL,0.40762089058613704,20
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@RANDOM,2,RESIDUAL_SHAPE,1.35651473632576,23
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@RANDOM,3,ALREADY_GOOD,0.5317079959689115,51
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@RANDOM,3,PARTIAL_LEVEL,0.7518547138310281,5
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@RANDOM,3,PURE_LEVEL,0.36291286666099554,20
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@RANDOM,3,RESIDUAL_SHAPE,1.226139907634291,23
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@RANDOM,5,ALREADY_GOOD,0.43404958385664116,51
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@RANDOM,5,PARTIAL_LEVEL,0.6064003870650218,5
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@RANDOM,5,PURE_LEVEL,0.3124936344727097,20
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@RANDOM,5,RESIDUAL_SHAPE,1.0527879666346582,23
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL,1,ALREADY_GOOD,0.7174602031929984,51
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL,1,PARTIAL_LEVEL,0.8052606994195838,5
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL,1,PURE_LEVEL,0.46790008457544463,20
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL,1,RESIDUAL_SHAPE,1.4075606809120458,23
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL,2,ALREADY_GOOD,0.6829734774063714,51
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL,2,PARTIAL_LEVEL,0.7607944428941077,5
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL,2,PURE_LEVEL,0.441225266338631,20
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL,2,RESIDUAL_SHAPE,1.3450651122177832,23
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL,3,ALREADY_GOOD,0.6638591083898595,51
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL,3,PARTIAL_LEVEL,0.8092411987259274,5
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL,3,PURE_LEVEL,0.431484917024887,20
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL,3,RESIDUAL_SHAPE,1.2968496142619055,23
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL,5,ALREADY_GOOD,0.6485857464602993,51
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL,5,PARTIAL_LEVEL,0.8407621125852254,5
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL,5,PURE_LEVEL,0.4242099722471028,20
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL,5,RESIDUAL_SHAPE,1.2869562710656666,23
