model,split_seed,extractant,n_rows,mae,offset_abs,bias,shape_mae,y_sd,rank_spearman,nn_train_tanimoto,nn_base_tanimoto,n_metals,n_conditions,n_series,ecfp_cluster,tanimoto_cluster,y_mean,prediction_mean,n_batches,n_publications,frac_name_mismatch,frac_aqueous_complexant,donor__n_total,DENTATE,coreCN,mechanism,mean_mae_over_seeds,is_worst
TREE_MC_lig2d_ext_massaction,130363,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,14,2.5691663468025117,2.5691663468025117,2.5691663468025117,0.38586026931094664,0.3466509986299608,-0.3010989010989011,0.65625,0.65625,14,1,1,db04e144e1ea83eb,tan069,-2.612219409492279,-0.043053062689767205,1,1,0.0,0.0,3.0,3.0,8.5,SINGLE_BATCH,2.5968474791429372,True
TREE_MC_lig2d_ext_massaction,155921,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,14,2.650110546957515,2.650110546957515,2.650110546957515,0.3797344375731792,0.3466509986299608,-0.35824175824175825,0.65625,0.65625,14,1,1,db04e144e1ea83eb,tan069,-2.612219409492279,0.037891137465236424,1,1,0.0,0.0,3.0,3.0,8.5,SINGLE_BATCH,2.5968474791429372,True
TREE_MC_lig2d_ext_massaction,196613,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,14,2.5836959905620027,2.5836959905620027,2.5836959905620027,0.37885543796765037,0.3466509986299608,-0.410989010989011,0.65625,0.65625,14,1,1,db04e144e1ea83eb,tan069,-2.612219409492279,-0.028523418930276108,1,1,0.0,0.0,3.0,3.0,8.5,SINGLE_BATCH,2.5968474791429372,True
TREE_MC_lig2d_ext_massaction,262147,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,14,2.5453078619270677,2.5453078619270677,2.5453078619270677,0.3808431683197524,0.3466509986299608,-0.46373626373626364,0.65625,0.65625,14,1,1,db04e144e1ea83eb,tan069,-2.612219409492279,-0.06691154756521103,1,1,0.0,0.0,3.0,3.0,8.5,SINGLE_BATCH,2.5968474791429372,True
TREE_MC_lig2d_ext_massaction,104729,CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,13,2.522119096250411,2.522119096250411,2.522119096250411,0.39087473258625427,0.3461964277793848,-0.14835164835164835,0.65625,0.65625,13,1,1,db04e144e1ea83eb,tan069,-2.4883045687968255,0.03381452745358605,1,1,0.0,0.0,3.0,3.0,8.538461538461538,SINGLE_BATCH,2.489943737339522,True
TREE_MC_lig2d_ext_massaction,130363,CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,13,2.4735077400800067,2.4735077400800067,2.4735077400800067,0.3862062195444466,0.3461964277793848,0.0879120879120879,0.65625,0.65625,13,1,1,db04e144e1ea83eb,tan069,-2.4883045687968255,-0.01479682871681828,1,1,0.0,0.0,3.0,3.0,8.538461538461538,SINGLE_BATCH,2.489943737339522,True
TREE_MC_lig2d_ext_massaction,155921,CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,13,2.5313004851282273,2.5313004851282273,2.5313004851282273,0.3654134732292963,0.3461964277793848,-0.1758241758241758,0.65625,0.65625,13,1,1,db04e144e1ea83eb,tan069,-2.4883045687968255,0.04299591633140254,1,1,0.0,0.0,3.0,3.0,8.538461538461538,SINGLE_BATCH,2.489943737339522,True
TREE_MC_lig2d_ext_massaction,196613,CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,13,2.494051889732477,2.494051889732477,2.494051889732477,0.36000990864555227,0.3461964277793848,-0.14835164835164835,0.65625,0.65625,13,1,1,db04e144e1ea83eb,tan069,-2.4883045687968255,0.005747320935651322,1,1,0.0,0.0,3.0,3.0,8.538461538461538,SINGLE_BATCH,2.489943737339522,True
TREE_MC_lig2d_ext_massaction,262147,CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,13,2.4287394755064895,2.4287394755064895,2.4287394755064895,0.3605600827600224,0.3461964277793848,-0.15384615384615383,0.65625,0.65625,13,1,1,db04e144e1ea83eb,tan069,-2.4883045687968255,-0.05956509329033623,1,1,0.0,0.0,3.0,3.0,8.538461538461538,SINGLE_BATCH,2.489943737339522,True
TREE_MC_lig2d_ext_massaction,104729,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOc1cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,15,2.4414898206983224,2.4414898206983224,-2.4414898206983224,1.0524182257534855,1.295248415326856,-0.039285714285714285,0.46153846153846156,0.41379310344827586,1,15,2,9db9de2b3a1d3dfe,tan055,1.155744441271032,-1.28574537942729,4,2,0.0,0.0,3.0,3.0,9.0,LEVEL_ONLY,2.375324014101209,True
