extractant,extractant_name,n_rows_bundle,n_lanthanides_bundle,n_lanthanides_after_quarantine,n_rows_todga_quarantined,n_rows_sentinel,n_missing_publication_id,n_publications,in_chem_map,chemotype,chem_family,n_cells_frozen,n_cells_no_pub_in_key,n_cells_key_relaxed,n_cells_key_series,n_cells_key_none,n_cells_no_quarantine,exclusion_rule,kept,n_cells_frozen_gt0
CCCCCCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCCCCCC,DMDDdDGA,22,1,1,0,1,0,1,True,sc009,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCCCCCC,DEDDdDGA,26,1,1,0,1,0,1,True,sc009,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCCCCCC,DPDDdDGA,26,1,1,0,0,0,1,True,sc009,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCCCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCCCCCCCCCC,DBDDdDGA,22,1,1,0,1,0,1,True,sc009,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,D3DODGA,35,1,1,0,0,0,3,True,sc009,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCCCCCNC(=O)c1cc(=O)cc(C(=O)NCCCCCCCCCCCC)o1,DO-PyranDGA,3,1,1,0,0,0,1,True,sc022,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCCCCCNC(=O)c1cc(OC)ccn1,NDMPIC,2,1,1,0,0,0,1,True,sc023,amide_other,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCCCCCNCC(=O)c1cccc(C(=O)CNCCCCCCCCCCCC)n1,NDDIPIC,1,1,1,0,0,0,1,True,sc024,other,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCCCCCOCc1cc(-n2ccc(C)n2)nc(-n2ccc(C)n2)c1,3-Me-N-DP(DOM)P,2,1,1,0,0,0,1,True,sc025,n_heterocyclic_polydentate,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCCCCCOCc1cc(-n2cccn2)nc(-n2cccn2)c1,N-DP(DOM)P,6,1,1,0,0,0,1,True,sc026,n_heterocyclic_polydentate,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCCCCCOc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,L2b,1,1,1,0,0,0,1,True,sc009,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCN(C)C(=O)COCC(=O)N(C)Cc1cccc(CN(C)C(=O)COCC(=O)N(C)CCCCCCCC)c1,L4,1,1,1,0,0,0,1,True,sc009,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCN(C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(C)CCCCCCCC)c1,L1d,1,1,1,0,0,0,1,True,sc009,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,TWE-8,2,1,1,0,0,0,1,True,sc032,amide_other,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,NEA16,12,1,1,0,0,0,2,True,sc034,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCN(CCCCCCCC)C(=O)C1CCC(C(=O)N(CCCCCCCC)CCCCCCCC)O1,LLL14,5,1,1,0,0,0,1,True,sc035,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCN(CCCCCCCC)C(=O)CCOCCC(=O)N(CCCCCCCC)CCCCCCCC,TWE-1,2,1,1,0,0,0,1,True,sc037,amide_other,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)C(C)=O,TWE-10,2,1,1,0,0,0,1,True,sc032,amide_other,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)Cc1ccccc1,TWE-7,2,1,1,0,0,0,1,True,sc038,amide_other,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,TWE-9,2,1,1,0,0,0,1,True,sc039,amide_other,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCN(CCCCCCCC)C(=O)CNCC(=O)N(CCCCCCCC)CCCCCCCC,TWE-6,2,1,1,0,0,0,1,True,sc036,amide_other,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(CCCC)CCCC,TWE-36,6,1,1,0,0,0,1,True,sc040,phosphoryl,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(OCCCC)OCCCC,TWE-35,6,1,1,0,0,0,1,True,sc041,phosphoryl,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCN(CCCCCCCC)C(=O)CO,DOHyA,10,1,1,0,0,0,1,True,sc036,amide_other,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCN(CCCCCCCC)C(=O)COC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,NEA15,12,1,1,0,0,0,2,True,sc042,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCN(CCCCCCCC)C(=O)COC(C)C(=O)N(CCCCCCCC)CCCCCCCC,10a,12,1,1,0,0,0,2,True,sc043,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCC1,DOpyrDGA,16,1,1,0,0,0,1,True,sc044,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCCC1,DOpipDGA,12,1,1,0,0,0,1,True,sc044,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCOCC1,DOmorDGA,12,1,1,0,0,0,1,True,sc044,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,LL7,11,1,1,0,0,0,1,True,sc009,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,L6b,1,1,1,0,0,0,1,True,sc009,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,L5b,1,1,1,0,0,0,1,True,sc009,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,LL9,23,1,1,0,0,0,1,True,sc009,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOc1cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,HOOxyBenDGA,15,1,1,0,0,0,2,True,sc009,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,HOAmBenDGA,15,1,1,0,0,0,2,True,sc009,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCOCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,L8,1,1,1,0,0,0,1,True,sc009,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCc1c(CC)c(CCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c(CC)c(CCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1CC,HOEtBenDGA,16,1,1,0,0,0,2,True,sc009,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1ccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc1,LL3,9,1,1,0,0,0,1,True,sc009,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,L1e,37,1,1,0,0,0,1,True,sc009,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(CCCC)CCCC,TWE-34,6,1,1,0,0,0,1,True,sc045,phosphoryl,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(OCCCC)OCCCC,TWE-33,6,1,1,0,0,0,1,True,sc046,phosphoryl,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc(C(=O)N(CCCCCCCC)CCCCCCCC)o1,TWE-16,2,1,1,0,0,0,1,True,sc047,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc(C(=O)N(CCCCCCCC)CCCCCCCC)s1,T8-THP-CAM,4,1,1,0,0,0,1,True,sc048,amide_other,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccccc2n1,2DOQA,1,1,1,0,0,0,1,True,sc029,amide_other,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCN(CCCCCCCC)C(=S)c1ccc(C(=S)N(CCCCCCCC)CCCCCCCC)s1,T8-THP-TAM,4,1,1,0,0,0,1,True,sc049,sulfur_donor,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1,T8-PHEN-TAM,12,1,1,0,0,0,1,True,sc050,n_heterocyclic_polydentate,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCNC(=O)c1cc(Cl)ccn1,NOCPIC,1,1,1,0,0,0,1,True,sc051,amide_other,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCNC(=O)c1cc(OC)ccn1,NOMPIC,2,1,1,0,0,0,1,True,sc023,amide_other,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCNC(=O)c1cnccn1,OPYR,1,1,1,0,0,0,1,True,sc052,n_heterocyclic_polydentate,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCOc1cc(C(=O)N(C)c2ccc(C(C)(C)C)cc2)nc(C(=O)N(C)c2ccc(C(C)(C)C)cc2)c1,CHELI2,3,1,1,0,0,0,1,True,sc053,amide_other,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCOc1cc(C(=O)Nc2ccc(C(C)(C)C)cc2)nc(C(=O)Nc2ccc(C(C)(C)C)cc2)c1,CHELI1,1,1,1,0,0,0,1,True,sc054,amide_other,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCCCn1cc(-c2cc(CC(=O)O)cc(-c3cn(CCCCCCCC)nn3)n2)nn1,EsPyTri,5,1,1,0,0,0,1,True,sc056,n_heterocyclic_polydentate,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCN(CCCCCC)C(=O)COCC(=O)N1CCCC1,DHpyrDGA,14,1,1,0,0,0,1,True,sc044,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCN(CCCCCC)C(=O)COCC(=O)N1CCCCC1,DHpipDGA,8,1,1,0,0,0,1,True,sc044,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCN(CCCCCC)C(=O)COCC(=O)N1CCOCC1,DHmorDGA,8,1,1,0,0,0,1,True,sc044,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCN(CCCCCC)C(=O)c1ccc2ccc3cccnc3c2n1,C6-PTA,6,1,1,0,0,0,1,True,sc029,n_heterocyclic_polydentate,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCCOc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,L2a,1,1,1,0,0,0,1,True,sc009,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCN(CCCCC)C(=O)COCC(=O)N(CCCCC)CCCCC,TPDGA,3,1,1,0,0,0,2,True,sc009,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCN(CCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCC)CCCC,TBEE-BisDGA,6,1,1,0,0,0,1,True,sc009,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCN(CCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCC)CCCC)C(C)C)C(C)C,TBi-PE-BisDGA,6,1,1,0,0,0,1,True,sc009,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCN(CCCC)C(=O)COCC(=O)NCCCCCCNC(=O)COCC(=O)N(CCCC)CCCC,L6a,1,1,1,0,0,0,1,True,sc009,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCN(CCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCC)CCCC,L5a,1,1,1,0,0,0,1,True,sc009,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCN(CCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,L1c,1,1,1,0,0,0,1,True,sc009,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCN(CCCC)C(=O)c1ccc2ccc3cccnc3c2n1,C4-PTA,6,1,1,0,0,0,1,True,sc029,n_heterocyclic_polydentate,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCOP(=S)(COCP(=S)(OCCCC)OCCCC)OCCCC,TWE-29,6,1,1,0,0,0,1,True,sc064,sulfur_donor,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCOP(=S)(CP(=S)(OCCCC)OCCCC)OCCCC,TWE-24,6,1,1,0,0,0,1,True,sc065,sulfur_donor,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCP(=S)(CCCC)COCP(=S)(CCCC)CCCC,TWE-27,6,1,1,0,0,0,1,True,sc066,sulfur_donor,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCP(=S)(CCCC)CP(=S)(CCCC)CCCC,TWE-23,6,1,1,0,0,0,1,True,sc067,sulfur_donor,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCN(CC)C(=O)COc1c2cc(OC)cc1Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)Cc1cc(OC)cc(c1OCC(=O)N(CC)CC)C2,CA12,1,1,1,0,0,0,1,True,sc072,amide_other,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCN(CC)C(=O)c1ccc2ccc3cccnc3c2n1,C2-PTA,14,1,1,0,0,0,1,True,sc029,n_heterocyclic_polydentate,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCOP(=O)(OCC)c1ccc2ccc3ccc(P(=O)(OCC)OCC)nc3c2n1,2-9-bis(diethoxyphosphoryl)-1-10-phenanthroline,3,1,1,0,0,0,1,True,sc073,phosphoryl,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCOP(=S)(COCP(=S)(OCC)OCC)OCC,TWE-28,6,1,1,0,0,0,1,True,sc074,sulfur_donor,0,0,0,0,0,0,single_metal_in_bundle,False,False
Cc1cc(-c2cc(C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,MeCyMe4-BTBP,16,1,1,0,0,0,1,True,sc003,n_heterocyclic_polydentate,0,0,0,0,0,0,single_metal_in_bundle,False,False
Cc1cc(C)n(-c2cccc(-n3nc(C)cc3C)n2)n1,3-5-diMe-N-DPP,6,1,1,0,0,0,1,True,sc079,n_heterocyclic_polydentate,0,0,0,0,0,0,single_metal_in_bundle,False,False
Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,3-5-diMe-N-DPPz,6,1,1,0,0,0,1,True,sc080,n_heterocyclic_polydentate,0,0,0,0,0,0,single_metal_in_bundle,False,False
Cc1ccn(-c2cccc(-n3ccc(C)n3)n2)n1,3-Me-N-DPP,7,1,1,0,0,0,1,True,sc081,n_heterocyclic_polydentate,0,0,0,0,0,0,single_metal_in_bundle,False,False
Cc1ccn(-c2cncc(-n3ccc(C)n3)n2)n1,3-Me-N-DPPz,1,1,1,0,0,0,1,True,sc082,n_heterocyclic_polydentate,0,0,0,0,0,0,single_metal_in_bundle,False,False
O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCc5ccccc54)nc3c2n1)N1CCc2ccccc21,[4-7-dichloro-9-(2-3-dihydroindole-1-carbonyl)-1-10-phenanthrolin-2-yl]-(2-3-dihydroindol-1-yl)methanone,1,1,1,0,0,0,1,True,sc087,n_heterocyclic_polydentate,0,0,0,0,0,0,single_metal_in_bundle,False,False
O=C(c1ccc2ccc3ccc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,[9-(pyrrolidine-1-carbonyl)-1-10-phenanthrolin-2-yl]-pyrrolidin-1-ylmethanone,1,1,1,0,0,0,1,True,sc088,n_heterocyclic_polydentate,0,0,0,0,0,0,single_metal_in_bundle,False,False
O=C(c1cccc(C(=O)N2CCCC2)n1)N1CCCC1,[6-(pyrrolidine-1-carbonyl)-2-pyridinyl]-pyrrolidin-1-ylmethanone,1,1,1,0,0,0,1,True,sc089,amide_other,0,0,0,0,0,0,single_metal_in_bundle,False,False
O=C(c1ccccc1)c1ccc2ccccc2n1,2PQM,6,1,1,0,0,0,1,True,sc090,other,0,0,0,0,0,0,single_metal_in_bundle,False,False
O=P(c1ccccc1)(c1ccccc1)c1ccc2ccc3ccc(P(=O)(c4ccccc4)c4ccccc4)nc3c2n1,2-9-bis(diphenylphosphoryl)-1-10-phenanthroline,3,1,1,0,0,0,1,True,sc091,phosphoryl,0,0,0,0,0,0,single_metal_in_bundle,False,False
S=P(COCP(=S)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,TWE-30,6,1,1,0,0,0,1,True,sc093,sulfur_donor,0,0,0,0,0,0,single_metal_in_bundle,False,False
S=P(S)(c1ccccc1Cl)c1ccccc1Cl,(ClPh)2PSSH,1,1,1,0,0,0,1,True,sc094,sulfur_donor,0,0,0,0,0,0,single_metal_in_bundle,False,False
c1cc(-n2cccn2)nc(-n2cccn2)c1,N-DPP,2,1,1,0,0,0,1,True,sc095,n_heterocyclic_polydentate,0,0,0,0,0,0,single_metal_in_bundle,False,False
