split_seed,model,macro_mae,offset_mae,shape_mae,shape_r2,macro_mae_ligand,pooled_mae,pooled_r2,offset_share_of_sse,median_ligand_mae,worst_quartile_ligand_mae,rank_spearman,sign_accuracy,frac_within_0_5_log,frac_within_1_log,prediction_dispersion_ratio,n_rows,n_ligands,n_ecfp_clusters,n_superclusters,n_eff_pooled_rows,n_macro_units,nn_lt_0_4__macro_mae,nn_lt_0_4__offset_mae,nn_lt_0_4__shape_mae,nn_lt_0_4__n_rows,nn_lt_0_6__macro_mae,nn_lt_0_6__offset_mae,nn_lt_0_6__shape_mae,nn_lt_0_6__n_rows
104729,B_LN_EXPANDED|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.9958883674110622,0.8592163158954318,0.4805114252528028,0.25482970660437165,1.011175031613292,1.1807128984252873,0.21188612993539568,0.5333158006225258,0.8994144317514949,1.9601184655461164,0.5167324547880686,0.6666452080906159,0.2896341463414634,0.48647103658536583,0.49678285015996326,5248,152,131,79,6.256051615740402,131,0.9266187570173327,0.7908986398540137,0.3610245580110601,396,1.0866985388899248,0.9686849559941599,0.4959208954965015,1282
130363,B_LN_EXPANDED|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.9520505731306299,0.7968723428946041,0.47921606979248016,0.29597231338107755,0.9653654910362107,1.0802285507393323,0.32594567537218466,0.48447304977440236,0.8591282259863369,1.8738935761624773,0.47124984771969064,0.6809271989021584,0.3010670731707317,0.5480182926829268,0.5410062871810284,5248,152,131,79,6.256051615740402,131,0.8378492423224959,0.7236772820557802,0.3578176908495997,433,1.0167592760390065,0.8580404982592817,0.47731614577911197,1372
155921,B_LN_EXPANDED|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.9560104893160842,0.7965514028062346,0.47425747595576173,0.31250189320353094,0.9702739523271081,1.0858743326511706,0.32923076262363526,0.49411138661882986,0.8537255420110654,1.8850240782807033,0.4353102047240689,0.6923374041822241,0.2963033536585366,0.5219131097560976,0.5361185876414627,5248,152,131,79,6.256051615740402,131,0.8800132601888645,0.6930127529577764,0.41125189750865554,397,1.0901365750821261,0.8948585485559701,0.5181053089508862,1829
196613,B_LN_EXPANDED|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.9737232988309504,0.7956099182136631,0.472140088137905,0.30817067246916896,0.9663642301629343,1.0879432870722547,0.3033203917537326,0.5098574520231083,0.8869231930065727,1.8826144329684056,0.4292061823839487,0.6951223086496903,0.30659298780487804,0.5356326219512195,0.5146071666298039,5248,152,131,79,6.256051615740402,131,0.891079159212839,0.7204469021655556,0.39631469382082135,406,1.0965853892824284,0.9041752181459797,0.5150468682622351,1159
262147,B_LN_EXPANDED|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,1.0070981673226713,0.8705729889770633,0.48468970086189356,0.29635184858930885,1.0344563856456528,1.1483625408552391,0.24093318374063633,0.5424568268908169,0.9030682605436238,2.064859293597788,0.4212363129267571,0.6977444419671129,0.2963033536585366,0.5070503048780488,0.4768919049637089,5248,152,131,79,6.256051615740402,131,0.9672114448323589,0.7974931271548634,0.404012936058429,406,1.1618913153620198,0.9984471775724421,0.5446098432865818,1273
104729,C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.9275758948207433,0.7753183042428239,0.48442745038057156,0.22530822584710986,0.9515740935622418,1.1570947873163522,0.2486013168575486,0.4911203901036173,0.8937593933984798,1.7828313232328072,0.4979159902248651,0.6535701313369531,0.2738185975609756,0.4948551829268293,0.5441178920533482,5248,152,131,79,6.256051615740402,131,0.8716940565889945,0.730209051923022,0.36132178016295247,396,1.0009192250052943,0.820422395427112,0.5017458565485244,1282
130363,C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.9101990220225074,0.7623321207842227,0.48416111429045977,0.29289395414395714,0.9377296439353159,1.1034677299308953,0.28654375071514404,0.5108143160860206,0.8314870406993895,1.7975381931878511,0.46891654348739953,0.698997413456516,0.3022103658536585,0.541920731707317,0.5667794426532886,5248,152,131,79,6.256051615740402,131,0.8342199217696976,0.7331360420702661,0.3443574315742354,433,0.9463015436804874,0.7706205707255628,0.47783850643754533,1372
155921,C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.9006043792232937,0.7378089938223668,0.4751118990421581,0.33028243460722184,0.9250036892766992,1.0936138867562941,0.3193699859431499,0.514334640652219,0.8423642716521718,1.7498190742221447,0.4563659599383389,0.7046923101884273,0.30316310975609756,0.5276295731707317,0.5462477008819531,5248,152,131,79,6.256051615740402,131,0.9045862998647703,0.7289249460272944,0.42456788463366024,397,1.0117878163087428,0.7800826770208966,0.5342612414650854,1829
196613,C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.926749224010014,0.7790311097338697,0.47423666855772323,0.29928042846962233,0.9426798097110832,1.1316285883429702,0.24055194580910777,0.5445898468779556,0.8406915364143657,1.81221877959451,0.42693418974627506,0.6954740199449614,0.3001143292682927,0.5327743902439024,0.5517280671534488,5248,152,131,79,6.256051615740402,131,0.8961036193282766,0.7843002328079235,0.40426069366489503,406,1.0036317879996213,0.8279835686929053,0.5211010459579073,1159
262147,C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.9553770297614741,0.8140994381778314,0.48590374099558215,0.2699535125447957,0.9875757043832951,1.1571629870101827,0.24129758028513892,0.5250634629808326,0.9173180668493617,1.8816177367058988,0.411296204707672,0.6827045970550459,0.2732469512195122,0.4965701219512195,0.5436834105944439,5248,152,131,79,6.256051615740402,131,0.920604199128159,0.7900511214490858,0.40035118048316554,406,1.0727258034062974,0.877086295641806,0.5515702112638475,1273
104729,D_LN_PLUS_NON_ACTINIDE|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,1.0526836620769149,0.919049349556374,0.48272863556659923,0.24321893975470066,1.065160429243125,1.1720813384485014,0.21983210778102003,0.5212170059155101,0.9037878914916391,2.1570116817005704,0.5086450772080086,0.6629674175074765,0.2764862804878049,0.4916158536585366,0.5264577474160275,5248,152,131,79,6.256051615740402,131,0.9838740980575359,0.9144485321946112,0.35572276234397726,396,1.1529544856999154,1.033591420263005,0.49783029698499837,1282
130363,D_LN_PLUS_NON_ACTINIDE|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,1.018932809428407,0.8510316269675977,0.47838606569761,0.3126713939325485,1.0125216633648753,1.0493619597585044,0.3518860866732052,0.47655674342779064,0.8390520109005449,2.066377892319757,0.48676151865695466,0.6939358064080542,0.31478658536585363,0.5527820121951219,0.5519840600950092,5248,152,131,79,6.256051615740402,131,0.8953740177221693,0.8401456583377351,0.3714505159750141,433,1.1237545531847515,0.9794558657519497,0.47656717081419014,1372
155921,D_LN_PLUS_NON_ACTINIDE|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.9843028007513747,0.8076066267042098,0.47962373205599984,0.314117153555738,0.9747988567163781,1.045504292316465,0.37190565394967234,0.4610089022615422,0.8579057559963097,1.9811776869882614,0.42919234215437113,0.6975586421013075,0.3128810975609756,0.5423018292682927,0.5327906589801608,5248,152,131,79,6.256051615740402,131,0.9689563920115688,0.8792515368360723,0.43219289892374,397,1.177263119977713,0.9947642397278946,0.5240654402398419,1829
196613,D_LN_PLUS_NON_ACTINIDE|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,1.0270559524780234,0.8780587111931744,0.46929580029460677,0.2909779095673152,1.0200356642466488,1.1265932347272567,0.22623862042214626,0.5477180542361695,0.8848250109039368,2.068859727860342,0.45598488927180914,0.6949867532546379,0.3071646341463415,0.5299161585365854,0.5024001341588599,5248,152,131,79,6.256051615740402,131,1.107632341647479,1.0156524366369324,0.39633695383828355,406,1.1998231287797487,1.0652508243966994,0.5074333272138352,1159
262147,D_LN_PLUS_NON_ACTINIDE|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,1.0501303514118732,0.9072067273683405,0.48568369455255167,0.3034668516807949,1.0576018889470382,1.1256073302162992,0.27504401858223004,0.5257725523493354,0.9480810257902396,2.1076363332813783,0.4355939051510591,0.6919736551491685,0.2928734756097561,0.5116234756097561,0.5133607592919941,5248,152,131,79,6.256051615740402,131,1.1165788709519482,1.0083413119230407,0.40707943764851323,406,1.2395978450738796,1.099682583998793,0.5415371646562178,1273
104729,E_LN_PLUS_ALL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.9350858909179227,0.7864008069451951,0.48544022473230986,0.22990768820067442,0.9628476784390163,1.1638401478979563,0.23850680820952974,0.5008474461099176,0.9046945106638666,1.8052940826743278,0.49301652652659467,0.6596879190310354,0.27210365853658536,0.49790396341463417,0.5492398650565401,5248,152,131,79,6.256051615740402,131,0.8735996320257694,0.7169114866757405,0.3635367043576844,396,1.0101672084887718,0.8295960037969432,0.5041891433370254,1282
