arm,subset,gain,macro_mae,pooled_mae,n_pairs
M_PHYSICS_radius+radius_sq,far(gap>=7),1.2,0.7599400959046089,0.8453578368894054,17410
M_PHYSICS_radius+radius_sq,far(gap>=7),1.25,0.7628586958935549,0.8436109132058331,17410
M_PHYSICS_radius+radius_sq,far(gap>=7),1.3,0.7664246943045894,0.8432209099729592,17410
M_PHYSICS_radius+radius_sq,far(gap>=7),1.35,0.7708129308873822,0.8446491506685285,17410
M_PHYSICS_radius+radius_sq,far(gap>=7),1.4,0.7759904394356326,0.8477085748825631,17410
M_PHYSICS_radius+radius_sq,far(gap>=7),1.45,0.7818335381936177,0.85226148693916,17410
M_PHYSICS_radius+radius_sq,far(gap>=7),1.5,0.7883821635672772,0.8581630424216224,17410
M_PHYSICS_radius+radius_sq,far(gap>=7),1.55,0.7957609050146665,0.8654570849861214,17410
M_PHYSICS_radius+radius_sq,far(gap>=7),1.6,0.8039632418502537,0.8740609779094225,17410
M_PHYSICS_radius+radius_sq,far(gap>=7),1.65,0.8129247434651239,0.8836585753590598,17410
M_PHYSICS_radius+radius_sq,far(gap>=7),1.7,0.8227056748974331,0.8942833203101339,17410
M_PHYSICS_radius+radius_sq,far(gap>=7),1.75,0.8332967209200784,0.9059264527754414,17410
M_PHYSICS_radius+radius_sq,far(gap>=7),1.8,0.8446265745683113,0.9184711342078186,17410
M_PHYSICS_radius+radius_sq,far(gap>=7),1.85,0.8566743391090513,0.931987955468332,17410
M_PHYSICS_radius+radius_sq,far(gap>=7),1.9,0.8692892870498976,0.9464051785432734,17410
M_PHYSICS_radius+radius_sq,far(gap>=7),1.95,0.8824094881685877,0.9617573370005944,17410
M_PHYSICS_radius+radius_sq,far(gap>=7),2.0,0.8959692635789318,0.9779863383046549,17410
M_LOWRANK_K2,all,0.8,0.4980432847636826,0.5036175974495528,70750
M_LOWRANK_K2,all,0.85,0.4967822334066712,0.4992271213148947,70750
M_LOWRANK_K2,all,0.9,0.4959832861736784,0.4954465891356449,70750
M_LOWRANK_K2,all,0.95,0.49555358452924303,0.49227909345054915,70750
M_LOWRANK_K2,all,1.0,0.49549797750991226,0.489728587124164,70750
M_LOWRANK_K2,all,1.05,0.49580910673333634,0.48778493495153363,70750
M_LOWRANK_K2,all,1.1,0.49650250905915694,0.4864953241175868,70750
M_LOWRANK_K2,all,1.15,0.49763653904118577,0.4858673806636176,70750
M_LOWRANK_K2,all,1.2,0.4992465943887412,0.4859184976600746,70750
M_LOWRANK_K2,all,1.25,0.5013612068169621,0.48665981852112583,70750
M_LOWRANK_K2,all,1.3,0.5039344252519615,0.48803440419661825,70750
M_LOWRANK_K2,all,1.35,0.5068971675395195,0.49003259601964005,70750
M_LOWRANK_K2,all,1.4,0.5103216361399378,0.49270582102602734,70750
M_LOWRANK_K2,all,1.45,0.5142188301892909,0.49601824344263734,70750
M_LOWRANK_K2,all,1.5,0.5185992819020835,0.4999858820209594,70750
