regime,split_seed,fold,n_train_ligands,n_design_columns,model,lambda_fixed,lambda_ligand,inner_macro_mae,n_grid_points
unseen_series,196613,3,125,129,C3_SHARED_RIDGE,10.0,0.1,,0
unseen_series,196613,4,134,129,MONO_RIDGE,100.0,,1.0965977085151368,3
unseen_series,196613,4,134,129,C1_HIER_RIDGE,10.0,0.1,1.0466229417428583,15
unseen_series,196613,4,134,129,C3_SHARED_RIDGE,10.0,0.1,,0
unseen_series,262147,0,132,129,MONO_RIDGE,100.0,,1.0822133391270936,3
unseen_series,262147,0,132,129,C1_HIER_RIDGE,100.0,1.0,1.0493725565515386,15
unseen_series,262147,0,132,129,C3_SHARED_RIDGE,100.0,1.0,,0
unseen_series,262147,1,131,129,MONO_RIDGE,100.0,,1.0627644196114618,3
unseen_series,262147,1,131,129,C1_HIER_RIDGE,10.0,0.1,1.012175690745629,15
unseen_series,262147,1,131,129,C3_SHARED_RIDGE,10.0,0.1,,0
unseen_series,262147,2,133,129,MONO_RIDGE,100.0,,1.0981659199798381,3
unseen_series,262147,2,133,129,C1_HIER_RIDGE,10.0,1.0,1.0684924366750346,15
unseen_series,262147,2,133,129,C3_SHARED_RIDGE,10.0,1.0,,0
unseen_series,262147,3,129,129,MONO_RIDGE,100.0,,1.0622794880283275,3
unseen_series,262147,3,129,129,C1_HIER_RIDGE,10.0,0.1,1.0350605773178216,15
unseen_series,262147,3,129,129,C3_SHARED_RIDGE,10.0,0.1,,0
unseen_series,262147,4,130,129,MONO_RIDGE,100.0,,1.140619253076025,3
unseen_series,262147,4,130,129,C1_HIER_RIDGE,10.0,0.1,1.0549944282222141,15
unseen_series,262147,4,130,129,C3_SHARED_RIDGE,10.0,0.1,,0
