design,seed,fold,order,draw,k,cells_at_k,cell_share_at_k,overlap_top_k_by_cells,overlap_top_k_by_richcells
B,155921,3,AOPT,0,6,17.0,0.16037735849056603,0.16666666666666666,0.16666666666666666
B,155921,3,AOPT,0,9,21.0,0.19811320754716982,0.3333333333333333,0.2222222222222222
B,155921,3,AOPT,0,12,35.0,0.330188679245283,0.5,0.5
B,155921,3,AOPT,0,16,58.0,0.5471698113207547,0.625,0.625
B,155921,3,AOPT,0,20,84.0,0.7924528301886793,0.75,0.8
B,155921,3,AOPT,0,24,94.0,0.8867924528301887,0.8333333333333334,0.8333333333333334
B,155921,3,MAXMIN,0,6,8.0,0.07547169811320754,0.0,0.0
B,155921,3,MAXMIN,0,9,11.0,0.10377358490566038,0.0,0.0
B,155921,3,MAXMIN,0,12,14.0,0.1320754716981132,0.08333333333333333,0.08333333333333333
B,155921,3,MAXMIN,0,16,20.0,0.18867924528301888,0.25,0.25
B,155921,3,MAXMIN,0,20,40.0,0.37735849056603776,0.5,0.5
