model,set,target,value,rho,p,n,loco_min,loco_max,loco_sign_stable,n_loco,partial_rho_n_metals,ci95_low,ci95_high,n_boot,ci_excludes_zero,rho_chemotype_means,n_chemotypes,clears_familywise_bar
SPECIES,S3,abs_a,quad,-0.11952288218111003,0.29409697662467904,79,-0.17502776749352092,0.02323991797676008,False,40,-0.08752606663666579,-0.32200550256383903,0.18449624536941017,2000,False,0.03665608928766823,38,False
SPECIES,S3,b,quad,0.02134858812074002,0.8518588596715883,79,-0.03526999316473001,0.05780295653713374,False,40,0.001221342718195045,-0.26982580604784595,0.20354531060069903,2000,False,-0.16577306050990262,38,False
SPECIES_CONST,S8,a,quad,0.03508771929824562,0.8866031221985,19,-0.12009803921568628,0.1413828689370485,False,40,0.04658812477666569,,,0,False,0.01098901098901099,14,False
SPECIES_CONST,S8,abs_a,quad,0.06140350877192983,0.8028068323384662,19,-0.06764705882352941,0.1826625386996904,False,40,0.11393556836481436,,,0,False,-0.01098901098901099,14,False
SPECIES_CONST,S8,b,quad,-0.015789473684210527,0.9488461264555136,19,-0.12280701754385966,0.09313725490196079,False,40,-0.08734328431850175,,,0,False,0.05054945054945055,14,False
SPECIES_CONST,S14,a,quad,0.4000000000000001,0.22286835013352,11,0.15,0.6727272727272726,True,40,0.38981938376529196,,,0,False,,8,False
SPECIES_CONST,S14,abs_a,quad,0.16363636363636366,0.6306852146425356,11,-0.09523809523809526,0.38181818181818183,False,40,0.13187701208764988,,,0,False,,8,False
SPECIES_CONST,S14,b,quad,0.33636363636363636,0.31182431390038634,11,0.11515151515151514,0.5499999999999999,True,40,0.4127151541111278,,,0,False,,8,False
SPECIES_CONST,S3,a,quad,0.01612903225806452,0.9313728469237479,31,-0.07241379310344825,0.0967741935483871,False,40,0.014182943567480403,-0.3320145178103326,0.38734620043082396,1974,False,0.1274703557312253,23,False
SPECIES_CONST,S3,abs_a,quad,0.12661290322580646,0.4973147635433742,31,0.05939933259176862,0.2389162561576354,True,40,0.1392094883511861,-0.24888745933356715,0.46325503295745074,1974,False,0.0958498023715415,23,False
SPECIES_CONST,S3,b,quad,-0.09072580645161292,0.6274035095319996,31,-0.22466422466422467,0.008210180623973728,False,40,-0.08781803748715956,-0.5183284057195755,0.34665484863552165,1974,False,-0.07114624505928854,23,False
SPECIES_NFILLCOL,S8,a,quad,0.21956133061368388,0.08641206859751911,62,0.1549380851706433,0.26262850791886644,True,40,0.21812439726958455,-0.10410522476570347,0.43159237112572146,2000,False,0.11428571428571425,29,False
SPECIES_NFILLCOL,S8,abs_a,quad,0.029890962201908792,0.8176074477901233,62,-0.06049213943950787,0.23014195107218363,False,40,0.04031430035711174,-0.24269263919394576,0.4181784592460681,2000,False,0.18374384236453198,29,False
SPECIES_NFILLCOL,S8,b,quad,0.010400141018861274,0.9360572182387444,62,-0.035638779824826335,0.04621893178212585,False,40,0.0021186431655933354,-0.2891861783831539,0.1889709571860804,2000,False,-0.19408866995073887,29,False
SPECIES_NFILLCOL,S14,a,quad,0.2682186234817814,0.09875189028100424,39,0.1376923076923077,0.3362512309880731,True,40,0.26687156498795594,-0.17285343348254692,0.5166755780706347,1895,False,0.11042311661506708,18,False
SPECIES_NFILLCOL,S14,abs_a,quad,-0.05384615384615385,0.7447536812282181,39,-0.15910364145658265,0.19076923076923075,False,40,-0.035582941548722394,-0.3857610364826067,0.4703109491287666,1895,False,0.052631578947368425,18,False
SPECIES_NFILLCOL,S14,b,quad,0.16619433198380568,0.31193537471092825,39,0.09266409266409266,0.23091512565196773,True,40,0.15623699513627434,-0.1478954977342924,0.4386636464530684,1895,False,0.027863777089783277,18,False
SPECIES_NFILLCOL,S3,a,quad,0.22356377799415775,0.047641677825482905,79,0.161244019138756,0.25509933104869814,True,40,0.21710120310823106,-0.050461068142962626,0.4027984326133162,2000,False,0.10799868694605536,38,False
SPECIES_NFILLCOL,S3,abs_a,quad,-0.0818889970788705,0.473096294525334,79,-0.13272861902998892,0.0520164046479836,False,40,-0.06260099316481718,-0.286361946630051,0.22148515699848925,2000,False,0.0784549731918153,38,False
SPECIES_NFILLCOL,S3,b,quad,-0.05708373904576436,0.617291941249345,79,-0.12918660287081338,-0.02388750490016313,True,40,-0.07153802510919043,-0.38126178108720926,0.135078037351452,2000,False,-0.30517562096509465,38,False
