term,coef,se,model
series::CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C||water,3.9759947544863365,0.9273673796800282,NAIVE
series::CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC||nitrate,0.738619855043001,0.6865730041844584,NAIVE
series::CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC||water,5.099454771087955,0.6865730041844582,NAIVE
series::CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCC1||nitrate,2.9440989409204397,2.3843935492867385,NAIVE
series::CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCC1||water,2.0945198900235718,2.3843935492867385,NAIVE
series::CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCCC1||nitrate,2.2429676521633364,2.3843935492867385,NAIVE
series::CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCCC1||water,3.155101405076519,2.3843935492867385,NAIVE
series::CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCOCC1||nitrate,6.041318276430416,2.3843935492867385,NAIVE
series::CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCOCC1||water,6.059212035686781,2.384393549286739,NAIVE
series::CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC||nitrate,2.9176279931325864,2.3843935492867394,NAIVE
series::CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC||nitrate,2.8634139261739806,2.3843935492867385,NAIVE
series::CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC||nitrate,16.26470229892404,2.384393549286739,NAIVE
series::CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCOCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC||nitrate,-2.5095186603043924,2.3843935492867394,NAIVE
series::CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1ccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc1||nitrate,2.587190759868475,2.3843935492867385,NAIVE
