extractant,a,b,abs_a,n_metals,n_cells,chemotype,slope__NAIVE__S8,slope__NAIVE__S14,slope__NAIVE__S3,slope__ELEM__S8,slope__ELEM__S14,slope__ELEM__S3,slope__SPECIES__S8,slope__SPECIES__S14,slope__SPECIES__S3,slope__SPECIES_CONST__S8,slope__SPECIES_CONST__S14,slope__SPECIES_CONST__S3,slope__SPECIES_NFILLCOL__S8,slope__SPECIES_NFILLCOL__S14,slope__SPECIES_NFILLCOL__S3
CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,0.1533720048308666,-0.04141192116807001,0.1533720048308666,14.0,1,sc075,772.4648781560163,772.4648781560163,772.4648781560163,0.17026703624753994,0.17026703624753994,0.17026703624753994,-0.023730441919660263,-0.023730441919660263,-0.023730441919660263,-0.09936974567181964,-0.09936974567181964,-0.09936974567181964,1.5140839998839877,1.5140839998839877,1.5140839998839877
CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,-0.062445406491785004,0.06716189105022351,0.062445406491785004,7.090909090909091,11,sc076,180.57367185293745,180.57367185293745,180.57367185293745,3.9317225569106835,3.9317225569106835,3.9317225569106835,0.07948768627983467,0.07948768627983467,0.07948768627983467,,,,0.0047465778450735685,0.0047465778450735685,0.0047465778450735685
CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,-0.197326731817497,0.09426062174168622,0.197326731817497,14.0,10,sc077,183.7294000929747,,183.7294000929747,5.223535623198447,,5.223535623198447,0.3907144677281996,,0.3907144677281996,,,,0.09790714560420824,,0.09790714560420824
COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,-0.0008875966165786524,0.012944830603059758,0.0008875966165786524,14.0,1,sc078,1139.7229703812618,,1139.7229703812618,-4.636805044881612,,-4.636805044881612,-0.16986931350054058,,-0.16986931350054058,,,,-0.058826919100771924,,-0.058826919100771924
O=C(COCC(=O)N1CCCCC1)N1CCCCC1,0.004449311540707109,0.013481088261819521,0.004449311540707109,14.0,1,sc083,193.83045093240713,193.83045093240713,193.83045093240713,-0.37707618007916666,-0.37707618007916666,-0.37707618007916666,0.07117491331423151,0.07117491331423151,0.07117491331423151,,,,-0.0035661951078508336,-0.0035661951078508336,-0.0035661951078508336
O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,0.054562441955313026,-0.3165374136678865,0.054562441955313026,8.0,1,sc084,,,1786.4553294938441,,,-12.292581934752722,,,-0.12269153298773908,,,-0.1312819171840181,,,-184.95238175597882
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,0.025094939337285523,-0.3347753189843246,0.025094939337285523,8.0,1,sc085,,,1486.062975702533,,,-3.187101823810489,,,-0.24271816068387853,,,-0.34192233754808277,,,-4.588200323719031
O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,0.08628104423457818,0.026469369331320915,0.08628104423457818,14.0,2,sc086,771.8908227259077,771.8908227259077,771.8908227259077,-0.40378839386116594,-0.40378839386116594,-0.40378839386116594,-0.5977858720284284,-0.5977858720284284,-0.5977858720284284,-0.6734251757805307,-0.6734251757805307,-0.6734251757805307,0.9400285697752715,0.9400285697752715,0.9400285697752715
c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,0.06254564584497657,0.13651673151397167,0.06254564584497657,5.0,1,sc096,,,1014.8544557691587,,,0.1602662730854999,,,0.03867346408714281,,,0.17612534723333845,,,2.0552894975494227
c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,0.09925470936310045,-0.015369319454164736,0.09925470936310045,5.0,1,sc097,,,921.3413330712003,,,-0.09554530926836524,,,-0.19836008312496559,,,-0.1406393055038067,,,1.5868334952357945
