pair_label,split_seed,arm,r2
Sm-Yb,104729,PRIOR,-0.8429735096331954
Sm-Lu,104729,PRIOR,-0.4331911522744982
Eu-Ho,104729,PRIOR,-0.5223085976572197
Eu-Er,104729,PRIOR,-0.361392588928537
Ho-Tm,104729,PRIOR_lig2d,0.21267066414281
Ce-Pr,104729,PRIOR_lig2d,0.10333234563649163
Ce-Nd,104729,PRIOR_lig2d,0.25868247389002574
Ce-Sm,104729,PRIOR_lig2d,0.2085431429231439
Ce-Eu,104729,PRIOR_lig2d,0.10028736910200298
Ce-Gd,104729,PRIOR_lig2d,-0.11534522173191641
Ce-Tb,104729,PRIOR_lig2d,-0.34302767707660253
Ce-Dy,104729,PRIOR_lig2d,-0.24899859089966792
Pr-Nd,104729,PRIOR_lig2d,0.22547349755457613
Pr-Sm,104729,PRIOR_lig2d,0.32364843201317384
Pr-Eu,104729,PRIOR_lig2d,0.21718762669340963
Pr-Gd,104729,PRIOR_lig2d,0.26205600648683625
Pr-Tb,104729,PRIOR_lig2d,0.15294668821269408
Pr-Dy,104729,PRIOR_lig2d,0.22553466313251613
Nd-Sm,104729,PRIOR_lig2d,-0.17904436800707613
Nd-Eu,104729,PRIOR_lig2d,-0.08987431571311233
Nd-Gd,104729,PRIOR_lig2d,-0.5175501798833808
Nd-Tb,104729,PRIOR_lig2d,-0.8145894445476103
Nd-Dy,104729,PRIOR_lig2d,-0.6140903500070856
Sm-Eu,104729,PRIOR_lig2d,-0.22910873417024336
Sm-Gd,104729,PRIOR_lig2d,-0.43274800174419337
Sm-Tb,104729,PRIOR_lig2d,-0.509994402774822
Sm-Dy,104729,PRIOR_lig2d,-0.6586536676646384
Eu-Gd,104729,PRIOR_lig2d,-0.13766598508874028
Eu-Tb,104729,PRIOR_lig2d,-0.6622307036940449
Eu-Dy,104729,PRIOR_lig2d,-0.4246748032852947
Gd-Tb,104729,PRIOR_lig2d,-0.09278693504338054
Gd-Dy,104729,PRIOR_lig2d,-0.49106145087496444
Tb-Dy,104729,PRIOR_lig2d,-0.09173908929739838
Nd-Ho,104729,PRIOR_lig2d,-0.7574047166988926
Nd-Er,104729,PRIOR_lig2d,-0.8166461023430065
Sm-Ho,104729,PRIOR_lig2d,-0.6717266080929529
Sm-Er,104729,PRIOR_lig2d,-0.7419661606834418
Gd-Ho,104729,PRIOR_lig2d,-0.36178615887671106
Gd-Er,104729,PRIOR_lig2d,-0.39068552588505034
Dy-Ho,104729,PRIOR_lig2d,-0.03064699819423211
Dy-Er,104729,PRIOR_lig2d,-0.07844161074736178
Ho-Er,104729,PRIOR_lig2d,-5.470434485910225e-05
La-Ce,104729,PRIOR_lig2d,0.039231907050659376
La-Pr,104729,PRIOR_lig2d,0.0782425391947078
La-Eu,104729,PRIOR_lig2d,0.1334084511216722
La-Tb,104729,PRIOR_lig2d,-0.10313165366004151
La-Tm,104729,PRIOR_lig2d,-0.22003413619599144
