arm,axis_label,family,n_comparisons,n_ligands,shift_median__median,shift_median__p90,shift_median__p95,shift_median__max,shift_p90__median,shift_p90__p90,shift_p90__p95,shift_p90__max,shift_p95__median,shift_p95__p90,shift_p95__p95,shift_p95__max,shift_max__median,shift_max__p90,shift_max__p95,shift_max__max,shape_shift_median__median,shape_shift_median__p90,shape_shift_median__p95,shape_shift_median__max,shape_shift_max__median,shape_shift_max__p90,shape_shift_max__p95,shape_shift_max__max,level_shift__median,level_shift__p90,level_shift__p95,level_shift__max
SHAPE_RECOMPOSED,acid,SPARSE,2274,65,0.0423221377473339,0.368179717042653,0.5107602082792047,1.1321221590357275,0.0546862941407409,0.493621459677034,0.6391435393772671,1.2665950173946772,0.0560843907325338,0.5088104178108643,0.6646066280326565,1.283404124689546,0.0575066860000896,0.5291162308714866,0.68145683829201,1.3003428982116838,0.006585602455463,0.3785894758766139,0.5243621599059086,1.1321221590357278,0.010809434089708,0.4154025754387977,0.550081380128987,1.1321221590357278,0.0315844671071132,0.1520956299284159,0.1955613742582963,0.486487513287803
SHAPE_RECOMPOSED,extractant,CONTEXT,210,17,0.0,6.938893903907228e-18,2.7755575615628914e-17,2.220446049250313e-16,0.0,5.051514762044461e-17,8.631984016460583e-17,2.220446049250313e-16,0.0,5.564992910933596e-17,1.0477729794899891e-16,2.220446049250313e-16,0.0,5.759281940242988e-17,1.1102230246251563e-16,2.220446049250313e-16,0.0,6.938893903906834e-19,5.551115123125783e-17,2.220446049250313e-16,0.0,5.551115123125783e-17,1.1102230246251563e-16,2.220446049250313e-16,0.0,4.510281037539639e-18,5.551115123125783e-17,4.440892098500626e-16
SHAPE_RECOMPOSED,extractant,DECOY,420,17,0.127739196811217,0.2522385410393078,0.2852313670278399,0.3508661505452055,0.3655938982797322,0.5642499663190123,0.6044895648562373,0.9788767457569968,0.4281663820852224,0.6483219340752249,0.678008911388011,1.196676993329534,0.4877070385557623,0.7239321074543786,0.7740110692856578,1.4144772409020714,0.1471013053396109,0.2553319675689329,0.2988615521666668,0.4041613232345316,0.4536612379977082,0.6784287292086001,0.7173953626808879,1.2427609983745698,0.0347679957734314,0.0702731424611561,0.0798700761101288,0.1744880210022822
SHAPE_RECOMPOSED,extractant,DENSITY,630,17,0.0125880374692417,0.06428621667028,0.1227782320413366,0.4323844461581358,0.0198407264577462,0.2594517439036208,0.4277315697170982,0.7769549956798283,0.0206434100828919,0.3084195908453795,0.4844312886915695,0.8760063701929668,0.0214721388088181,0.3650265528716419,0.5928414313216775,1.0500572576727512,0.0038051765441908,0.081074017010033,0.1363224356257485,0.3627631460693009,0.0094719326833643,0.3194048577563306,0.5051796774439778,0.9403203414929316,0.0131284801923215,0.0551221846659655,0.0736686656842795,0.2595506799843544
SHAPE_RECOMPOSED,extractant,EXTEND,1260,17,0.0928748034336915,0.2296800103733375,0.2759135381349891,0.5350963352484024,0.2672954981588461,0.4926921222590578,0.5487359550757724,1.3597767887848304,0.2959154813287498,0.5819551316997502,0.6465672542155528,1.6079574492214357,0.3289814083486527,0.6742732008698233,0.754370406047563,1.856138109658041,0.1058800717713309,0.209678759104448,0.2470262019923742,0.5270240184506843,0.2783930304789532,0.5463730739080178,0.6033855588476058,1.4934490387453585,0.0832062902938418,0.1574242114434896,0.1789499526887031,0.3626890709126824
SHAPE_RECOMPOSED,extractant,NESTED,1050,17,0.0766144659709712,0.2135921671911618,0.2735863585865947,0.4954901704796774,0.2165089195559092,0.4946036895756421,0.569678126496425,1.3885908306704655,0.2353946885354615,0.5410794477881546,0.6311971275660172,1.5181191662796538,0.254070516748584,0.5929686835538707,0.7058756121606437,1.6476475018888428,0.0898473763401866,0.2478950604814073,0.3037226273270111,0.6683767733562787,0.1740534914294998,0.4598356313715412,0.5202624704127763,1.100137892053574,0.0819562330300475,0.1906687913273347,0.2465481019429071,0.547509609835269
SHAPE_RECOMPOSED,extractant,PERMUTE,210,17,0.0,8.326672684688674e-17,1.2628786905111108e-16,4.440892098500626e-16,1.7000290064572708e-17,1.332267629550188e-16,2.0330959138448106e-16,7.105427357601002e-16,2.272487753529617e-17,1.738886812319151e-16,2.1267709815475622e-16,7.993605777301126e-16,2.7755575615628914e-17,2.220446049250313e-16,2.220446049250313e-16,8.881784197001252e-16,0.0,5.551115123125783e-17,1.1102230246251563e-16,4.440892098500626e-16,2.7755575615628914e-17,1.6653345369377348e-16,2.220446049250313e-16,4.440892098500626e-16,0.0,6.827627655955893e-17,1.415534356397065e-16,8.881784197001252e-16
SHAPE_RECOMPOSED,extractant,SPARSE,677,17,0.0949193884072452,0.4492017097665102,0.5862207026059234,1.1703693622428324,0.1565039054183327,0.7042796585131307,0.896212051908843,1.553052766534499,0.1678122442565097,0.7253326939704974,0.97360716955961,1.6008881920709572,0.172788010485438,0.7478342849429694,1.0207463739517384,1.6487236176074156,0.0796029762132758,0.4700870086973637,0.6496913285130892,1.1703693622428324,0.1212973756585239,0.5723376554870758,0.7816359530158935,1.1703693622428324,0.0504287913209116,0.198766715949517,0.2753082105549951,0.5091447595887904
SHAPE_RECOMPOSED,metal_series,CONTEXT,785,82,0.0,1.1102230246251563e-16,2.220446049250313e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,2.220446049250313e-16,4.440892098500626e-16,3.469446951953614e-18,2.220446049250313e-16,2.220446049250313e-16,5.218048215738235e-16,3.469446951953614e-18,2.220446049250313e-16,2.220446049250313e-16,6.661338147750939e-16,0.0,1.1102230246251563e-16,1.1102230246251563e-16,6.661338147750939e-16,0.0,2.220446049250313e-16,2.220446049250313e-16,6.661338147750939e-16,0.0,1.1102230246251563e-16,2.220446049250313e-16,1.1102230246251563e-15
SHAPE_RECOMPOSED,metal_series,NESTED,3925,82,0.034152430540791,0.1138956853619291,0.1578125489142198,0.8533956926995722,0.084638238076355,0.2521828449468522,0.3315885153995985,1.2148435813784233,0.1017117326930466,0.2824649598970496,0.3614394632686317,1.2966882133244195,0.1185193638236814,0.3160293085006106,0.3984026505036611,1.3785328452704166,0.0335791002101372,0.1063531054153913,0.1490168692749666,0.473127867468224,0.0947172376433544,0.2431242622413859,0.2997263598356036,0.8449249834411305,0.0204377496625803,0.1016751177662931,0.1452282440698881,0.6650663208662081
