axis,candidate,reference,metric,n_curves,n_ligands,n_publications,curves_improved,scheme,point,ci_low,ci_high,n_blocks,ci_width,positive
acid,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,spearman,416,63,50,0.3004807692307692,two_factor,-0.0246511726390832,-0.0435440021327799,-0.0065559053453728,,0.0369880967874071,False
acid,GEN9_SHAPE_RECOMPOSED,GEN9_A0_ROW_ONLY,shape_mae,421,68,50,0.684085510688836,chemotype,0.0506335242271224,-0.0009633985133385,0.0632026368629669,38.0,0.0641660353763054,False
acid,GEN9_SHAPE_RECOMPOSED,GEN9_A0_ROW_ONLY,shape_mae,421,68,50,0.684085510688836,publication,0.0506335242271224,0.0286635988550895,0.0809180788507461,50.0,0.0522544799956566,True
acid,GEN9_SHAPE_RECOMPOSED,GEN9_A0_ROW_ONLY,shape_mae,421,68,50,0.684085510688836,ligand,0.0506335242271224,0.0244495042977842,0.0681365703899339,68.0,0.0436870660921497,True
acid,GEN9_SHAPE_RECOMPOSED,GEN9_A0_ROW_ONLY,shape_mae,421,68,50,0.684085510688836,two_factor,0.0506335242271224,0.0280637772300081,0.0804860158972565,,0.0524222386672483,True
acid,GEN9_SHAPE_RECOMPOSED,GEN9_A0_ROW_ONLY,slope_abs_error,421,68,50,0.684085510688836,chemotype,0.194065096910744,-0.003007162274509,0.2452780600748813,38.0,0.2482852223493903,False
acid,GEN9_SHAPE_RECOMPOSED,GEN9_A0_ROW_ONLY,slope_abs_error,421,68,50,0.684085510688836,publication,0.194065096910744,0.1161308480427826,0.3063588353730315,50.0,0.1902279873302488,True
acid,GEN9_SHAPE_RECOMPOSED,GEN9_A0_ROW_ONLY,slope_abs_error,421,68,50,0.684085510688836,ligand,0.194065096910744,0.0968221953224532,0.2738389134529906,68.0,0.1770167181305373,True
acid,GEN9_SHAPE_RECOMPOSED,GEN9_A0_ROW_ONLY,slope_abs_error,421,68,50,0.684085510688836,two_factor,0.194065096910744,0.114465106228446,0.3049137609492273,,0.1904486547207812,True
acid,GEN9_SHAPE_RECOMPOSED,GEN9_A0_ROW_ONLY,row_mae,421,68,50,0.6888361045130641,chemotype,0.0534846068177705,0.0118032954110835,0.0622771823463888,38.0,0.0504738869353052,True
acid,GEN9_SHAPE_RECOMPOSED,GEN9_A0_ROW_ONLY,row_mae,421,68,50,0.6888361045130641,publication,0.0534846068177705,0.0293942407863923,0.0796776063868796,50.0,0.0502833656004872,True
acid,GEN9_SHAPE_RECOMPOSED,GEN9_A0_ROW_ONLY,row_mae,421,68,50,0.6888361045130641,ligand,0.0534846068177705,0.0161858002444197,0.077354556833202,68.0,0.0611687565887823,True
acid,GEN9_SHAPE_RECOMPOSED,GEN9_A0_ROW_ONLY,row_mae,421,68,50,0.6888361045130641,two_factor,0.0534846068177705,0.0287066751829078,0.0808768311701957,,0.0521701559872879,True
acid,GEN9_SHAPE_RECOMPOSED,GEN9_A0_ROW_ONLY,span_recovery_distance,416,63,50,0.6875,chemotype,0.0552647112553009,0.0111218938535899,0.1144810751127292,33.0,0.1033591812591392,True
acid,GEN9_SHAPE_RECOMPOSED,GEN9_A0_ROW_ONLY,span_recovery_distance,416,63,50,0.6875,publication,0.0552647112553009,-0.0584218834694857,0.1436896692305025,50.0,0.2021115526999882,False
acid,GEN9_SHAPE_RECOMPOSED,GEN9_A0_ROW_ONLY,span_recovery_distance,416,63,50,0.6875,ligand,0.0552647112553009,-0.0754942163242074,0.1356289190580466,63.0,0.211123135382254,False
acid,GEN9_SHAPE_RECOMPOSED,GEN9_A0_ROW_ONLY,span_recovery_distance,416,63,50,0.6875,two_factor,0.0552647112553009,-0.0639580036041648,0.1472384537934042,,0.2111964573975691,False
acid,GEN9_SHAPE_RECOMPOSED,GEN9_A0_ROW_ONLY,spearman,416,63,50,0.2956730769230769,chemotype,-0.0257040140679245,-0.1138645131327038,-0.0081201481600416,33.0,0.1057443649726621,False
acid,GEN9_SHAPE_RECOMPOSED,GEN9_A0_ROW_ONLY,spearman,416,63,50,0.2956730769230769,publication,-0.0257040140679245,-0.0489971179268788,-0.009877808177202,50.0,0.0391193097496767,False
acid,GEN9_SHAPE_RECOMPOSED,GEN9_A0_ROW_ONLY,spearman,416,63,50,0.2956730769230769,ligand,-0.0257040140679245,-0.0629527295123425,-0.0076973569611849,63.0,0.0552553725511575,False
acid,GEN9_SHAPE_RECOMPOSED,GEN9_A0_ROW_ONLY,spearman,416,63,50,0.2956730769230769,two_factor,-0.0257040140679245,-0.0515346905500479,-0.0071834832432492,,0.0443512073067987,False
acid,GEN9_REL_MONOLITH,REC_ecfp_plus_recovered,shape_mae,421,68,50,0.6413301662707839,chemotype,0.0366379185293063,0.0057913927914923,0.0430450247624278,38.0,0.0372536319709355,True
acid,GEN9_REL_MONOLITH,REC_ecfp_plus_recovered,shape_mae,421,68,50,0.6413301662707839,publication,0.0366379185293063,0.0200814540989941,0.057177923264943,50.0,0.0370964691659488,True
acid,GEN9_REL_MONOLITH,REC_ecfp_plus_recovered,shape_mae,421,68,50,0.6413301662707839,ligand,0.0366379185293063,0.0207782539114466,0.0472440525150054,68.0,0.0264657986035588,True
acid,GEN9_REL_MONOLITH,REC_ecfp_plus_recovered,shape_mae,421,68,50,0.6413301662707839,two_factor,0.0366379185293063,0.0194475423529138,0.0574936093860136,,0.0380460670330998,True
acid,GEN9_REL_MONOLITH,REC_ecfp_plus_recovered,slope_abs_error,421,68,50,0.6555819477434679,chemotype,0.1125972832704589,-0.0090990391630786,0.1384433271171217,38.0,0.1475423662802004,False
acid,GEN9_REL_MONOLITH,REC_ecfp_plus_recovered,slope_abs_error,421,68,50,0.6555819477434679,publication,0.1125972832704589,0.0538838114144077,0.1866202376589147,50.0,0.132736426244507,True
acid,GEN9_REL_MONOLITH,REC_ecfp_plus_recovered,slope_abs_error,421,68,50,0.6555819477434679,ligand,0.1125972832704589,0.0570157415786259,0.1633676587952321,68.0,0.1063519172166061,True
acid,GEN9_REL_MONOLITH,REC_ecfp_plus_recovered,slope_abs_error,421,68,50,0.6555819477434679,two_factor,0.1125972832704589,0.0536086592734877,0.184972167196647,,0.1313635079231593,True
acid,GEN9_REL_MONOLITH,REC_ecfp_plus_recovered,row_mae,421,68,50,0.5154394299287411,chemotype,0.0146334590641563,-0.0200589493316431,0.0248873608394495,38.0,0.0449463101710927,False
acid,GEN9_REL_MONOLITH,REC_ecfp_plus_recovered,row_mae,421,68,50,0.5154394299287411,publication,0.0146334590641563,-0.004267146327439,0.0406073118233478,50.0,0.0448744581507868,False
acid,GEN9_REL_MONOLITH,REC_ecfp_plus_recovered,row_mae,421,68,50,0.5154394299287411,ligand,0.0146334590641563,-0.0158490088685047,0.0378828645658223,68.0,0.0537318734343271,False
acid,GEN9_REL_MONOLITH,REC_ecfp_plus_recovered,row_mae,421,68,50,0.5154394299287411,two_factor,0.0146334590641563,-0.0046460633139832,0.039952307901084,,0.0445983712150672,False
