design,arm,n_cells,sp_pred_vs_true_mag,sp_pred_vs_n_metals,sp_true_vs_n_metals,pred_mag_sd
BQ,G14,1445,-0.06431464852840109,0.05681277804042959,0.48789297040073404,0.031062464758721608
BQ,GAM_DIR,1445,-0.06431464852840109,0.05681277804042959,0.48789297040073404,0.031062464758721608
BQ,GAM_DIR_K,1445,-0.06431464852840109,0.05681277804042959,0.48789297040073404,0.031062464758721608
BQ,GAM_MAG,1445,-0.023676587105723016,-0.07011656360660844,0.48789297040073404,0.09273726409143085
BQ,ISO_PICK,1445,-0.06431464852840109,0.05681277804042959,0.48789297040073404,0.031062464758721608
BQ,ISO_PRIOR,1445,-0.06431464852840109,0.05681277804042959,0.48789297040073404,0.031062464758721608
BQ,MAG_MED,1445,-0.10035804684325289,0.026228132770176802,0.48789297040073404,0.02695780972215649
BQ,SYM_DIR,1445,-0.06431464852840109,0.05681277804042959,0.48789297040073404,0.031062464758721608
BQ,TP_ALL,1445,-0.0029581845959944474,-0.029068297988696486,0.48789297040073404,0.08392170797497003
BQ,TP_CURV,1445,-0.06431464852840109,0.05681277804042959,0.48789297040073404,0.031062464758721608
BQ,TP_DIR209,1445,-0.06431464852840109,0.05681277804042959,0.48789297040073404,0.031062464758721608
BQ,TP_DIR39,1445,-0.06431464852840109,0.05681277804042959,0.48789297040073404,0.031062464758721608
BQ,TP_MAG,1445,-0.0029581845959944474,-0.029068297988696486,0.48789297040073404,0.08392170797497003
BQ,TP_MAG_MEAN,1445,-0.006651804715026746,-0.06699208423480923,0.48789297040073404,0.04612473621134778
BQ,TP_MAG_SHUF,1445,-0.0013051927573458487,-0.07563301364841607,0.48789297040073404,0.07660794517117966
BQ,XGB_FREE,1445,-0.06431464852840109,0.05681277804042959,0.48789297040073404,0.031062464758721608
BQ,XGB_MONO,1445,-0.06431464852840109,0.05681277804042959,0.48789297040073404,0.031062464758721608
BR,CB_CURV,1445,-0.05170830739433317,-0.052069432608177174,0.48789297040073404,0.038416849242541046
BR,CB_DIR,1445,-0.05170830739433317,-0.052069432608177174,0.48789297040073404,0.038416849242541046
BR,CB_DIR209,1445,-0.05170830739433317,-0.052069432608177174,0.48789297040073404,0.038416849242541046
BR,CB_DIR_ES,1445,-0.05170830739433317,-0.052069432608177174,0.48789297040073404,0.038416849242541046
BR,CB_MAG,1445,-0.0005311196981109404,0.09521997409632622,0.48789297040073404,0.08345342916224437
BR,CB_MAG_LEVEL,1445,-0.1262718456707809,0.05898912750182453,0.48789297040073404,0.028877688890986145
BR,CB_MAG_RANK,1445,0.03920634035306891,0.08751500829849872,0.48789297040073404,0.11892296421929542
BR,CB_MAG_SHUF,1445,-0.07267510087085113,0.05823100210463076,0.48789297040073404,0.0749432403259271
