pair_label,split_seed,arm,r2
Nd-Dy,104729,A2_lig2d,-0.7142844407115723
Sm-Eu,104729,A2_lig2d,-0.27785034138443954
Sm-Gd,104729,A2_lig2d,-0.4451585291833011
Sm-Tb,104729,A2_lig2d,-0.5248518580039658
Sm-Dy,104729,A2_lig2d,-0.6963059904089353
Eu-Gd,104729,A2_lig2d,-0.09850139363433974
Eu-Tb,104729,A2_lig2d,-0.6005094760545857
Eu-Dy,104729,A2_lig2d,-0.46386223971822416
Gd-Tb,104729,A2_lig2d,-0.04754151881433577
Gd-Dy,104729,A2_lig2d,-0.43893604271868547
Tb-Dy,104729,A2_lig2d,-0.07317632688428999
Nd-Ho,104729,A2_lig2d,-0.8456224411715931
Nd-Er,104729,A2_lig2d,-0.924676602428482
Sm-Ho,104729,A2_lig2d,-0.6219397950175258
Sm-Er,104729,A2_lig2d,-0.7348495419970216
Gd-Ho,104729,A2_lig2d,-0.33572630456214747
Gd-Er,104729,A2_lig2d,-0.3865310961133841
Dy-Ho,104729,A2_lig2d,-0.0066323973444788464
Dy-Er,104729,A2_lig2d,-0.06192018529642285
Ho-Er,104729,A2_lig2d,-0.018901020653723455
La-Ce,104729,A2_lig2d,0.03216248285200218
La-Pr,104729,A2_lig2d,0.08059182282931465
La-Eu,104729,A2_lig2d,0.10568768536768935
La-Tb,104729,A2_lig2d,-0.11339482085337638
La-Tm,104729,A2_lig2d,-0.2499587495594109
La-Yb,104729,A2_lig2d,-0.16134865520644492
La-Lu,104729,A2_lig2d,0.01413424120824991
Ce-Tm,104729,A2_lig2d,-0.6175127904214799
Ce-Yb,104729,A2_lig2d,-0.5143015939819402
Ce-Lu,104729,A2_lig2d,-0.42345200996083987
Pr-Tm,104729,A2_lig2d,-0.10773291549029151
Pr-Yb,104729,A2_lig2d,-0.020579367826126793
Pr-Lu,104729,A2_lig2d,0.12004750386775886
Eu-Tm,104729,A2_lig2d,-0.5429938748701526
Eu-Yb,104729,A2_lig2d,-0.34596218693900105
Eu-Lu,104729,A2_lig2d,-0.11809244742913139
Tb-Tm,104729,A2_lig2d,-0.0425535189653079
Tb-Yb,104729,A2_lig2d,-0.004842212935166845
Tb-Lu,104729,A2_lig2d,0.06899515186680272
Tm-Yb,104729,A2_lig2d,-0.033902308542793635
Tm-Lu,104729,A2_lig2d,0.04000567348710926
Yb-Lu,104729,A2_lig2d,-0.07856929270956825
Ho-Yb,104729,A2_lig2d,0.14033270137556508
Er-Tm,104729,A2_lig2d,0.08543598705219624
Er-Yb,104729,A2_lig2d,0.006149192789653202
La-Nd,104729,A2_lig2d,0.23739228041552995
La-Sm,104729,A2_lig2d,0.22630679069153392
Gd-Tm,104729,A2_lig2d,-0.5082868008811245
Gd-Yb,104729,A2_lig2d,-0.3394672601269233
Gd-Lu,104729,A2_lig2d,-0.1647400188480097
Tb-Ho,104729,A2_lig2d,-0.05200838264586172
Tb-Er,104729,A2_lig2d,-0.04425258819453837
Dy-Tm,104729,A2_lig2d,-0.006890916707553707
Dy-Yb,104729,A2_lig2d,0.04619903350206367
Dy-Lu,104729,A2_lig2d,0.10555971164653744
Ho-Lu,104729,A2_lig2d,0.22605517435065192
Er-Lu,104729,A2_lig2d,0.13912902688752649
La-Gd,104729,A2_lig2d,0.1107166506803079
La-Dy,104729,A2_lig2d,0.037186328238848154
La-Ho,104729,A2_lig2d,-0.3411777210760345
La-Er,104729,A2_lig2d,-0.1790496766672136
Ce-Ho,104729,A2_lig2d,-0.5297692651573398
Ce-Er,104729,A2_lig2d,-0.7236507175766569
Pr-Ho,104729,A2_lig2d,-0.12493409040705128
Pr-Er,104729,A2_lig2d,-0.03779691616839598
Nd-Tm,104729,A2_lig2d,-1.3081801174767747
Nd-Yb,104729,A2_lig2d,-1.1053102885196346
Nd-Lu,104729,A2_lig2d,-0.4976876373440291
Sm-Tm,104729,A2_lig2d,-1.1112990454016014
Sm-Yb,104729,A2_lig2d,-0.808601122588753
Sm-Lu,104729,A2_lig2d,-0.4359801723108947
Eu-Ho,104729,A2_lig2d,-0.5831074335994351
Eu-Er,104729,A2_lig2d,-0.4682884407322081
Ho-Tm,104729,A2_lig2d_SHUF,0.10446573128361558
Ce-Pr,104729,A2_lig2d_SHUF,0.038028119395960513
Ce-Nd,104729,A2_lig2d_SHUF,0.15126478774256769
Ce-Sm,104729,A2_lig2d_SHUF,0.1474270976469889
Ce-Eu,104729,A2_lig2d_SHUF,0.08771783302353875
Ce-Gd,104729,A2_lig2d_SHUF,-0.133638577745546
Ce-Tb,104729,A2_lig2d_SHUF,-0.4059561959651006
Ce-Dy,104729,A2_lig2d_SHUF,-0.4342638931371443
Pr-Nd,104729,A2_lig2d_SHUF,0.06397890071852674
Pr-Sm,104729,A2_lig2d_SHUF,0.21343692193126107
Pr-Eu,104729,A2_lig2d_SHUF,0.19713665753943876
Pr-Gd,104729,A2_lig2d_SHUF,0.07994680061015069
Pr-Tb,104729,A2_lig2d_SHUF,-0.10568537569989389
Pr-Dy,104729,A2_lig2d_SHUF,-0.07278622445509764
Nd-Sm,104729,A2_lig2d_SHUF,0.13392723860071742
Nd-Eu,104729,A2_lig2d_SHUF,0.11665215554081587
Nd-Gd,104729,A2_lig2d_SHUF,-0.201350826279296
Nd-Tb,104729,A2_lig2d_SHUF,-0.8291127781183434
Nd-Dy,104729,A2_lig2d_SHUF,-0.35115628144018385
Sm-Eu,104729,A2_lig2d_SHUF,-0.15974304315149657
Sm-Gd,104729,A2_lig2d_SHUF,-0.16639978125664023
Sm-Tb,104729,A2_lig2d_SHUF,-0.2776447200355596
Sm-Dy,104729,A2_lig2d_SHUF,-0.32364477856366025
Eu-Gd,104729,A2_lig2d_SHUF,0.09905490661308092
Eu-Tb,104729,A2_lig2d_SHUF,-0.16466839878136508
Eu-Dy,104729,A2_lig2d_SHUF,-0.24050773446900364
Gd-Tb,104729,A2_lig2d_SHUF,-0.03405281325095544
Gd-Dy,104729,A2_lig2d_SHUF,-0.30797986782082587
Tb-Dy,104729,A2_lig2d_SHUF,-0.1222594851456058
Nd-Ho,104729,A2_lig2d_SHUF,-0.5514204177668753
Nd-Er,104729,A2_lig2d_SHUF,-0.5269261350707948
Sm-Ho,104729,A2_lig2d_SHUF,-0.3788279627226905
Sm-Er,104729,A2_lig2d_SHUF,-0.5615408515745355
Gd-Ho,104729,A2_lig2d_SHUF,-0.28576462168510264
Gd-Er,104729,A2_lig2d_SHUF,-0.3062289424058835
Dy-Ho,104729,A2_lig2d_SHUF,-0.26566208643430267
Dy-Er,104729,A2_lig2d_SHUF,-0.22435652544796314
Ho-Er,104729,A2_lig2d_SHUF,0.0273163168855054
La-Ce,104729,A2_lig2d_SHUF,-0.029559336005538617
La-Pr,104729,A2_lig2d_SHUF,0.05274706552820274
La-Eu,104729,A2_lig2d_SHUF,0.15281288095578305
La-Tb,104729,A2_lig2d_SHUF,-0.22612969845081188
La-Tm,104729,A2_lig2d_SHUF,-0.31480552164705733
La-Yb,104729,A2_lig2d_SHUF,-0.2645147109031145
La-Lu,104729,A2_lig2d_SHUF,0.026868114356379813
Ce-Tm,104729,A2_lig2d_SHUF,-0.7040297732378027
Ce-Yb,104729,A2_lig2d_SHUF,-0.5671803746081878
Ce-Lu,104729,A2_lig2d_SHUF,-0.32759353612255393
Pr-Tm,104729,A2_lig2d_SHUF,-0.35700054565489503
Pr-Yb,104729,A2_lig2d_SHUF,-0.2339739805134482
Pr-Lu,104729,A2_lig2d_SHUF,0.1358126813900653
Eu-Tm,104729,A2_lig2d_SHUF,-0.4104314341304762
Eu-Yb,104729,A2_lig2d_SHUF,-0.32670213205892384
Eu-Lu,104729,A2_lig2d_SHUF,0.010394245725824813
Tb-Tm,104729,A2_lig2d_SHUF,-0.09753562700475404
Tb-Yb,104729,A2_lig2d_SHUF,-0.02433560453616801
Tb-Lu,104729,A2_lig2d_SHUF,0.13728398244425855
Tm-Yb,104729,A2_lig2d_SHUF,-0.06796052171548927
Tm-Lu,104729,A2_lig2d_SHUF,0.07746935666665722
Yb-Lu,104729,A2_lig2d_SHUF,0.03168873134866912
Ho-Yb,104729,A2_lig2d_SHUF,0.08304075684158929
Er-Tm,104729,A2_lig2d_SHUF,0.018624569274500624
Er-Yb,104729,A2_lig2d_SHUF,0.1526984314528368
La-Nd,104729,A2_lig2d_SHUF,0.1153280613328651
La-Sm,104729,A2_lig2d_SHUF,0.17837664164178824
