,,,err__zero_shot,err__zero_shot,err__conditional,err__conditional,err__basis_shift,err__basis_shift,err__rescale,err__rescale,err__no_model_linear,err__no_model_linear
,,,mean,size,mean,size,mean,size,mean,size,mean,size
arm,support_design,support_dz,,,,,,,,,,
M_PHYSICS_radius+radius_sq,widest,13,0.5232725419244363,51070,0.26584105010054204,51070,0.3111244151229702,51070,0.4059483915793298,51070,0.25033513804344265,51070
M_SELECTED,random,1,0.4950814317511208,58812,0.4730560196340868,58812,0.6062255012866451,58812,0.49089774226280575,58812,0.6214434900289528,58812
M_SELECTED,random,2,0.4906946223937129,52764,0.4338607228427244,52764,0.9599606761901772,52764,0.4780758112666664,52764,0.4845374225547861,52764
M_SELECTED,random,3,0.48370812624822945,44317,0.39389380202163016,44317,0.45514199515058595,44317,0.4510670844128633,44317,0.4264531136630702,44317
M_SELECTED,random,4,0.4978058540582069,41479,0.3690344560072757,41479,0.43602770584280554,41479,0.45089562247632065,41479,0.3656110161435536,41479
M_SELECTED,random,5,0.4775743062437251,31975,0.3380844073769086,31975,0.3931962914116386,31975,0.42096801651317795,31975,0.33266783937651334,31975
M_SELECTED,random,6,0.5002169664119438,27183,0.32319427759420344,27183,0.37049062628324175,27183,0.42988387934599537,27183,0.3125022532069465,27183
M_SELECTED,random,7,0.5605497349659397,22235,0.32486057741524793,22235,0.40945572206551506,22235,0.4731671564605159,22235,0.31660176315596794,22235
M_SELECTED,random,8,0.5590933276962343,18153,0.3113388094154231,18153,0.4024840085979054,18153,0.45871261541108427,18153,0.28883839279923396,18153
M_SELECTED,random,9,0.5331834220740747,14245,0.31274427855490883,14245,0.37852224867642087,14245,0.44579529050634986,14245,0.2757506001622619,14245
M_SELECTED,random,10,0.5394477096180519,11420,0.2770142855280497,11420,0.3686428224277334,11420,0.41711812645895235,11420,0.26036489356101516,11420
M_SELECTED,random,11,0.5445100375963076,8657,0.27277492817943877,8657,0.3511068450267951,8657,0.43711672583366684,8657,0.2443531593852084,8657
M_SELECTED,random,12,0.550971322110208,5608,0.29186925600420227,5608,0.356343375600611,5608,0.4291259260703803,5608,0.2702631635203439,5608
M_SELECTED,random,13,0.5209749255347421,3877,0.24050295247016507,3877,0.2907223178882746,3877,0.3910582205634285,3877,0.23961969518778117,3877
M_SELECTED,widest,2,0.12501185016422556,60,0.09440236394070027,60,0.16608581444898704,60,0.12275402230982685,60,0.10675558685738455,60
M_SELECTED,widest,3,0.2951470703624271,300,0.21605384612416567,300,0.21022597890235684,300,0.26658974759071496,300,0.17616098660946453,300
M_SELECTED,widest,4,0.26162699446338455,430,0.191466434077899,430,0.1911637746772988,430,0.25696423644333477,430,0.18187708816194018,430
M_SELECTED,widest,5,0.3058306326212392,3130,0.16938095538175796,3130,0.1703934754904065,3130,0.23364568105456407,3130,0.1304210271382118,3130
M_SELECTED,widest,6,0.40363679377207035,835,0.21632385353390002,835,0.23610683544469047,835,0.29035388149398805,835,0.1880723993621521,835
M_SELECTED,widest,7,0.24838886400591778,6750,0.12066219734073438,6750,0.16343625099472728,6750,0.2068493950689177,6750,0.11490416603708868,6750
M_SELECTED,widest,8,0.34405543033772723,395,0.2622345123730267,395,0.29086854542395896,395,0.2976440558124513,395,0.3253430196666903,395
M_SELECTED,widest,9,0.7285390872143612,1205,0.4016360468210423,1205,0.5280613531437197,1205,0.6462725511170682,1205,0.3410376232789681,1205
M_SELECTED,widest,10,0.43663400915043665,1820,0.24811492857119571,1820,0.30219638980440783,1820,0.3662559162912325,1820,0.21383852511455015,1820
M_SELECTED,widest,11,0.8554999307778646,175,0.26510025995359066,175,0.501002437662634,175,0.7407393285473306,175,0.18946841376371543,175
M_SELECTED,widest,12,0.5604350884030801,1975,0.2842629520668862,1975,0.3704724381936049,1975,0.4292447921822219,1975,0.2980924388447788,1975
M_SELECTED,widest,13,0.5365331807190541,51070,0.2624630003943362,51070,0.30985889278943085,51070,0.41743323916858427,51070,0.25033513804344265,51070
X_ENS_DIRECT+LOWRANK_K2,random,1,0.48087243726361256,58812,0.45943530415198447,58812,,58812,0.4745433942934457,58812,0.6214434900289528,58812
X_ENS_DIRECT+LOWRANK_K2,random,2,0.47779553557591553,52764,0.41768763398928893,52764,,52764,0.4611000096095658,52764,0.4845374225547861,52764
X_ENS_DIRECT+LOWRANK_K2,random,3,0.47466572746368046,44317,0.3844955840787663,44317,,44317,0.44040407254273817,44317,0.4264531136630702,44317
X_ENS_DIRECT+LOWRANK_K2,random,4,0.48712846482292294,41479,0.358721138368291,41479,,41479,0.4345268660052493,41479,0.3656110161435536,41479
X_ENS_DIRECT+LOWRANK_K2,random,5,0.46695919971487326,31975,0.3261260396114943,31975,,31975,0.4136215106675167,31975,0.33266783937651334,31975
X_ENS_DIRECT+LOWRANK_K2,random,6,0.4938872918632951,27183,0.3066549472668405,27183,,27183,0.4208660108406601,27183,0.3125022532069465,27183
X_ENS_DIRECT+LOWRANK_K2,random,7,0.5469762105399145,22235,0.3078461044673194,22235,,22235,0.46430325426571223,22235,0.31660176315596794,22235
X_ENS_DIRECT+LOWRANK_K2,random,8,0.5533234773675579,18153,0.2950270806625447,18153,,18153,0.45513252069650484,18153,0.28883839279923396,18153
X_ENS_DIRECT+LOWRANK_K2,random,9,0.5238208078042965,14245,0.29561111692411574,14245,,14245,0.43149177988175874,14245,0.2757506001622619,14245
X_ENS_DIRECT+LOWRANK_K2,random,10,0.531096011493722,11420,0.2660322480671023,11420,,11420,0.4032031196999754,11420,0.26036489356101516,11420
X_ENS_DIRECT+LOWRANK_K2,random,11,0.5274549669023644,8657,0.2621361177842045,8657,,8657,0.39805463239384115,8657,0.2443531593852084,8657
X_ENS_DIRECT+LOWRANK_K2,random,12,0.542338191519355,5608,0.28400981219799193,5608,,5608,0.3958516167920807,5608,0.2702631635203439,5608
X_ENS_DIRECT+LOWRANK_K2,random,13,0.5148049363364191,3877,0.22770758981533784,3877,,3877,0.362509508910755,3877,0.23961969518778117,3877
X_ENS_DIRECT+LOWRANK_K2,widest,2,0.12691353853935544,60,0.08917865889309581,60,,60,0.12691353853935544,60,0.10675558685738455,60
X_ENS_DIRECT+LOWRANK_K2,widest,3,0.28418247774353045,300,0.21707043625674222,300,,300,0.26527770478140955,300,0.17616098660946453,300
