context,candidate_index,max_features,min_samples_leaf,inner_macro_group_mae,inner_r2,inner_mae,selected,delta3d_weight
outer_3:baseline,2.0,1.0,4.0,0.18285574034256355,-0.5494657323235366,0.1597198072386314,False,
outer_3:2d_second_unshrunk,0.0,0.35,2.0,0.16899508440120292,-0.10301941985048835,0.137597065184959,True,
outer_3:2d_second_unshrunk,1.0,0.7,2.0,0.1787016662197959,-0.3858297992800941,0.1496036941371166,False,
outer_3:2d_second_unshrunk,2.0,1.0,4.0,0.18176889377668182,-0.574284134608114,0.16007689310067286,False,
outer_3:delta3d_unshrunk,0.0,0.35,2.0,0.16206216960097045,0.13193568107094888,0.12218208379126021,False,
outer_3:delta3d_unshrunk,1.0,0.7,2.0,0.15957650112768104,0.1085661223500255,0.12374082704852028,True,
outer_3:delta3d_unshrunk,2.0,1.0,4.0,0.17011138082901137,0.06352995133213801,0.12839966062639824,False,
outer_3:2d_ensemble_weight,,,,0.16641569101812675,-0.08885821540492334,0.13617452965151472,True,0.0
outer_3:2d_ensemble_weight,,,,0.1671054057242329,-0.08643453771061482,0.13558216223510652,False,0.25
outer_3:2d_ensemble_weight,,,,0.16788630271034002,-0.08476923537779246,0.13506446306858214,False,0.5
outer_3:2d_ensemble_weight,,,,0.16873825366652054,-0.08386230840645692,0.1346185491361075,False,0.75
outer_3:2d_ensemble_weight,,,,0.16962000411104533,-0.08371375679660775,0.13423097052583996,False,1.0
outer_3:delta3d_weight,,,,0.16641569101812675,-0.08885821540492334,0.13617452965151472,False,0.0
outer_3:delta3d_weight,,,,0.16220057305641988,3.577919070019142e-05,0.1298094472148255,False,0.25
outer_3:delta3d_weight,,,,0.16006010483779445,0.06393281277283736,0.12542257983642385,False,0.5
outer_3:delta3d_weight,,,,0.1591222373160337,0.10283288534148916,0.12308707763429842,True,0.75
outer_3:delta3d_weight,,,,0.16073833012924668,0.1167359968966547,0.12326884177528358,False,1.0
outer_4:baseline,0.0,0.35,2.0,0.19131697661633817,-0.21410948818036912,0.14878980920741613,True,
outer_4:baseline,1.0,0.7,2.0,0.20260823184505564,-0.3187670358330703,0.15487898753524684,False,
outer_4:baseline,2.0,1.0,4.0,0.19773576338414584,-0.45945842430120143,0.16211862763490195,False,
outer_4:2d_second_unshrunk,0.0,0.35,2.0,0.1939623194423627,-0.20468991472664388,0.14849906844055358,True,
outer_4:2d_second_unshrunk,1.0,0.7,2.0,0.20226612086132037,-0.3430288545576965,0.15734637257123624,False,
outer_4:2d_second_unshrunk,2.0,1.0,4.0,0.19604928665402793,-0.48198454911981314,0.16084573689009207,False,
outer_4:delta3d_unshrunk,0.0,0.35,2.0,0.17404355204827898,0.09362222255216501,0.12524837575762407,False,
outer_4:delta3d_unshrunk,1.0,0.7,2.0,0.17355880202314525,0.08980970491692175,0.12583462713017216,False,
outer_4:delta3d_unshrunk,2.0,1.0,4.0,0.17237804336170864,0.08135356621467116,0.1259409457054251,True,
