feature,delta3d_blend_weight,importance
base__ecfp_846,0.25,4.611794961017425e-06
base__ecfp_1308,0.25,4.376788838406917e-06
base__ecfp_1189,0.25,3.888950692825219e-06
base__ecfp_663,0.25,3.366966403490492e-06
base__ecfp_1614,0.25,3.2861577578488002e-06
base__ecfp_67,0.25,3.12532491728714e-06
base__cond__diluent__avkerosene,0.25,3.109013117593327e-06
base__ecfp_226,0.25,2.7956602967576766e-06
base__ecfp_1575,0.25,2.6164586329064635e-06
base__ecfp_841,0.25,2.5914638553486717e-06
base__cond__diluent__dipb,0.25,2.4859923517371244e-06
base__ecfp_694,0.25,1.990487877228413e-06
base__ecfp_997,0.25,1.7284190113656869e-06
base__ecfp_1025,0.25,1.5458119411988362e-06
base__ecfp_1666,0.25,1.0114167605085124e-06
base__ecfp_1582,0.25,8.34765814819824e-07
base__ecfp_1858,0.25,6.884413544079388e-07
base__ecfp_1680,0.25,6.88410632121765e-07
base__ecfp_556,0.25,6.768911355709687e-07
base__ecfp_853,0.25,5.053092490413212e-07
base__ecfp_2,0.25,2.134446621044983e-07
base__ecfp_1309,0.25,1.989645878311376e-07
base__ecfp_1377,0.25,7.041658844747188e-08
base__ecfp_825,0.25,5.615591392681071e-08
base__ecfp_933,0.25,2.03582850407899e-08
base__ecfp_1574,0.25,1.4502332935219058e-08
base__ecfp_1259,0.25,0.0
base__ecfp_66,0.25,0.0
base__ecfp_1511,0.25,0.0
base__ecfp_1258,0.25,0.0
base__ecfp_53,0.25,0.0
base__ecfp_1513,0.25,0.0
base__ecfp_1371,0.25,0.0
base__ecfp_1515,0.25,0.0
base__ecfp_1516,0.25,0.0
base__ecfp_1247,0.25,0.0
base__ecfp_1524,0.25,0.0
base__ecfp_1523,0.25,0.0
base__ecfp_1522,0.25,0.0
base__ecfp_1250,0.25,0.0
base__ecfp_1521,0.25,0.0
base__ecfp_1251,0.25,0.0
base__ecfp_1519,0.25,0.0
base__ecfp_1252,0.25,0.0
base__ecfp_1518,0.25,0.0
base__ecfp_1253,0.25,0.0
base__ecfp_1255,0.25,0.0
base__ecfp_1509,0.25,0.0
base__ecfp_1517,0.25,0.0
base__ecfp_1256,0.25,0.0
base__ecfp_1510,0.25,0.0
base__ecfp_1503,0.25,0.0
base__ecfp_1508,0.25,0.0
base__ecfp_1494,0.25,0.0
base__ecfp_1493,0.25,0.0
base__ecfp_64,0.25,0.0
base__ecfp_63,0.25,0.0
base__ecfp_1273,0.25,0.0
base__ecfp_62,0.25,0.0
base__ecfp_1491,0.25,0.0
base__ecfp_1276,0.25,0.0
base__ecfp_1490,0.25,0.0
base__ecfp_1489,0.25,0.0
base__ecfp_1488,0.25,0.0
base__ecfp_1277,0.25,0.0
base__ecfp_1487,0.25,0.0
base__ecfp_1278,0.25,0.0
base__ecfp_1486,0.25,0.0
base__ecfp_1485,0.25,0.0
base__ecfp_1484,0.25,0.0
base__ecfp_1483,0.25,0.0
base__ecfp_1270,0.25,0.0
base__ecfp_65,0.25,0.0
base__ecfp_1507,0.25,0.0
base__ecfp_1268,0.25,0.0
base__ecfp_1260,0.25,0.0
base__ecfp_1261,0.25,0.0
base__ecfp_1506,0.25,0.0
base__ecfp_1505,0.25,0.0
base__ecfp_1262,0.25,0.0
base__ecfp_1263,0.25,0.0
base__ecfp_1526,0.25,0.0
base__ecfp_1501,0.25,0.0
base__ecfp_1500,0.25,0.0
base__ecfp_1499,0.25,0.0
base__ecfp_1264,0.25,0.0
base__ecfp_1498,0.25,0.0
base__ecfp_1265,0.25,0.0
base__ecfp_1497,0.25,0.0
base__ecfp_1496,0.25,0.0
base__ecfp_1266,0.25,0.0
base__ecfp_1267,0.25,0.0
base__ecfp_1525,0.25,0.0
base__ecfp_1241,0.25,0.0
base__ecfp_1527,0.25,0.0
base__ecfp_1246,0.25,0.0
base__ecfp_1572,0.25,0.0
base__ecfp_1571,0.25,0.0
base__ecfp_1227,0.25,0.0
base__ecfp_1570,0.25,0.0
base__ecfp_1569,0.25,0.0
base__ecfp_1228,0.25,0.0
base__ecfp_1568,0.25,0.0
base__ecfp_1567,0.25,0.0
base__ecfp_1566,0.25,0.0
base__ecfp_1565,0.25,0.0
base__ecfp_1564,0.25,0.0
base__ecfp_1563,0.25,0.0
base__ecfp_1562,0.25,0.0
base__ecfp_1561,0.25,0.0
base__ecfp_1560,0.25,0.0
base__ecfp_1559,0.25,0.0
base__ecfp_1558,0.25,0.0
base__ecfp_1226,0.25,0.0
base__ecfp_1573,0.25,0.0
base__ecfp_1576,0.25,0.0
base__ecfp_1220,0.25,0.0
base__ecfp_1216,0.25,0.0
base__ecfp_1588,0.25,0.0
base__ecfp_1217,0.25,0.0
base__ecfp_1586,0.25,0.0
base__ecfp_1585,0.25,0.0
base__ecfp_1584,0.25,0.0
base__ecfp_1219,0.25,0.0
base__ecfp_1583,0.25,0.0
base__ecfp_1577,0.25,0.0
base__ecfp_1581,0.25,0.0
base__ecfp_1580,0.25,0.0
base__ecfp_1222,0.25,0.0
base__ecfp_1223,0.25,0.0
base__ecfp_1579,0.25,0.0
base__ecfp_1578,0.25,0.0
base__ecfp_1224,0.25,0.0
base__ecfp_1557,0.25,0.0
base__ecfp_1229,0.25,0.0
base__ecfp_1230,0.25,0.0
base__ecfp_1279,0.25,0.0
base__ecfp_1540,0.25,0.0
base__ecfp_1239,0.25,0.0
base__ecfp_1538,0.25,0.0
base__ecfp_1537,0.25,0.0
base__ecfp_1536,0.25,0.0
base__ecfp_1535,0.25,0.0
base__ecfp_1240,0.25,0.0
base__ecfp_1242,0.25,0.0
base__ecfp_1542,0.25,0.0
base__ecfp_1533,0.25,0.0
base__ecfp_1532,0.25,0.0
base__ecfp_1244,0.25,0.0
base__ecfp_1531,0.25,0.0
base__ecfp_1530,0.25,0.0
base__ecfp_1245,0.25,0.0
base__ecfp_1528,0.25,0.0
base__ecfp_1541,0.25,0.0
base__ecfp_1543,0.25,0.0
base__ecfp_1556,0.25,0.0
base__ecfp_1234,0.25,0.0
base__ecfp_1555,0.25,0.0
base__ecfp_1554,0.25,0.0
base__ecfp_1231,0.25,0.0
base__ecfp_1553,0.25,0.0
base__ecfp_1232,0.25,0.0
base__ecfp_1552,0.25,0.0
base__ecfp_1233,0.25,0.0
base__ecfp_1551,0.25,0.0
base__ecfp_1236,0.25,0.0
base__ecfp_1235,0.25,0.0
base__ecfp_1550,0.25,0.0
base__ecfp_1549,0.25,0.0
base__ecfp_1548,0.25,0.0
base__ecfp_1547,0.25,0.0
base__ecfp_1546,0.25,0.0
base__ecfp_1545,0.25,0.0
base__ecfp_1482,0.25,0.0
base__ecfp_1286,0.25,0.0
base__ecfp_1280,0.25,0.0
base__ecfp_1404,0.25,0.0
base__ecfp_1338,0.25,0.0
base__ecfp_1339,0.25,0.0
base__ecfp_1340,0.25,0.0
base__ecfp_57,0.25,0.0
base__ecfp_1341,0.25,0.0
base__ecfp_1406,0.25,0.0
base__ecfp_58,0.25,0.0
base__ecfp_1342,0.25,0.0
base__ecfp_1403,0.25,0.0
base__ecfp_1337,0.25,0.0
base__ecfp_1402,0.25,0.0
base__ecfp_1343,0.25,0.0
base__ecfp_1401,0.25,0.0
base__ecfp_1400,0.25,0.0
base__ecfp_1344,0.25,0.0
base__ecfp_1345,0.25,0.0
base__ecfp_1399,0.25,0.0
base__ecfp_1346,0.25,0.0
base__ecfp_1408,0.25,0.0
base__ecfp_1409,0.25,0.0
base__ecfp_1422,0.25,0.0
base__ecfp_1331,0.25,0.0
base__ecfp_1324,0.25,0.0
base__ecfp_1327,0.25,0.0
base__ecfp_1421,0.25,0.0
base__ecfp_1329,0.25,0.0
base__ecfp_1419,0.25,0.0
base__ecfp_1418,0.25,0.0
base__ecfp_1417,0.25,0.0
base__ecfp_1330,0.25,0.0
base__ecfp_1416,0.25,0.0
base__ecfp_1336,0.25,0.0
base__ecfp_1415,0.25,0.0
base__ecfp_1332,0.25,0.0
base__ecfp_1414,0.25,0.0
base__ecfp_1333,0.25,0.0
base__ecfp_1334,0.25,0.0
base__ecfp_1335,0.25,0.0
base__ecfp_1412,0.25,0.0
base__ecfp_1411,0.25,0.0
base__ecfp_1347,0.25,0.0
base__ecfp_1398,0.25,0.0
base__ecfp_1397,0.25,0.0
base__ecfp_1365,0.25,0.0
base__ecfp_1382,0.25,0.0
base__ecfp_1381,0.25,0.0
base__ecfp_1360,0.25,0.0
base__ecfp_1361,0.25,0.0
base__ecfp_1379,0.25,0.0
base__ecfp_1378,0.25,0.0
base__ecfp_1363,0.25,0.0
base__ecfp_1364,0.25,0.0
base__ecfp_1366,0.25,0.0
base__ecfp_1396,0.25,0.0
base__ecfp_1367,0.25,0.0
base__ecfp_1368,0.25,0.0
base__ecfp_1376,0.25,0.0
base__ecfp_1369,0.25,0.0
base__ecfp_1375,0.25,0.0
base__ecfp_1374,0.25,0.0
base__ecfp_1373,0.25,0.0
base__ecfp_1372,0.25,0.0
base__ecfp_1359,0.25,0.0
base__ecfp_1383,0.25,0.0
base__ecfp_1358,0.25,0.0
base__ecfp_60,0.25,0.0
base__ecfp_1395,0.25,0.0
base__ecfp_1394,0.25,0.0
base__ecfp_1348,0.25,0.0
base__ecfp_1349,0.25,0.0
base__ecfp_1393,0.25,0.0
base__ecfp_1392,0.25,0.0
base__ecfp_1350,0.25,0.0
base__ecfp_1390,0.25,0.0
base__ecfp_1389,0.25,0.0
base__ecfp_1351,0.25,0.0
base__ecfp_1388,0.25,0.0
base__ecfp_1387,0.25,0.0
base__ecfp_61,0.25,0.0
base__ecfp_1353,0.25,0.0
base__ecfp_1354,0.25,0.0
base__ecfp_1355,0.25,0.0
base__ecfp_1356,0.25,0.0
base__ecfp_1323,0.25,0.0
base__ecfp_1423,0.25,0.0
base__ecfp_1281,0.25,0.0
base__ecfp_1463,0.25,0.0
base__ecfp_1468,0.25,0.0
base__ecfp_1297,0.25,0.0
base__ecfp_1467,0.25,0.0
base__ecfp_1298,0.25,0.0
base__ecfp_1299,0.25,0.0
base__ecfp_1466,0.25,0.0
base__ecfp_1465,0.25,0.0
base__ecfp_1464,0.25,0.0
base__ecfp_1462,0.25,0.0
base__ecfp_1469,0.25,0.0
base__ecfp_1461,0.25,0.0
base__ecfp_1460,0.25,0.0
base__ecfp_1459,0.25,0.0
base__ecfp_1458,0.25,0.0
base__ecfp_1457,0.25,0.0
base__ecfp_1456,0.25,0.0
base__ecfp_1300,0.25,0.0
base__ecfp_1301,0.25,0.0
base__ecfp_1296,0.25,0.0
base__ecfp_1294,0.25,0.0
base__ecfp_1424,0.25,0.0
base__ecfp_1476,0.25,0.0
base__ecfp_1282,0.25,0.0
base__ecfp_1284,0.25,0.0
base__ecfp_1479,0.25,0.0
base__ecfp_1285,0.25,0.0
base__ecfp_1370,0.25,0.0
base__ecfp_1478,0.25,0.0
base__ecfp_1287,0.25,0.0
base__ecfp_1477,0.25,0.0
base__ecfp_1288,0.25,0.0
base__ecfp_1293,0.25,0.0
base__ecfp_1290,0.25,0.0
base__ecfp_1475,0.25,0.0
base__ecfp_1474,0.25,0.0
base__ecfp_1473,0.25,0.0
base__ecfp_1472,0.25,0.0
base__ecfp_1471,0.25,0.0
base__ecfp_1291,0.25,0.0
base__ecfp_1470,0.25,0.0
base__ecfp_1453,0.25,0.0
base__ecfp_1302,0.25,0.0
base__ecfp_1451,0.25,0.0
base__ecfp_1317,0.25,0.0
base__ecfp_1434,0.25,0.0
base__ecfp_1433,0.25,0.0
base__ecfp_1312,0.25,0.0
base__ecfp_1432,0.25,0.0
base__ecfp_1313,0.25,0.0
base__ecfp_1315,0.25,0.0
base__ecfp_1316,0.25,0.0
base__ecfp_1431,0.25,0.0
base__ecfp_1430,0.25,0.0
base__ecfp_1450,0.25,0.0
base__ecfp_1318,0.25,0.0
base__ecfp_1428,0.25,0.0
base__ecfp_1319,0.25,0.0
base__ecfp_1426,0.25,0.0
base__ecfp_1425,0.25,0.0
base__ecfp_1320,0.25,0.0
base__ecfp_1321,0.25,0.0
base__ecfp_1322,0.25,0.0
base__ecfp_1435,0.25,0.0
base__ecfp_1436,0.25,0.0
base__ecfp_1437,0.25,0.0
base__ecfp_1311,0.25,0.0
base__ecfp_1303,0.25,0.0
base__ecfp_1449,0.25,0.0
base__ecfp_1448,0.25,0.0
base__ecfp_1447,0.25,0.0
base__ecfp_1446,0.25,0.0
base__ecfp_1445,0.25,0.0
base__ecfp_1305,0.25,0.0
base__ecfp_55,0.25,0.0
base__ecfp_1306,0.25,0.0
base__ecfp_1307,0.25,0.0
base__ecfp_1443,0.25,0.0
base__ecfp_56,0.25,0.0
base__ecfp_1441,0.25,0.0
base__ecfp_1440,0.25,0.0
base__ecfp_1439,0.25,0.0
base__ecfp_1438,0.25,0.0
base__ecfp_1310,0.25,0.0
base__ecfp_106,0.25,0.0
base__ecfp_1674,0.25,0.0
base__ecfp_1590,0.25,0.0
base__ecfp_1927,0.25,0.0
base__ecfp_1956,0.25,0.0
base__ecfp_1955,0.25,0.0
base__ecfp_1954,0.25,0.0
base__ecfp_42,0.25,0.0
base__ecfp_43,0.25,0.0
base__ecfp_1949,0.25,0.0
base__ecfp_1948,0.25,0.0
base__ecfp_1947,0.25,0.0
base__ecfp_1946,0.25,0.0
base__ecfp_1945,0.25,0.0
base__ecfp_1944,0.25,0.0
base__ecfp_1943,0.25,0.0
base__ecfp_1942,0.25,0.0
base__ecfp_1941,0.25,0.0
base__ecfp_1940,0.25,0.0
base__ecfp_1938,0.25,0.0
base__ecfp_1937,0.25,0.0
base__ecfp_1936,0.25,0.0
base__ecfp_44,0.25,0.0
base__ecfp_1934,0.25,0.0
base__ecfp_1933,0.25,0.0
base__ecfp_1932,0.25,0.0
base__ecfp_1931,0.25,0.0
base__ecfp_1930,0.25,0.0
base__ecfp_1929,0.25,0.0
base__ecfp_1958,0.25,0.0
base__ecfp_1959,0.25,0.0
base__ecfp_1960,0.25,0.0
base__ecfp_1974,0.25,0.0
base__ecfp_1985,0.25,0.0
base__ecfp_1984,0.25,0.0
base__ecfp_1983,0.25,0.0
base__ecfp_1982,0.25,0.0
base__ecfp_1981,0.25,0.0
base__ecfp_1980,0.25,0.0
base__ecfp_1979,0.25,0.0
base__ecfp_1978,0.25,0.0
base__ecfp_1977,0.25,0.0
base__ecfp_1976,0.25,0.0
base__ecfp_1975,0.25,0.0
base__ecfp_1973,0.25,0.0
base__ecfp_1961,0.25,0.0
base__ecfp_1972,0.25,0.0
base__ecfp_1971,0.25,0.0
base__ecfp_1970,0.25,0.0
base__ecfp_1969,0.25,0.0
base__ecfp_1968,0.25,0.0
base__ecfp_1967,0.25,0.0
base__ecfp_1966,0.25,0.0
base__ecfp_1965,0.25,0.0
base__ecfp_1964,0.25,0.0
base__ecfp_1963,0.25,0.0
base__ecfp_1962,0.25,0.0
base__ecfp_1928,0.25,0.0
base__ecfp_1926,0.25,0.0
base__ecfp_1987,0.25,0.0
base__ecfp_1925,0.25,0.0
base__ecfp_1887,0.25,0.0
base__ecfp_1886,0.25,0.0
base__ecfp_1885,0.25,0.0
base__ecfp_1884,0.25,0.0
base__ecfp_1883,0.25,0.0
base__ecfp_1882,0.25,0.0
base__ecfp_1881,0.25,0.0
base__ecfp_1880,0.25,0.0
base__ecfp_1878,0.25,0.0
base__ecfp_1877,0.25,0.0
base__ecfp_1876,0.25,0.0
base__ecfp_1875,0.25,0.0
base__ecfp_1872,0.25,0.0
base__ecfp_1871,0.25,0.0
base__ecfp_1870,0.25,0.0
base__ecfp_1869,0.25,0.0
base__ecfp_1868,0.25,0.0
base__ecfp_1867,0.25,0.0
base__ecfp_1865,0.25,0.0
base__ecfp_1864,0.25,0.0
base__ecfp_1863,0.25,0.0
base__ecfp_1862,0.25,0.0
base__ecfp_1861,0.25,0.0
base__ecfp_1859,0.25,0.0
base__ecfp_1857,0.25,0.0
base__ecfp_1888,0.25,0.0
base__ecfp_1889,0.25,0.0
base__ecfp_1890,0.25,0.0
base__ecfp_1908,0.25,0.0
base__ecfp_1924,0.25,0.0
base__ecfp_1922,0.25,0.0
base__ecfp_1921,0.25,0.0
base__ecfp_1919,0.25,0.0
base__ecfp_1918,0.25,0.0
base__ecfp_45,0.25,0.0
base__ecfp_1916,0.25,0.0
base__ecfp_1915,0.25,0.0
base__ecfp_1913,0.25,0.0
base__ecfp_1910,0.25,0.0
base__ecfp_1909,0.25,0.0
base__ecfp_1907,0.25,0.0
base__ecfp_1891,0.25,0.0
base__ecfp_1906,0.25,0.0
base__ecfp_1904,0.25,0.0
base__ecfp_1903,0.25,0.0
base__ecfp_1902,0.25,0.0
base__ecfp_1901,0.25,0.0
base__ecfp_1900,0.25,0.0
base__ecfp_1899,0.25,0.0
base__ecfp_1898,0.25,0.0
base__ecfp_1894,0.25,0.0
base__ecfp_1893,0.25,0.0
base__ecfp_1892,0.25,0.0
base__ecfp_1986,0.25,0.0
base__ecfp_1988,0.25,0.0
base__ecfp_1854,0.25,0.0
base__ecfp_35,0.25,0.0
base__ecfp_4,0.25,0.0
base__ecfp_6,0.25,0.0
base__ecfp_7,0.25,0.0
base__ecfp_8,0.25,0.0
base__ecfp_10,0.25,0.0
base__ecfp_11,0.25,0.0
base__ecfp_12,0.25,0.0
base__ecfp_14,0.25,0.0
base__ecfp_15,0.25,0.0
base__ecfp_16,0.25,0.0
base__ecfp_17,0.25,0.0
base__ecfp_18,0.25,0.0
base__ecfp_19,0.25,0.0
base__ecfp_20,0.25,0.0
base__ecfp_21,0.25,0.0
base__ecfp_22,0.25,0.0
base__ecfp_23,0.25,0.0
base__ecfp_25,0.25,0.0
base__ecfp_26,0.25,0.0
base__ecfp_27,0.25,0.0
base__ecfp_29,0.25,0.0
base__ecfp_30,0.25,0.0
base__ecfp_31,0.25,0.0
base__ecfp_32,0.25,0.0
base__ecfp_33,0.25,0.0
base__ecfp_3,0.25,0.0
base__ecfp_0,0.25,0.0
base__cond__diluent__tphkerosene,0.25,0.0
base__cond__diluent__benzene,0.25,0.0
base__cond__acid__hclo4,0.25,0.0
base__cond__acid__hno3_oxalic_acid,0.25,0.0
base__cond__additive__dhoa,0.25,0.0
base__cond__additive__dohya,0.25,0.0
base__cond__additive__hdehp,0.25,0.0
base__cond__additive__isodecanol,0.25,0.0
base__cond__additive__isodecyl,0.25,0.0
base__cond__additive__isododecanol,0.25,0.0
base__cond__additive__octanol,0.25,0.0
base__cond__additive__tbp,0.25,0.0
missingindicator_base__cond__acid_concentration_M,0.25,0.0
base__cond__diluent__c4mim_tf2n,0.25,0.0
base__cond__diluent__tph_0_95_1_octanol_0_05,0.25,0.0
base__cond__diluent__hydrogenated_tetrapropene_with_50_vol_1_octanol,0.25,0.0
base__cond__diluent__hydrogenated_tetrapropene_with_5_vol_1_octanol,0.25,0.0
base__cond__diluent__isoparl,0.25,0.0
base__cond__diluent__kerosene_0_95_1_octanol_0_05,0.25,0.0
base__cond__diluent__kerosene_with_30_vol_1_octanol,0.25,0.0
base__cond__diluent__n_dodecane_with_5_vol_iso_decanol,0.25,0.0
base__cond__diluent__n_hexane,0.25,0.0
base__cond__diluent__n_octane_with_5_1_octanol,0.25,0.0
base__cond__diluent__sulfonated_kerosene,0.25,0.0
base__cond__diluent__total_petroleum_hydrocarbons,0.25,0.0
base__cond__diluent__tph,0.25,0.0
base__ecfp_34,0.25,0.0
base__ecfp_37,0.25,0.0
base__ecfp_1989,0.25,0.0
base__ecfp_38,0.25,0.0
base__ecfp_2019,0.25,0.0
base__ecfp_2017,0.25,0.0
base__ecfp_2016,0.25,0.0
base__ecfp_2015,0.25,0.0
base__ecfp_2014,0.25,0.0
base__ecfp_2013,0.25,0.0
base__ecfp_2012,0.25,0.0
base__ecfp_2011,0.25,0.0
base__ecfp_2010,0.25,0.0
base__ecfp_2008,0.25,0.0
base__ecfp_2007,0.25,0.0
base__ecfp_2006,0.25,0.0
base__ecfp_2005,0.25,0.0
base__ecfp_40,0.25,0.0
base__ecfp_2003,0.25,0.0
base__ecfp_2002,0.25,0.0
base__ecfp_2001,0.25,0.0
base__ecfp_2000,0.25,0.0
base__ecfp_1997,0.25,0.0
base__ecfp_1996,0.25,0.0
base__ecfp_1994,0.25,0.0
base__ecfp_1993,0.25,0.0
base__ecfp_41,0.25,0.0
base__ecfp_1991,0.25,0.0
base__ecfp_1990,0.25,0.0
base__ecfp_2020,0.25,0.0
base__ecfp_2021,0.25,0.0
base__ecfp_2022,0.25,0.0
base__ecfp_2036,0.25,0.0
base__ecfp_39,0.25,0.0
base__ecfp_2047,0.25,0.0
base__ecfp_2046,0.25,0.0
base__ecfp_2045,0.25,0.0
base__ecfp_2044,0.25,0.0
base__ecfp_2043,0.25,0.0
base__ecfp_2042,0.25,0.0
base__ecfp_2041,0.25,0.0
base__ecfp_2040,0.25,0.0
base__ecfp_2039,0.25,0.0
base__ecfp_2038,0.25,0.0
base__ecfp_2035,0.25,0.0
base__ecfp_2023,0.25,0.0
base__ecfp_2034,0.25,0.0
base__ecfp_2033,0.25,0.0
base__ecfp_2032,0.25,0.0
base__ecfp_2031,0.25,0.0
base__ecfp_2030,0.25,0.0
base__ecfp_2029,0.25,0.0
base__ecfp_2028,0.25,0.0
base__ecfp_2027,0.25,0.0
base__ecfp_2026,0.25,0.0
base__ecfp_2025,0.25,0.0
base__ecfp_2024,0.25,0.0
base__ecfp_1856,0.25,0.0
base__ecfp_1853,0.25,0.0
base__ecfp_1591,0.25,0.0
base__ecfp_1655,0.25,0.0
base__ecfp_1688,0.25,0.0
base__ecfp_1686,0.25,0.0
base__ecfp_1685,0.25,0.0
base__ecfp_1684,0.25,0.0
base__ecfp_1682,0.25,0.0
base__ecfp_1681,0.25,0.0
base__ecfp_1679,0.25,0.0
base__ecfp_1677,0.25,0.0
base__ecfp_1676,0.25,0.0
base__ecfp_1675,0.25,0.0
base__ecfp_1673,0.25,0.0
base__ecfp_1672,0.25,0.0
base__ecfp_1671,0.25,0.0
base__ecfp_1670,0.25,0.0
base__ecfp_1668,0.25,0.0
base__ecfp_1667,0.25,0.0
base__ecfp_1665,0.25,0.0
base__ecfp_1664,0.25,0.0
base__ecfp_1663,0.25,0.0
base__ecfp_1662,0.25,0.0
base__ecfp_1661,0.25,0.0
base__ecfp_1660,0.25,0.0
base__ecfp_1659,0.25,0.0
base__ecfp_1658,0.25,0.0
base__ecfp_1657,0.25,0.0
base__ecfp_1689,0.25,0.0
base__ecfp_1690,0.25,0.0
base__ecfp_1692,0.25,0.0
base__ecfp_1707,0.25,0.0
base__ecfp_1719,0.25,0.0
base__ecfp_1718,0.25,0.0
base__ecfp_1717,0.25,0.0
base__ecfp_1715,0.25,0.0
base__ecfp_1714,0.25,0.0
base__ecfp_1713,0.25,0.0
base__ecfp_1712,0.25,0.0
base__ecfp_1711,0.25,0.0
base__ecfp_1710,0.25,0.0
base__ecfp_1709,0.25,0.0
base__ecfp_1708,0.25,0.0
base__ecfp_1705,0.25,0.0
base__ecfp_1693,0.25,0.0
base__ecfp_1704,0.25,0.0
base__ecfp_1703,0.25,0.0
base__ecfp_1702,0.25,0.0
base__ecfp_1701,0.25,0.0
base__ecfp_1700,0.25,0.0
base__ecfp_1699,0.25,0.0
base__ecfp_1698,0.25,0.0
base__ecfp_1697,0.25,0.0
base__ecfp_1696,0.25,0.0
base__ecfp_1695,0.25,0.0
base__ecfp_1694,0.25,0.0
base__ecfp_1656,0.25,0.0
base__ecfp_1654,0.25,0.0
base__ecfp_1723,0.25,0.0
base__ecfp_1651,0.25,0.0
base__ecfp_1618,0.25,0.0
base__ecfp_1617,0.25,0.0
base__ecfp_1616,0.25,0.0
base__ecfp_1615,0.25,0.0
base__ecfp_1613,0.25,0.0
base__ecfp_1612,0.25,0.0
base__ecfp_1611,0.25,0.0
base__ecfp_1610,0.25,0.0
base__ecfp_1609,0.25,0.0
base__ecfp_1608,0.25,0.0
base__ecfp_1607,0.25,0.0
base__ecfp_1606,0.25,0.0
base__ecfp_1605,0.25,0.0
base__ecfp_1604,0.25,0.0
base__ecfp_1602,0.25,0.0
base__ecfp_1601,0.25,0.0
base__ecfp_1600,0.25,0.0
base__ecfp_1599,0.25,0.0
base__ecfp_52,0.25,0.0
base__ecfp_1597,0.25,0.0
base__ecfp_1596,0.25,0.0
base__ecfp_1595,0.25,0.0
base__ecfp_1594,0.25,0.0
base__ecfp_1593,0.25,0.0
base__ecfp_1592,0.25,0.0
base__ecfp_1619,0.25,0.0
base__ecfp_1621,0.25,0.0
base__ecfp_1622,0.25,0.0
base__ecfp_1638,0.25,0.0
base__ecfp_1650,0.25,0.0
base__ecfp_51,0.25,0.0
base__ecfp_1648,0.25,0.0
base__ecfp_1647,0.25,0.0
base__ecfp_1646,0.25,0.0
base__ecfp_1645,0.25,0.0
base__ecfp_1644,0.25,0.0
base__ecfp_1643,0.25,0.0
base__ecfp_1641,0.25,0.0
base__ecfp_1640,0.25,0.0
base__ecfp_1639,0.25,0.0
base__ecfp_1637,0.25,0.0
base__ecfp_1623,0.25,0.0
base__ecfp_1636,0.25,0.0
base__ecfp_1634,0.25,0.0
base__ecfp_1633,0.25,0.0
base__ecfp_1632,0.25,0.0
base__ecfp_1631,0.25,0.0
base__ecfp_1629,0.25,0.0
base__ecfp_1628,0.25,0.0
base__ecfp_1627,0.25,0.0
base__ecfp_1626,0.25,0.0
base__ecfp_1625,0.25,0.0
base__ecfp_1624,0.25,0.0
base__ecfp_1720,0.25,0.0
base__ecfp_48,0.25,0.0
base__ecfp_1852,0.25,0.0
base__ecfp_1790,0.25,0.0
base__ecfp_1818,0.25,0.0
base__ecfp_1817,0.25,0.0
base__ecfp_1816,0.25,0.0
base__ecfp_1815,0.25,0.0
base__ecfp_1814,0.25,0.0
base__ecfp_1813,0.25,0.0
base__ecfp_1812,0.25,0.0
base__ecfp_1811,0.25,0.0
base__ecfp_1810,0.25,0.0
base__ecfp_1809,0.25,0.0
base__ecfp_1808,0.25,0.0
base__ecfp_1807,0.25,0.0
base__ecfp_1806,0.25,0.0
base__ecfp_1805,0.25,0.0
base__ecfp_1804,0.25,0.0
base__ecfp_1803,0.25,0.0
base__ecfp_1802,0.25,0.0
base__ecfp_1801,0.25,0.0
base__ecfp_1798,0.25,0.0
base__ecfp_1797,0.25,0.0
base__ecfp_1796,0.25,0.0
base__ecfp_1795,0.25,0.0
base__ecfp_1794,0.25,0.0
base__ecfp_1793,0.25,0.0
base__ecfp_1792,0.25,0.0
base__ecfp_1819,0.25,0.0
base__ecfp_1820,0.25,0.0
base__ecfp_1821,0.25,0.0
base__ecfp_1837,0.25,0.0
base__ecfp_1850,0.25,0.0
base__ecfp_1849,0.25,0.0
base__ecfp_1848,0.25,0.0
base__ecfp_1846,0.25,0.0
base__ecfp_1844,0.25,0.0
base__ecfp_1843,0.25,0.0
base__ecfp_1842,0.25,0.0
base__ecfp_1841,0.25,0.0
base__ecfp_1840,0.25,0.0
base__ecfp_1839,0.25,0.0
base__ecfp_47,0.25,0.0
base__ecfp_1836,0.25,0.0
base__ecfp_1822,0.25,0.0
base__ecfp_1835,0.25,0.0
base__ecfp_1834,0.25,0.0
base__ecfp_1833,0.25,0.0
base__ecfp_1832,0.25,0.0
base__ecfp_1831,0.25,0.0
base__ecfp_1830,0.25,0.0
base__ecfp_1829,0.25,0.0
base__ecfp_1828,0.25,0.0
base__ecfp_1827,0.25,0.0
base__ecfp_1826,0.25,0.0
base__ecfp_1825,0.25,0.0
base__ecfp_1791,0.25,0.0
base__ecfp_1789,0.25,0.0
base__ecfp_1725,0.25,0.0
base__ecfp_1788,0.25,0.0
base__ecfp_1756,0.25,0.0
base__ecfp_1755,0.25,0.0
base__ecfp_1753,0.25,0.0
base__ecfp_1752,0.25,0.0
base__ecfp_1751,0.25,0.0
base__ecfp_1749,0.25,0.0
