comparison,reference,candidate,statistic,endpoint,feature_set,n_runs,n_rows,mean_delta,min_delta,max_delta,n_delta_positive,n_ci95_low_above_zero,n_with_ci,direction_consistent
EXPANDED_vs_EXPANDED_SHUFFLED,EXPANDED_SHUFFLED,EXPANDED,shape_mae,all,MC_lig2d_ext_massaction,1,1,0.0324469641513369,0.0324469641513369,0.0324469641513369,1,1,1,True
EXPANDED_vs_BASE,BASE,EXPANDED,shape_mae,all,MC_lig2d_ext_massaction,1,1,0.0242935623289612,0.0242935623289612,0.0242935623289612,1,1,1,True
EXPANDED_vs_BASE,BASE,EXPANDED,shape_mae,nn<0.6,MC_donors,1,1,0.0227004787341484,0.0227004787341484,0.0227004787341484,1,1,1,True
EXPANDED_ROWMATCHED_vs_BASE,BASE,EXPANDED_ROWMATCHED,shape_mae,all,MC_lig2d_ext_massaction,1,1,0.021536405642728,0.021536405642728,0.021536405642728,1,0,1,True
EXPANDED_vs_BASE,BASE,EXPANDED,shape_mae,all,MC_donors,1,1,0.0178757923903822,0.0178757923903822,0.0178757923903822,1,0,1,True
EXPANDED_ROWMATCHED_vs_BASE,BASE,EXPANDED_ROWMATCHED,shape_mae,nn<0.6,MC_donors,1,1,0.0168495343317826,0.0168495343317826,0.0168495343317826,1,0,1,True
EXPANDED_ROWMATCHED_vs_BASE,BASE,EXPANDED_ROWMATCHED,shape_mae,all,MC_donors,1,1,0.0112639519503961,0.0112639519503961,0.0112639519503961,1,0,1,True
EXPANDED_vs_EXPANDED_ROWMATCHED,EXPANDED_ROWMATCHED,EXPANDED,shape_mae,all,MC_donors,1,1,0.0066118404399861,0.0066118404399861,0.0066118404399861,1,1,1,True
EXPANDED_vs_EXPANDED_ROWMATCHED,EXPANDED_ROWMATCHED,EXPANDED,shape_mae,nn<0.6,MC_donors,1,1,0.0058509444023658,0.0058509444023658,0.0058509444023658,1,1,1,True
EXPANDED_vs_EXPANDED_ROWMATCHED,EXPANDED_ROWMATCHED,EXPANDED,offset_mae,nn<0.6,MC_lig2d_ext_massaction,1,1,0.003217311559065,0.003217311559065,0.003217311559065,1,0,1,True
EXPANDED_vs_EXPANDED_ROWMATCHED,EXPANDED_ROWMATCHED,EXPANDED,shape_mae,all,MC_lig2d_ext_massaction,1,1,0.0027571566862331,0.0027571566862331,0.0027571566862331,1,0,1,True
EXPANDED_vs_EXPANDED_ROWMATCHED,EXPANDED_ROWMATCHED,EXPANDED,mae,nn<0.6,MC_lig2d_ext_massaction,1,1,0.0020167841886166,0.0020167841886166,0.0020167841886166,1,0,1,True
EXPANDED_vs_EXPANDED_ROWMATCHED,EXPANDED_ROWMATCHED,EXPANDED,shape_mae,nn<0.4,MC_donors,1,1,0.0020107469809096,0.0020107469809096,0.0020107469809096,1,0,1,True
EXPANDED_vs_EXPANDED_ROWMATCHED,EXPANDED_ROWMATCHED,EXPANDED,mae,all,MC_lig2d_ext_massaction,1,1,0.0018671592176994,0.0018671592176994,0.0018671592176994,1,0,1,True
EXPANDED_vs_EXPANDED_ROWMATCHED,EXPANDED_ROWMATCHED,EXPANDED,offset_mae,all,MC_lig2d_ext_massaction,1,1,0.0016883695401793,0.0016883695401793,0.0016883695401793,1,0,1,True
EXPANDED_vs_EXPANDED_ROWMATCHED,EXPANDED_ROWMATCHED,EXPANDED,shape_mae,nn<0.6,MC_lig2d_ext_massaction,1,1,0.0016314394584495,0.0016314394584495,0.0016314394584495,1,0,1,True
