run_id,run_path,source_file,feature_set,split_seed,arm,macro_mae,offset_mae,shape_mae,shape_r2,macro_mae_ligand,pooled_mae,pooled_r2,offset_share_of_sse,median_ligand_mae,worst_quartile_ligand_mae,rank_spearman,sign_accuracy,frac_within_0_5_log,frac_within_1_log,prediction_dispersion_ratio,n_rows,n_ligands,n_ecfp_clusters,n_superclusters,n_eff_pooled_rows,n_macro_units
gen6_diversity_causal_20260819T102822Z,runs/gen6_expA_5seed,arm_metrics.csv,MC_donors,155921,EXPANDED_ROWMATCHED,0.956780725503551,0.8097344397856634,0.4899586093734987,0.0593489240111636,0.9592698388535776,1.132434965456482,0.244644825829006,0.3853415126537321,0.8827560035219111,1.833955162145456,0.4579942132088094,0.5674186589122701,0.2928734756097561,0.5144817073170732,0.577653420940391,5248,152,131,79,6.256051615740402,131
gen6_diversity_causal_20260819T102822Z,runs/gen6_expA_5seed,arm_metrics.csv,MC_donors,155921,EXPANDED_SHUFFLED,1.261196108171369,1.0759354691294185,0.5789785457838164,-0.0234419284948603,1.243776552362028,1.2297166245498512,0.1466338832017253,0.4080509268819889,1.086064658051891,2.2330218406378313,0.325173927270328,0.5810935290355469,0.2507621951219512,0.4729420731707317,0.6064238822211684,5248,152,131,79,6.256051615740402,131
gen6_diversity_causal_20260819T102822Z,runs/gen6_expA_5seed,arm_metrics.csv,MC_donors,196613,BASE,1.214472632275374,1.0291137798057095,0.5209646456773993,0.078283506904387,1.1974222318654095,1.2371293103695624,0.1281980225739675,0.4781615882415396,0.9572302847146512,2.381437406422936,0.3188360427182343,0.6054877429660358,0.2568597560975609,0.4876143292682927,0.5733725116098366,5248,152,131,79,6.256051615740402,131
gen6_diversity_causal_20260819T102822Z,runs/gen6_expA_5seed,arm_metrics.csv,MC_donors,196613,EXPANDED,1.0626387066652443,0.8962952451692928,0.5064343489096,0.061201021664514,1.059895538732479,1.2120311546516602,0.147170518739844,0.456665930608407,0.952523082227813,2.0348072234312924,0.3671202996312662,0.5826233684939952,0.2728658536585366,0.4961890243902439,0.5256405829548356,5248,152,131,79,6.256051615740402,131
gen6_diversity_causal_20260819T102822Z,runs/gen6_expA_5seed,arm_metrics.csv,MC_donors,196613,EXPANDED_ROWMATCHED,1.0534002389594863,0.8929068581393362,0.5146311613228504,0.0552366200389536,1.0549081676886838,1.2152163062989552,0.1402655184035026,0.4576055456894827,0.9454366941094916,2.024091207255235,0.3377195020231771,0.5767636070924258,0.2791539634146341,0.4942835365853658,0.5142067414061045,5248,152,131,79,6.256051615740402,131
gen6_diversity_causal_20260819T102822Z,runs/gen6_expA_5seed,arm_metrics.csv,MC_donors,196613,EXPANDED_SHUFFLED,1.2685681817729275,1.0884496290592458,0.568460029339289,0.076227355525526,1.2592717298369571,1.3252629587396707,0.032476084030214,0.5287407116677665,1.1244764649467072,2.31076685839149,0.2187456186354686,0.6054982105641094,0.2458079268292683,0.4392149390243902,0.5078538288211683,5248,152,131,79,6.256051615740402,131
gen6_diversity_causal_20260819T102822Z,runs/gen6_expA_5seed,arm_metrics.csv,MC_donors,262147,BASE,1.1741166219233938,1.0429931503773542,0.5046677441726419,0.1802849363394126,1.1786429331504902,1.1525302367030774,0.2478652360783001,0.4620724486386428,1.0054542885405169,2.258346069036051,0.3375397809020768,0.6311171334692027,0.2761051829268293,0.5057164634146342,0.5798559799245753,5248,152,131,79,6.256051615740402,131
gen6_diversity_causal_20260819T102822Z,runs/gen6_expA_5seed,arm_metrics.csv,MC_donors,262147,EXPANDED,0.9914370313031616,0.8444387985588309,0.4895285401495245,0.1067132386444497,1.0051617900665912,1.1375934295779777,0.2456745086051461,0.4154944381060341,0.8961131489468606,1.9448159684596928,0.4260809837276217,0.5942251308188069,0.2985899390243902,0.506859756097561,0.5622723672880133,5248,152,131,79,6.256051615740402,131
gen6_diversity_causal_20260819T102822Z,runs/gen6_expA_5seed,arm_metrics.csv,MC_donors,262147,EXPANDED_ROWMATCHED,0.9883709309294196,0.8343419452477007,0.4950628484631589,0.0939320375242492,0.9992471211743446,1.1308038046759017,0.2484845013802088,0.4049145008084793,0.9078882391673552,1.9428028012491616,0.3893282483814513,0.5939937969013817,0.3006859756097561,0.514672256097561,0.5636987419041054,5248,152,131,79,6.256051615740402,131
gen6_diversity_causal_20260819T102822Z,runs/gen6_expA_5seed,arm_metrics.csv,MC_donors,262147,EXPANDED_SHUFFLED,1.2589897921403703,1.0923215953545593,0.5675964994165659,0.0548111860361905,1.2542890332991314,1.2188312178579346,0.1700182293300572,0.4379091002886621,1.1887390723812528,2.235762409383392,0.3510663970186667,0.6061168456102557,0.2486661585365853,0.4777057926829268,0.5804036410844761,5248,152,131,79,6.256051615740402,131
