design,seed,fold,block,gamma,alpha,lopo_mae
BP,155921,4,TOPO39,0.25,0.003,0.23288044479340167
BP,155921,4,TOPO39,0.5,0.01,0.23405128635697178
BP,155921,4,TOPO39,1.0,0.03,0.23754407868138505
BP,155921,4,TOPO39,2.0,0.1,0.24217507825286036
BP,155921,4,TOPO39,5.0,0.3,0.25056741295494345
BP,155921,4,TOPO39,20.0,1.0,0.2580772526107323
BP,155921,4,TOPO39,100.0,10.0,0.2621659179474652
BP,155921,4,TOPO39,1000.0,100.0,0.2628705039683732
BP,196613,0,COND_MA,0.0,1.0,0.2575626077740369
BP,196613,0,COND_MA,0.1,1.0,0.26842634506531066
BP,196613,0,COND_MA,0.25,1000.0,0.27210786771201007
BP,196613,0,COND_MA,0.5,1000.0,0.27214674948923534
BP,196613,0,COND_MA,1.0,1000.0,0.2722243878263864
BP,196613,0,COND_MA,2.0,1000.0,0.27237920283442
BP,196613,0,COND_MA,5.0,1000.0,0.27283999913182333
BP,196613,0,COND_MA,20.0,1000.0,0.2750591136235839
BP,196613,0,COND_MA,100.0,1000.0,0.2850287843814934
BP,196613,0,COND_MA,1000.0,1000.0,0.33152136058402026
BP,196613,0,TOPO39,0.0,10.0,0.2562027977665498
BP,196613,0,TOPO39,0.1,0.3,0.24813122343478836
BP,196613,0,TOPO39,0.25,0.3,0.24304687597430052
BP,196613,0,TOPO39,0.5,1.0,0.22724969743535525
BP,196613,0,TOPO39,1.0,1.0,0.22320985979649535
BP,196613,0,TOPO39,2.0,3.0,0.22000114951819424
BP,196613,0,TOPO39,5.0,3.0,0.2281771455710423
BP,196613,0,TOPO39,20.0,30.0,0.22952162150053854
BP,196613,0,TOPO39,100.0,100.0,0.2252590286341802
BP,196613,0,TOPO39,1000.0,1000.0,0.22569874100967224
BP,196613,1,COND_MA,0.0,1.0,0.28799410173448103
BP,196613,1,COND_MA,0.1,1000.0,0.2937613727759772
BP,196613,1,COND_MA,0.25,1000.0,0.29380281977835565
BP,196613,1,COND_MA,0.5,1000.0,0.2938718202391072
BP,196613,1,COND_MA,1.0,1000.0,0.2940095299471294
BP,196613,1,COND_MA,2.0,1000.0,0.2942837908741253
BP,196613,1,COND_MA,5.0,1000.0,0.2950974346225065
BP,196613,1,COND_MA,20.0,1000.0,0.29897151947922634
BP,196613,1,COND_MA,100.0,1000.0,0.3154274992742234
BP,196613,1,COND_MA,1000.0,1000.0,0.3788860898010596
BP,196613,1,TOPO39,0.0,10.0,0.2843916514860684
BP,196613,1,TOPO39,0.1,0.001,0.270746095719641
BP,196613,1,TOPO39,0.25,0.003,0.25721905649638516
BP,196613,1,TOPO39,0.5,0.01,0.254654076351086
BP,196613,1,TOPO39,1.0,0.01,0.2508026260522786
BP,196613,1,TOPO39,2.0,0.03,0.25357778889801497
BP,196613,1,TOPO39,5.0,0.03,0.24893636230027247
BP,196613,1,TOPO39,20.0,0.03,0.24786751489153389
BP,196613,1,TOPO39,100.0,0.03,0.24441744784986513
BP,196613,1,TOPO39,1000.0,0.03,0.24370777037037822
BP,196613,2,COND_MA,0.0,1000.0,0.36123779147128754
BP,196613,2,COND_MA,0.1,1000.0,0.3612439842213378
BP,196613,2,COND_MA,0.25,1000.0,0.36125325370477746
BP,196613,2,COND_MA,0.5,1000.0,0.36126865060158475
BP,196613,2,COND_MA,1.0,1000.0,0.3612992493965193
BP,196613,2,COND_MA,2.0,1000.0,0.3613596740034501
BP,196613,2,COND_MA,5.0,1000.0,0.3615349049673448
BP,196613,2,COND_MA,20.0,1000.0,0.36229027648739026
BP,196613,2,COND_MA,100.0,1000.0,0.3653505221545373
BP,196613,2,COND_MA,1000.0,1000.0,0.3748440677931082
BP,196613,2,TOPO39,0.0,0.001,0.332727198072191
BP,196613,2,TOPO39,0.1,0.01,0.2693829770718779
BP,196613,2,TOPO39,0.25,0.01,0.26902746766670177
BP,196613,2,TOPO39,0.5,0.03,0.2675237130989036
BP,196613,2,TOPO39,1.0,0.03,0.27114479623862264
BP,196613,2,TOPO39,2.0,0.1,0.27735562491336885
BP,196613,2,TOPO39,5.0,0.1,0.28879070358686587
BP,196613,2,TOPO39,20.0,1.0,0.2982164446397315
BP,196613,2,TOPO39,100.0,3.0,0.30061621459193305
BP,196613,2,TOPO39,1000.0,30.0,0.3017394135768978
BP,196613,3,COND_MA,0.0,0.1,0.32765446161620926
BP,196613,3,COND_MA,0.1,0.3,0.34582016690535017
BP,196613,3,COND_MA,0.25,1000.0,0.3495907839466588
BP,196613,3,COND_MA,0.5,1000.0,0.34962577314073784
BP,196613,3,COND_MA,1.0,1000.0,0.34969551328661325
BP,196613,3,COND_MA,2.0,1000.0,0.34983404727233997
BP,196613,3,COND_MA,5.0,1000.0,0.3502450577267575
BP,196613,3,COND_MA,20.0,1000.0,0.35215212496909876
BP,196613,3,COND_MA,100.0,1000.0,0.3592478799753962
BP,196613,3,COND_MA,1000.0,1000.0,0.38117854555515135
BP,196613,3,TOPO39,0.0,0.001,0.3081002470854084
BP,196613,3,TOPO39,0.1,1.0,0.3443255600988349
BP,196613,3,TOPO39,0.25,1.0,0.3456031505708147
BP,196613,3,TOPO39,0.5,3.0,0.3454465707572611
BP,196613,3,TOPO39,1.0,3.0,0.3421535421357316
BP,196613,3,TOPO39,2.0,10.0,0.3471511771546167
BP,196613,3,TOPO39,5.0,10.0,0.34490661692253444
BP,196613,3,TOPO39,20.0,1000.0,0.3475348499736552
BP,196613,3,TOPO39,100.0,300.0,0.34402403953338373
BP,196613,3,TOPO39,1000.0,1000.0,0.36342772253089645
BP,196613,4,COND_MA,0.0,1000.0,0.4549590190466221
BP,196613,4,COND_MA,0.1,3.0,0.449266616308529
BP,196613,4,COND_MA,0.25,10.0,0.45075683989888665
BP,196613,4,COND_MA,0.5,10.0,0.4465263083402402
BP,196613,4,COND_MA,1.0,30.0,0.449419687087584
BP,196613,4,COND_MA,2.0,30.0,0.44688364873672326
BP,196613,4,COND_MA,5.0,100.0,0.44686020159382256
BP,196613,4,COND_MA,20.0,300.0,0.44703903242407617
BP,196613,4,COND_MA,100.0,1000.0,0.45835657148418746
BP,196613,4,COND_MA,1000.0,1000.0,0.563204307497389
BP,196613,4,TOPO39,0.0,1000.0,0.45500003337221223
BP,196613,4,TOPO39,0.1,0.003,0.36642945974088387
BP,196613,4,TOPO39,0.25,0.01,0.36946883610987885
BP,196613,4,TOPO39,0.5,0.01,0.363296068020639
BP,196613,4,TOPO39,1.0,0.03,0.3673795374971555
BP,196613,4,TOPO39,2.0,0.03,0.362261994293191
BP,196613,4,TOPO39,5.0,0.03,0.3660631399304581
BP,196613,4,TOPO39,20.0,0.3,0.36767067181050184
BP,196613,4,TOPO39,100.0,1.0,0.3615103442769532
BP,196613,4,TOPO39,1000.0,10.0,0.3646329822741644
BP,262147,0,COND_MA,0.0,0.03,0.3244769796422686
BP,262147,0,COND_MA,0.1,1000.0,0.3436935388297473
BP,262147,0,COND_MA,0.25,1000.0,0.3437431940507173
BP,262147,0,COND_MA,0.5,1000.0,0.3438258607132753
BP,262147,0,COND_MA,1.0,1000.0,0.3439908498744743
BP,262147,0,COND_MA,2.0,1000.0,0.34431945913202766
BP,262147,0,COND_MA,5.0,1000.0,0.34529448795265616
BP,262147,0,COND_MA,20.0,1000.0,0.34994565862764876
BP,262147,0,COND_MA,100.0,1000.0,0.36986275940825364
BP,262147,0,COND_MA,1000.0,1000.0,0.45316658014541905
BP,262147,0,TOPO39,0.0,0.1,0.3143575940049678
BP,262147,0,TOPO39,0.1,0.3,0.3083544859348445
BP,262147,0,TOPO39,0.25,0.3,0.3151602543810243
BP,262147,0,TOPO39,0.5,1.0,0.3060327672606974
BP,262147,0,TOPO39,1.0,1.0,0.3109555333671673
BP,262147,0,TOPO39,2.0,3.0,0.3009215282934534
BP,262147,0,TOPO39,5.0,10.0,0.30439397035715066
BP,262147,0,TOPO39,20.0,30.0,0.2999674161633677
BP,262147,0,TOPO39,100.0,100.0,0.3070788254964008
