arm,macro_mae,sign_acc,cell_spearman,cell_top1,cross_spearman,cross_top1,cross_regret,calib_slope,rep,design
G13_PERM,0.5571806644395167,0.633474129333529,0.2813140823912267,0.2680611286861287,0.27418474105303,0.031868131868131866,1.2655651799012049,0.7731243547864133,11,A
G14_PERM,0.720117721278639,0.38653508477011417,-0.06540001294710651,0.3141587149622864,-0.08974127926350364,0.02036940471006405,1.8242447339691767,-0.20396339126938431,12,A
G13_PERM,0.5507282702145808,0.6497319692555021,0.2981972170633451,0.30459573164930304,0.26592896214720824,0.006593406593406593,1.6426138803885675,0.706102806226831,12,A
G14_PERM,0.720117721278639,0.38653508477011417,-0.06540001294710651,0.3141587149622864,-0.08974127926350364,0.02036940471006405,1.8242447339691767,-0.20396339126938431,12,A
G13_PERM,0.5507282702145808,0.6497319692555021,0.2981972170633451,0.30459573164930304,0.26592896214720824,0.006593406593406593,1.6426138803885675,0.706102806226831,12,A
G14_PERM,0.7001585859069503,0.42373045318924996,-0.03332065024275085,0.33320985562056993,-0.08003010213988311,0.015171848908112642,1.8560659505584933,-0.11122753141821783,13,A
G13_PERM,0.5435434920469371,0.6752582212366367,0.33368761887750525,0.27170178366606934,0.343710084791507,0.001098901098901099,1.4057687293012224,0.7497314958570298,13,A
G14_PERM,0.7001585859069503,0.42373045318924996,-0.03332065024275085,0.33320985562056993,-0.08003010213988311,0.015171848908112642,1.8560659505584933,-0.11122753141821783,13,A
G13_PERM,0.5435434920469371,0.6752582212366367,0.33368761887750525,0.27170178366606934,0.343710084791507,0.001098901098901099,1.4057687293012224,0.7497314958570301,13,A
G14_PERM,0.6848159811660176,0.46413765415947406,0.0207684242388834,0.3103458842744557,0.02227526584189595,0.016945435516864088,1.799248671917843,0.0022792603106355893,14,A
G13_PERM,0.5476532960035345,0.6325568637311206,0.29879304378299326,0.26476179904751335,0.26857121038835563,0.02857142857142857,1.37883972694457,0.7125999524644506,14,A
G14_PERM,0.6848159811660176,0.46413765415947406,0.0207684242388834,0.3103458842744557,0.02227526584189595,0.016945435516864088,1.799248671917843,0.0022792603106355893,14,A
G13_PERM,0.5476532960035345,0.6325568637311206,0.29879304378299326,0.26476179904751335,0.26857121038835563,0.02857142857142857,1.37883972694457,0.7125999524644506,14,A
G14_PERM,0.6963768633664653,0.42256635937522125,-0.019720308289447114,0.31234676038247466,-0.04684258415762356,0.004920674563531706,1.809721529872737,-0.0882110865002423,15,A
G13_PERM,0.5315854945790438,0.6785318216925,0.35240910876663617,0.30425179648393935,0.33284290430994135,0.01208791208791209,1.382397364603359,0.8184397290353642,15,A
G14_PERM,0.701847431985321,0.43116160476280585,-0.023449554339694298,0.3321496360782075,-0.05605717530541112,0.028982589449622415,1.701779168465216,-0.1507595457201007,16,A
G13_PERM,0.5442991479978876,0.6769554979577523,0.33383942406860506,0.2996913073698788,0.31790763608309336,0.012087912087912088,1.5861543625170247,0.7494761307200657,16,A
G14_PERM,0.7435436576019648,0.33072850073127963,-0.1499367183780602,0.31609985252842393,-0.13208000275206255,0.012724153136241045,1.9904749168824065,-0.41695741058873564,17,A
G13_PERM,0.5521942179341193,0.6397338274659378,0.3044087213060674,0.2778083523619238,0.29704973347369745,0.006593406593406593,1.50752586402533,0.6858979532111142,17,A
G14_PERM,0.7210342607194609,0.38591350530516266,-0.08116266961394386,0.31960514353371494,-0.062091561832912624,0.007023068506584991,1.9773037449864859,-0.2326177224294096,18,A
G13_PERM,0.5450042857393884,0.6567869920470824,0.3168898473582558,0.27974904724904726,0.2960197955414133,0.03406593406593407,1.3961068012364588,0.715908812012762,18,A
G14_PERM,0.7079641091221296,0.42171895906393947,-0.029188398194978694,0.33360049672549674,-0.03728872759876449,0.014662559662559662,1.8485693819099098,-0.20658002530166034,19,A
G13_PERM,0.5334686195826698,0.6560386987227342,0.34468541463903846,0.2986163241520384,0.3157199850411028,0.002197802197802198,1.4744437353257642,0.8124768739916557,19,A
