adapter,k,n_ligands,mae,baseline_mae,delta,ci_low,ci_high,win_rate,beats_baseline,baseline
OFFSET_K3,3,140,0.5211208272584841,0.6013289557882826,-0.08020812852979842,-0.09736207006573326,-0.06536353522950697,0.8571428571428571,True,OFFSET_K1
OFFSET_K2,3,140,0.5692948076610697,0.6013289557882826,-0.03203414812721291,-0.04337561679381661,-0.021679569553068635,0.4642857142857143,True,OFFSET_K1
NEAREST_OBSERVED,3,140,0.5784866272363114,0.6013289557882826,-0.02284232855197117,-0.06448615551007214,0.018725875514419572,0.5071428571428571,False,OFFSET_K1
CNPRES_conditions_only,3,140,0.5959270606370847,0.6013289557882826,-0.005401895151197858,-0.024576751416055708,0.01437217150884287,0.6,False,OFFSET_K1
OFFSET_K1,3,140,0.6013289557882826,0.6013289557882826,0.0,0.0,0.0,0.0,False,OFFSET_K1
CNPRES_shrinkage,3,140,0.6015018074107562,0.6013289557882826,0.00017285162247358246,-0.0033129832893483402,0.004168137179822582,0.6357142857142857,False,OFFSET_K1
CNPRES_absolute_x,3,140,0.6059698282439553,0.6013289557882826,0.004640872455672824,0.0002791724579990946,0.010458586341896762,0.5071428571428571,False,OFFSET_K1
CNPRES_ligand_recovered,3,140,0.6064841721948185,0.6013289557882826,0.005155216406535972,-0.00011709207013742334,0.011710393855365273,0.4785714285714286,False,OFFSET_K1
CNPRES_ligand,3,140,0.6279950181474401,0.6013289557882826,0.026666062359157555,0.012577868868338683,0.04096523062267599,0.38571428571428573,False,OFFSET_K1
CNPRES_attentive,3,140,0.6356009159558649,0.6013289557882826,0.034271960167582306,0.01799076708317407,0.05346321117862914,0.45,False,OFFSET_K1
NO_MODEL,3,140,0.7209086135319345,0.6013289557882826,0.1195796577436518,0.07356354832122686,0.1667737196066782,0.32142857142857145,False,OFFSET_K1
CNP_conditions_only,3,140,0.8309992874460886,0.6013289557882826,0.22967033165780615,0.1787674722644275,0.2794441264328234,0.19285714285714287,False,OFFSET_K1
