extractant,tanimoto_cluster,level_raw,level_adjusted,adjusted_coverage,n_rows,log_d_max,log_d_min,level
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCc1c(CC)c(CCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c(CC)c(CCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1CC,tan055,0.918032786885245,0.5115094391488868,1.0,15,2.873323397913561,0.053651266766018814,0.918032786885245
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1ccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc1,tan055,3.0915887850467287,1.6355420806793857,1.0,9,3.1214953271028003,2.4471580313422194,3.0915887850467287
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,tan055,2.139841688654352,1.5000999527138927,0.35135135135135137,37,3.1926121372031657,-1.3667546174142462,2.139841688654352
CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,tan055,-0.2715522676428758,-1.4698736440870395,1.0,14,0.8756186021286662,-0.6657514744763096,-0.2715522676428758
CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(CCCC)CCCC,tan059,0.43664030034784956,1.5395694807611386,1.0,6,0.910997716310642,-1.7447274948966915,0.43664030034784956
CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(OCCCC)OCCCC,tan060,-0.7820778170077762,-0.48894388214113593,0.8333333333333334,6,0.664641975556125,-2.537602002101044,-0.7820778170077762
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,tan067,1.7211055276381908,1.3482734553329139,1.0,14,2.0904522613065306,0.06532663316582815,1.7211055276381908
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC,tan067,-0.10124679306354942,1.5396168047732948,1.0,13,0.01770756314390346,-0.781048307209723,-0.10124679306354942
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,tan067,-0.08040201005025091,-1.3803697607474872,1.0,14,0.11557788944723538,-0.49246231155778847,-0.08040201005025091
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,tan069,-2.696366662106399,-1.7362624155309698,1.0,14,-1.919346821380455,-2.9997915886634066,-2.696366662106399
