path,group,bytes,bytes_lf,sha256,sha256_lf,recorded_sha256,recorded_bytes,recorded_source,recorded_bytes_match,manifest_match,raw_checksum_sha256,raw_checksum_match,has_recorded_digest,verified,is_headline_dataset_hash
dataset_all_metals/raw/Gd.csv,raw,346976,346471,6abd76672999eb07cd42c0f8ec1448dfd7440ae03a038ee7b8a0770611f35272,776ee40c9d6a446cc5659f2c260da4d63cf4d0ada7e866f50f4c242c5c5ca65d,6abd76672999eb07cd42c0f8ec1448dfd7440ae03a038ee7b8a0770611f35272,346976,manifest.json:raw_inputs,binary,binary,6abd76672999eb07cd42c0f8ec1448dfd7440ae03a038ee7b8a0770611f35272,binary,True,True,False
dataset_all_metals/raw/Hf.csv,raw,4143,4132,dc317360d19b289f33172eeddf99b55644f21a6450ca8d0d1a8242082e431369,9a57a4675fd12a8182b3f4e238abb70daff4bf04c9105fc4c1902cd69b2d4d43,dc317360d19b289f33172eeddf99b55644f21a6450ca8d0d1a8242082e431369,4143,manifest.json:raw_inputs,binary,binary,dc317360d19b289f33172eeddf99b55644f21a6450ca8d0d1a8242082e431369,binary,True,True,False
dataset_all_metals/raw/Ho.csv,raw,841877,840432,025cd50955020a0e5b430686990c76e57f17e5b70efe0703ce55b10a97cb6449,71909e081755c4dccc041a4e52c79329c0a0641809c8cad5508916b8cc2059ad,025cd50955020a0e5b430686990c76e57f17e5b70efe0703ce55b10a97cb6449,841877,manifest.json:raw_inputs,binary,binary,025cd50955020a0e5b430686990c76e57f17e5b70efe0703ce55b10a97cb6449,binary,True,True,False
dataset_all_metals/raw/In.csv,raw,354123,353433,18526a81f17da97f32a02749dbe7de098375ffc5098ae224d88fbdc48b9526d3,fd770c8d86c2ee596c5962a4a6bf08a92ab31677074d60bc02056b1572ea49bc,18526a81f17da97f32a02749dbe7de098375ffc5098ae224d88fbdc48b9526d3,354123,manifest.json:raw_inputs,binary,binary,18526a81f17da97f32a02749dbe7de098375ffc5098ae224d88fbdc48b9526d3,binary,True,True,False
dataset_all_metals/raw/La.csv,raw,458880,458173,5fb9f5874ef46cc6f71ebdabec8cd29605886bf07ab7af9b7b7caee4c16bc4d5,b16922b1c9a0408ae36239cb7114ec8b23bee7c2d2c44bbbf8fb35818cbdab6f,5fb9f5874ef46cc6f71ebdabec8cd29605886bf07ab7af9b7b7caee4c16bc4d5,458880,manifest.json:raw_inputs,binary,binary,5fb9f5874ef46cc6f71ebdabec8cd29605886bf07ab7af9b7b7caee4c16bc4d5,binary,True,True,False
dataset_all_metals/raw/Lu.csv,raw,830367,828923,835bd385cb750a742b4ae32d5eb6fb73223d159ae94128db4cee042ab55f8528,b311196bad8f1bbc3748afd36faad0c9ed953a78febfa95183179a61cfe12a46,835bd385cb750a742b4ae32d5eb6fb73223d159ae94128db4cee042ab55f8528,830367,manifest.json:raw_inputs,binary,binary,835bd385cb750a742b4ae32d5eb6fb73223d159ae94128db4cee042ab55f8528,binary,True,True,False
dataset_all_metals/raw/Mo.csv,raw,98236,98074,d7f417db36d86374ea1b07fd71c4c8bc9433e6cff83c177ba3109cb0cb24e852,f175aad149e5ecddfedf9820e2e407bede3765cb005f3006c1749408e9992258,d7f417db36d86374ea1b07fd71c4c8bc9433e6cff83c177ba3109cb0cb24e852,98236,manifest.json:raw_inputs,binary,binary,d7f417db36d86374ea1b07fd71c4c8bc9433e6cff83c177ba3109cb0cb24e852,binary,True,True,False
dataset_all_metals/raw/Nd.csv,raw,828539,827326,0feccadbc05d43bf2a4375be89a7c3bc047e0413c7e4fcda3a7c31f4c07ce158,f4db00564e74538d6fbfe8c3ddcd7052c1dd9688b8d42806e4e5dd90ebf3caa6,0feccadbc05d43bf2a4375be89a7c3bc047e0413c7e4fcda3a7c31f4c07ce158,828539,manifest.json:raw_inputs,binary,binary,0feccadbc05d43bf2a4375be89a7c3bc047e0413c7e4fcda3a7c31f4c07ce158,binary,True,True,False
dataset_all_metals/raw/Np.csv,raw,321540,320993,1de5542dc56559a5f66a9bbf83195132087c896090babd3c746f7174cafe9a2d,2e453bfefbb7b57a00a3dce0d714679a727894a6909aa0ec0b2175e55412694c,1de5542dc56559a5f66a9bbf83195132087c896090babd3c746f7174cafe9a2d,321540,manifest.json:raw_inputs,binary,binary,1de5542dc56559a5f66a9bbf83195132087c896090babd3c746f7174cafe9a2d,binary,True,True,False
dataset_all_metals/raw/Pa.csv,raw,549870,549102,90e287b8b596d6fe223c78229b0509acb00571ed448b6776d7d27390df8d8c2e,f1f637fd5e9b992101dc9adc82e4b58f747f1f391938d82572a66e15b6448ec0,90e287b8b596d6fe223c78229b0509acb00571ed448b6776d7d27390df8d8c2e,549870,manifest.json:raw_inputs,binary,binary,90e287b8b596d6fe223c78229b0509acb00571ed448b6776d7d27390df8d8c2e,binary,True,True,False
dataset_all_metals/raw/Pb.csv,raw,80049,79804,ff16a27f3d0634001daf2c27e88c3728b4949e393df40910765f50e524c0f85d,2f4590890bcbd94b8728df4cea75d14e8b88a13d1a9e2ee9adc937257bce7133,ff16a27f3d0634001daf2c27e88c3728b4949e393df40910765f50e524c0f85d,80049,manifest.json:raw_inputs,binary,binary,ff16a27f3d0634001daf2c27e88c3728b4949e393df40910765f50e524c0f85d,binary,True,True,False
dataset_all_metals/raw/Pd.csv,raw,340694,340264,475bb9285d36fef9d7b536da6dfc6668b42aa8d90a95d91116665057f41ff4bc,3822e57319c9a668bc2a53dcb2a9d41e007922bb7d3677019feec0e8d80ab264,475bb9285d36fef9d7b536da6dfc6668b42aa8d90a95d91116665057f41ff4bc,340694,manifest.json:raw_inputs,binary,binary,475bb9285d36fef9d7b536da6dfc6668b42aa8d90a95d91116665057f41ff4bc,binary,True,True,False
