g19_publication_id,n_rows,n_model_rows,g19_publication_status,g19_publication_refs,corrected_publication_id,group_corrected_doi,n_publications_in_group_corrected_doi,n_model_rows_in_group_corrected_doi,n_edges_corrected_doi,group_primary_source_doi,n_publications_in_group_primary_source_doi,n_model_rows_in_group_primary_source_doi,n_edges_primary_source_doi,group_archive_duplicate_group,n_publications_in_group_archive_duplicate_group,n_model_rows_in_group_archive_duplicate_group,n_edges_archive_duplicate_group,group_cross_publication_copy,n_publications_in_group_cross_publication_copy,n_model_rows_in_group_cross_publication_copy,n_edges_cross_publication_copy,group_near_duplicate_key,n_publications_in_group_near_duplicate_key,n_model_rows_in_group_near_duplicate_key,n_edges_near_duplicate_key,group_compilation_doi,n_publications_in_group_compilation_doi,n_model_rows_in_group_compilation_doi,n_edges_compilation_doi
pub_d0b02bd751,6,6,DOI,10.1016/j.proche.2012.10.061,pub_d0b02bd751,pub_d0b02bd751,1,6,86,pub_d0b02bd751,1,6,168,pub_d0b02bd751,1,6,7,pub_2e9f2dbea9,2,76,93,pub_2e9f2dbea9,2,76,926,pub_2e9f2dbea9,2,76,3028
pub_d1456e20d4,85,85,DOI,10.1021/acssuschemeng.4c06166x,pub_23f10a0918,pub_23f10a0918,2,269,86,pub_23f10a0918,2,269,168,pub_23f10a0918,2,269,7,pub_23f10a0918,2,269,93,pub_13adc25944,13,658,926,pub_007f4c9de0,36,2134,3028
pub_d3c970567f,31,31,DOI,10.1016/j.aca.2005.04.061,pub_d3c970567f,pub_d3c970567f,1,31,86,pub_d3c970567f,1,31,168,pub_d3c970567f,1,31,7,pub_d3c970567f,1,31,93,pub_d3c970567f,1,31,926,pub_d3c970567f,1,31,3028
pub_d59c40b453,37,37,DOI,10.1007/s10967-010-0467-y,pub_d59c40b453,pub_d59c40b453,1,37,86,pub_d59c40b453,1,37,168,pub_d59c40b453,1,37,7,pub_d59c40b453,1,37,93,pub_d59c40b453,1,37,926,pub_d59c40b453,1,37,3028
pub_d68ed8c8cf,471,471,DOI,10.15261/serdj.18.93,pub_d68ed8c8cf,pub_d68ed8c8cf,1,471,86,pub_d68ed8c8cf,1,471,168,pub_d68ed8c8cf,1,471,7,pub_04794d6d09,4,824,93,pub_04794d6d09,18,2190,926,pub_04794d6d09,18,2190,3028
pub_dc1c90a4de,3,3,DOI,10.1016/j.inoche.2018.12.023,pub_dc1c90a4de,pub_dc1c90a4de,1,3,86,pub_dc1c90a4de,1,3,168,pub_dc1c90a4de,1,3,7,pub_dc1c90a4de,1,3,93,pub_dc1c90a4de,1,3,926,pub_dc1c90a4de,1,3,3028
pub_dfa96a5118,42,42,DOI,10.1021/jacsau.2c00122,pub_dfa96a5118,pub_dfa96a5118,1,42,86,pub_dfa96a5118,1,42,168,pub_dfa96a5118,1,42,7,pub_dfa96a5118,1,42,93,pub_dfa96a5118,1,42,926,pub_dfa96a5118,1,42,3028
pub_e04e14f06b,108,44,DOI,10.1021/acssuschemeng.4c06166x | 10.1081/ss-100100793,pub_678e59390e,pub_e04e14f06b,1,44,86,pub_e04e14f06b,1,44,168,pub_e04e14f06b,1,44,7,pub_1b7737c507,7,261,93,pub_13adc25944,13,658,926,pub_007f4c9de0,36,2134,3028
pub_e287124c22,1104,1096,REPORT_SUBSOURCE,https://cordis.europa.eu/project/id/211267,pub_e287124c22,pub_e287124c22,1,1096,86,pub_e287124c22,1,1096,168,pub_e287124c22,1,1096,7,pub_e287124c22,1,1096,93,pub_e287124c22,1,1096,926,pub_e287124c22,1,1096,3028
pub_e4bbba9576,95,95,DOI,10.15261/serdj.26.21,pub_e4bbba9576,pub_e4bbba9576,1,95,86,pub_e4bbba9576,1,95,168,pub_e4bbba9576,1,95,7,pub_e4bbba9576,1,95,93,pub_e4bbba9576,1,95,926,pub_e4bbba9576,1,95,3028
pub_e4dd361427,20,20,DOI,10.1016/j.molliq.2017.02.110,pub_e4dd361427,pub_e4dd361427,1,20,86,pub_e4dd361427,1,20,168,pub_e4dd361427,1,20,7,pub_e4dd361427,1,20,93,pub_e4dd361427,1,20,926,pub_e4dd361427,1,20,3028
pub_e9799b75f3,56,56,DOI,10.1134/s1066362214060010,pub_e9799b75f3,pub_e9799b75f3,1,56,86,pub_e9799b75f3,1,56,168,pub_e9799b75f3,1,56,7,pub_e9799b75f3,1,56,93,pub_e9799b75f3,1,56,926,pub_e9799b75f3,1,56,3028
pub_efa0ee8c79,110,110,DOI,10.1021/acssuschemeng.4c06166x | 10.1515/ract-2018-3074,pub_75078f4da5,pub_efa0ee8c79,1,110,86,pub_efa0ee8c79,1,110,168,pub_efa0ee8c79,1,110,7,pub_45b8fb22e7,2,152,93,pub_45b8fb22e7,2,152,926,pub_007f4c9de0,36,2134,3028
pub_f59e3c846a,92,40,DOI,10.1080/07366299.2011.539127,pub_f59e3c846a,pub_f59e3c846a,1,40,86,pub_f59e3c846a,1,40,168,pub_f59e3c846a,1,40,7,pub_f59e3c846a,1,40,93,pub_f59e3c846a,1,40,926,pub_f59e3c846a,1,40,3028
pub_f5d1922154,50,50,DOI,10.1007/s10967-017-5317-8,pub_f5d1922154,pub_f5d1922154,1,50,86,pub_f5d1922154,1,50,168,pub_f5d1922154,1,50,7,pub_f5d1922154,1,50,93,pub_04794d6d09,18,2190,926,pub_04794d6d09,18,2190,3028
pub_f6d85bdb79,5,5,DOI,10.1134/s1066362215060077,pub_f6d85bdb79,pub_f6d85bdb79,1,5,86,pub_f6d85bdb79,1,5,168,pub_f6d85bdb79,1,5,7,pub_f6d85bdb79,1,5,93,pub_f6d85bdb79,1,5,926,pub_f6d85bdb79,1,5,3028
pub_f8a621ede4,61,61,DOI,10.1080/07366299.2010.480932,pub_f8a621ede4,pub_f8a621ede4,1,61,86,pub_f8a621ede4,1,61,168,pub_f8a621ede4,1,61,7,pub_f8a621ede4,1,61,93,pub_f8a621ede4,1,61,926,pub_f8a621ede4,1,61,3028
pub_f926473989,3,3,DOI,10.1016/s0277-5387(00)80462-3,pub_f926473989,pub_f926473989,1,3,86,pub_f926473989,1,3,168,pub_f926473989,1,3,7,pub_f926473989,1,3,93,pub_f926473989,1,3,926,pub_f926473989,1,3,3028
pub_fdc02269b7,105,53,DOI,10.1080/07366290903565885,pub_fdc02269b7,pub_fdc02269b7,1,53,86,pub_fdc02269b7,1,53,168,pub_fdc02269b7,1,53,7,pub_fdc02269b7,1,53,93,pub_fdc02269b7,1,53,926,pub_fdc02269b7,1,53,3028
