extractant_system_key,e_l_00,e_l_01,e_l_02,e_l_03,e_l_04,e_l_05,e_l_06,e_l_07,e_l_08,e_l_09,e_l_10,e_l_11,e_l_12,e_l_13,e_l_14,e_l_15,n_training_rows,fold_id,fold_ordinal
CCCCCCCCNC(=O)c1cc(Cl)ccn1,-0.360144,-1.23286,-0.494907,0.0641613,0.893268,0.245341,0.485128,0.869419,-0.00169063,0.109721,0.0525918,0.843262,-0.983702,-1.37469,-1.56426,-0.797251,2,s104729_S_b015,15
CCCCCCCCNC(=O)c1cc(OC)ccn1,-0.724448,-1.29865,-0.482858,0.137661,1.22229,0.462411,-0.0762324,1.19112,-0.310161,0.744464,-0.0445514,0.939154,-1.34695,-1.19541,-1.58178,-0.346889,4,s104729_S_b015,15
CCCCCCCCNC(=O)c1cnccn1,-0.530953,-1.40649,-0.498253,0.154301,1.25964,0.183091,0.40866,1.08151,-0.393572,-0.132066,0.0328875,0.904629,-1.03084,-1.40409,-1.79545,-0.954172,2,s104729_S_b015,15
CCCCCCCCOc1cc(C(=O)N(C)c2ccc(C(C)(C)C)cc2)nc(C(=O)N(C)c2ccc(C(C)(C)C)cc2)c1,-0.397702,-1.11425,-0.388771,0.195149,0.0593632,1.37033,0.445785,-0.692096,0.444442,1.67489,0.057495,-0.895971,-1.03888,-1.83133,-0.977896,1.07277,6,s104729_S_b015,15
CCCCCCCCOc1cc(C(=O)Nc2ccc(C(C)(C)C)cc2)nc(C(=O)Nc2ccc(C(C)(C)C)cc2)c1,-1.08981,-1.55941,0.891898,0.0414028,0.920836,2.13098,0.728943,0.0761731,0.438552,0.974578,-1.20499,-0.451311,-1.76224,-2.78504,-1.52961,0.619048,2,s104729_S_b015,15
CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,-0.394835,1.34118,-0.260334,-0.921579,1.63986,-0.374947,-0.996276,-1.56876,-1.5852,0.018022,3.99621,-0.513633,-0.36518,-0.849946,0.935258,0.00888151,17,s104729_S_b015,15
CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],3.53399,-2.01886,0.804265,-1.86515,0.948795,-3.20517,-3.44855,-2.5887,-1.59014,0.685809,6.14077,-2.47516,0.938293,2.59282,4.66729,-0.464039,28,s104729_S_b015,15
CCCCCCCCn1cc(-c2cc(CC(=O)O)cc(-c3cn(CCCCCCCC)nn3)n2)nn1,-1.53166,-1.21336,0.159406,0.846718,2.2368,-1.19741,-2.48508,1.4953,-2.83933,-0.434059,-0.170219,-0.634911,-2.34496,0.25067,-1.27777,-2.42536,10,s104729_S_b015,15
CCCCCCN(C)C(=O)CC(=O)N(C)CCCCCC,-0.939373,0.0231382,-0.288298,0.0810782,0.0934898,-0.388599,1.12639,-1.35437,0.642624,0.597621,-0.353064,-0.650132,-0.31939,-0.687442,0.574767,0.336455,9,s104729_S_b015,15
CCCCCCN(C=O)CCCCCC,-0.518083,-0.0737918,-0.541584,-0.0127981,1.2089,0.50152,-0.62893,0.124449,-0.160063,0.338586,-0.784276,1.22802,-0.404087,-0.0486415,-0.961158,0.544609,5,s104729_S_b015,15
