design,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1
BQ,P3_DIR_PHYS_vs_G14,mae_all,G14,P3_DIR_PHYS,-0.16116448049174792,-0.2273804982146107,-0.070646791006808,-0.2506391254798037,-0.09040936201274148,0.0,0.04256888436161305,0.11919287621251654,-0.11400948845441759,90,11,0,5,-0.169359892657692,-0.11094044024249618,True,0.02,False,False
BQ,P3_DIR_TOPO_vs_G14,mae_all,G14,P3_DIR_TOPO,-0.06744296113128759,-0.09943516581011005,-0.03613808142543001,-0.10399332299672576,-0.03941016500495252,0.0002,0.015856874886737884,0.04439924968286607,-0.0632598589565004,90,7,0,5,-0.07154732411101851,-0.059833508758405346,True,0.02,False,False
BQ,P3_MAG_ALL_vs_G14,mae_all,G14,P3_MAG_ALL,-0.04293527139676091,-0.09978877008905088,0.006185904210324226,-0.11558410704774018,-0.0024867651766233875,0.0858,0.026605336935404858,0.0744949434191336,-0.018512540452659446,90,33,0,5,-0.04955301093011539,-0.023578848714311297,True,0.02,False,False
BQ,P3_MAG_TOPO_vs_G14,mae_all,G14,P3_MAG_TOPO,-0.09087261039389113,-0.1735389933305877,-0.03500801631856165,-0.1636205023894986,-0.02932604498028918,0.0006,0.03578588731263784,0.10020048447538595,-0.1061214530351676,90,26,0,5,-0.12088629226301828,-0.0730543110684897,True,0.02,False,False
BQ,TOPO_MAG_vs_G14,mae_all,G14,TOPO_MAG,-0.0361074149679016,-0.09433813504427553,0.004289668896290389,-0.10432061549470611,-0.0005550955576705145,0.0768,0.025153927711286144,0.0704309975916012,-0.0638451761647458,90,40,0,5,-0.04264229628979233,-0.02343516385653895,True,0.02,False,False
BQ,P3_MAG_1D_vs_G14,mae_all,G14,P3_MAG_1D,-0.011562392039918821,-0.02879852097404496,-6.1985815266911e-05,-0.02642760623205837,0.0015932497547643974,0.0492,0.007438921551036353,0.020828980342901787,-0.016257193892389308,90,32,1,5,-0.017642920665207968,-0.009217270387606776,True,0.02,False,False
BQ,P3_CURV_ALL_vs_G14,mae_all,G14,P3_CURV_ALL,-0.009649248744627978,-0.031208519769851468,0.010927550213274378,-0.029114069992950832,0.013816449962910215,0.3238,0.010642124751171867,0.029797949303281227,-0.014231255821234488,90,37,0,5,-0.015172239445861845,-0.007056659881817519,True,0.02,False,False
BQ,P3_CURV_TOPO_vs_G14,mae_all,G14,P3_CURV_TOPO,-0.013049911361776405,-0.04239807616378922,0.008765231169367236,-0.0429078026059211,0.008265160534959844,0.227,0.012652480126398236,0.03542694435391506,-0.023540523842831482,90,37,0,5,-0.019193693439565278,-0.006533920157333174,True,0.02,False,False
BQ,TOPO_CURV_vs_G14,mae_all,G14,TOPO_CURV,-0.0037774623944150394,-0.02660122536736706,0.014208063297218642,-0.030237373125435545,0.012120066566051238,0.6982,0.010026275357041276,0.02807357099971557,-0.004477302353486096,90,40,0,5,-0.006812182640034592,0.0020828012294096237,False,0.02,False,False
BQ,P3_CURV_1D_vs_G14,mae_all,G14,P3_CURV_1D,-0.0017873788754041507,-0.006309401060990621,0.00448844236635295,-0.0072188557472475205,0.0034803976259253633,0.5542,0.0027383949570083752,0.00766750587962345,0.0030462891750829323,90,39,2,5,-0.0026176715000864933,8.957715028142463e-05,False,0.02,False,False
BQ,P3_COMP_ALL_vs_G14,mae_all,G14,P3_COMP_ALL,-0.14641966918714514,-0.2127598107912157,-0.07380310949964593,-0.23049788102203864,-0.08651267601238166,0.0002,0.03490909397473312,0.09774546312925274,-0.11161382758040267,90,23,0,5,-0.15589776063432392,-0.12067453318068588,True,0.02,False,False
BQ,P3_COMP_TOPO_vs_G14,mae_all,G14,P3_COMP_TOPO,-0.13967839185237374,-0.236284568196592,-0.07060974492412936,-0.22611313565009367,-0.06436452370161748,0.0,0.04271696510863289,0.11960750230417208,-0.14883067708020403,90,22,0,5,-0.17519163545365962,-0.11708149568905112,True,0.02,False,False
BQ,P3_TREE_ALL_vs_G14,mae_all,G14,P3_TREE_ALL,-0.0406038641188664,-0.08609567359246655,-0.004007370788435451,-0.08877609661813007,-0.005988383953094669,0.0304,0.020900209773292842,0.05852058736521996,-0.03923770023879153,90,39,0,5,-0.04881128253554185,-0.03039479446048339,True,0.02,False,False
