regime,comparison,reference,candidate,point_delta_mae,ci95_low,ci95_high,p_worse_one_sided,groups_improved,groups_total,bootstrap_unit,bootstrap_resample_unit,bootstrap_blocks,bootstrap_replicates
unseen_chemotype,MC_vs_MC_lig2d_ext@hgb,MC,MC_lig2d_ext@hgb,0.034201968688199295,-0.07996561487219425,0.19584350155067543,0.3001399720055989,42,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_vs_MC_lig2d_ext@ridge,MC,MC_lig2d_ext@ridge,-0.3597120312559952,-0.5799051811439321,-0.10219922050225656,0.9974005198960207,26,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_vs_MC_all2d@hgb,MC,MC_all2d@hgb,0.054113092612985456,-0.058321965843844546,0.20623539290840973,0.1833633273345331,45,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_vs_MC_all2d@ridge,MC,MC_all2d@ridge,-0.2804315544860211,-0.4679815656801511,-0.006130369439243195,0.9776044791041791,32,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_vs_MC_ecfp_SHUF,MC,MC_ecfp_SHUF,-0.04042484026593636,-0.07615775071452349,0.0076102385760314405,0.9514097180563887,36,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_vs_MC_lig2d_ext_SHUF,MC,MC_lig2d_ext_SHUF,-0.04318496663092243,-0.08746512016782736,0.01088760824430087,0.9484103179364127,34,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_vs_MC_donors_SHUF,MC,MC_donors_SHUF,-0.020105026215650322,-0.05790462153659607,0.012731592647183558,0.9002199560087982,34,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_vs_MC_cond_SHUF,MC,MC_cond_SHUF,-0.37156784307858465,-0.5529465077015525,-0.24570703050406803,1.0,17,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_vs_NULL_metal_mean,MC,NULL_metal_mean,-0.32322210467884044,-0.4841953657314937,-0.1622175951395303,1.0,18,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_vs_NULL_global_mean,MC,NULL_global_mean,-0.30712930880971445,-0.48512355897543724,-0.14183292936964964,0.9996000799840032,23,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_vs_NULL_extractant_mean,MC,NULL_extractant_mean,-0.30712930880971445,-0.48512355897543724,-0.14183292936964964,0.9996000799840032,23,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_vs_NULL_nearest_condition,MC,NULL_nearest_condition,-0.30712930880971445,-0.48512355897543724,-0.14183292936964964,0.9996000799840032,23,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_all2d_vs_A_metal,MC_all2d,A_metal,-0.30190786892967536,-0.4327474203899312,-0.1369362998996592,0.999000199960008,15,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_all2d_vs_A_cond,MC_all2d,A_cond,-0.12199541455379426,-0.21561007811066546,0.02643655310881542,0.9510097980403919,28,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_all2d_vs_A_physchem,MC_all2d,A_physchem,-0.16434579949709016,-0.292353412966685,0.01505336025894936,0.9582083583283343,23,74,ecfp_cluster,tanimoto_cluster,40,5000
