budget,strategy,deployable,macro_mae,zero_shot_macro_mae,reduction,gain_per_measurement,n_measurements_used,n_ligands_measured,n_chemotypes_covered,gain_per_chemotype_covered
198,D_NEW_CHEMOTYPE,True,0.6538728377727724,1.0357994416277343,0.3819266038549619,0.0038578444833834535,99,99,41.0,0.00931528302085273
198,E_CENTRAL_SPREAD,True,0.576083005605194,1.0357994416277343,0.4597164360225403,0.0023218001819320217,198,99,41.0,0.011212596000549763
198,E_CENTRAL_SPREAD_NOVELTY,True,0.5760830056051939,1.0357994416277343,0.4597164360225404,0.002321800181932022,198,99,41.0,0.011212596000549767
198,F_DIVERSITY,True,0.6538728377727724,1.0357994416277343,0.3819266038549619,0.0038578444833834535,99,99,41.0,0.00931528302085273
198,ORACLE_ERROR,False,0.6538728377727724,1.0357994416277343,0.3819266038549619,0.0038578444833834535,99,99,41.0,0.00931528302085273
297,A_DEPTH_5,True,0.700641555596612,1.0357994416277343,0.3351578860311223,0.0011361284272241434,295,59,29.255,0.011456430901764564
297,A_DEPTH_3,True,0.5127249638969309,1.0357994416277343,0.5230744777308034,0.0017611935277131428,297,99,41.0,0.012757914090995205
297,B_BREADTH_1,True,0.6538728377727725,1.0357994416277343,0.3819266038549618,0.0038578444833834527,99,99,41.0,0.009315283020852726
297,C_BREADTH_2,True,0.576083005605194,1.0357994416277343,0.4597164360225403,0.0023218001819320217,198,99,41.0,0.011212596000549763
297,D_NEW_CHEMOTYPE,True,0.6538728377727724,1.0357994416277343,0.3819266038549619,0.0038578444833834535,99,99,41.0,0.00931528302085273
297,E_CENTRAL_SPREAD,True,0.5127249638969309,1.0357994416277343,0.5230744777308034,0.0017611935277131428,297,99,41.0,0.012757914090995205
297,E_CENTRAL_SPREAD_NOVELTY,True,0.512724963896931,1.0357994416277343,0.5230744777308033,0.0017611935277131424,297,99,41.0,0.012757914090995201
297,F_DIVERSITY,True,0.6538728377727724,1.0357994416277343,0.3819266038549619,0.0038578444833834535,99,99,41.0,0.00931528302085273
297,ORACLE_ERROR,False,0.6538728377727724,1.0357994416277343,0.3819266038549619,0.0038578444833834535,99,99,41.0,0.00931528302085273
495,A_DEPTH_5,True,0.4714168201788862,1.0357994416277343,0.5643826214488481,0.001140166912017875,495,99,41.0,0.01376542979143532
495,A_DEPTH_3,True,0.5127249638969309,1.0357994416277343,0.5230744777308034,0.0017611935277131428,297,99,41.0,0.012757914090995205
495,B_BREADTH_1,True,0.6538728377727725,1.0357994416277343,0.3819266038549618,0.0038578444833834527,99,99,41.0,0.009315283020852726
495,C_BREADTH_2,True,0.576083005605194,1.0357994416277343,0.4597164360225403,0.0023218001819320217,198,99,41.0,0.011212596000549763
495,D_NEW_CHEMOTYPE,True,0.6538728377727724,1.0357994416277343,0.3819266038549619,0.0038578444833834535,99,99,41.0,0.00931528302085273
495,E_CENTRAL_SPREAD,True,0.4714168201788862,1.0357994416277343,0.5643826214488481,0.001140166912017875,495,99,41.0,0.01376542979143532
495,E_CENTRAL_SPREAD_NOVELTY,True,0.4714168201788862,1.0357994416277343,0.5643826214488481,0.001140166912017875,495,99,41.0,0.01376542979143532
495,F_DIVERSITY,True,0.6538728377727724,1.0357994416277343,0.3819266038549619,0.0038578444833834535,99,99,41.0,0.00931528302085273
495,ORACLE_ERROR,False,0.6538728377727724,1.0357994416277343,0.3819266038549619,0.0038578444833834535,99,99,41.0,0.00931528302085273
