n_folds,checkpoint,endpoint,n_rows,comparison,reference,candidate,statistic,point_delta,ci95_low,ci95_high,p_worse_one_sided,units_improved,units_total,bootstrap_blocks,bootstrap_replicates,block_macro_delta,n_blocks_positive,largest_block_unit_share,cluster_robust_se,cluster_robust_low,cluster_robust_high,cluster_robust_p_two_sided,bca_low,bca_high,bca_z0,bca_acceleration
15,30,hard_nn<0.4,13946,offset_uncertainty_vs_random,random,offset_uncertainty,offset_mae,0.09994724470272129,0.006232394841891924,0.24773487114117293,0.017196560687862426,66,119,69,5000,0.2248002581003218,45,0.23529411764705882,0.061006694071079344,-0.02178971792536276,0.22168420733080535,0.10597857376990073,-0.011837860393126608,0.22268022367167473,-0.04814585694552706,-0.07366788973926414
15,30,hard_nn<0.4,13946,offset_uncertainty_vs_random,random,offset_uncertainty,shape_mae,-0.02824898932433166,-0.0647826211881719,0.02269620323394557,0.8610277944411118,49,119,69,5000,-0.021319149039630232,29,0.23529411764705882,0.022861741079755783,-0.07386888336737768,0.017370904718714365,0.220842473785182,-0.0692696153922542,0.016058036139972514,-0.005013277548926657,-0.07410468004008991
15,30,hard_nn<0.4,13946,same_chemotype_first_vs_random,random,same_chemotype_first,mae,-0.6386190191205985,-0.8471238212167334,-0.45106728934717844,1.0,26,119,69,5000,-0.6952871396175087,16,0.23529411764705882,0.09116302637616076,-0.8205320059493466,-0.45670603229185036,1.3880264423436507e-09,-0.8476104796777122,-0.4510925296354136,-0.007018616792533281,0.003306170169263944
15,30,hard_nn<0.4,13946,same_chemotype_first_vs_random,random,same_chemotype_first,offset_mae,-0.7270734899899338,-0.9464182775262351,-0.5035502043331089,1.0,26,119,69,5000,-0.75365830032764,18,0.23529411764705882,0.10321935972933136,-0.9330445154518953,-0.5211024645279724,1.1820612512506778e-09,-0.9447450710156894,-0.5025194552422048,-0.003007958465459176,0.005429746974464198
15,30,hard_nn<0.4,13946,same_chemotype_first_vs_random,random,same_chemotype_first,shape_mae,-0.07285740650405445,-0.14299916698075882,-0.024217808151966554,0.9984003199360127,52,119,69,5000,-0.12849390232922495,28,0.23529411764705882,0.02908889737375184,-0.1309033974629274,-0.014811415545181492,0.014659756273869819,-0.13942363410919736,-0.02206355668679913,0.020555799371180145,0.018466916719250374
15,30,hard_nn<0.6,15105,maxmin_vs_random,random,maxmin,mae,0.09465772837121288,0.013212130377361572,0.17891551527995112,0.014997000599880024,71,127,76,5000,0.12541671635320673,44,0.2204724409448819,0.041117799330046445,0.012746871757995423,0.17656858498443034,0.024105639705038984,0.010127171941895769,0.17749260284883642,-0.005013277548926657,-0.007111982173591693
15,30,hard_nn<0.6,15105,maxmin_vs_random,random,maxmin,offset_mae,0.08088161718828064,-0.011284051675647177,0.17808405715693806,0.041591681663667265,74,127,76,5000,0.11802509381654659,47,0.2204724409448819,0.04632245232244104,-0.011397439861920294,0.17316067423848158,0.08489587659851527,-0.011965498162824443,0.17765727784778113,0.019051527317045326,-0.015180267158580122
15,30,hard_nn<0.6,15105,maxmin_vs_random,random,maxmin,shape_mae,0.023287569375020148,-0.02052735331285644,0.05354878096066916,0.13437312537492502,75,127,76,5000,0.007179123284376886,43,0.2204724409448819,0.018156858804188932,-0.01288274815871919,0.059457886908759486,0.20359016976029207,-0.01913663908221745,0.053906585822425857,-0.0040106159912038294,0.01189359699508841
15,30,hard_nn<0.6,15105,uncertainty_vs_random,random,uncertainty,mae,0.1325899133510023,0.048876305447486126,0.2550362278892025,0.0001999600079984003,65,127,76,5000,0.21967297410044212,45,0.2204724409448819,0.054307105651740704,0.02440461120454232,0.24077521549746225,0.016984780823786894,0.029504444653730866,0.2310702913360773,-0.05718227193180179,-0.10005253766331583
15,30,hard_nn<0.6,15105,uncertainty_vs_random,random,uncertainty,offset_mae,0.14261533365349977,0.053297017762239135,0.27831800244904703,0.0001999600079984003,73,127,76,5000,0.24388366661965571,48,0.2204724409448819,0.058129031041303354,0.02681636570605618,0.25841430160094336,0.01647244457888782,0.034116947431792166,0.2526205639353715,-0.04061854447905143,-0.09427316291302758
15,30,hard_nn<0.6,15105,uncertainty_vs_random,random,uncertainty,shape_mae,0.016384125754390126,-0.012047579279993007,0.054306095774030554,0.15316936612677465,69,127,76,5000,0.011943268254445655,43,0.2204724409448819,0.016790795725550037,-0.017064854577889733,0.049833106086669986,0.332310286177201,-0.01192906171548535,0.05454739774586871,0.028077925538198285,-0.011484957507254227
15,30,hard_nn<0.6,15105,diversity_x_uncertainty_vs_random,random,diversity_x_uncertainty,mae,0.15566196893771797,0.0813462645994982,0.2693362558306157,0.0001999600079984003,69,127,76,5000,0.23892074612212527,48,0.2204724409448819,0.046415696154523005,0.06319716064877913,0.24812677722665683,0.0012528793554682982,0.07577320692323603,0.259619790640995,-0.0015039775317649809,-0.0408724509725798
15,30,hard_nn<0.6,15105,diversity_x_uncertainty_vs_random,random,diversity_x_uncertainty,offset_mae,0.1717594033506322,0.0899178186439611,0.28830261017807834,0.0003999200159968006,78,127,76,5000,0.26034753512179004,52,0.2204724409448819,0.04774876411277985,0.07663898751061853,0.26687981919064585,0.0005738964214402044,0.08649790991167303,0.2830278361097584,0.004511946203065805,-0.026186932083919038
15,30,hard_nn<0.6,15105,diversity_x_uncertainty_vs_random,random,diversity_x_uncertainty,shape_mae,0.025853321684498366,-0.0038453704605157183,0.06524518241565926,0.04879024195160968,72,127,76,5000,0.03674183557748706,51,0.2204724409448819,0.01830904491150013,-0.010620166121424822,0.062326809490421554,0.1620704495936846,-0.008031933581580341,0.05937611956184482,-0.03710661205920429,-0.06983131173793283
15,30,hard_nn<0.6,15105,offset_uncertainty_vs_random,random,offset_uncertainty,mae,0.07241980594744088,-0.015504899768073049,0.20564210834548297,0.0625874825034993,63,127,76,5000,0.17975287569634543,45,0.2204724409448819,0.05762331526800956,-0.042371724518711226,0.187211336413593,0.21273357618464228,-0.03862327913621492,0.18237871016026538,-0.0441309779476149,-0.08874920551461074
15,30,hard_nn<0.6,15105,offset_uncertainty_vs_random,random,offset_uncertainty,offset_mae,0.09487350012882007,0.007742643602563783,0.229399760831466,0.016396720655868825,71,127,76,5000,0.20530248434790668,48,0.2204724409448819,0.05591602772270922,-0.01651693914083803,0.20626393939847815,0.09389762328061182,-0.010045263346509693,0.20750587387506358,-0.032591936696663076,-0.07163847939052952
15,30,hard_nn<0.6,15105,offset_uncertainty_vs_random,random,offset_uncertainty,shape_mae,-0.03182613796755792,-0.06663248492047896,0.013691638172987767,0.9044191161767646,53,127,76,5000,-0.02735161024851476,33,0.2204724409448819,0.02151793599109615,-0.07469206460510291,0.011039788669987081,0.14331453495909788,-0.07172002726768271,0.008317035093646575,-0.020054370352950636,-0.061992784601474595
15,30,hard_nn<0.6,15105,same_chemotype_first_vs_random,random,same_chemotype_first,mae,-0.6208614409832751,-0.8012028575049768,-0.45546977360514274,1.0,26,127,76,5000,-0.6755446484377011,16,0.2204724409448819,0.08182785678329169,-0.7838708907386575,-0.4578519912278928,7.248882356443435e-11,-0.7956948804040762,-0.449995004956827,0.02506890825871106,0.0019250203042015244
15,30,hard_nn<0.6,15105,same_chemotype_first_vs_random,random,same_chemotype_first,offset_mae,-0.6847829539464075,-0.8842046677233298,-0.47734187726952737,1.0,26,127,76,5000,-0.7251405934667854,17,0.2204724409448819,0.09528442660155177,-0.8745992654222273,-0.49496664247058775,4.141102726651523e-10,-0.8784457525671228,-0.4714649187328211,0.02256156839022472,0.0026149336359844928
