extractant_system_key,e_l_00,e_l_01,e_l_02,e_l_03,e_l_04,e_l_05,e_l_06,e_l_07,n_training_rows,fold_id,fold_ordinal
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,-0.562851,0.682197,0.829549,-3.56284,-0.371632,2.15605,-0.77543,0.158451,14,s104729_S_b004,4
CCCCCCCCCC(=O)N(C)C,1.38167,-2.70604,-0.351731,0.131394,-0.313331,-0.221852,-1.39047,-0.322701,5,s104729_S_b004,4
CCCCCCCCCC(=O)N(CC)CC,1.67218,-2.4738,-0.449529,0.49668,-0.4834,-0.290349,-1.46007,-0.313409,5,s104729_S_b004,4
CCCCCCCCCC(=O)N(CCCCCC)CCCCCC,1.68509,-1.31935,0.316931,0.838688,-1.01454,-0.85756,-1.27659,-0.666429,63,s104729_S_b004,4
CCCCCCCCCCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,2.18156,-1.12731,0.263038,1.09996,-0.884629,-1.40845,-1.35348,-0.822121,11,s104729_S_b004,4
CCCCCCCCCCCC(=O)N(CC)CC,2.19879,-1.74042,0.389816,1.11466,-0.952993,-0.839811,-1.74003,-0.653918,47,s104729_S_b004,4
CCCCCCCCCCCCCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,2.64324,0.639229,-0.299481,0.226343,0.433967,1.43562,1.67218,-0.798455,12,s104729_S_b004,4
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,0.147107,-1.59643,-0.673535,-0.649347,1.06014,0.652444,-1.67928,0.0431101,105,s104729_S_b004,4
CCCCCCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCCCCCC,-0.497161,-1.66776,-0.184296,-0.27178,1.27378,1.01212,0.0980392,0.341603,22,s104729_S_b004,4
CCCCCCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCCCCCC,0.441351,-0.233235,-0.280301,-0.430771,1.4462,0.97652,0.218249,0.507281,26,s104729_S_b004,4
CCCCCCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCCCCCC,0.324599,0.592715,-0.253693,-0.539622,0.77217,0.678818,0.195548,0.512867,26,s104729_S_b004,4
CCCCCCCCCCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCCCCCCCCCC,0.264141,0.652372,-0.131714,-0.50164,1.17334,0.448403,0.582625,0.28444,22,s104729_S_b004,4
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,-0.427179,-1.09221,0.0232726,-0.43224,1.34473,0.864369,0.459816,0.637852,13,s104729_S_b004,4
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,0.0741205,-1.11572,0.19177,-0.0287582,1.03245,0.493507,0.123355,-0.52065,14,s104729_S_b004,4
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.80142,0.241013,-0.235132,-0.00659999,-0.063061,0.591508,-0.57708,0.67893,39,s104729_S_b004,4
