extractant_system_key,e_l_00,e_l_01,e_l_02,e_l_03,n_training_rows,fold_id,fold_ordinal
CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,0.23567,0.589684,-0.00756424,1.68454,14,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)C(C)C,-1.17645,-1.1137,-0.99501,-2.2254,12,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,-0.0811931,-0.739143,-0.718181,0.796638,24,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,0.00340024,-0.810146,-0.662555,0.634244,64,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)C(CC)CCCC,-0.959291,-0.543767,-1.41573,-1.8733,35,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)C1CCC(C(=O)N(CCCCCCCC)CCCCCCCC)O1,0.357638,-0.208077,-0.217647,0.792195,10,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,0.736156,-0.536,0.958989,-0.707307,9,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)CCC,-0.770768,-0.376568,-0.772994,-1.17973,10,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)CCCCCCC,-1.13795,-0.360583,-0.890476,-1.782,34,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)CCOCCC(=O)N(CCCCCCCC)CCCCCCCC,-1.78749,-2.03592,0.286859,-0.623182,4,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)CN(C)CC(=O)N(CCCCCCCC)CCCCCCCC,0.143227,0.916936,0.837628,-1.35248,25,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)C(C)=O,-1.37081,-1.20899,0.542167,-1.60525,4,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,-0.354219,1.06398,-0.323031,-2.66534,58,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)Cc1ccccc1,-1.22711,-0.170657,0.00385073,-0.980317,4,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,-1.44388,-0.359801,-0.447417,-0.68482,4,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)CNCC(=O)N(CCCCCCCC)CCCCCCCC,-1.16876,-0.314039,-0.21778,-0.823215,4,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(CCCC)CCCC,-0.821742,0.463914,-3.75832,-1.23162,12,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(OCCCC)OCCCC,-0.531513,1.03014,-3.5716,-0.934012,12,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)CO,0.575011,-0.884774,0.381389,-1.74218,20,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)COC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,-0.194522,-0.619432,-0.576971,0.993842,24,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)COC(C)C(=O)N(CCCCCCCC)CCCCCCCC,0.364915,-0.234576,-0.101877,1.07346,24,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,1.08888,0.444534,1.22577,1.28817,7,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.75394,0.985098,0.694638,0.848637,6,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.418452,0.463567,0.312632,1.32297,2999,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|CCCCOP(=O)(OCCCC)OCCCC,-0.684651,1.95308,1.46808,2.04106,88,s104729_S_b003,3
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|O=C(COCC(=O)N(CCO)CCO)N(CCO)CCO,0.588004,-0.702386,0.51921,0.46557,24,s104729_S_b003,3
