global_model,arm,k,mae,n_ligands
GEN9_A0_ROW_ONLY,SERIES_MAP@CENTRAL,3,0.584349411423804,140
GEN9_A0_ROW_ONLY,SERIES_MAP@CENTRAL,5,0.586834718066946,99
GEN9_A0_ROW_ONLY,SERIES_MAP@CENTRAL_THEN_SPREAD,1,0.6444691674541048,143
GEN9_A0_ROW_ONLY,SERIES_MAP@CENTRAL_THEN_SPREAD,2,0.6111621139718034,143
GEN9_A0_ROW_ONLY,SERIES_MAP@CENTRAL_THEN_SPREAD,3,0.5873799765455755,140
GEN9_A0_ROW_ONLY,SERIES_MAP@CENTRAL_THEN_SPREAD,5,0.5923279433541903,99
GEN9_A0_ROW_ONLY,SERIES_MAP@D_OPTIMAL,1,0.8865789786518616,143
GEN9_A0_ROW_ONLY,SERIES_MAP@D_OPTIMAL,2,0.6384218575474703,143
GEN9_A0_ROW_ONLY,SERIES_MAP@D_OPTIMAL,3,0.6122068493788662,140
GEN9_A0_ROW_ONLY,SERIES_MAP@D_OPTIMAL,5,0.6009103190936269,99
GEN9_A0_ROW_ONLY,SERIES_MAP@MEDOID,1,0.6444691674541048,143
GEN9_A0_ROW_ONLY,SERIES_MAP@MEDOID,2,0.611130927313477,143
GEN9_A0_ROW_ONLY,SERIES_MAP@MEDOID,3,0.5885261981946031,140
GEN9_A0_ROW_ONLY,SERIES_MAP@MEDOID,5,0.5908329589887924,99
GEN9_A0_ROW_ONLY,SERIES_MAP@ORACLE[OFFSET_K1],1,0.47904936904408196,143
GEN9_A0_ROW_ONLY,SERIES_MAP@ORACLE[OFFSET_K1],2,0.48393859171801373,143
GEN9_A0_ROW_ONLY,SERIES_MAP@ORACLE[OFFSET_K1],3,0.5101604075892089,140
GEN9_A0_ROW_ONLY,SERIES_MAP@ORACLE[OFFSET_K1],5,0.5404257236433776,99
GEN9_A0_ROW_ONLY,SERIES_MAP@RANDOM,1,0.7153125381561343,143
GEN9_A0_ROW_ONLY,SERIES_MAP@RANDOM,2,0.6276623674676303,143
GEN9_A0_ROW_ONLY,SERIES_MAP@RANDOM,3,0.5963183971306835,140
