arm,extractant_family,n_extractants,macro_mae,fraction_extractants_improved_vs_A2
H1_CATBOOST_NONE_HUBER,CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,1,0.1069143671960751,0.0
H1_CATBOOST_NONE_HUBER,CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,1,0.1736458187031126,0.0
H1_CATBOOST_NONE_HUBER,CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,1,0.20996209537252064,1.0
H1_CATBOOST_NONE_HUBER,CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,1,0.18459035585567735,0.0
H1_CATBOOST_NONE_HUBER,CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,1,0.2739414964334099,1.0
H1_CATBOOST_NONE_HUBER,CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,1,0.1677704713978065,1.0
H1_CATBOOST_NONE_HUBER,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,1,0.7242215926013396,0.0
H1_CATBOOST_NONE_HUBER,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,1,0.4798813819896335,0.0
H1_CATBOOST_NONE_HUBER,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,1,0.5269502061290661,0.0
H1_CATBOOST_NONE_HUBER,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,1,0.3803010022993445,1.0
H1_CATBOOST_NONE_HUBER,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,1,0.17473800713870785,1.0
H1_CATBOOST_NONE_HUBER,CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,1,0.10868538870842241,0.0
H1_CATBOOST_NONE_HUBER,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,1,0.4242116942078139,0.0
H1_CATBOOST_NONE_HUBER,CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,1,0.16874211402352987,1.0
H1_CATBOOST_NONE_HUBER,CCN(CC)C(=O)COCC(=O)N(CC)CC,1,0.1841057147959804,1.0
H1_CATBOOST_NONE_HUBER,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,1,0.31225409016496153,0.0
H1_CATBOOST_NONE_HUBER,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,1,0.2744925117648351,1.0
H1_CATBOOST_NONE_HUBER,COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,1,0.3184749175417546,1.0
H1_CATBOOST_NONE_HUBER,O=C(COCC(=O)N1CCCCC1)N1CCCCC1,1,0.302592280549925,1.0
H1_CATBOOST_GROUP_SQRT_RMSE,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,1,0.1815970185320607,1.0
H1_CATBOOST_GROUP_SQRT_RMSE,CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,1,0.36873625859611486,0.0
H1_CATBOOST_GROUP_SQRT_RMSE,CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,1,0.3730647534556374,0.0
H1_CATBOOST_GROUP_SQRT_RMSE,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,1,0.3802328184183549,1.0
H1_CATBOOST_GROUP_SQRT_RMSE,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,1,0.35545015263834545,0.0
H1_CATBOOST_GROUP_SQRT_RMSE,CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,1,0.18140280342731394,1.0
H1_CATBOOST_GROUP_SQRT_RMSE,CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,1,0.23286778435738173,0.0
H1_CATBOOST_GROUP_SQRT_RMSE,CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,1,0.5431436381160343,1.0
H1_CATBOOST_GROUP_SQRT_RMSE,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,1,0.25575058397980366,0.0
H1_CATBOOST_GROUP_SQRT_RMSE,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,1,0.8589077797492783,0.0
H1_CATBOOST_GROUP_SQRT_RMSE,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,1,0.4969253154145525,0.0
H1_CATBOOST_GROUP_SQRT_RMSE,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,1,0.5415112917071415,1.0
H1_CATBOOST_GROUP_SQRT_RMSE,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,1,0.3796827314130417,1.0
H1_CATBOOST_GROUP_SQRT_RMSE,CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,1,0.18892734523931137,0.0
H1_CATBOOST_GROUP_SQRT_RMSE,CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,1,0.13393599041852164,0.0
H1_CATBOOST_GROUP_SQRT_RMSE,CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,1,0.07278719527412159,1.0
H1_CATBOOST_GROUP_SQRT_RMSE,CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,1,0.17846048257561353,0.0
H1_CATBOOST_GROUP_SQRT_RMSE,CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,1,0.1771794418160333,1.0
H1_CATBOOST_GROUP_SQRT_RMSE,CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,1,0.17136505518435816,0.0
H1_CATBOOST_GROUP_SQRT_RMSE,CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,1,0.4039263054920561,0.0
H1_CATBOOST_GROUP_SQRT_RMSE,CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,1,0.11480647885756438,1.0
H1_CATBOOST_GROUP_SQRT_RMSE,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,1,0.6417610315989593,0.0
H1_CATBOOST_GROUP_SQRT_RMSE,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,1,0.4885741393951254,0.0
H1_CATBOOST_GROUP_SQRT_RMSE,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,1,0.5257945883365577,0.0
H1_CATBOOST_GROUP_SQRT_RMSE,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,1,0.36619282029535716,1.0
H1_CATBOOST_GROUP_SQRT_RMSE,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,1,0.21760189877505762,0.0
H1_CATBOOST_GROUP_SQRT_RMSE,CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,1,0.09848938443287854,0.0
H1_CATBOOST_GROUP_SQRT_RMSE,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,1,0.4300752283927961,0.0
H1_CATBOOST_GROUP_SQRT_RMSE,CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,1,0.1514382913451444,1.0
H1_CATBOOST_GROUP_SQRT_RMSE,CCN(CC)C(=O)COCC(=O)N(CC)CC,1,0.1790129157133781,1.0
