adapter,policy,k,mae,n_ligands,shape_mae
NEAREST_OBSERVED,RANDOM,2,0.6719450572324007,143,0.5172248212849272
CURVE_SPLINE_W1_K1,CENTRAL,1,0.6835173894916772,143,0.49018474595867745
NEAREST_OBSERVED,CENTRAL,2,0.6934242213120548,143,0.5356514010070924
MASSACTION_K1,RANDOM,1,0.7112346262100493,143,0.4601971458209179
NO_MODEL,CENTRAL,3,0.7139530045534407,140,0.5767709937978235
CURVE_SPLINE_GP,RANDOM,1,0.7239654642525474,143,0.4722352866678807
CURVE_SPLINE_K1,RANDOM,1,0.724001039104118,143,0.4722400696418804
CURVE_SPLINE_AMP,RANDOM,1,0.724001039104118,143,0.4722400696418804
MASSACTION_WITH_METAL_K1,RANDOM,1,0.7274512504063978,143,0.4764237416110927
NO_MODEL,CENTRAL,2,0.7290041084193523,143,0.5658756496902655
NO_MODEL,RANDOM,3,0.7293150496401231,140,0.5767709937978235
CURVE_GP,RANDOM,1,0.7318959350426709,143,0.473027315755837
OFFSET_K1,RANDOM,1,0.7319347765464043,143,0.47303312834535827
OFFSET_K3,RANDOM,1,0.7319347765464043,143,0.47303312834535827
OFFSET_K2,RANDOM,1,0.7319347765464043,143,0.47303312834535827
MASSACTION_POOLED_K1,RANDOM,1,0.7329708947244467,143,0.4707752573248435
CURVE_SPLINE_W1_K1,RANDOM,1,0.7494310851474332,143,0.49018474595867745
NO_MODEL,RANDOM,2,0.7538060274474901,143,0.5658756496902655
NEAREST_OBSERVED,CENTRAL,1,0.7575156334349555,143,0.5658756496902655
NO_MODEL,CENTRAL,1,0.7575156334349555,143,0.5658756496902655
NO_MODEL,CENTRAL,5,0.7612714879985231,99,0.6655962564241901
NO_MODEL,RANDOM,5,0.7687039885593794,99,0.6655962564241901
NO_MODEL,RANDOM,1,0.84589642363874,143,0.5658756496902655
NEAREST_OBSERVED,RANDOM,1,0.84589642363874,143,0.5658756496902655
MASSACTION_SHAPEONLY,CENTRAL,1,0.9752671749149475,143,0.4601971458209179
MASSACTION_SHAPEONLY,RANDOM,2,0.9752671749149475,143,0.4601971458209179
MASSACTION_SHAPEONLY,RANDOM,1,0.9752671749149475,143,0.4601971458209179
